Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5701600000.0,1963700000.0,3737900200.0,1502500000.0,1308200700.0,,-404200000.0,384600000.0,904000300.0,100700000.0,803300300.0,7600000.0,798600000.0,3.47,0.6556,0.2294,0.1586,0.1401,-0.07,2341800700.0,1308200600.0,3.5172,3.5292,3.5292,810900300.0,810900000.0,0.4107,0.3145,EVRG
2022-06-30 00:00:00,5409000000.0,1668500000.0,3740500200.0,1497000000.0,1330500700.0,369000000.0,-397500000.0,375900000.0,933000300.0,108400000.0,824600300.0,7600000.0,819800000.0,3.57,0.6915,0.246,0.1725,0.1516,-0.0891,2356500700.0,1330500600.0,3.613,3.6236,3.6236,832200300.0,832200000.0,0.4357,0.3172,EVRG
2022-03-31 00:00:00,5198700000.0,1530600000.0,3668100100.0,1471700000.0,1290300600.0,364000000.0,-369800000.0,370400000.0,920500300.0,105900000.0,814600300.0,8300000.0,810600000.0,3.53,0.7056,0.2482,0.1771,0.1559,-0.0739,2300000600.0,1290300500.0,3.5752,3.5853,3.5853,822900300.0,822900000.0,0.4424,0.3165,EVRG
2021-12-31 00:00:00,5586700000.0,1847400000.0,3739300100.0,1488000000.0,1354900600.0,366000000.0,-353800000.0,372600000.0,1001100300.0,117400000.0,883700300.0,8200000.0,879700000.0,3.84,0.6693,0.2425,0.1792,0.1575,-0.1111,2351900500.0,1354900500.0,3.8846,3.8948,3.8948,891900300.0,891900000.0,0.421,0.2419,EVRG
2021-09-30 00:00:00,5559000000.0,1823699900.0,3735299900.0,1477100000.0,1366700200.0,374000000.0,-377400000.0,374800000.0,989300100.0,108200000.0,881100100.0,8300000.0,877300000.0,3.83,0.6719,0.2459,0.178,0.1578,-0.0951,2357300100.0,1366700200.0,3.8781,3.8855,3.8855,889400100.0,889400000.0,0.4241,0.2461,EVRG
2021-06-30 00:00:00,5460100000.0,1776599900.0,3683499900.0,1511300000.0,1287700200.0,373000000.0,-390500000.0,376000000.0,897200100.0,101000000.0,796200100.0,8200000.0,792400000.0,3.47,0.6746,0.2358,0.1643,0.1451,-0.0659,2269300100.0,1287700200.0,3.5278,3.5323,3.5323,804400100.0,804400000.0,0.4156,0.2666,EVRG
2021-03-31 00:00:00,5408600000.0,1746499900.0,3662100000.0,1517100000.0,1264100300.0,380000000.0,-404700000.0,381700000.0,859400100.0,115100000.0,744300100.0,8100000.0,740500000.0,3.25,0.6771,0.2337,0.1589,0.1369,-0.0497,2247400200.0,1264100300.0,3.3069,3.311,3.311,752400100.0,752400000.0,0.4155,0.2597,EVRG
2020-12-31 00:00:00,4913400000.0,1362199900.0,3551199900.0,1527200000.0,1143900200.0,384000000.0,-420000000.0,383900000.0,723900100.0,102200000.0,621700100.0,8300000.0,618300000.0,2.72,0.7228,0.2328,0.1473,0.1258,0.0394,2127800300.0,1143900200.0,2.7693,2.7728,2.7728,630000100.0,630000000.0,0.4331,0.3569,EVRG
2020-09-30 00:00:00,4950600000.0,1379000100.0,3571599600.0,1540200100.0,1156699500.0,389000000.0,-430400000.0,387200000.0,726299800.0,91600000.0,634699800.0,8000000.0,631200000.0,2.78,0.7214,0.2336,0.1467,0.1275,0.0615,2127299700.0,1156699800.0,2.8085,2.8127,2.8126,642699800.0,642700000.0,0.4297,0.3481,EVRG
2020-06-30 00:00:00,5010600000.0,1416400100.0,3594199600.0,1547700100.0,1173699500.0,,-430200000.0,383200000.0,743499800.0,107100000.0,636399800.0,9700000.0,633500000.0,2.74,0.7173,0.2342,0.1484,0.1264,0.0727,2141299600.0,1173699800.0,2.7714,2.7769,2.7768,646099800.0,646100000.0,0.4274,0.3269,EVRG
