Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,23050000000.0,19458000000.0,3592000000.0,10594000000.0,3168000000.0,1452000000.0,-2307000000.0,1666000000.0,2511000000.0,497000000.0,2152000000.0,,2129000000.0,2.16,0.1558,0.1374,0.1089,0.0924,-0.1773,6150000000.0,3168000000.0,2.1763,,2.1642,,2.1782,2143000000.0,,2010000000.0,0.2668,0.1307,EXC
2022-06-30 00:00:00,29750000000.0,23292000000.0,6458000000.0,10609000000.0,2913000000.0,1484000000.0,216000000.0,1625000000.0,3149000000.0,579000000.0,1933000000.0,,2656000000.0,2.71,0.2171,0.0979,0.1058,0.0893,-0.0728,10124000000.0,2913000000.0,1.9663,,2.7354,,1.9682,1924000000.0,,2563000000.0,0.3403,0.1719,EXC
2022-03-31 00:00:00,29531000000.0,21414000000.0,8117000000.0,10557000000.0,2799000000.0,1522000000.0,-224000000.0,1591000000.0,2967000000.0,536000000.0,1794000000.0,,2592000000.0,2.65,0.2749,0.0948,0.1005,0.0878,-0.0506,11239000000.0,2799000000.0,1.8263,0.13,2.7481,0.13,1.8282,1785000000.0,250000000.0,2574000000.0,0.3806,0.205,EXC
2021-12-31 00:00:00,28836000000.0,18994000000.0,9842000000.0,10425000000.0,2723000000.0,1570000000.0,-199000000.0,1571000000.0,2832000000.0,357000000.0,1838000000.0,-11000000.0,1706000000.0,1.74,0.3413,0.0944,0.0982,0.0592,-0.1419,12242000000.0,2723000000.0,1.8663,,1.8683,,1.8682,1829000000.0,,1829000000.0,0.4245,0.1045,EXC
2021-09-30 00:00:00,28314000000.0,13964000000.0,14350000000.0,6780000000.0,2429000000.0,1574000000.0,2533000000.0,1360000000.0,2967000000.0,448000000.0,1744000000.0,-6000000.0,1674000000.0,1.71,0.5068,0.0858,0.1048,0.0591,-0.1221,13769000000.0,2429000000.0,1.7742,-383.99,1.9172,,1.7753,1743000000.0,,1876000000.0,0.4863,0.1467,EXC
2021-06-30 00:00:00,25622000000.0,10285000000.0,15337000000.0,8424000000.0,2442000000.0,1581000000.0,-95000000.0,1440000000.0,2347000000.0,490000000.0,1857000000.0,-4000000.0,972000000.0,0.99,0.5986,0.0953,0.0916,0.0379,-0.1894,10408000000.0,2442000000.0,1.8866,,1.2448,,1.8883,1855000000.0,,1216000000.0,0.4062,0.1051,EXC
2021-03-31 00:00:00,28924000000.0,11888000000.0,17036000000.0,9881000000.0,2427000000.0,1612000000.0,385000000.0,1543000000.0,2812000000.0,706000000.0,2106000000.0,-4000000.0,1092000000.0,1.11,0.589,0.0839,0.0972,0.0378,-0.192,9681000000.0,2427000000.0,2.1447,,1.3462,,2.1464,2103000000.0,,1314000000.0,0.3347,0.0655,EXC
2020-12-31 00:00:00,33039000000.0,14104000000.0,18935000000.0,11122000000.0,2823000000.0,1636000000.0,-490000000.0,1635000000.0,2333000000.0,373000000.0,1960000000.0,-6000000.0,1963000000.0,2.01,0.5731,0.0854,0.0706,0.0594,-0.114,9350000000.0,2823000000.0,1.9999,,2.002,,2.002,1954000000.0,,1954000000.0,0.283,0.1282,EXC
2020-09-30 00:00:00,33265000000.0,14172000000.0,19093000000.0,11281000000.0,3516000000.0,1636000000.0,-894000000.0,1636000000.0,2622000000.0,289000000.0,2333000000.0,-6000000.0,2377000000.0,2.43,0.574,0.1057,0.0788,0.0715,-0.0623,9322000000.0,3516000000.0,2.3832,,2.3846,,2.3846,2327000000.0,,2327000000.0,0.2802,0.1648,EXC
2020-06-30 00:00:00,33341000000.0,14510000000.0,18831000000.0,10621000000.0,4100000000.0,,-1162000000.0,1641000000.0,2938000000.0,245000000.0,2693000000.0,-175000000.0,2648000000.0,2.71,0.5648,0.123,0.0881,0.0794,-0.0303,9699000000.0,4100000000.0,2.5811,,2.5827,,2.5827,2518000000.0,,2518000000.0,0.2909,0.1932,EXC
