Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1865352000.0,450095000.0,1394740100.0,121206000.0,1092605200.0,-87560000.0,65006000.0,1025562000.0,19510000.0,985535000.0,944077000.0,6.88,0.7477,0.5857,0.5498,0.5061,-0.1324,1373478200.0,1092605100.0,6.974,7.3529,7.3529,985535000.0,1004757000.0,0.7363,0.6279,EXR
2022-06-30 00:00:00,1778942000.0,425051000.0,1333374100.0,113326000.0,1049026200.0,-80275000.0,58610000.0,989268000.0,19522000.0,949229000.0,911687000.0,6.63,0.7495,0.5897,0.5561,0.5125,0.1011,1319360200.0,1049026100.0,6.7283,7.0829,7.0829,949229000.0,968504000.0,0.7417,0.6347,EXR
2022-03-31 00:00:00,1662067000.0,409152000.0,1252915100.0,108416000.0,970190200.0,-70888000.0,83790000.0,899302000.0,19328000.0,879974000.0,827069000.0,6.15,0.7538,0.5837,0.5411,0.4976,0.0848,1231661200.0,970190100.0,6.2639,6.5712,6.5712,879974000.0,879045000.0,0.741,0.6233,EXR
2021-12-31 00:00:00,1577362000.0,398096000.0,1179266100.0,102194000.0,975953200.0,-77871000.0,105496000.0,898082000.0,20324000.0,877758000.0,826774000.0,6.18,0.7476,0.6187,0.5694,0.5241,0.1471,1228419200.0,975953100.0,6.2691,6.5811,6.5811,877758000.0,877115000.0,0.7788,0.6038,EXR
2021-09-30 00:00:00,1503469000.0,390446000.0,1113023100.0,98628000.0,859929100.0,-79593000.0,133680000.0,780336000.0,20127000.0,760209000.0,714786000.0,5.39,0.7403,0.572,0.519,0.4754,0.2184,1105039100.0,859929100.0,5.5693,5.7339,5.7339,760209000.0,759948900.0,0.735,0.6101,EXR
2021-06-30 00:00:00,1434001000.0,389654000.0,1044347100.0,98127000.0,796858100.0,-94603000.0,165397000.0,702255000.0,18012000.0,684243000.0,641403000.0,4.88,0.7283,0.5557,0.4897,0.4473,0.2521,1037487100.0,796858100.0,5.1,5.2017,5.2017,684243000.0,684242900.0,0.7235,0.5878,EXR
2021-03-31 00:00:00,1382617000.0,389662000.0,992955100.0,97123000.0,750022100.0,-117333000.0,167429000.0,632689000.0,15768000.0,616921000.0,576598000.0,4.43,0.7182,0.5425,0.4576,0.417,0.3169,986632100.0,750022100.0,4.69,4.7295,4.7295,616921000.0,616920900.0,0.7136,0.5684,EXR
2020-12-31 00:00:00,1356212000.0,387109000.0,969103100.0,96594000.0,666140100.0,-134748000.0,172301000.0,531392000.0,13810000.0,517582000.0,481779000.0,3.73,0.7146,0.4912,0.3918,0.3552,0.3102,899970100.0,666140100.0,3.9941,3.9955,3.9955,517582000.0,517581900.0,0.6636,0.5687,EXR
2020-09-30 00:00:00,1338523000.0,387929000.0,950594000.0,93112000.0,635036100.0,-150743000.0,177304000.0,484293000.0,12741000.0,471552000.0,438005000.0,3.4,0.7102,0.4744,0.3618,0.3272,0.3448,867915100.0,635036100.0,3.533,3.6531,3.6531,471552000.0,471552000.0,0.6484,0.5577,EXR
2020-06-30 00:00:00,1333004000.0,384715000.0,948289000.0,91737000.0,634467100.0,-158638000.0,181952000.0,475829000.0,12136000.0,463693000.0,431459000.0,3.35,0.7114,0.476,0.357,0.3237,0.3894,867481100.0,634467100.0,3.424,3.5927,3.5927,463693000.0,463693000.0,0.6508,0.5524,EXR
