Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9635000000.0,2869000000.0,6766000000.0,772000000.0,6563000000.0,151000000.0,568000000.0,151000000.0,5777000000.0,1192000000.0,4585000000.0,4356000000.0,24.55,0.7022,0.6812,0.5996,0.4521,0.6737,7874000000.0,6563000000.0,25.9862,26.0696,26.0696,4585000000.0,4560000000.0,0.8172,0.628,FANG
2022-06-30 00:00:00,9108000000.0,2830000000.0,6278000000.0,620000000.0,6113000000.0,165000000.0,911000000.0,165000000.0,5084000000.0,1095000000.0,3989000000.0,3833000000.0,21.39,0.6893,0.6712,0.5582,0.4208,0.6406,7418000000.0,6113000000.0,22.4276,22.5109,22.5109,3989000000.0,3976000000.0,0.8144,0.5837,FANG
2022-03-31 00:00:00,8021000000.0,2315000000.0,5706000000.0,544000000.0,5090000000.0,183000000.0,272000000.0,183000000.0,3643000000.0,787000000.0,2856000000.0,2741000000.0,15.18,0.7114,0.6346,0.4542,0.3417,0.6604,6406000000.0,5090000000.0,15.9778,16.0487,16.0487,2856000000.0,2856000000.0,0.7987,0.5689,FANG
2021-12-31 00:00:00,6797000000.0,1772000000.0,5025000000.0,447000000.0,4001000000.0,199000000.0,-618000000.0,199000000.0,2907000000.0,631000000.0,2276000000.0,2182000000.0,12.16,0.7393,0.5886,0.4277,0.321,0.6952,5277000000.0,4001000000.0,12.8327,12.8848,12.8848,2276000000.0,2276000000.0,0.7764,0.5789,FANG
2021-09-30 00:00:00,5544000000.0,1256000000.0,4288000000.0,350000000.0,1944000000.0,220000000.0,-780000000.0,220000000.0,619000000.0,150000000.0,469000000.0,441000000.0,1.94,0.7734,0.3506,0.1117,0.0795,0.6825,3169000000.0,1944000000.0,2.1122,2.1237,2.1237,469000000.0,469000000.0,0.5716,0.572,FANG
2021-06-30 00:00:00,4354000000.0,710000000.0,3644000000.0,387000000.0,-476000000.0,216000000.0,-1181000000.0,216000000.0,-1657000000.0,-347000000.0,-1310000000.0,-1321000000.0,-8.67,0.8369,-0.1093,-0.3806,-0.3034,0.7432,696000000.0,-476000000.0,-8.6121,-8.6006,-8.6006,-1310000000.0,-1310000000.0,0.1599,0.5795,FANG
2021-03-31 00:00:00,3098000000.0,645000000.0,2453000000.0,288000000.0,-4103000000.0,205000000.0,-1068000000.0,205000000.0,-5171000000.0,-1122000000.0,-4049000000.0,-4025000000.0,-25.56,0.7918,-1.3244,-1.6691,-1.2992,0.634,-2928000000.0,-4103000000.0,-25.6983,-25.6887,-25.6887,-4049000000.0,-4049000000.0,-0.9451,0.611,FANG
2020-12-31 00:00:00,2813000000.0,670000000.0,2143000000.0,283000000.0,-5476000000.0,197000000.0,-300000000.0,197000000.0,-5776000000.0,-1104000000.0,-4672000000.0,-4517000000.0,-28.62,0.7618,-1.9467,-2.0533,-1.6058,0.7256,-4165000000.0,-5476000000.0,-29.5742,-29.5741,-29.5741,-4672000000.0,-4672000000.0,-1.4806,0.7529,FANG
2020-09-30 00:00:00,3148000000.0,709000000.0,2439000000.0,316000000.0,-5114000000.0,186000000.0,-300000000.0,186000000.0,-5414000000.0,-1026000000.0,-4388000000.0,-4265000000.0,-26.98,0.7748,-1.6245,-1.7198,-1.3548,0.9209,-3665000000.0,-5114000000.0,-27.6798,-27.685,-27.685,-4388000000.0,-4388000000.0,-1.1642,0.8266,FANG
2020-06-30 00:00:00,3403000000.0,727000000.0,2676000000.0,321000000.0,-3509000000.0,,-6000000.0,171000000.0,-3515000000.0,-620000000.0,-2895000000.0,-2784000000.0,-17.66,0.7864,-1.0311,-1.0329,-0.8181,0.8587,-1983000000.0,-3509000000.0,-18.2951,-18.2968,-18.2968,-2895000000.0,-2895000000.0,-0.5827,0.8431,FANG
2020-03-31 00:00:00,3999000000.0,717000000.0,3282000000.0,365000000.0,-426000000.0,,461000000.0,174000000.0,35000000.0,163000000.0,-128000000.0,-42000000.0,-0.37,0.8207,-0.1065,0.0088,-0.0105,0.7772,1114000000.0,-426000000.0,-0.8618,-0.8611,-0.8611,-128000000.0,-128000000.0,0.2786,0.803,FANG
2019-12-31 00:00:00,3964000000.0,669000000.0,3295000000.0,352000000.0,695000000.0,,-333000000.0,172000000.0,362000000.0,47000000.0,315000000.0,240000000.0,1.41,0.8312,0.1753,0.0913,0.0605,0.7051,2149000000.0,695000000.0,1.9225,1.9267,1.9267,315000000.0,315000000.0,0.5421,0.691,FANG
2019-09-30 00:00:00,3493000000.0,586000000.0,2907000000.0,308000000.0,1274000000.0,,75000000.0,171000000.0,1349000000.0,256000000.0,1093000000.0,1034000000.0,6.95,0.8322,0.3647,0.3862,0.296,-0.0166,2550000000.0,1274000000.0,7.3395,7.3596,7.3596,1093000000.0,1093000000.0,0.73,0.6482,FANG
2019-06-30 00:00:00,3055000000.0,482000000.0,2573000000.0,275000000.0,1193000000.0,,-131000000.0,152000000.0,1062000000.0,197000000.0,865000000.0,823000000.0,6.27,0.8422,0.3905,0.3476,0.2694,-0.1129,2251000000.0,1193000000.0,6.575,6.5946,6.5946,865000000.0,865000000.0,0.7368,0.6036,FANG
2019-03-31 00:00:00,2561000000.0,389000000.0,2172000000.0,237000000.0,1063000000.0,,-165000000.0,119000000.0,898000000.0,88000000.0,810000000.0,693000000.0,6.37,0.8481,0.4151,0.3506,0.2706,-0.1144,1893000000.0,1063000000.0,7.4644,7.4872,7.4872,810000000.0,810000000.0,0.7392,0.6259,FANG
2018-12-31 00:00:00,2176000000.0,303000000.0,1873000000.0,198000000.0,1011000000.0,,102000000.0,87000000.0,1113000000.0,168000000.0,945000000.0,846000000.0,7.96,0.8608,0.4646,0.5115,0.3888,-0.0092,1634000000.0,1011000000.0,9.0061,9.0325,9.0325,945000000.0,945000000.0,0.7509,0.7192,FANG
2018-09-30 00:00:00,1942083000.0,240650000.0,1701433000.0,172501000.0,1029643000.0,,-202186000.0,60338000.0,827457000.0,58607000.0,768850000.0,653298000.0,6.63,0.8761,0.5302,0.4261,0.3364,0.0119,1529134000.0,1029643000.0,7.7475,7.7637,7.7637,768850000.0,768850000.0,0.7874,0.7229,FANG
2018-06-30 00:00:00,1706336000.0,206069000.0,1500267000.0,155760000.0,904282000.0,,-197020000.0,50530000.0,707262000.0,16464000.0,690798000.0,569322000.0,5.78,0.8792,0.53,0.4145,0.3337,0.0027,1345369000.0,904282000.0,6.9615,6.9766,6.9766,690798000.0,690798000.0,0.7885,0.7376,FANG
2018-03-31 00:00:00,1448770000.0,171901000.0,1276869000.0,135531000.0,755590000.0,,-176621000.0,42775000.0,578969000.0,25043000.0,553926000.0,508727000.0,5.17,0.8813,0.5215,0.3996,0.3511,0.0271,1142809000.0,755590000.0,5.5835,5.5967,5.5967,553926000.0,553926000.0,0.7888,0.7262,FANG
2017-12-31 00:00:00,1205000000.0,150000000.0,1055000000.0,122000000.0,605000000.0,,-108000000.0,41000000.0,497000000.0,-20000000.0,517000000.0,482000000.0,4.98,0.8755,0.5021,0.4124,0.4,0.0174,936000000.0,605000000.0,5.2923,5.3049,5.3049,517000000.0,517000000.0,0.7768,0.7378,FANG
2017-09-30 00:00:00,990929000.0,131240000.0,859689000.0,106919000.0,478436000.0,,-58629000.0,50093000.0,419807000.0,4217000.0,415590000.0,393300000.0,4.13,0.8676,0.4828,0.4236,0.3969,0.0037,754968000.0,478436000.0,4.5164,4.5253,4.5253,415590000.0,415590000.0,0.7619,0.7506,FANG
2017-06-30 00:00:00,831807000.0,115844000.0,715963000.0,95691000.0,342490000.0,,-6088000.0,51135000.0,336402000.0,3728000.0,333042000.0,318046000.0,3.36,0.8607,0.4117,0.4044,0.3824,0.0324,575855000.0,342490000.0,3.6755,3.6825,3.6825,333042000.0,333042000.0,0.6923,0.727,FANG
2017-03-31 00:00:00,674856000.0,103121000.0,571735000.0,85603000.0,75396000.0,,-61454000.0,52909000.0,13942000.0,-4338000.0,11793000.0,4151000.0,-0.42,0.8472,0.1117,0.0207,0.0062,-0.0328,273172000.0,75396000.0,-0.184,-0.1807,-0.1807,11793000.0,11793000.0,0.4048,0.6449,FANG
2016-12-31 00:00:00,527107000.0,94034000.0,433073000.0,77075000.0,-68617000.0,,-96099000.0,50530000.0,-164716000.0,-87756000.0,-164908000.0,-165034000.0,-2.34,0.8216,-0.1302,-0.3125,-0.3131,-0.071,112115000.0,-68617000.0,-2.1966,-2.1966,-2.1966,-164908000.0,-164908000.0,0.2127,0.63,FANG
2016-09-30 00:00:00,456418000.0,86400000.0,370018000.0,74131000.0,-343509000.0,,-42793000.0,37838000.0,-386302000.0,,-380183000.0,-378041000.0,-5.46,0.8107,-0.7526,-0.8464,-0.8283,-0.0702,-165568000.0,-343508900.0,-5.6727,-5.6732,-5.6732,-380183000.0,-380183000.0,-0.3628,0.6644,FANG
2016-06-30 00:00:00,426233000.0,85254000.0,340979000.0,71592000.0,-604975000.0,,-18230000.0,34109000.0,-623205000.0,-204312000.0,-535625000.0,-532592000.0,-7.83,0.8,-1.4194,-1.4621,-1.2495,0.0462,-419449000.0,-604974900.0,-8.0563,-8.0568,-8.0568,-535625000.0,-535625000.0,-0.9841,0.7942,FANG
2016-03-31 00:00:00,432813000.0,86242000.0,346571000.0,69268000.0,-769309000.0,,-25227000.0,,-794536000.0,,-589856000.0,-589389000.0,-9.11,0.8007,-1.7775,-1.8357,-1.3618,0.1001,-566581000.0,-769308900.0,-9.3039,-9.3044,-9.3044,-589856000.0,-589856000.0,-1.3091,0.9014,FANG
2015-12-31 00:00:00,446733000.0,88716000.0,358017000.0,64958000.0,-740269000.0,,-8831000.0,,-749100000.0,-201310000.0,-547790000.0,-550628000.0,-8.55,0.8014,-1.6571,-1.6768,-1.2326,0.0123,-519971000.0,-740268900.0,-8.6925,-8.6925,-8.6925,-547790000.0,-547790000.0,-1.1639,0.9323,FANG
2015-09-30 00:00:00,463993000.0,93771000.0,370222000.0,64050000.0,-514557000.0,,114939000.0,,-399618000.0,-138580000.0,-261038000.0,-264545000.0,-4.01,0.7979,-1.109,-0.8613,-0.5701,-0.1515,-289230000.0,-514557000.0,-3.875,-3.854,-3.854,-261038000.0,-261038000.0,-0.6233,0.9569,FANG
2015-06-30 00:00:00,491174000.0,84559000.0,406615000.0,63007000.0,-196268000.0,,102772000.0,,-93496000.0,-33141000.0,-60355000.0,-64025000.0,-0.82,0.8278,-0.3996,-0.1904,-0.1304,-0.3644,21974000.0,-196268000.0,-0.6784,-0.6532,-0.6532,-60355000.0,-60355000.0,0.0447,0.8072,FANG
2015-03-31 00:00:00,499115000.0,73661000.0,425454000.0,60136000.0,166044000.0,,111531000.0,,277575000.0,98754000.0,178821000.0,176015000.0,3.18,0.8524,0.3327,0.5561,0.3527,-0.4498,367050000.0,166044000.0,3.3041,3.3332,3.3332,178821000.0,178821000.0,0.7354,0.7695,FANG
2014-12-31 00:00:00,495718000.0,58672000.0,437046000.0,53904000.0,212670000.0,,92286000.0,,304956000.0,108985000.0,195971000.0,193755000.0,3.57,0.8816,0.429,0.6152,0.3909,-0.3785,384800000.0,212670000.0,3.677,3.7098,3.7098,195971000.0,195971000.0,0.7762,0.7189,FANG
2014-09-30 00:00:00,440043000.0,40428000.0,399615000.0,46763000.0,212497000.0,,-31886000.0,30039000.0,180611000.0,64433000.0,116178000.0,115205000.0,2.28,0.9081,0.4829,0.4104,0.2618,-0.3093,354479000.0,212497000.0,2.2879,2.3018,2.3018,116178000.0,116178000.0,0.8056,0.7184,FANG
2014-06-30 00:00:00,358707000.0,30988000.0,327719000.0,36988000.0,178404000.0,,-42717000.0,21282000.0,135687000.0,49554000.0,86133000.0,86062000.0,1.82,0.9136,0.4974,0.3783,0.2399,-0.3679,292088000.0,178404000.0,1.8092,1.8212,1.8212,86133000.0,86133000.0,0.8143,0.7407,FANG
2014-03-31 00:00:00,277097000.0,25531000.0,251566000.0,29909000.0,134595000.0,,-19622000.0,14078000.0,114973000.0,42193000.0,72780000.0,72780000.0,1.64,0.9079,0.4857,0.4149,0.2627,-0.4374,222750000.0,134595000.0,1.6294,1.6405,1.6405,72780000.0,72780000.0,0.8039,0.7593,FANG
2013-12-31 00:00:00,208002000.0,22075000.0,185927000.0,23935000.0,95194000.0,,-8853000.0,8058000.0,86341000.0,31754000.0,54587000.0,54587000.0,1.3,0.8939,0.4577,0.4151,0.2624,-0.6928,162809000.0,95194000.0,1.2917,1.2992,1.2992,54587000.0,54587000.0,0.7827,0.7489,FANG
2013-09-30 00:00:00,157861000.0,21588000.0,136273000.0,23762000.0,59645000.0,,-2290000.0,2535000.0,57355000.0,,-17611000.0,-17611000.0,0.9,0.8632,0.3778,0.3633,-0.1116,-0.733,113015000.0,59645000.0,0.847,0.8529,0.8529,-17611000.0,-17611000.0,0.7159,0.6834,FANG
2013-06-30 00:00:00,116884000.0,19990000.0,96894000.0,21031000.0,34308000.0,,-196000.0,2576000.0,34112000.0,,-31755000.0,-31755000.0,,0.829,0.2935,0.2918,-0.2717,-0.7026,76318000.0,34308000.0,0.8746,0.8804,0.8804,-31755000.0,-31755000.0,0.6529,0.6573,FANG
2013-03-31 00:00:00,87520000.0,17856000.0,69664000.0,18057000.0,19232000.0,,6231000.0,3214000.0,25463000.0,,-32602000.0,-32602000.0,,0.796,0.2197,0.2909,-0.3725,-0.8826,52028000.0,19232000.0,,,,-32602000.0,-32602000.0,0.5945,0.537,FANG
2012-12-31 00:00:00,74962000.0,15671000.0,59291000.0,15613000.0,17307000.0,,1075000.0,3610000.0,18382000.0,,-36521000.0,-36521000.0,,0.7909,0.2309,0.2452,-0.4872,-0.6864,44074000.0,17307000.0,,,,-36521000.0,-36521000.0,0.588,0.6629,FANG
