Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,94681000000.0,74463000000.0,20218000000.0,32141000000.0,6038000000.0,671000000.0,-697000000.0,513000000.0,4593000000.0,1004000000.0,3589000000.0,3583000000.0,13.55,0.2135,0.0638,0.0485,0.0378,0.0313,10191000000.0,6038000000.0,13.6198,13.7454,13.7454,3589000000.0,3583000000.0,0.1076,0.0988,FDX
2022-05-31 00:00:00,93377000000.0,73345000000.0,20032000000.0,27374000000.0,6245000000.0,689000000.0,-604000000.0,531000000.0,4896000000.0,1070000000.0,3826000000.0,3819000000.0,14.31,0.2145,0.0669,0.0524,0.0409,0.0339,10324000000.0,6245000000.0,14.3834,14.5475,14.5475,3826000000.0,3819000000.0,0.1106,0.1053,FDX
2022-02-28 00:00:00,91548000000.0,61265000000.0,30283000000.0,27339000000.0,6118000000.0,664000000.0,1326000000.0,716000000.0,6825000000.0,1689000000.0,5136000000.0,5130000000.0,19.06,0.3308,0.0668,0.0746,0.056,0.0338,10186000000.0,6118000000.0,19.1185,19.4331,19.4331,5136000000.0,5130000000.0,0.1113,0.0991,FDX
2021-11-30 00:00:00,89417000000.0,48931000000.0,40486000000.0,27105000000.0,5797000000.0,688000000.0,1022000000.0,740000000.0,6499000000.0,1583000000.0,4916000000.0,4912000000.0,18.23,0.4528,0.0648,0.0727,0.0549,0.0325,9699000000.0,5797000000.0,18.226,18.5386,18.5386,4916000000.0,4912000000.0,0.1085,0.1005,FDX
2021-08-31 00:00:00,86576000000.0,36431000000.0,50145000000.0,26413000000.0,5665000000.0,717000000.0,1051000000.0,769000000.0,6525000000.0,1427000000.0,5098000000.0,5096000000.0,18.89,0.5792,0.0654,0.0754,0.0589,0.0422,9534000000.0,5665000000.0,18.8881,19.2429,19.2429,5098000000.0,5096000000.0,0.1101,0.1105,FDX
2021-05-31 00:00:00,83959000000.0,24556000000.0,59403000000.0,30173000000.0,5857000000.0,741000000.0,817000000.0,793000000.0,6674000000.0,1443000000.0,5231000000.0,5231000000.0,19.51,0.7075,0.0698,0.0795,0.0623,0.0518,9650000000.0,5857000000.0,19.5186,19.8143,19.8143,5231000000.0,5231000000.0,0.1149,0.1207,FDX
2021-02-28 00:00:00,78752000000.0,23059000000.0,55693000000.0,28632000000.0,4535000000.0,729000000.0,-793000000.0,784000000.0,3742000000.0,713000000.0,3029000000.0,3029000000.0,11.35,0.7072,0.0576,0.0475,0.0385,0.05,8715000000.0,4535000000.0,11.3203,11.4711,11.4711,3029000000.0,3029000000.0,0.1107,0.117,FDX
2020-11-30 00:00:00,74729000000.0,22080000000.0,52649000000.0,27004000000.0,3941000000.0,697000000.0,-828000000.0,752000000.0,3113000000.0,661000000.0,2452000000.0,2452000000.0,9.2,0.7045,0.0527,0.0417,0.0328,0.0382,8073000000.0,3941000000.0,9.2189,9.312,9.312,2452000000.0,2452000000.0,0.108,0.1104,FDX
2020-08-31 00:00:00,71490000000.0,21266000000.0,50224000000.0,25796000000.0,3030000000.0,,-751000000.0,719000000.0,2279000000.0,493000000.0,1786000000.0,1786000000.0,6.8,0.7025,0.0424,0.0319,0.025,0.0187,7127000000.0,3030000000.0,6.7987,6.8137,6.8137,1786000000.0,1786000000.0,0.0997,0.1005,FDX
2020-05-31 00:00:00,69217000000.0,20622000000.0,48595000000.0,25031000000.0,2417000000.0,,-748000000.0,672000000.0,1669000000.0,383000000.0,1286000000.0,1286000000.0,4.94,0.7021,0.0349,0.0241,0.0186,-0.0108,6467000000.0,2417000000.0,4.9084,4.9272,4.9272,1286000000.0,1286000000.0,0.0934,0.0736,FDX
