Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2695845000.0,558090000.0,2137755000.0,537037000.0,1201149000.0,403791900.0,7025000.0,,385393000.0,63233000.0,322160000.0,322160000.0,5.29,0.793,0.1498,0.143,0.1195,0.171,612664000.0,403792000.0,5.2729,5.3449,5.3449,322160000.0,322160000.0,0.2273,0.1835,FFIV
2022-06-30 00:00:00,2677809000.0,562114000.0,2115695000.0,529546000.0,1182718000.0,422626000.0,1633000.0,,409175000.0,65643000.0,343532000.0,343532000.0,5.6,0.7901,0.1578,0.1528,0.1283,0.1886,633616000.0,422626000.0,5.5746,5.6792,5.6792,343532000.0,343532000.0,0.2366,0.2006,FFIV
2022-03-31 00:00:00,2654836000.0,542595000.0,2112241000.0,524092000.0,1186080000.0,411574100.0,5691000.0,,402181000.0,52064000.0,350117000.0,350117000.0,5.72,0.7956,0.155,0.1515,0.1319,0.2272,603366000.0,411574100.0,5.662,5.7835,5.7835,350117000.0,350117000.0,0.2273,0.2394,FFIV
2021-12-31 00:00:00,2665899000.0,535121000.0,2130778000.0,528707000.0,1211448000.0,390428100.0,6248000.0,1700000.0,381592000.0,44470000.0,337122000.0,337122000.0,5.51,0.7993,0.1465,0.1431,0.1265,0.221,561807000.0,390428100.0,5.4419,5.5679,5.5679,337122000.0,337122000.0,0.2107,0.2347,FFIV
2021-09-30 00:00:00,2603416000.0,505613000.0,2097803000.0,512627000.0,1189451000.0,394025200.0,-5788000.0,2500000.0,386937000.0,55696000.0,331241000.0,331241000.0,5.43,0.8058,0.1513,0.1486,0.1272,0.2411,529643000.0,394025200.0,5.3378,5.4565,5.4565,331241000.0,331241000.0,0.2034,0.2529,FFIV
2021-06-30 00:00:00,2536235100.0,476435000.0,2059800100.0,508227000.0,1185299000.0,366274100.0,-5313000.0,3200000.0,360961000.0,62775000.0,298186000.0,298186000.0,4.9,0.8121,0.1444,0.1423,0.1176,0.232,477779100.0,366274100.0,4.8103,4.8973,4.8973,298186000.0,298186000.0,0.1884,0.2461,FFIV
2021-03-31 00:00:00,2467972100.0,461571000.0,2006401100.0,490935000.0,1157983000.0,357483100.0,-3009000.0,5100000.0,354474000.0,76020000.0,278454000.0,278454000.0,4.56,0.813,0.1448,0.1436,0.1128,0.2279,466413100.0,357483100.0,4.4875,4.5544,4.5544,278454000.0,278454000.0,0.189,0.2435,FFIV
2020-12-31 00:00:00,2406134100.0,434224000.0,1971910100.0,459510000.0,1124720000.0,387680100.0,-1773000.0,,385907000.0,89315000.0,296592000.0,296592000.0,4.86,0.8195,0.1611,0.1604,0.1233,0.2543,492218100.0,387680100.0,4.7966,4.85,4.85,296592000.0,296592000.0,0.2046,0.2719,FFIV
2020-09-30 00:00:00,2350822100.0,407887000.0,1942935100.0,441324000.0,1101544000.0,392267100.0,4130000.0,,396397000.0,88956000.0,307441000.0,307441000.0,5.05,0.8265,0.1669,0.1686,0.1308,0.2556,488124100.0,392267100.0,5.0089,5.0474,5.0474,307441000.0,307441000.0,0.2076,0.2811,FFIV
2020-06-30 00:00:00,2326393900.0,386838000.0,1939555900.0,423836000.0,1099552000.0,408367900.0,8617000.0,,416985000.0,92370000.0,324615000.0,324615000.0,5.35,0.8337,0.1755,0.1792,0.1395,0.2677,499566900.0,408368000.0,5.3182,5.3514,5.3514,324615000.0,324615000.0,0.2147,0.2971,FFIV
