Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4582576000.0,3041200100.0,1541376000.0,150734000.0,639264000.0,634583000.0,91000000.0,-46998000.0,44832000.0,587585000.0,106644000.0,480941000.0,429150000.0,6.78,0.3364,0.1385,0.1282,0.0936,-0.0144,783575000.0,634583000.0,7.439,7.5922,7.5922,480941000.0,480941000.0,0.171,0.0042,GNRC
2022-06-30 00:00:00,4437016000.0,2920750100.0,1516265900.0,137914000.0,554463000.0,720638900.0,73000000.0,-39730000.0,37298000.0,680909000.0,127661000.0,553248000.0,500118000.0,7.92,0.3417,0.1624,0.1535,0.1127,0.0112,853353900.0,720638900.0,8.566,8.7541,8.7541,553248000.0,553248000.0,0.1923,0.0338,GNRC
2022-03-31 00:00:00,4065606000.0,2666590100.0,1399015900.0,121659000.0,502184000.0,686746900.0,61000000.0,-35030000.0,34784000.0,651717000.0,128197000.0,523520000.0,486187000.0,7.74,0.3441,0.1689,0.1603,0.1196,0.0344,801591900.0,686746900.0,8.1259,8.3211,8.3211,523520000.0,523520000.0,0.1972,0.0611,GNRC
2021-12-31 00:00:00,3737184000.0,2377102100.0,1360081900.0,104303000.0,463292000.0,721135900.0,56000000.0,-29610000.0,32953000.0,691526000.0,134957000.0,556569000.0,533392000.0,8.52,0.3639,0.193,0.185,0.1427,0.0807,815765900.0,721135900.0,8.6621,8.8786,8.8786,556569000.0,556569000.0,0.2183,0.11,GNRC
2021-09-30 00:00:00,3431194900.0,2133450100.0,1297744800.0,96386000.0,442062000.0,716708900.0,47000000.0,-27775000.0,31334000.0,688934000.0,153347000.0,535587000.0,527947000.0,8.45,0.3782,0.2089,0.2008,0.1539,0.1318,800675900.0,716708900.0,8.3533,8.5675,8.5675,535587000.0,535587000.0,0.2334,0.1654,GNRC
2021-06-30 00:00:00,3189851900.0,1951952100.0,1237899800.0,89879000.0,410980000.0,698766900.0,45099000.0,-27912000.0,31450000.0,670855000.0,152786000.0,518069000.0,519715000.0,8.33,0.3881,0.2191,0.2103,0.1629,0.1751,776693900.0,698766900.0,8.0931,8.298,8.298,518069000.0,518069000.0,0.2435,0.2033,GNRC
2021-03-31 00:00:00,2816718900.0,1709571100.0,1107147800.0,83990000.0,382901000.0,605367900.0,44435000.0,-26719000.0,31661000.0,578649000.0,124897000.0,453752000.0,455507000.0,7.31,0.3931,0.2149,0.2054,0.1617,0.1957,678863900.0,605367900.0,7.1009,7.2762,7.2762,453752000.0,453752000.0,0.241,0.2229,GNRC
2020-12-31 00:00:00,2485199900.0,1527546100.0,957653800.0,80251000.0,364606000.0,479105900.0,31551000.0,-32915000.0,32991000.0,446191000.0,98973000.0,347218000.0,349329000.0,5.61,0.3853,0.1928,0.1795,0.1406,0.1708,550476900.0,479105900.0,5.4476,5.5751,5.5751,347218000.0,347218000.0,0.2215,0.1958,GNRC
2020-09-30 00:00:00,2315049900.0,1435375900.0,879674000.0,78250000.0,355028000.0,412559900.0,,-46996000.0,35197000.0,365564000.0,73390000.0,292174000.0,293970000.0,4.73,0.38,0.1782,0.1579,0.127,0.0625,431932900.0,412560000.0,4.5929,4.6964,4.6964,292174000.0,292174000.0,0.1866,0.0644,GNRC
2020-06-30 00:00:00,2214829900.0,1393787900.0,821042000.0,75195000.0,350018000.0,362478900.0,,-49239000.0,37805000.0,313240000.0,61404000.0,251836000.0,252278000.0,4.07,0.3707,0.1637,0.1414,0.1139,0.0439,380744900.0,362479000.0,3.9788,4.0568,4.0568,251836000.0,251836000.0,0.1719,0.0474,GNRC
