Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21375000000.0,14248000000.0,7128000000.0,5505677000.0,1604721100.0,115000000.0,42000000.0,72615000.0,1582000000.0,395000000.0,1186723900.0,1187000000.0,8.33,0.3335,0.0751,0.074,0.0555,0.0592,1998000000.0,1604721100.0,8.3212,,8.3696,,8.3735,1186723900.0,,1187000000.0,0.0935,0.0699,GPC
2022-06-30 00:00:00,20519000000.0,13646000000.0,6874000000.0,5329259000.0,1471774900.0,146000000.0,76000000.0,68562000.0,1463000000.0,359000000.0,1102950900.0,1104000000.0,7.72,0.335,0.0717,0.0713,0.0538,0.0566,1908000000.0,1471774900.0,7.7151,,7.7595,,7.7634,1102950900.0,,1104000000.0,0.093,0.0655,GPC
2022-03-31 00:00:00,19700738000.0,13012633000.0,6688105000.0,5314553000.0,1224578600.0,141000000.0,59808000.0,63676000.0,1240607000.0,313111000.0,926917900.0,927496000.0,6.46,0.3395,0.0622,0.063,0.0471,0.0546,1621758800.0,1224578600.0,6.4526,,6.4909,,6.4948,926917900.0,,927496000.0,0.0823,0.0688,GPC
2021-12-31 00:00:00,18870452000.0,12380532000.0,6489920000.0,5105738000.0,1162919900.0,140000000.0,41221000.0,62150000.0,1200466000.0,301260000.0,898789900.0,899206000.0,6.25,0.3439,0.0616,0.0636,0.0477,0.054,1518500600.0,1162919900.0,6.2299,,6.2662,,6.2701,898789900.0,,899206000.0,0.0805,0.0667,GPC
2021-09-30 00:00:00,18319047000.0,12002016000.0,6317031000.0,4958770000.0,1059760800.0,134000000.0,53847000.0,66683000.0,1080012000.0,265174000.0,814423000.0,814410000.0,5.65,0.3448,0.0579,0.059,0.0445,0.0786,1409181000.0,1059760300.0,5.6455,,5.6624,,5.6701,814423000.0,,814410000.0,0.0769,0.0871,GPC
2021-06-30 00:00:00,17870133000.0,11664036000.0,6206097000.0,4816926000.0,1066378900.0,109000000.0,12300000.0,78304000.0,1078677000.0,259921000.0,818756000.0,812941000.0,5.64,0.3473,0.0597,0.0604,0.0455,0.093,1351489900.0,1066378400.0,5.6636,,5.6396,,5.6802,818756000.0,,812941000.0,0.0756,0.1006,GPC
2021-03-31 00:00:00,16909622000.0,11102143000.0,5807479000.0,4439206000.0,514665500.0,119000000.0,-10029000.0,88407000.0,504634000.0,245875000.0,258759000.0,52073000.0,0.37,0.3434,0.0304,0.0298,0.0031,0.1275,1299270500.0,514665000.0,1.7883,-1.43,0.3649,,1.7976,258759000.0,-206686000.0,52073000.0,0.0768,0.1353,GPC
2020-12-31 00:00:00,16537434000.0,10882592000.0,5654842000.0,4386739000.0,414945800.0,120000000.0,-35575000.0,91048000.0,379368000.0,215973000.0,163395000.0,-29102000.0,-0.2,0.3419,0.0251,0.0229,-0.0018,0.1136,1194508800.0,414945300.0,1.13,-1.33,-0.2014,-1.33,1.13,163395000.0,-192497000.0,-29102000.0,0.0722,0.1218,GPC
2020-09-30 00:00:00,16088026000.0,10517716000.0,5570310000.0,4325152000.0,302731400.0,114000000.0,-67216000.0,90027000.0,235515100.0,179302000.0,56213000.0,-191388000.0,-1.33,0.3462,0.0188,0.0146,-0.0119,0.0871,1082831400.0,302730400.0,0.3776,-1.72,-1.3288,-1.7,0.3723,56213000.0,-247601000.0,-191388000.0,0.0673,0.0983,GPC
2020-06-30 00:00:00,16243224000.0,10695747000.0,5547477000.0,4360695000.0,263194800.0,,-41465000.0,90690000.0,221729100.0,186178000.0,35551000.0,-191432000.0,-1.35,0.3415,0.0162,0.0137,-0.0118,0.0787,1039864800.0,263193800.0,0.2176,-1.57,-1.3432,-1.57,0.2223,35551000.0,-226983000.0,-191432000.0,0.064,0.0927,GPC
2020-03-31 00:00:00,16877928000.0,11138234000.0,5739694000.0,4516402000.0,841320300.0,,-32956000.0,88487000.0,808364100.0,199793000.0,608571000.0,597370000.0,4.1,0.3401,0.0498,0.0479,0.0354,0.0327,1103860300.0,841319300.0,4.1676,-0.08,4.1053,-0.08,4.1823,608571000.0,-11201000.0,597370000.0,0.0654,0.0473,GPC
2019-12-31 00:00:00,17522235000.0,11662551000.0,5859684000.0,4577610000.0,910911100.0,,-51628000.0,91405000.0,859283100.0,212808000.0,646475000.0,621085000.0,4.26,0.3344,0.052,0.049,0.0354,0.033,1168174100.0,910910100.0,4.42,,4.2617,,4.44,646475000.0,,621085000.0,0.0667,0.0475,GPC
2019-09-30 00:00:00,16420373000.0,10846140000.0,5574233000.0,4346849000.0,972071300.0,,-21167000.0,99723000.0,950903000.0,243119000.0,707784000.0,798866000.0,5.48,0.3395,0.0592,0.0579,0.0487,0.0318,1208727300.0,972071800.0,4.829,,5.4725,,4.857,707784000.0,,798866000.0,0.0736,0.0493,GPC
2019-06-30 00:00:00,16618011000.0,11064776000.0,5553235000.0,4290416000.0,1008343800.0,,-49584000.0,98356000.0,958759000.0,243004000.0,715755000.0,791606000.0,5.42,0.3342,0.0607,0.0577,0.0476,0.0367,1240414800.0,1008344300.0,4.8725,,5.4104,,4.8976,715755000.0,,791606000.0,0.0746,0.0511,GPC
2019-03-31 00:00:00,16982145000.0,11390028000.0,5592117000.0,4311337000.0,1032384900.0,,-55553000.0,101570000.0,976831000.0,243623000.0,733208000.0,794148000.0,5.43,0.3293,0.0608,0.0575,0.0468,0.0446,1263582800.0,1032385400.0,4.9838,,5.4207,,5.0043,733208000.0,,794148000.0,0.0744,0.0577,GPC
2018-12-31 00:00:00,16831606000.0,11311850000.0,5519756000.0,4241203000.0,1035039700.0,,-40401000.0,101796000.0,994638000.0,245104000.0,749534000.0,810474000.0,5.53,0.3279,0.0615,0.0591,0.0482,0.0502,1262623600.0,1035040200.0,5.09,,5.5264,,5.11,749534000.0,,810474000.0,0.075,0.0628,GPC
2018-09-30 00:00:00,18338356000.0,12612654000.0,5725702000.0,4411688000.0,1070009600.0,,-26686000.0,93892000.0,1043326000.0,311368000.0,731958000.0,731958000.0,4.99,0.3122,0.0583,0.0569,0.0399,0.0582,1297956500.0,1070010100.0,4.9698,,4.9898,,4.9898,731958000.0,,731958000.0,0.0708,0.0653,GPC
2018-06-30 00:00:00,17711340000.0,12242983000.0,5468357000.0,4223922000.0,1022667800.0,,-24724000.0,77846000.0,997946000.0,327773000.0,670173000.0,670173000.0,4.57,0.3087,0.0577,0.0563,0.0378,0.0439,1229808700.0,1022668300.0,4.5525,,4.5691,,4.5691,670173000.0,,670173000.0,0.0694,0.0522,GPC
2018-03-31 00:00:00,16989453000.0,11802970000.0,5186483000.0,3982648000.0,1002407000.0,,-7597000.0,58816000.0,994812000.0,361639000.0,633173000.0,633173000.0,4.31,0.3053,0.059,0.0586,0.0373,0.0417,1190329000.0,1002407500.0,4.2978,,4.314,,4.314,633173000.0,,633173000.0,0.0701,0.0501,GPC
2017-12-31 00:00:00,16308800000.0,11402403000.0,4906397000.0,3726233000.0,998540500.0,,10726000.0,41486000.0,1009268000.0,392511000.0,616757000.0,616757000.0,4.19,0.3008,0.0612,0.0619,0.0378,0.0417,1166231500.0,998541000.0,4.1756,,4.1916,,4.1916,616757000.0,,616757000.0,0.0715,0.05,GPC
2017-09-30 00:00:00,15881790000.0,11128384000.0,4753406000.0,3585546900.0,990282000.0,,,,1023553000.0,362459000.0,661094000.0,661094000.0,4.48,0.2993,0.0624,0.0644,0.0416,0.0381,1147162000.0,990282200.0,4.4624,,4.48,,4.48,661094000.0,,661094000.0,0.0722,0.047,GPC
2017-06-30 00:00:00,15727627000.0,11002510000.0,4725117000.0,3523608900.0,1030032900.0,,,,1068555000.0,380577000.0,687978000.0,687978000.0,4.64,0.3004,0.0655,0.0679,0.0437,0.0397,1184318900.0,1030033100.0,4.624,,4.6447,,4.6447,687978000.0,,687978000.0,0.0753,0.0484,GPC
2017-03-31 00:00:00,15527087000.0,10876230000.0,4650857000.0,3446154900.0,1039093700.0,,,,1071470000.0,382095000.0,689375000.0,689375000.0,4.63,0.2995,0.0669,0.069,0.0444,0.0495,1190058700.0,1039093900.0,4.6129,,4.6354,,4.6354,689375000.0,,689375000.0,0.0766,0.0588,GPC
