Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6969000000.0,354000000.0,6940000000.0,4425000000.0,2461000000.0,2461000000.0,459000000.0,2002000000.0,1885000000.0,1.3,0.9958,0.0,0.3531,0.2705,0.3336,1.3488,1.3698,1.3698,2002000000.0,2002000000.0,0.0,0.3702,HBAN
2022-06-30 00:00:00,6738000000.0,214000000.0,6733000000.0,4493000000.0,2186000000.0,2186000000.0,403000000.0,1783000000.0,1653000000.0,1.13,0.9993,0.0,0.3244,0.2453,0.3249,1.1954,1.2144,1.2144,1783000000.0,1783000000.0,0.0,0.3651,HBAN
2022-03-31 00:00:00,6379000000.0,241000000.0,6269000000.0,4693000000.0,1524000000.0,1524000000.0,297000000.0,1227000000.0,1084000000.0,1.19,0.9828,0.0,0.2389,0.1699,0.3684,0.8124,0.8257,0.8257,1227000000.0,1227000000.0,0.0,0.4151,HBAN
2021-12-31 00:00:00,5947000000.0,89000000.0,5991000000.0,4352000000.0,1591000000.0,1591000000.0,294000000.0,1297000000.0,1153000000.0,1.38,1.0074,0.0,0.2675,0.1939,0.3151,1.0079,1.0273,1.0273,1297000000.0,1297000000.0,0.0,0.3567,HBAN
2021-09-30 00:00:00,5601000000.0,92000000.0,5578000000.0,4058000000.0,1476000000.0,1476000000.0,265000000.0,1211000000.0,1057000000.0,1.4,0.9959,0.0,0.2635,0.1887,0.2828,1.057,1.0785,1.0785,1211000000.0,1211000000.0,0.0,0.3174,HBAN
2021-06-30 00:00:00,5252000000.0,122000000.0,5130000000.0,3723000000.0,1366000000.0,1366000000.0,230000000.0,1136000000.0,999000000.0,1.45,0.9768,0.0,0.2601,0.1902,0.2727,1.0967,1.118,1.118,1136000000.0,1136000000.0,0.0,0.3048,HBAN
2021-03-31 00:00:00,5166000000.0,135000000.0,5031000000.0,3443000000.0,1548000000.0,1548000000.0,247000000.0,1301000000.0,1188000000.0,1.17,0.9739,0.0,0.2997,0.23,0.113,1.2558,1.2789,1.2789,1301000000.0,1301000000.0,0.0,0.1382,HBAN
2020-12-31 00:00:00,5238000000.0,423000000.0,4815000000.0,3802000000.0,972000000.0,972000000.0,155000000.0,817000000.0,717000000.0,0.71,0.9192,0.0,0.1856,0.1369,0.2299,0.7912,0.8033,0.8033,817000000.0,817000000.0,0.0,0.2526,HBAN
2020-09-30 00:00:00,5334000000.0,601000000.0,4733000000.0,3721000000.0,969000000.0,969000000.0,151000000.0,818000000.0,734000000.0,0.72,0.8873,0.0,0.1817,0.1376,0.3427,0.789,0.8012,0.8012,818000000.0,818000000.0,0.0,0.3628,HBAN
2020-06-30 00:00:00,5453000000.0,779000000.0,4674000000.0,3579000000.0,1050000000.0,1050000000.0,163000000.0,887000000.0,813000000.0,0.79,0.8571,0.0,0.1926,0.1491,0.2434,0.8491,0.8627,0.8627,887000000.0,887000000.0,0.0,0.2626,HBAN
2020-03-31 00:00:00,5602000000.0,925000000.0,4677000000.0,3334000000.0,1296000000.0,1296000000.0,195000000.0,1101000000.0,1028000000.0,0.99,0.8349,0.0,0.2313,0.1835,0.2644,1.0466,1.0635,1.0635,1101000000.0,1101000000.0,0.0,0.2811,HBAN
2019-12-31 00:00:00,5655000000.0,988000000.0,4667000000.0,2959000000.0,1659000000.0,1659000000.0,248000000.0,1411000000.0,1337000000.0,1.28,0.8253,0.0,0.2934,0.2364,0.2594,1.3361,1.3582,1.3582,1411000000.0,1411000000.0,0.0,0.2783,HBAN
2019-09-30 00:00:00,5657000000.0,980000000.0,4677000000.0,2949000000.0,1678000000.0,1678000000.0,250000000.0,1428000000.0,1354000000.0,1.29,0.8268,0.0,0.2966,0.2393,0.2386,1.3441,1.3666,1.3666,1428000000.0,1428000000.0,0.0,0.2616,HBAN
2019-06-30 00:00:00,5565000000.0,932000000.0,4633000000.0,2903000000.0,1679000000.0,1679000000.0,245000000.0,1434000000.0,1360000000.0,1.28,0.8325,0.0,0.3017,0.2444,0.333,1.3327,1.3557,1.3557,1434000000.0,1434000000.0,0.0,0.3551,HBAN
