Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4863000000.0,1911000000.0,2953000000.0,284000000.0,1038000000.0,1640200400.0,96000000.0,39000000.0,13000000.0,1587000000.0,287000000.0,1302000000.0,1302000000.0,5.12,0.6072,0.3373,0.3263,0.2677,0.411,2061000000.0,1640200200.0,5.1291,5.1763,5.1763,1302000000.0,1302000000.0,0.4238,0.4371,HOLX
2022-06-30 00:00:00,5227000000.0,1960000000.0,3267000000.0,285000000.0,1076400000.0,1938699700.0,95000000.0,-12000000.0,4000000.0,1855000000.0,344000000.0,1512100000.0,1512000000.0,5.93,0.625,0.3709,0.3549,0.2893,0.4368,2347000000.0,1938699500.0,5.9395,5.9959,5.9959,1512100000.0,1512000000.0,0.449,0.4635,HOLX
2022-03-31 00:00:00,5392300000.0,1962700000.0,3429600000.0,289000000.0,1092200000.0,2033399800.0,94000000.0,1900000.0,23600000.0,1944500000.0,393400000.0,1551800000.0,1552400000.0,6.08,0.636,0.3771,0.3606,0.2879,0.4817,2467700100.0,2033399600.0,6.0739,6.1314,6.1314,1551800000.0,1552100000.0,0.4576,0.5108,HOLX
2021-12-31 00:00:00,5493900000.0,1914500000.0,3580400000.0,290500000.0,1040700000.0,2236099900.0,92000000.0,-16400000.0,43900000.0,2151000000.0,435500000.0,1715500000.0,1716300000.0,6.68,0.6517,0.407,0.3915,0.3124,0.3814,2659700100.0,2236099700.0,6.6529,6.7164,6.7164,1715500000.0,1715500000.0,0.4841,0.4086,HOLX
2021-09-30 00:00:00,5632700000.0,1847900000.0,3784800000.0,276800000.0,994900000.0,2480300000.0,94000000.0,-95500000.0,71000000.0,2361400000.0,491500000.0,1869700000.0,1871700000.0,7.26,0.6719,0.4403,0.4192,0.3323,0.381,2893000100.0,2480299800.0,7.1993,7.2738,7.2738,1869700000.0,1869900000.0,0.5136,0.4137,HOLX
2021-06-30 00:00:00,5662600000.0,1763000100.0,3899599800.0,256700000.0,921300100.0,2673700400.0,96000000.0,-106100000.0,96000000.0,2567600000.0,533200000.0,2034400000.0,2037599900.0,7.88,0.6887,0.4722,0.4534,0.3598,0.3709,3057100300.0,2673700400.0,7.7936,7.871,7.871,2034400000.0,2034400000.0,0.5399,0.4074,HOLX
2021-03-31 00:00:00,5317200000.0,1653100100.0,3664099800.0,242800000.0,870100100.0,2506100300.0,101000000.0,-107600000.0,101800000.0,2398500000.0,495800000.0,1902700000.0,1907099900.0,7.36,0.6891,0.4713,0.4511,0.3587,0.3407,2882000200.0,2506100300.0,7.2793,7.3496,7.3496,1902700000.0,1902700000.0,0.542,0.3512,HOLX
2020-12-31 00:00:00,4535700000.0,1561600100.0,2974099800.0,220600000.0,827300100.0,1865700200.0,111000000.0,-128800000.0,111800000.0,1736900000.0,358800000.0,1378100000.0,1383499900.0,5.33,0.6557,0.4113,0.3829,0.305,0.3092,2240100100.0,1865700200.0,5.2622,5.3133,5.3133,1378100000.0,1378100000.0,0.4939,0.3159,HOLX
2020-09-30 00:00:00,3776400000.0,1548900100.0,2227499800.0,222500000.0,840300100.0,1105000000.0,116000000.0,-103100000.0,116500000.0,1001900000.0,-108600000.0,1110500000.0,1115199900.0,4.24,0.5898,0.2926,0.2653,0.2953,0.2329,1481000000.0,1105000000.0,4.1967,4.2268,4.2268,1110500000.0,1110500000.0,0.3922,0.2374,HOLX
2020-06-30 00:00:00,3295299900.0,1750000000.0,1545299900.0,225900000.0,844600000.0,385799900.0,,-123700000.0,126300000.0,262100000.0,-231400000.0,493500000.0,496800000.0,2.49,0.4689,0.1171,0.0795,0.1508,0.2171,1060899900.0,385800000.0,1.8593,1.8683,1.8683,493500000.0,493500000.0,0.3219,0.2131,HOLX
2020-03-31 00:00:00,3324799900.0,1800800000.0,1523999900.0,232200000.0,859300000.0,340099900.0,,-132100000.0,134000000.0,208000000.0,-243000000.0,451000000.0,452800000.0,2.31,0.4584,0.1023,0.0626,0.1362,0.1572,754899900.0,340100000.0,1.6836,1.6926,1.6926,451000000.0,451000000.0,0.2271,0.1934,HOLX
2019-12-31 00:00:00,3387099900.0,2216500000.0,1170599900.0,240200000.0,905100000.0,-139500000.0,,-125100000.0,137500000.0,-264600000.0,-348200000.0,83600000.0,83900000.0,0.93,0.3456,-0.0412,-0.0781,0.0248,0.1597,299200100.0,-139499900.0,0.3127,0.32,0.32,83600000.0,83600000.0,0.0883,0.1945,HOLX
2019-09-30 00:00:00,3367299900.0,2196400000.0,1170899900.0,232200000.0,897200000.0,-123799900.0,,-133900000.0,140800000.0,-257700000.0,-54100000.0,-203600000.0,-203600000.0,-0.15,0.3477,-0.0368,-0.0765,-0.0605,0.158,339300200.0,-123799800.0,-0.7557,-0.7557,-0.7557,-203600000.0,-203600000.0,0.1008,0.1929,HOLX
2019-06-30 00:00:00,3314999900.0,1972600000.0,1342399900.0,224600000.0,923100000.0,61700000.0,,-125500000.0,140300000.0,-63800000.0,-34200000.0,-29600000.0,-29600000.0,-0.11,0.4049,0.0186,-0.0192,-0.0089,0.1556,250500100.0,61700200.0,-0.1074,-0.126,-0.126,-29600000.0,-29600000.0,0.0756,0.1913,HOLX
2019-03-31 00:00:00,3286599900.0,1953000000.0,1333599900.0,217600000.0,927000000.0,49500000.0,,-122300000.0,139700000.0,-72800000.0,-62200000.0,-10600000.0,-10600000.0,-0.05,0.4058,0.0151,-0.0222,-0.0032,0.1813,525500200.0,49500200.0,-0.0445,-0.0627,-0.0627,-10600000.0,-10600000.0,0.1599,0.2144,HOLX
2018-12-31 00:00:00,3257499900.0,1551200000.0,1706299900.0,217100000.0,917900000.0,-231500100.0,,-178600000.0,143800000.0,-410100000.0,9300000.0,-419400000.0,-419400000.0,-1.5,0.5238,-0.0711,-0.1259,-0.1287,0.1725,246400000.0,-231499900.0,-1.4909,-1.5091,-1.5091,-419400000.0,-419400000.0,0.0756,0.2052,HOLX
2018-09-30 00:00:00,3217899900.0,1521200000.0,1696699900.0,218700000.0,910700000.0,-237900100.0,,-180700000.0,148700000.0,-418600000.0,-307300000.0,-111300000.0,-111300000.0,-0.39,0.5273,-0.0739,-0.1301,-0.0346,0.1949,242400000.0,-237899900.0,-0.4045,-0.4045,-0.4045,-111300000.0,-111300000.0,0.0753,0.2278,HOLX
2018-06-30 00:00:00,3207300100.0,1513800100.0,1693500100.0,226500000.0,889500000.0,-227600100.0,,-190000000.0,150600000.0,-417600000.0,-338500000.0,-79100000.0,-79100000.0,-0.28,0.528,-0.071,-0.1302,-0.0247,-0.4069,254100000.0,-227600300.0,-0.3091,-0.2796,-0.2796,-79100000.0,-79100000.0,0.0792,0.208,HOLX
2018-03-31 00:00:00,3189400100.0,1522300100.0,1667100100.0,234600000.0,873000000.0,-245700100.0,,-202700000.0,155200000.0,-448400000.0,-315900000.0,-132500000.0,-132500000.0,-0.48,0.5227,-0.077,-0.1406,-0.0415,-0.0267,233799900.0,-245700300.0,-0.5119,-0.4802,-0.4802,-132500000.0,-132500000.0,0.0733,0.0067,HOLX
2017-12-31 00:00:00,3115500100.0,1474800100.0,1640700100.0,233200000.0,879500000.0,1358300000.0,,-148100000.0,153800000.0,1210200000.0,134500000.0,1075700000.0,1075700000.0,3.86,0.5266,0.436,0.3884,0.3453,-0.0311,1813400000.0,1358299800.0,3.7889,3.8587,3.8587,1075700000.0,1075700000.0,0.5821,0.0025,HOLX
2017-09-30 00:00:00,3058800100.0,1437800100.0,1621000100.0,232800000.0,841900000.0,1370200100.0,,-139700000.0,153200000.0,1230500000.0,475000000.0,755500000.0,755500000.0,2.7,0.5299,0.448,0.4023,0.247,-0.0325,1819400000.0,1370199900.0,2.6448,2.7001,2.7001,755500000.0,755500000.0,0.5948,0.0027,HOLX
2017-06-30 00:00:00,2982699700.0,1373499900.0,1609199800.0,234800000.0,782800000.0,1407800000.0,,-142000000.0,154900000.0,1265800000.0,500800000.0,765000000.0,765000000.0,2.73,0.5395,0.472,0.4244,0.2565,0.6134,1851099900.0,1407800200.0,2.6786,2.7337,2.7337,765000000.0,765000000.0,0.6206,0.0235,HOLX
2017-03-31 00:00:00,2893999700.0,1301299900.0,1592699800.0,231100000.0,743400000.0,1432200000.0,,-139800000.0,154900000.0,1292400000.0,502100000.0,790300000.0,790300000.0,2.83,0.5503,0.4949,0.4466,0.2731,0.2166,1878099900.0,1432200200.0,2.7721,2.827,2.827,790300000.0,790300000.0,0.649,0.252,HOLX
2016-12-31 00:00:00,2871899700.0,1282899900.0,1588999800.0,234800000.0,685800000.0,568500000.0,,-151800000.0,156500000.0,416700000.0,84300000.0,332400000.0,332400000.0,1.19,0.5533,0.198,0.1451,0.1157,0.2427,1033299900.0,568500200.0,1.1696,1.1909,1.1909,332400000.0,332400000.0,0.3598,0.2773,HOLX
2016-09-30 00:00:00,2832699700.0,1269399900.0,1563299800.0,232100000.0,682400000.0,548599900.0,,-133300000.0,155300000.0,415300000.0,84500000.0,330800000.0,330800000.0,1.18,0.5519,0.1937,0.1466,0.1168,0.2484,1013999900.0,548600100.0,1.1561,1.1805,1.1805,330800000.0,330800000.0,0.358,0.2818,HOLX
2016-06-30 00:00:00,2808700000.0,1272100000.0,1536600000.0,223200000.0,677100000.0,527400200.0,,-194100000.0,168600000.0,333300000.0,69500000.0,263800000.0,263800000.0,0.94,0.5471,0.1878,0.1187,0.0939,0.2545,1000500200.0,527400100.0,0.9153,0.9383,0.9383,263800000.0,263800000.0,0.3562,0.2894,HOLX
2016-03-31 00:00:00,2785200000.0,1263000000.0,1522200000.0,220400000.0,673000000.0,504000200.0,,-225100000.0,181900000.0,278900000.0,70500000.0,208400000.0,208400000.0,0.73,0.5465,0.181,0.1001,0.0748,0.2558,976700200.0,504000100.0,0.7154,0.7377,0.7377,208400000.0,208400000.0,0.3507,0.29,HOLX
2015-12-31 00:00:00,2747400000.0,1274200000.0,1473200000.0,214600000.0,653100000.0,477700200.0,,-229900000.0,192200000.0,247800000.0,60500000.0,187300000.0,187300000.0,0.66,0.5362,0.1739,0.0902,0.0682,0.2645,963000200.0,477700100.0,0.6422,0.6643,0.6643,187300000.0,187300000.0,0.3505,0.2965,HOLX
2015-09-30 00:00:00,2705000000.0,1272300000.0,1432700000.0,214900000.0,624000000.0,455100200.0,,-277900000.0,205500000.0,177200000.0,45600000.0,131600000.0,131600000.0,0.46,0.5296,0.1682,0.0655,0.0487,0.2615,946500200.0,455100100.0,0.4545,0.4691,0.4691,131600000.0,131600000.0,0.3499,0.2946,HOLX
2015-06-30 00:00:00,2662800000.0,1264499900.0,1398300100.0,213400000.0,609900000.0,421300200.0,,-231000000.0,206800000.0,190300000.0,55800000.0,134500000.0,134500000.0,0.47,0.5251,0.1582,0.0715,0.0505,0.2309,921800200.0,421300200.0,0.4721,0.4825,0.4825,134500000.0,134500000.0,0.3462,0.2574,HOLX
2015-03-31 00:00:00,2601500000.0,1269099900.0,1332400100.0,209900000.0,590200000.0,381500200.0,,-215300000.0,206800000.0,166200000.0,49800000.0,116400000.0,116400000.0,0.41,0.5122,0.1466,0.0639,0.0447,0.2035,895400100.0,381500200.0,0.4121,0.4187,0.4187,116400000.0,116400000.0,0.3442,0.2312,HOLX
2014-12-31 00:00:00,2571000000.0,1292499900.0,1278500100.0,206500000.0,587700000.0,321900200.0,,-228300000.0,211800000.0,93600000.0,41800000.0,51800000.0,51800000.0,0.18,0.4973,0.1252,0.0364,0.0201,0.1703,839300100.0,321900200.0,0.1847,0.187,0.187,51800000.0,51800000.0,0.3264,0.1994,HOLX
2014-09-30 00:00:00,2530700000.0,1285199900.0,1245500100.0,203200000.0,591500000.0,279700200.0,,-231600000.0,220600000.0,48100000.0,30800000.0,17300000.0,17300000.0,0.06,0.4922,0.1105,0.019,0.0068,0.1732,802900100.0,279700200.0,0.0622,0.0628,0.0628,17300000.0,17300000.0,0.3173,0.2009,HOLX
2014-06-30 00:00:00,2492275100.0,1301173800.0,1191101300.0,199770000.0,564319000.0,-848371000.0,,-247028000.0,233870000.0,-1095399000.0,29215000.0,-1124614000.0,-1124614000.0,-4.15,0.4779,-0.3404,-0.4395,-0.4512,0.1524,793429100.0,-848371000.0,-4.1849,-4.1848,-4.1848,-1124614000.0,-1124614000.0,0.3184,0.1824,HOLX
2014-03-31 00:00:00,2485775100.0,1297673800.0,1188101300.0,195070000.0,560019000.0,-863471000.0,,-261528000.0,248670000.0,-1124999000.0,21915000.0,-1146914000.0,-1146914000.0,-4.23,0.478,-0.3474,-0.4526,-0.4614,0.1857,773398200.0,-863471000.0,-4.2662,-4.2664,-4.2664,-1146914000.0,-1146914000.0,0.3111,0.2183,HOLX
2013-12-31 00:00:00,2473438100.0,1288110800.0,1185327300.0,194791000.0,572066000.0,-908128900.0,,-278818000.0,270319000.0,-1186947000.0,-5729000.0,-1181218000.0,-1181218000.0,-4.36,0.4792,-0.3672,-0.4799,-0.4776,0.1633,724916300.0,-908128900.0,-4.3956,-4.3958,-4.3958,-1181218000.0,-1181218000.0,0.2931,0.1973,HOLX
2013-09-30 00:00:00,2492300100.0,1330899800.0,1161400300.0,197600000.0,569800000.0,-906199900.0,,-286700000.0,281100000.0,-1192900000.0,-20100000.0,-1172800000.0,-1172800000.0,-4.33,0.466,-0.3636,-0.4786,-0.4706,0.1861,727200300.0,-906199900.0,-4.3646,-4.3647,-4.3647,-1172800000.0,-1172800000.0,0.2918,0.1981,HOLX
2013-06-30 00:00:00,2458620900.0,1313542000.0,1145078900.0,196062000.0,623755000.0,86151000.0,,-272255000.0,272016000.0,-186104000.0,-49385000.0,-136719000.0,-136719000.0,-0.51,0.4657,0.035,-0.0757,-0.0556,0.1865,590048000.0,86151000.0,-0.5128,-0.5142,-0.5142,-136719000.0,-136719000.0,0.24,0.2039,HOLX
2013-03-31 00:00:00,2302748900.0,1222830000.0,1079918900.0,174491000.0,600144000.0,105578000.0,,-229675000.0,230409000.0,-124097000.0,-21972000.0,-102125000.0,-102125000.0,-0.38,0.469,0.0458,-0.0539,-0.0443,0.1261,557445000.0,105578000.0,-0.3837,-0.3842,-0.3842,-102125000.0,-102125000.0,0.2421,0.142,HOLX
2012-12-31 00:00:00,2161250900.0,1134548000.0,1026702900.0,154167000.0,567679000.0,110169900.0,,-219127000.0,182872000.0,-108957000.0,-17663000.0,-91294000.0,-91294000.0,-0.34,0.4751,0.051,-0.0504,-0.0422,0.2277,512801900.0,110169900.0,-0.3457,-0.3462,-0.3462,-91294000.0,-91294000.0,0.2373,0.243,HOLX
