Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,12630000000.0,10523000000.0,2106000000.0,903219000.0,1303123800.0,62000000.0,33000000.0,30000000.0,1273000000.0,270000000.0,1001966000.0,1003000000.0,1.83,0.1667,0.1056,0.1008,0.0794,0.0829,1485000000.0,1333116700.0,1.8256,1.8422,1.8422,1001966000.0,1003000000.0,0.1176,0.1051,HRL
2022-04-30 00:00:00,12460000000.0,10395000000.0,2064000000.0,880072000.0,1219566700.0,58000000.0,87000000.0,24000000.0,1187000000.0,226000000.0,960214000.0,961000000.0,1.75,0.1657,0.1005,0.0953,0.0771,0.0757,1460000000.0,1252841600.0,1.751,1.7684,1.7684,960214000.0,961000000.0,0.1172,0.0977,HRL
2022-01-31 00:00:00,11969621000.0,9963314000.0,2006307100.0,855379000.0,1174253400.0,51000000.0,90204000.0,29788000.0,1157620000.0,230699000.0,926456000.0,926901000.0,1.69,0.1676,0.1015,0.0967,0.0774,0.0785,1419753100.0,1214686300.0,1.6916,1.7099,1.7099,926456000.0,926921000.0,0.1186,0.0986,HRL
2021-10-31 00:00:00,11386768000.0,9457291000.0,1929477000.0,825787000.0,1122597700.0,44000000.0,95268000.0,34015000.0,1125702000.0,216386000.0,909141000.0,909184000.0,1.66,0.1694,0.1028,0.0989,0.0798,0.0678,1387042200.0,1170360600.0,1.6603,1.6801,1.6801,909141000.0,909316000.0,0.1218,0.088,HRL
2021-07-31 00:00:00,10351874000.0,8531630000.0,1820244200.0,786143000.0,1041614500.0,36000000.0,82303000.0,32286000.0,1052433900.0,190594000.0,861913900.0,861540900.0,1.58,0.1758,0.1052,0.1017,0.0832,0.0396,1326474700.0,1089064800.0,1.5734,1.595,1.595,861913900.0,861842000.0,0.1281,0.0664,HRL
2021-04-30 00:00:00,9869331000.0,8062662000.0,1806669200.0,768228000.0,1083705600.0,30000000.0,24092000.0,30010000.0,1107797900.0,219697000.0,888100900.0,887659900.0,1.64,0.1831,0.1144,0.1122,0.0899,0.0637,1338141600.0,1128970800.0,1.6218,1.6451,1.6451,888100900.0,888102000.0,0.1356,0.0953,HRL
2021-01-31 00:00:00,9685175000.0,7877461000.0,1807714200.0,762174000.0,1087751500.0,25000000.0,13917000.0,25719000.0,1101666900.0,213871000.0,887795900.0,887492900.0,1.64,0.1866,0.1167,0.1137,0.0916,0.0824,1337458400.0,1129963700.0,1.6221,1.6462,1.6462,887795900.0,887796000.0,0.1381,0.1183,HRL
2020-10-31 00:00:00,9608462000.0,7782498000.0,1825964300.0,761315000.0,1100220500.0,21000000.0,14527000.0,21069000.0,1114746900.0,206393000.0,908353900.0,908081900.0,1.68,0.19,0.1182,0.116,0.0945,0.0794,1341573400.0,1135792700.0,1.6618,1.6884,1.6884,908353900.0,908354000.0,0.1396,0.1174,HRL
2020-07-31 00:00:00,9689869000.0,7827949000.0,1861920000.0,754313000.0,1144519100.0,,15190000.0,15893000.0,1159708900.0,230313000.0,929395900.0,929228100.0,1.73,0.1922,0.1219,0.1197,0.0959,0.0892,1374199000.0,1181431400.0,1.7043,1.7327,1.7327,929395900.0,929394000.0,0.1418,0.1267,HRL
2020-04-30 00:00:00,9599117000.0,7726180000.0,1872937100.0,753397000.0,1151601300.0,,9744000.0,13382000.0,1161344900.0,235783000.0,925561900.0,925558100.0,1.72,0.1951,0.1233,0.121,0.0964,0.08,1368045300.0,1183662700.0,1.6996,1.729,1.729,925561900.0,925561000.0,0.1425,0.1152,HRL
2020-01-31 00:00:00,9521396000.0,7656662000.0,1864733900.0,729561000.0,1170504300.0,,22397000.0,15500000.0,1192901900.0,212320000.0,980581900.0,980253100.0,1.83,0.1958,0.1266,0.1253,0.103,0.0651,1380355300.0,1205835700.0,1.8003,1.8338,1.8338,980581900.0,980582000.0,0.145,0.097,HRL
2019-10-31 00:00:00,9497317000.0,7612669000.0,1884647900.0,727584000.0,1196265200.0,,13450000.0,18070000.0,1209714900.0,230567000.0,979147900.0,978806100.0,1.83,0.1984,0.1301,0.1274,0.1031,0.0702,1400675300.0,1235466700.0,1.7958,1.8316,1.8316,979147900.0,979148000.0,0.1475,0.0972,HRL
2019-07-31 00:00:00,9520501000.0,7596248000.0,1924253500.0,749076000.0,1194846200.0,,12680000.0,21304000.0,1207525100.0,222447000.0,985078000.0,984709100.0,1.84,0.2021,0.1294,0.1268,0.1034,0.0851,1412037300.0,1231792800.0,1.805,1.8434,1.8434,985078000.0,985078000.0,0.1483,0.1125,HRL
2019-04-30 00:00:00,9588938000.0,7643081000.0,1945857500.0,780404000.0,1194879200.0,,9379000.0,26526000.0,1204257100.0,208253000.0,996004000.0,995503100.0,1.87,0.2029,0.1295,0.1256,0.1038,0.0899,1421147300.0,1241582800.0,1.825,1.8665,1.8665,996004000.0,996004000.0,0.1482,0.1214,HRL
2019-01-31 00:00:00,9574762000.0,7605251000.0,1969511700.0,814877000.0,1184255400.0,,-1160000.0,27912000.0,1183094100.0,232204000.0,950890000.0,950458100.0,1.79,0.2057,0.1286,0.1236,0.0993,0.0824,1411186500.0,1231154000.0,1.7453,1.787,1.787,950890000.0,950890000.0,0.1474,0.1175,HRL
2018-10-31 00:00:00,9545700000.0,7566227000.0,1979473700.0,841205000.0,1179962500.0,,1323000.0,26494000.0,1181284100.0,168702000.0,1012582000.0,1012140100.0,1.91,0.2074,0.1298,0.1238,0.106,0.0903,1418071500.0,1238934000.0,1.8618,1.9078,1.9078,1012582000.0,1012582000.0,0.1486,0.1301,HRL
2018-07-31 00:00:00,9513610000.0,7562439000.0,1951171800.0,827336000.0,1186027500.0,,3761000.0,23742000.0,1189789100.0,220340000.0,969449000.0,968888000.0,1.83,0.2051,0.1312,0.1251,0.1018,0.0954,1404543500.0,1248399700.0,1.7883,1.831,1.831,969449000.0,969449000.0,0.1476,0.1309,HRL
2018-04-30 00:00:00,9361843000.0,7413309000.0,1948534800.0,792499000.0,1209042400.0,,1038000.0,18364000.0,1210081100.0,268434000.0,941647000.0,941153000.0,1.78,0.2081,0.1348,0.1293,0.1005,0.0983,1410374400.0,1262229600.0,1.7403,1.7802,1.7802,941647000.0,941647000.0,0.1507,0.1278,HRL
2018-01-31 00:00:00,9218584000.0,7275933000.0,1942651700.0,768959000.0,1223334300.0,,5690000.0,14386000.0,1229025100.0,314014000.0,915011000.0,914695000.0,1.73,0.2107,0.1381,0.1333,0.0992,0.0983,1412117300.0,1273156500.0,1.6935,1.7308,1.7308,915011000.0,915011000.0,0.1532,0.124,HRL
2017-10-31 00:00:00,9167518000.0,7170883000.0,1996635700.0,759304000.0,1276741100.0,,1903000.0,12683000.0,1278645100.0,431542000.0,847103000.0,846735000.0,1.6,0.2178,0.1436,0.1395,0.0924,0.089,1447488100.0,1316331300.0,1.5713,1.6033,1.6033,847103000.0,847103000.0,0.1579,0.1128,HRL
2017-07-31 00:00:00,9302851000.0,7212723000.0,2090128300.0,811892000.0,1316848000.0,,-3480000.0,12394000.0,1313368900.0,440439000.0,872930000.0,872521000.0,1.65,0.2247,0.1457,0.1412,0.0938,0.0803,1487029000.0,1355460300.0,1.6164,1.6514,1.6514,872930000.0,872930000.0,0.1598,0.1021,HRL
2017-04-30 00:00:00,9397852000.0,7284848000.0,2113004200.0,842108000.0,1311932900.0,,-2472000.0,12484000.0,1309461900.0,423307000.0,886155000.0,885667000.0,1.67,0.2248,0.144,0.1393,0.0942,0.0727,1484358000.0,1352970300.0,1.6387,1.6754,1.6754,886155000.0,886155000.0,0.1579,0.097,HRL
2017-01-31 00:00:00,9510778000.0,7358335000.0,2152443300.0,872243000.0,1319718000.0,,-1887000.0,12490000.0,1317831900.0,427179000.0,890653000.0,890138000.0,1.68,0.2263,0.143,0.1386,0.0936,0.0742,1492701100.0,1360227400.0,1.644,1.683,1.683,890653000.0,890653000.0,0.1569,0.1006,HRL
2016-10-31 00:00:00,9523223000.0,7365049000.0,2158174400.0,871974000.0,1323894200.0,,-6680000.0,12871000.0,1317214900.0,426698000.0,890517000.0,890052000.0,1.68,0.2266,0.1431,0.1383,0.0935,0.083,1495538300.0,1362579600.0,1.6416,1.6825,1.6825,890517000.0,890517000.0,0.157,0.1092,HRL
2016-07-31 00:00:00,9296142000.0,7241456000.0,2054686000.0,816920000.0,1250643500.0,,-9005000.0,13404000.0,1241638000.0,407868000.0,833769900.0,833343000.0,1.575,0.221,0.1383,0.1336,0.0896,0.0771,1439504600.0,1286049500.0,1.5365,1.5754,1.5754,833769900.0,833770000.0,0.1548,0.0993,HRL
2016-04-30 00:00:00,9182353000.0,7193562000.0,1988790900.0,794671000.0,1207012400.0,,-11272000.0,13386000.0,1195740000.0,410790000.0,784949900.0,784627000.0,1.485,0.2166,0.1353,0.1302,0.0854,0.0846,1396576400.0,1242433300.0,1.4469,1.4839,1.4839,784949900.0,784950000.0,0.1521,0.104,HRL
2016-01-31 00:00:00,9161463000.0,7239475000.0,1921987800.0,773260000.0,1160892300.0,,-13618000.0,13440000.0,1147274000.0,397273000.0,750000900.0,749431000.0,1.415,0.2098,0.1304,0.1252,0.0818,0.0965,1348610300.0,1194594200.0,1.3844,1.4191,1.4191,750000900.0,750001000.0,0.1472,0.1118,HRL
2015-10-31 00:00:00,9263864000.0,7455282000.0,1808581700.0,743611000.0,1067320300.0,,-10177000.0,13111000.0,1057143000.0,369879000.0,687263900.0,686088000.0,1.3,0.1952,0.1178,0.1141,0.0741,0.0935,1246178300.0,1091207200.0,1.2703,1.3014,1.3014,687263900.0,687264000.0,0.1345,0.1071,HRL
