Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12607000000.0,8932000000.0,3675000000.0,2916656000.0,875656300.0,35000000.0,2000000.0,11000000.0,851000000.0,198000000.0,653199000.0,14327000.0,638000000.0,4.59,0.2915,0.0695,0.0675,0.0506,0.0419,1107000000.0,875656300.0,4.5943,,4.8694,,4.6644,667526000.0,,667000000.0,0.0878,0.0495,HSIC
2022-06-30 00:00:00,12718000000.0,9000000000.0,3718000000.0,2969656000.0,875656300.0,31000000.0,-9000000.0,8000000.0,852000000.0,201000000.0,650199000.0,24327000.0,643000000.0,4.65,0.2923,0.0689,0.067,0.0506,0.0509,1096000000.0,875656300.0,4.6104,,4.8873,,4.6823,674526000.0,,667000000.0,0.0862,0.058,HSIC
2022-03-31 00:00:00,12655000000.0,8946000000.0,3709000000.0,2924656000.0,865656300.0,28000000.0,-8000000.0,12000000.0,843000000.0,196000000.0,646199000.0,25327000.0,639000000.0,4.61,0.2931,0.0684,0.0666,0.0505,0.0518,1083000000.0,865656300.0,4.5655,,4.8398,,4.6348,671526000.0,,664000000.0,0.0856,0.0585,HSIC
2021-12-31 00:00:00,12401000000.0,8727000000.0,3674000000.0,2856656000.0,851656300.0,27000000.0,-7000000.0,16000000.0,830000000.0,196000000.0,633199000.0,27327000.0,624000000.0,4.48,0.2963,0.0687,0.0669,0.0503,0.0509,1063000000.0,851656300.0,4.45,,4.7149,,4.5099,660526000.0,,653000000.0,0.0857,0.0572,HSIC
2021-09-30 00:00:00,12235725000.0,8682045000.0,3553679700.0,2624100000.0,832199500.0,31000000.0,-20270000.0,25968000.0,806930000.0,182409000.0,623521000.0,31108000.0,619633000.0,4.43,0.2904,0.068,0.0659,0.0506,0.0591,1029222500.0,832199600.0,4.566,0.0028,4.6467,0.0059,4.6107,654629000.0,1268000.0,648341000.0,0.0841,0.064,HSIC
2021-06-30 00:00:00,11897871000.0,8501923000.0,3395947800.0,2482705000.0,808870600.0,35000000.0,-30786000.0,36079000.0,778085000.0,162414000.0,615671000.0,21771000.0,606330000.0,4.28,0.2854,0.068,0.0654,0.051,0.0658,999462600.0,808870700.0,4.3581,,4.5004,0.0059,4.3982,637442000.0,,638125000.0,0.084,0.07,HSIC
2021-03-31 00:00:00,10615270000.0,7656056000.0,2959213800.0,2293470000.0,591437600.0,39000000.0,-34566000.0,39565000.0,556872000.0,114464000.0,442408000.0,17182000.0,439533000.0,3.09,0.2788,0.0557,0.0525,0.0414,0.0512,778992600.0,591437700.0,3.1204,0.0069,3.2388,0.0059,3.1498,459590000.0,,460858000.0,0.0734,0.055,HSIC
2020-12-31 00:00:00,10119141000.0,7304913000.0,2814227800.0,2246832000.0,535302600.0,41000000.0,-35408000.0,41377000.0,499895000.0,95374000.0,404521000.0,13916000.0,403794000.0,2.83,0.2781,0.0529,0.0494,0.0399,0.0544,720840600.0,535302700.0,2.81,0.0069,2.9432,0.0059,2.83,418437000.0,986000.0,419423000.0,0.0712,0.0592,HSIC
2020-09-30 00:00:00,9622357000.0,6857211000.0,2765146100.0,2188054900.0,550437600.0,38000000.0,-30989000.0,38742000.0,519448000.0,108154000.0,411294000.0,197706000.0,591023000.0,4.1,0.2874,0.0572,0.054,0.0614,0.0495,737684600.0,550437100.0,4.04,-0.0062,4.193,-0.01,4.07,609000000.0,-473000.0,608527100.0,0.0767,0.0563,HSIC
2020-06-30 00:00:00,9290978000.0,6518933000.0,2772045100.0,2203220900.0,549964500.0,,-29080000.0,40004000.0,520884000.0,121113000.0,399771000.0,200628000.0,589883000.0,4.06,0.2984,0.0592,0.0561,0.0635,0.047,739497500.0,549964000.0,3.96,0.0318,4.1385,0.03,3.99,600399000.0,5197000.0,605596100.0,0.0796,0.0551,HSIC
2020-03-31 00:00:00,10054406000.0,6969196000.0,3085210000.0,2350673900.0,719685300.0,,-30847000.0,42303000.0,688838000.0,157943000.0,530895000.0,204773000.0,715212000.0,4.91,0.3069,0.0716,0.0685,0.0711,0.0679,911310300.0,719684800.0,4.82,0.0177,5.0363,0.02,4.86,735668000.0,2391000.0,738059100.0,0.0906,0.0762,HSIC
