Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10093000000.0,5756000000.0,4340000000.0,2172481800.0,2193313700.0,123000000.0,116000000.0,2000000.0,1896000000.0,309000000.0,1588312000.0,1584000000.0,7.66,0.43,0.2173,0.1879,0.1569,0.1715,2538000000.0,2193313100.0,7.6779,7.7171,7.7171,1588312000.0,1588000000.0,0.2515,0.2219,HSY
2022-06-30 00:00:00,9725000000.0,5482000000.0,4245000000.0,2101601800.0,2211524700.0,118000000.0,49000000.0,2000000.0,1945000000.0,312000000.0,1633752000.0,1630000000.0,7.87,0.4365,0.2274,0.2,0.1676,0.1717,2496000000.0,2211524100.0,7.8862,7.928,7.928,1633752000.0,1634000000.0,0.2567,0.2241,HSY
2022-03-31 00:00:00,9341422000.0,5181977000.0,4161444900.0,2025762800.0,2211668600.0,116000000.0,-12259000.0,33065000.0,1960416000.0,341186000.0,1619426000.0,1615230000.0,7.84,0.4455,0.2368,0.2099,0.1729,0.1721,2465706900.0,2211668000.0,7.8082,7.8495,7.8495,1619426000.0,1619230000.0,0.264,0.228,HSY
2021-12-31 00:00:00,8971370000.0,4956974000.0,4015395900.0,1996211800.0,2043722800.0,119000000.0,-14109000.0,69501000.0,1797610000.0,314509000.0,1482819000.0,1478029000.0,7.23,0.4476,0.2278,0.2004,0.1647,0.1769,2332647900.0,2043722200.0,7.1373,7.1726,7.1726,1482819000.0,1483101000.0,0.26,0.2322,HSY
2021-09-30 00:00:00,8830614000.0,4866147000.0,3964466800.0,1981272000.0,1989665200.0,127000000.0,-234824000.0,106283000.0,1718010000.0,283579000.0,1434358000.0,1433416100.0,7.05,0.4489,0.2253,0.1946,0.1623,0.1711,2270981000.0,1989665200.0,6.8891,6.9237,6.9237,1434358000.0,1434431000.0,0.2572,0.2274,HSY
2021-06-30 00:00:00,8690443000.0,4673952000.0,4016490800.0,1968886000.0,2026244100.0,135000000.0,-267726000.0,142541000.0,1758518000.0,321829000.0,1436689000.0,1435699100.0,7.11,0.4622,0.2332,0.2024,0.1652,0.1864,2332556000.0,2026244100.0,6.8827,6.914,6.914,1436689000.0,1436689000.0,0.2684,0.242,HSY
2021-03-31 00:00:00,8408350000.0,4524752000.0,3883597900.0,1910206000.0,1952942200.0,143000000.0,-278763000.0,149555000.0,1674179000.0,270678000.0,1403501000.0,1403370100.0,6.94,0.4619,0.2323,0.1991,0.1669,0.191,2255122100.0,1952942200.0,6.7143,6.7439,6.7439,1403501000.0,1403501000.0,0.2682,0.2454,HSY
2020-12-31 00:00:00,8149719000.0,4448450000.0,3701269000.0,1890925000.0,1782698100.0,144000000.0,-287701000.0,149374000.0,1494997000.0,219584000.0,1275413000.0,1278708100.0,6.81,0.4542,0.2187,0.1834,0.1569,0.1544,2077605100.0,1782698100.0,6.0904,6.1187,6.1187,1275413000.0,1275413000.0,0.2549,0.2086,HSY
2020-09-30 00:00:00,8032600000.0,4381490000.0,3651110300.0,1870147000.0,1663781100.0,144000000.0,-217863000.0,149027000.0,1445918100.0,257417000.0,1188501100.0,1194508000.0,6.39,0.4545,0.2071,0.18,0.1487,0.1858,1954173100.0,1663781000.0,5.6726,5.7002,5.7002,1188501100.0,1188500900.0,0.2433,0.2323,HSY
2020-06-30 00:00:00,7947193000.0,4432789000.0,3514404400.0,1882896000.0,1513186200.0,,-222416000.0,147225000.0,1290770100.0,224345000.0,1066425100.0,1072532000.0,5.77,0.4422,0.1904,0.1624,0.135,0.1725,1802908200.0,1513186100.0,5.0729,5.1026,5.1026,1066425100.0,1066424900.0,0.2269,0.2137,HSY
2020-03-31 00:00:00,8007081000.0,4410485000.0,3596596400.0,1927740000.0,1539883300.0,,-220021000.0,142922000.0,1319862100.0,208208000.0,1111654100.0,1116471000.0,5.98,0.4492,0.1923,0.1648,0.1394,0.1693,1829722300.0,1539883200.0,5.2768,5.3098,5.3098,1111654100.0,1111653900.0,0.2285,0.2098,HSY
2019-12-31 00:00:00,7986252000.0,4363774000.0,3622478300.0,1905929000.0,1595952300.0,,-215168000.0,144125000.0,1380784100.0,234032000.0,1146752100.0,1149692000.0,5.64,0.4536,0.1998,0.1729,0.144,0.181,1887496300.0,1595952200.0,5.4426,5.4749,5.4749,1146752100.0,1146751900.0,0.2363,0.2209,HSY
