Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4698000000.0,1582000000.0,3116000000.0,1325000000.0,1290000000.0,-4010000000.0,31000000.0,4659000000.0,22000000.0,-4083000000.0,70000000.0,-4152000000.0,-4153000000.0,-26.47,0.6633,-0.8536,-0.8691,-0.884,0.0164,900000000.0,-4010000000.0,-26.4564,-26.445,-26.445,-4152000000.0,-4153000000.0,0.1916,0.1122,ILMN
2022-06-30 00:00:00,4691000000.0,1522000000.0,3169000000.0,1436000000.0,2023000000.0,-898000000.0,39000000.0,1643000000.0,33000000.0,9000000.0,29000000.0,-19000000.0,-20000000.0,-0.09,0.6755,-0.1914,0.0019,-0.0043,0.0113,71000000.0,-898000000.0,-0.0788,-0.0538,-0.0538,-19000000.0,-20000000.0,0.0151,0.0654,ILMN
2022-03-31 00:00:00,4655000000.0,1451000000.0,3204000000.0,1311000000.0,2026000000.0,-132000000.0,49000000.0,1029000000.0,48000000.0,853000000.0,153000000.0,701000000.0,700000000.0,4.59,0.6883,-0.0284,0.1832,0.1504,0.0447,192000000.0,-132000000.0,4.5873,4.6209,4.6209,701000000.0,700000000.0,0.0412,0.0934,ILMN
2021-12-31 00:00:00,4525000000.0,1372000000.0,3153000000.0,1185000000.0,2092000000.0,-123000000.0,62000000.0,965000000.0,61000000.0,882000000.0,121000000.0,762000000.0,761000000.0,5.06,0.6968,-0.0272,0.1949,0.1682,0.0745,168000000.0,-123000000.0,5.0464,5.0799,5.0799,762000000.0,761000000.0,0.0371,0.1204,ILMN
2021-09-30 00:00:00,4280000000.0,1314000000.0,2966000000.0,1034000000.0,1964000000.0,-32000000.0,65000000.0,1050000000.0,65000000.0,1094000000.0,188000000.0,906000000.0,906000000.0,6.11,0.693,-0.0075,0.2556,0.2117,0.1096,210000000.0,-32000000.0,6.0669,6.0994,6.0994,906000000.0,906000000.0,0.0491,0.1563,ILMN
2021-06-30 00:00:00,3966000000.0,1244000000.0,2722000000.0,770000000.0,1277000000.0,675000000.0,62000000.0,214000000.0,62000000.0,889000000.0,121000000.0,768000000.0,768000000.0,5.26,0.6863,0.1702,0.2242,0.1936,0.2264,909000000.0,675000000.0,5.2045,5.2399,5.2399,768000000.0,768000000.0,0.2292,0.2758,ILMN
2021-03-31 00:00:00,3473000000.0,1125000000.0,2348000000.0,723000000.0,1041000000.0,584000000.0,57000000.0,263000000.0,57000000.0,847000000.0,217000000.0,630000000.0,630000000.0,4.31,0.6761,0.1682,0.2439,0.1814,0.2563,815000000.0,584000000.0,4.2636,4.2925,4.2925,630000000.0,630000000.0,0.2347,0.3113,ILMN
2020-12-31 00:00:00,3239000000.0,1036000000.0,2203000000.0,682000000.0,941000000.0,580000000.0,49000000.0,276000000.0,49000000.0,856000000.0,200000000.0,656000000.0,656000000.0,4.48,0.6801,0.1791,0.2643,0.2025,0.2751,807000000.0,580000000.0,4.4325,4.4626,4.4626,656000000.0,656000000.0,0.2492,0.3334,ILMN
2020-09-30 00:00:00,3238000000.0,1003000000.0,2235000000.0,644000000.0,876000000.0,715000000.0,44000000.0,112000000.0,44000000.0,827000000.0,189000000.0,638000000.0,638000000.0,4.35,0.6902,0.2208,0.2554,0.197,0.2881,936000000.0,715000000.0,4.2894,4.3485,4.3485,638000000.0,638000000.0,0.2891,0.345,ILMN
2020-06-30 00:00:00,3351000000.0,994000000.0,2357000000.0,623000000.0,873000000.0,861000000.0,,21000000.0,44000000.0,882000000.0,189000000.0,693000000.0,693000000.0,4.72,0.7034,0.2569,0.2632,0.2068,0.3121,1081000000.0,861000000.0,4.661,4.7143,4.7143,693000000.0,693000000.0,0.3226,0.3674,ILMN
