Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3330788000.0,234719000.0,3096069000.0,1557403000.0,955523000.0,620081000.0,2751000.0,92904000.0,2751000.0,568521000.0,-307529000.0,876050000.0,876050000.0,3.93,0.9295,0.1862,0.1707,0.263,0.2133,690649000.0,620081100.0,3.9353,3.9648,3.9648,876050000.0,876050000.0,0.2074,0.2407,INCY
2022-06-30 00:00:00,3320472000.0,217903000.0,3102569000.0,1508341000.0,870476000.0,717115000.0,2549000.0,142312000.0,2549000.0,629402000.0,-315612000.0,945014000.0,945014000.0,4.25,0.9344,0.216,0.1896,0.2846,0.2003,817865000.0,717115100.0,4.2499,4.2807,4.2807,945014000.0,945014000.0,0.2463,0.229,INCY
2022-03-31 00:00:00,3114784000.0,194188000.0,2920596000.0,1504656000.0,786058000.0,603520000.0,2229000.0,141833000.0,2229000.0,571657000.0,-361381000.0,933038000.0,933038000.0,4.21,0.9377,0.1938,0.1835,0.2996,0.1956,696363000.0,603520100.0,4.2006,4.2315,4.2315,933038000.0,933038000.0,0.2236,0.2437,INCY
2021-12-31 00:00:00,2986267000.0,169756000.0,2816511000.0,1458179000.0,730269000.0,585777000.0,1908000.0,53389000.0,1908000.0,570444000.0,-378137000.0,948581000.0,948581000.0,4.28,0.9432,0.1962,0.191,0.3176,0.1904,664896000.0,585777100.0,4.2715,4.3034,4.3034,948581000.0,948581000.0,0.2227,0.251,INCY
2021-09-30 00:00:00,2912922900.0,152731000.0,2760191900.0,1391296900.0,671055000.0,639271700.0,1584000.0,46652000.0,1584000.0,618526000.0,83946000.0,534580000.0,534580000.0,2.42,0.9476,0.2195,0.2123,0.1835,0.1866,707482700.0,639271800.0,2.4533,2.4499,2.4499,534580000.0,534580000.0,0.2429,0.2545,INCY
2021-06-30 00:00:00,2720578900.0,137893000.0,2582685900.0,1494460900.0,610430000.0,409187700.0,1689000.0,-3639000.0,1689000.0,405549000.0,67911000.0,337638000.0,337638000.0,1.53,0.9493,0.1504,0.1491,0.1241,0.1653,463597700.0,409187800.0,1.5661,1.5575,1.5575,337638000.0,337638000.0,0.1704,0.2457,INCY
2021-03-31 00:00:00,2702912900.0,133229000.0,2569683900.0,1437550900.0,559569000.0,499124700.0,1931000.0,42055000.0,1931000.0,541180000.0,62700000.0,478480000.0,478480000.0,2.18,0.9507,0.1847,0.2002,0.177,0.2104,551671700.0,499124800.0,2.2105,2.2128,2.2128,478480000.0,478480000.0,0.2041,0.283,INCY
2020-12-31 00:00:00,2666701900.0,131328000.0,2535373900.0,2215941900.0,516922000.0,-263676100.0,2174000.0,31458000.0,2174000.0,-232218000.0,63479000.0,-295697000.0,-295697000.0,-1.39,0.9508,-0.0989,-0.0871,-0.1109,-0.117,-211869100.0,-263676000.0,-1.356,-1.356,-1.356,-295697000.0,-295697000.0,-0.0794,-0.0467,INCY
2020-09-30 00:00:00,2456582000.0,127220000.0,2329362000.0,2122864000.0,486111000.0,-332896800.0,2353000.0,58581000.0,2353000.0,-274316000.0,60226000.0,-334542000.0,-334542000.0,-1.56,0.9482,-0.1355,-0.1117,-0.1362,-0.1081,-280910800.0,-332896800.0,-1.5691,-1.5456,-1.5456,-334542000.0,-334542000.0,-0.1144,-0.0408,INCY
2020-06-30 00:00:00,2387520000.0,122938000.0,2264582000.0,1966091000.0,467931000.0,-203906800.0,,81118000.0,2406000.0,-122789000.0,68279000.0,-191068000.0,-191068000.0,-0.89,0.9485,-0.0854,-0.0514,-0.08,-0.0451,-151007800.0,-203906800.0,-0.9106,-0.88,-0.88,-191068000.0,-191068000.0,-0.0632,-0.005,INCY
2020-03-31 00:00:00,2229409000.0,118980000.0,2110429000.0,1968853000.0,455876000.0,-336067800.0,,14686000.0,2122000.0,-321382000.0,54666000.0,-376048000.0,-376048000.0,-1.73,0.9466,-0.1507,-0.1442,-0.1687,-0.102,-282327800.0,-336067800.0,-1.7432,-1.7237,-1.7237,-376048000.0,-376048000.0,-0.1266,-0.0576,INCY
2019-12-31 00:00:00,2158759000.0,114249000.0,2044510000.0,1154111000.0,468711000.0,402006000.0,,84785000.0,1855000.0,486791000.0,39885000.0,446906000.0,446906000.0,2.08,0.9471,0.1862,0.2255,0.207,0.293,456539000.0,402006000.0,2.0534,2.0794,2.0794,446906000.0,446906000.0,0.2115,0.3292,INCY
2019-09-30 00:00:00,2107772100.0,108400000.0,1999372100.0,1145482100.0,440892000.0,388973100.0,,42531000.0,1603000.0,431504000.0,26540000.0,404964000.0,404964000.0,1.89,0.9486,0.1845,0.2047,0.1921,0.2794,444387100.0,388973000.0,1.8681,1.8905,1.8905,404964000.0,404964000.0,0.2108,0.3145,INCY
2019-06-30 00:00:00,2005874100.0,103155000.0,1902719100.0,1156673100.0,434806000.0,285776100.0,,28685000.0,1411000.0,314461000.0,8592000.0,305869000.0,305869000.0,1.43,0.9486,0.1425,0.1568,0.1525,0.2373,341146100.0,285776000.0,1.4142,1.4316,1.4316,305869000.0,305869000.0,0.1701,0.2949,INCY
2019-03-31 00:00:00,1997458100.0,98605000.0,1898853100.0,1165399100.0,436892000.0,270403100.0,,-10605000.0,1493000.0,259798000.0,6853000.0,252945000.0,252945000.0,1.19,0.9506,0.1354,0.1301,0.1266,0.1962,325839100.0,270403000.0,1.1735,1.1878,1.1878,252945000.0,252945000.0,0.1631,0.2358,INCY
2018-12-31 00:00:00,1881883100.0,94123000.0,1787760100.0,1197957100.0,434407000.0,129223100.0,,-13876000.0,1543000.0,115347000.0,5854000.0,109493000.0,109493000.0,0.52,0.95,0.0687,0.0613,0.0582,0.1396,184192100.0,129223000.0,0.5078,0.5156,0.5156,109493000.0,109493000.0,0.0979,0.1787,INCY
2018-09-30 00:00:00,1797636900.0,90116000.0,1707520900.0,1340590000.0,423775000.0,-85170100.0,,-18477000.0,1561000.0,-103647000.0,5552000.0,-109199000.0,-109199000.0,-0.51,0.9499,-0.0474,-0.0577,-0.0607,0.0499,-31568100.0,-85170000.0,-0.4969,-0.4962,-0.4962,-109199000.0,-109199000.0,-0.0176,0.0907,INCY
2018-06-30 00:00:00,1729487900.0,87357000.0,1642130900.0,1317620000.0,418518000.0,-101270100.0,,10001000.0,1360000.0,-91269000.0,11052000.0,-102321000.0,-102321000.0,-0.48,0.9495,-0.0586,-0.0528,-0.0592,-0.0381,-49546100.0,-101270000.0,-0.4624,-0.4591,-0.4591,-102321000.0,-102321000.0,-0.0286,0.0099,INCY
2018-03-31 00:00:00,1534415900.0,82761000.0,1451654900.0,1221317000.0,400555000.0,-177250100.0,,22589000.0,1346000.0,-154661000.0,12538000.0,-167199000.0,-167199000.0,-0.79,0.9461,-0.1155,-0.1008,-0.109,-0.0008,-126675100.0,-177250000.0,-0.7669,-0.7669,-0.7669,-167199000.0,-167199000.0,-0.0826,0.0661,INCY
2017-12-31 00:00:00,1536215900.0,79479000.0,1456736900.0,1326134000.0,366286000.0,-243387100.0,,-68903000.0,6900000.0,-312290000.0,852000.0,-313142000.0,-313142000.0,-1.56,0.9483,-0.1584,-0.2033,-0.2038,-0.1328,-191209100.0,-243387000.0,-1.5307,-1.5307,-1.5307,-313142000.0,-313142000.0,-0.1245,-0.0605,INCY
2017-09-30 00:00:00,1418558000.0,76730000.0,1341828100.0,1040847000.0,364647000.0,-68891000.0,,-85677000.0,15997000.0,-154568000.0,72000.0,-154640000.0,-154640000.0,-0.8,0.9459,-0.0486,-0.109,-0.109,-0.0077,-12006000.0,-68891000.0,-0.8055,-0.798,-0.798,-154640000.0,-154640000.0,-0.0085,0.0639,INCY
2017-06-30 00:00:00,1306493000.0,74899000.0,1231594100.0,914474000.0,349158000.0,-61618000.0,,-98002000.0,25272000.0,-159620000.0,-5803000.0,-153817000.0,-153817000.0,-0.77,0.9427,-0.0472,-0.1222,-0.1177,0.0374,278000.0,-61618000.0,-0.7853,-0.7762,-0.7762,-153817000.0,-153817000.0,0.0002,0.1016,INCY
2017-03-31 00:00:00,1226337000.0,67006000.0,1159331100.0,832957000.0,325884000.0,-24288000.0,,-90738000.0,34550000.0,-115026000.0,-8118000.0,-106908000.0,-106908000.0,-0.53,0.9454,-0.0198,-0.0938,-0.0872,-0.0833,38106000.0,-24288000.0,-0.546,-0.5319,-0.5319,-106908000.0,-106908000.0,0.0311,0.0274,INCY
2016-12-31 00:00:00,1105719000.0,58187000.0,1047532100.0,581861000.0,303251000.0,144998000.0,,-37594000.0,38745000.0,107404000.0,3182000.0,104222000.0,104222000.0,0.56,0.9474,0.1311,0.0971,0.0943,0.1668,203423000.0,144998000.0,0.5369,0.5547,0.5547,104222000.0,104222000.0,0.184,0.2756,INCY
2016-09-30 00:00:00,1023102000.0,48281000.0,974821000.0,536908000.0,259629000.0,168000900.0,,-14351000.0,39488000.0,153650000.0,3123000.0,150527000.0,150527000.0,0.81,0.9528,0.1642,0.1502,0.1471,0.1681,219463900.0,168000900.0,0.8029,0.8173,0.8173,150527000.0,150527000.0,0.2145,0.2769,INCY
2016-06-30 00:00:00,941244000.0,36116000.0,905128000.0,525797000.0,231452000.0,145607900.0,,-69833000.0,41218000.0,75775000.0,1707000.0,74068000.0,74068000.0,0.39,0.9616,0.1547,0.0805,0.0787,0.0932,191297900.0,145607900.0,0.3949,0.403,0.403,74068000.0,74068000.0,0.2032,0.2079,INCY
2016-03-31 00:00:00,857940000.0,30003000.0,827937000.0,517973000.0,216339000.0,93624900.0,,-43630000.0,43050000.0,49995000.0,1058000.0,48937000.0,48937000.0,0.26,0.965,0.1091,0.0583,0.057,0.1906,137730900.0,93624900.0,0.2663,0.2716,0.2716,48937000.0,48937000.0,0.1605,0.2232,INCY
