Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,69540000000.0,37165000000.0,32375000000.0,17113000000.0,7238000000.0,8455000000.0,481000000.0,-4040000000.0,348000000.0,13758000000.0,457000000.0,13301000000.0,13301000000.0,3.25,0.4656,0.1216,0.1978,0.1913,-0.1935,20846000000.0,8455000000.0,3.2398,3.2619,3.2619,13301000000.0,13301000000.0,0.2998,0.1945,INTC
2022-06-30 00:00:00,73394000000.0,36808000000.0,36586000000.0,16614000000.0,7168000000.0,13857000000.0,511000000.0,-3240000000.0,215000000.0,20804000000.0,1699000000.0,19105000000.0,19105000000.0,4.67,0.4985,0.1888,0.2835,0.2603,-0.0235,25333000000.0,13857000000.0,4.6626,4.6945,4.6945,19105000000.0,19105000000.0,0.3452,0.3052,INTC
2022-03-31 00:00:00,77704000000.0,35499000000.0,42205000000.0,15929000000.0,6967000000.0,20103000000.0,531000000.0,-1030000000.0,154000000.0,27458000000.0,2838000000.0,24620000000.0,24620000000.0,6.03,0.5432,0.2587,0.3534,0.3168,0.1242,31201000000.0,20103000000.0,6.0125,6.0551,6.0551,24620000000.0,24620000000.0,0.4015,0.3911,INTC
2021-12-31 00:00:00,79024000000.0,35209000000.0,43815000000.0,15190000000.0,6543000000.0,19456000000.0,597000000.0,-559000000.0,144000000.0,21703000000.0,1835000000.0,19868000000.0,19868000000.0,4.88,0.5545,0.2462,0.2746,0.2514,0.1204,31319000000.0,19456000000.0,4.8577,4.8947,4.8947,19868000000.0,19868000000.0,0.3963,0.3777,INTC
2021-09-30 00:00:00,78474000000.0,34320000000.0,44154000000.0,14796000000.0,6358000000.0,20351000000.0,611000000.0,1913000000.0,154000000.0,23997000000.0,2895000000.0,21102000000.0,21102000000.0,5.18,0.5627,0.2593,0.3058,0.2689,0.2189,32114000000.0,20351000000.0,5.148,5.1854,5.1854,21102000000.0,21102000000.0,0.4092,0.4325,INTC
2021-06-30 00:00:00,77615000000.0,34466000000.0,43149000000.0,14265000000.0,6119000000.0,20183000000.0,627000000.0,1997000000.0,170000000.0,22180000000.0,3625000000.0,18555000000.0,18555000000.0,4.53,0.5559,0.26,0.2858,0.2391,0.2085,32068000000.0,20183000000.0,4.4936,4.5263,4.5263,18555000000.0,18555000000.0,0.4132,0.4151,INTC
2021-03-31 00:00:00,77712000000.0,35262000000.0,42450000000.0,13904000000.0,5967000000.0,20334000000.0,684000000.0,2036000000.0,216000000.0,22370000000.0,3771000000.0,18599000000.0,18599000000.0,4.48,0.5462,0.2617,0.2879,0.2393,0.2445,32425000000.0,20334000000.0,4.446,4.4787,4.4787,18599000000.0,18599000000.0,0.4172,0.4449,INTC
2020-12-31 00:00:00,77867000000.0,34255000000.0,43612000000.0,13556000000.0,6180000000.0,23678000000.0,629000000.0,1400000000.0,272000000.0,25078000000.0,4179000000.0,20899000000.0,20899000000.0,4.98,0.5601,0.3041,0.3221,0.2684,0.2688,35917000000.0,23678000000.0,4.9382,4.9771,4.9771,20899000000.0,20899000000.0,0.4613,0.4544,INTC
2020-09-30 00:00:00,78098000000.0,33956000000.0,44142000000.0,13285000000.0,6015000000.0,24591000000.0,589000000.0,1067000000.0,338000000.0,25658000000.0,3711000000.0,21947000000.0,21947000000.0,5.15,0.5652,0.3149,0.3285,0.281,0.2602,36795000000.0,24591000000.0,5.0795,5.131,5.131,21947000000.0,21947000000.0,0.4711,0.453,INTC
2020-06-30 00:00:00,78955000000.0,33259000000.0,45696000000.0,13221000000.0,6116000000.0,25979000000.0,,1357000000.0,331000000.0,27336000000.0,3675000000.0,23661000000.0,23661000000.0,5.49,0.5788,0.329,0.3462,0.2997,0.2774,37739000000.0,25979000000.0,5.4153,5.4742,5.4742,23661000000.0,23661000000.0,0.478,0.4802,INTC
2020-03-31 00:00:00,75732000000.0,30665000000.0,45067000000.0,13305000000.0,6308000000.0,24899000000.0,,1226000000.0,380000000.0,26125000000.0,3390000000.0,22735000000.0,22735000000.0,5.23,0.5951,0.3288,0.345,0.3002,0.2401,36150000000.0,24899000000.0,5.1476,5.2076,5.2076,22735000000.0,22735000000.0,0.4773,0.4535,INTC
2019-12-31 00:00:00,71965000000.0,29825000000.0,42140000000.0,13362000000.0,6350000000.0,22035000000.0,,2023000000.0,,24058000000.0,3010000000.0,21048000000.0,21048000000.0,4.78,0.5856,0.3062,0.3343,0.2925,0.2353,32861000000.0,22035000000.0,4.7055,4.7653,4.7653,21048000000.0,21048000000.0,0.4566,0.4606,INTC
2019-09-30 00:00:00,70413000000.0,28924000000.0,41489000000.0,13411000000.0,6478000000.0,21462000000.0,,163000000.0,,21625000000.0,2287000000.0,19338000000.0,19338000000.0,4.32,0.5892,0.3048,0.3071,0.2746,0.2091,31813000000.0,21462000000.0,4.2633,4.3219,4.3219,19338000000.0,19338000000.0,0.4518,0.4283,INTC
2019-06-30 00:00:00,70386000000.0,27832000000.0,42554000000.0,13631000000.0,6547000000.0,22364000000.0,,-316000000.0,,22048000000.0,2302000000.0,19746000000.0,19746000000.0,4.36,0.6046,0.3177,0.3132,0.2805,0.1941,32310000000.0,22364000000.0,4.2886,4.3565,4.3565,19746000000.0,19746000000.0,0.459,0.4018,INTC
2019-03-31 00:00:00,70843000000.0,27748000000.0,43095000000.0,13564000000.0,6633000000.0,23020000000.0,,-167000000.0,,22853000000.0,2280000000.0,20573000000.0,20573000000.0,4.5,0.6083,0.3249,0.3226,0.2904,0.1767,32534000000.0,23020000000.0,4.4193,4.4976,4.4976,20573000000.0,20573000000.0,0.4592,0.3968,INTC
