Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5278000000.0,1812000000.0,3464000000.0,2503180000.0,953190900.0,107000000.0,106000000.0,124774000.0,900000000.0,141000000.0,760344000.0,761000000.0,9.28,0.6563,0.1806,0.1705,0.1442,0.1973,1183000000.0,953191100.0,9.2566,9.3757,9.3757,760344000.0,761000000.0,0.2241,0.2147,IT
2022-06-30 00:00:00,5102000000.0,1760000000.0,3341000000.0,2413149000.0,929993800.0,107000000.0,97000000.0,126087000.0,867000000.0,132000000.0,735664000.0,736000000.0,8.87,0.6548,0.1823,0.1699,0.1443,0.2135,1168000000.0,929994000.0,8.8451,8.9675,8.9675,735664000.0,736000000.0,0.2289,0.228,IT
2022-03-31 00:00:00,4892319000.0,1638802000.0,3253517000.0,2296734000.0,907585700.0,102000000.0,174473000.0,123758000.0,970187000.0,168951000.0,801975000.0,802236000.0,9.5,0.665,0.1855,0.1983,0.164,0.2572,1142710000.0,907585900.0,9.4468,9.5791,9.5791,801975000.0,802236000.0,0.2336,0.2704,IT
2021-12-31 00:00:00,4733357000.0,1548269000.0,3186087900.0,2166085000.0,915750700.0,97000000.0,114814000.0,118513000.0,969940000.0,176604000.0,793560000.0,793336000.0,9.28,0.6731,0.1935,0.2049,0.1676,0.2646,1150308900.0,915750900.0,9.2085,9.3331,9.3331,793560000.0,793336000.0,0.243,0.2773,IT
2021-09-30 00:00:00,4540116000.0,1448697000.0,3092418800.0,2024727100.0,908477600.0,130000000.0,91839000.0,113591000.0,949096000.0,245153000.0,703808000.0,703943000.0,8.12,0.6811,0.2001,0.209,0.155,0.2811,1138757700.0,908477500.0,8.057,8.1416,8.1416,703808000.0,703943000.0,0.2508,0.2947,IT
2021-06-30 00:00:00,4378734000.0,1366464000.0,3012269800.0,2023235100.0,765906700.0,129000000.0,-1644000.0,112530000.0,764263000.0,192356000.0,571907000.0,571907000.0,6.55,0.6879,0.1749,0.1745,0.1306,0.2682,989473700.0,765906600.0,6.4894,6.55,6.55,571907000.0,571907000.0,0.226,0.2825,IT
2021-03-31 00:00:00,4184550000.0,1338213000.0,2846336800.0,2029579100.0,590843700.0,132000000.0,-146812000.0,115436000.0,444032000.0,88284000.0,355748000.0,355748000.0,4.01,0.6802,0.1412,0.1061,0.085,0.223,829425700.0,590843600.0,3.9704,4.0021,4.0021,355748000.0,355748000.0,0.1982,0.2401,IT
2020-12-31 00:00:00,4099403000.0,1345024000.0,2754378900.0,2038963100.0,490149800.0,136000000.0,-164017000.0,115636000.0,326133000.0,59388000.0,266745000.0,266745000.0,2.99,0.6719,0.1196,0.0796,0.0651,0.1999,727877800.0,490149700.0,2.9633,2.9865,2.9865,266745000.0,266745000.0,0.1776,0.2203,IT
2020-09-30 00:00:00,4190137000.0,1444464000.0,2745673100.0,2070506000.0,448158300.0,92000000.0,-167599000.0,116345000.0,280559000.0,65720000.0,214839000.0,214839000.0,2.41,0.6553,0.107,0.067,0.0513,0.1459,683860300.0,448158100.0,2.3825,2.406,2.406,214839000.0,214839000.0,0.1632,0.1732,IT
2020-06-30 00:00:00,4196021000.0,1479753000.0,2716268100.0,2061157000.0,429655300.0,,-110165000.0,109880000.0,319490000.0,80227000.0,239263000.0,239263000.0,2.68,0.6473,0.1024,0.0761,0.057,0.1349,620760300.0,429655100.0,2.6493,2.6769,2.6769,239263000.0,239263000.0,0.1479,0.1671,IT
2020-03-31 00:00:00,4293768000.0,1545201000.0,2748567000.0,2081293000.0,446006200.0,,-94466000.0,104333000.0,351540000.0,63948000.0,287592000.0,287592000.0,3.21,0.6401,0.1039,0.0819,0.067,0.1006,644602200.0,446006000.0,3.1698,3.2078,3.2078,287592000.0,287592000.0,0.1501,0.1364,IT
2019-12-31 00:00:00,4245321000.0,1550568000.0,2694753000.0,2103424000.0,370087200.0,,-94348000.0,102831000.0,275739000.0,42449000.0,233290000.0,233290000.0,2.6,0.6348,0.0872,0.065,0.055,0.0981,588363200.0,370087000.0,2.5645,2.5975,2.5975,233290000.0,233290000.0,0.1386,0.1332,IT
2019-09-30 00:00:00,4130707000.0,1507542000.0,2623165000.0,2033961000.0,363554000.0,,-87430000.0,100796000.0,276124000.0,26515000.0,249609000.0,249609000.0,2.77,0.635,0.088,0.0668,0.0604,0.0895,580668000.0,363553900.0,2.7328,2.7655,2.7655,249609000.0,249609000.0,0.1406,0.1278,IT
