Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6099000000.0,1979400100.0,4389500000.0,2765700200.0,1581800000.0,-17000000.0,349000000.0,1545000000.0,363300000.0,1181800100.0,923000000.0,2.0,0.7197,0.2594,0.2533,0.1513,0.1344,1778900000.0,1581799900.0,2.5555,,2.5676,,2.5676,1181800100.0,,1182000000.0,0.2917,0.1599,IVZ
2022-06-30 00:00:00,6672000000.0,2074500100.0,4598700000.0,2871600200.0,1695400000.0,-28000000.0,329000000.0,1975000000.0,416200000.0,1559100100.0,1076000000.0,2.32,0.6893,0.2541,0.296,0.1613,0.117,1895600100.0,1695399900.0,3.36,,3.3769,,3.3769,1559100100.0,,1560000000.0,0.2841,0.1348,IVZ
2022-03-31 00:00:00,6874400000.0,2139100100.0,4725100000.0,2917900200.0,1821599900.0,150400000.0,268600000.0,2342300000.0,507400000.0,1835300100.0,1323300000.0,2.86,0.6873,0.265,0.3407,0.1925,0.14,2025300000.0,1821599800.0,3.9456,,3.9672,,3.9672,1835300100.0,,1836100000.0,0.2946,0.1563,IVZ
2021-12-31 00:00:00,6849100000.0,2149300100.0,4745200000.0,2960000200.0,1788199700.0,249200000.0,216400000.0,2500400000.0,531100000.0,1969400100.0,1393100000.0,3.01,0.6928,0.2611,0.3651,0.2034,0.1725,1993499800.0,1788199600.0,4.2317,,4.2553,,4.2553,1969400100.0,,1969700000.0,0.2911,0.1884,IVZ
2021-09-30 00:00:00,6924200000.0,2116500100.0,4644700000.0,2938599900.0,1496800200.0,482100000.0,153800000.0,2212100000.0,469300000.0,1743100000.0,1177200000.0,2.55,0.6708,0.2162,0.3195,0.17,0.2115,1704900200.0,1496800400.0,3.7473,,3.7725,,3.7725,1743100000.0,,1743500000.0,0.2462,0.2281,IVZ
2021-06-30 00:00:00,6508800000.0,2050900100.0,4457900000.0,2879699900.0,1301500100.0,612200000.0,106600000.0,1913700000.0,421500000.0,1492200000.0,1038900000.0,2.26,0.6849,0.2,0.294,0.1596,0.2051,1510200100.0,1301500300.0,3.2123,,3.234,,3.234,1492200000.0,,1492200000.0,0.232,0.2228,IVZ
2021-03-31 00:00:00,6206400000.0,1955300100.0,4251100000.0,2923899900.0,947700100.0,422100000.0,116800000.0,1369800000.0,310700000.0,1059100000.0,711100000.0,1.55,0.685,0.1527,0.2207,0.1146,0.1876,1153900100.0,947700300.0,2.2842,,2.299,,2.299,1059100000.0,,1059100000.0,0.1859,0.2063,IVZ
2020-12-31 00:00:00,6145600000.0,1947600100.0,4198000000.0,2884299900.0,920400200.0,148700000.0,129300000.0,1069100000.0,261600000.0,807500000.0,524800000.0,1.15,0.6831,0.1498,0.174,0.0854,0.1815,1123900200.0,920400400.0,1.746,,1.7573,,1.7573,807500000.0,,807500000.0,0.1829,0.2002,IVZ
2020-09-30 00:00:00,6258300000.0,1968000000.0,4290300000.0,2918400200.0,1017199600.0,-24800000.0,139500000.0,992400100.0,273100000.0,719300100.0,493500000.0,1.09,0.6855,0.1625,0.1586,0.0789,0.1578,1219999600.0,1017199600.0,1.5693,,1.58,,1.58,719300100.0,,719300000.0,0.1949,0.1774,IVZ
2020-06-30 00:00:00,6481300000.0,2032300000.0,4449000000.0,2956000200.0,1023799700.0,-101400000.0,140700000.0,922400100.0,255200000.0,667200100.0,468900000.0,1.03,0.6864,0.158,0.1423,0.0723,0.14,1223499700.0,1023799700.0,1.4531,,1.4651,,1.4651,667200100.0,,667200000.0,0.1888,0.1589,IVZ
