Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14662000000.0,12975000000.0,1685000000.0,3814970800.0,1372108100.0,50000000.0,17000000.0,49181000.0,1324000000.0,313000000.0,1010258000.0,1009000000.0,9.56,0.1149,0.0936,0.0903,0.0688,0.0154,2030000000.0,1372107900.0,9.56,9.6674,9.6674,1010258000.0,1009000000.0,0.1385,0.1098,JBHT
2022-06-30 00:00:00,13969000000.0,12385000000.0,1582000000.0,2837094800.0,1283709200.0,48000000.0,17000000.0,47596000.0,1237000000.0,296000000.0,940705000.0,940000000.0,8.87,0.1133,0.0919,0.0886,0.0673,0.009,1906000000.0,1283709000.0,8.8701,8.9711,8.9711,940705000.0,940000000.0,0.1364,0.0959,JBHT
2022-03-31 00:00:00,13039370000.0,10742092000.0,2296278000.0,2594419800.0,1172172500.0,47000000.0,1941000.0,46813000.0,1126487000.0,268325000.0,857525000.0,857162000.0,8.06,0.1761,0.0899,0.0864,0.0657,0.0054,1758917100.0,1172172300.0,8.059,8.1535,8.1535,857525000.0,857162000.0,0.1349,0.0883,JBHT
2021-12-31 00:00:00,12168519000.0,9197131000.0,2971388000.0,2448546800.0,1045530500.0,46000000.0,-27083000.0,46251000.0,1000115000.0,239347000.0,760806000.0,760768000.0,7.14,0.2442,0.0859,0.0822,0.0625,0.0285,1620113900.0,1045530300.0,7.1376,7.2211,7.2211,760806000.0,760768000.0,0.1331,0.1006,JBHT
2021-09-30 00:00:00,11409171000.0,7763539000.0,3645632000.0,2288235100.0,930719700.0,46000000.0,-34428000.0,46891000.0,884462000.0,211687000.0,672604000.0,672775000.0,6.3,0.3195,0.0816,0.0775,0.059,0.0455,1495395500.0,930719200.0,6.3043,6.376,6.376,672604000.0,672775000.0,0.1311,0.1036,JBHT
2021-06-30 00:00:00,10736694000.0,6437325000.0,4299369000.0,2923077100.0,832393500.0,46000000.0,-46323000.0,46809000.0,786070000.0,187799000.0,598271000.0,598271000.0,5.6,0.4004,0.0775,0.0732,0.0557,0.0517,1376291400.0,832393000.0,5.6019,5.6638,5.6638,598271000.0,598271000.0,0.1282,0.1073,JBHT
2021-03-31 00:00:00,9973897000.0,5870123000.0,4103774000.0,2802918100.0,766030500.0,47000000.0,-47082000.0,47568000.0,718948000.0,171141000.0,547807000.0,547807000.0,5.13,0.4115,0.0768,0.0721,0.0549,0.0682,1300855400.0,766030000.0,5.1319,5.1856,5.1856,547807000.0,547807000.0,0.1304,0.1242,JBHT
2020-12-31 00:00:00,9636574000.0,5645956000.0,3990617900.0,2750123100.0,713119600.0,47000000.0,-47094000.0,47580000.0,666025000.0,159990000.0,506035000.0,506035000.0,4.74,0.4141,0.074,0.0691,0.0525,0.0542,1240494600.0,713119100.0,4.7396,4.7874,4.7874,506035000.0,506035000.0,0.1287,0.1165,JBHT
2020-09-30 00:00:00,9349246000.0,5430579000.0,3918665900.0,2686961900.0,710501700.0,,-49526000.0,51280000.0,660976000.0,164272000.0,496704000.0,496704000.0,4.65,0.4191,0.076,0.0707,0.0531,0.0558,1231704700.0,710502200.0,4.6411,4.6873,4.6873,496704000.0,496704000.0,0.1317,0.1146,JBHT
2020-06-30 00:00:00,9240383000.0,5357978000.0,3882403900.0,2663929900.0,702860900.0,,-49988000.0,51742000.0,652873000.0,163255000.0,489618000.0,489618000.0,4.87,0.4202,0.0761,0.0707,0.053,0.0708,1218474900.0,702861400.0,4.5655,4.6089,4.6089,489618000.0,489618000.0,0.1319,0.1225,JBHT
2020-03-31 00:00:00,9356457000.0,5457805000.0,3898650800.0,2668569900.0,720770800.0,,-51933000.0,53687000.0,668838000.0,167285000.0,501553000.0,501553000.0,4.96,0.4167,0.077,0.0715,0.0536,0.0526,1230080800.0,720771300.0,4.6568,4.6998,4.6998,501553000.0,501553000.0,0.1315,0.1172,JBHT
2019-12-31 00:00:00,9165258000.0,5325119000.0,3840137800.0,2607167900.0,733824700.0,,-52930000.0,54684000.0,680895000.0,164575000.0,516320000.0,516320000.0,5.07,0.419,0.0801,0.0743,0.0563,0.0448,1232969700.0,733825200.0,4.7672,4.8107,4.8107,516320000.0,516320000.0,0.1345,0.1198,JBHT
2019-09-30 00:00:00,9032776000.0,5342976000.0,3689799800.0,2553495800.0,651490200.0,,-51388000.0,51612000.0,600102000.0,139777000.0,460325000.0,460325000.0,4.53,0.4085,0.0721,0.0664,0.051,0.0399,1136304200.0,651490400.0,4.2315,4.2679,4.2679,460325000.0,460325000.0,0.1258,0.1381,JBHT
