Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5153000000.0,2272000000.0,2881000000.0,1022000000.0,1368000000.0,469500000.0,53000000.0,84000000.0,16000000.0,493000000.0,67000000.0,426100000.0,424000000.0,1.29,0.5591,0.0911,0.0957,0.0823,-0.0019,748000000.0,469499700.0,1.2844,1.3116,1.3116,423500000.0,424000000.0,0.1452,0.0182,JNPR
2022-06-30 00:00:00,4927000000.0,2142000000.0,2785000000.0,1000000000.0,1334500000.0,440300100.0,50000000.0,73000000.0,13000000.0,465000000.0,73000000.0,391400000.0,391000000.0,1.19,0.5653,0.0894,0.0944,0.0794,0.0143,712000000.0,440299800.0,1.1835,1.2096,1.2096,390900000.0,391000000.0,0.1445,0.0363,JNPR
2022-03-31 00:00:00,4829300000.0,2056400000.0,2772900000.0,1001800000.0,1321800000.0,418200300.0,50000000.0,13100000.0,13000000.0,393800000.0,53800000.0,339500000.0,340000000.0,1.03,0.5742,0.0866,0.0815,0.0704,0.1238,684200100.0,418200000.0,1.0256,1.0474,1.0474,339500000.0,340000000.0,0.1417,0.1456,JNPR
2021-12-31 00:00:00,4735700000.0,1996200000.0,2739500000.0,1007500000.0,1302100000.0,387500300.0,51000000.0,-58500000.0,14000000.0,310000000.0,57100000.0,252700000.0,252900000.0,0.76,0.5785,0.0818,0.0655,0.0534,0.1245,639400000.0,387500000.0,0.7621,0.779,0.779,252700000.0,252900000.0,0.135,0.1456,JNPR
2021-09-30 00:00:00,4658300000.0,1951800000.0,2706500100.0,995000000.0,1283900000.0,331700300.0,58000000.0,-132400000.0,16000000.0,188200000.0,37500000.0,150600000.0,150700000.0,0.45,0.581,0.0712,0.0404,0.0324,0.1283,576900300.0,331700200.0,0.4507,0.4645,0.4645,150600000.0,150700000.0,0.1238,0.1502,JNPR
2021-06-30 00:00:00,4607500000.0,1935200000.0,2672300000.0,985400000.0,1255000000.0,336700200.0,65000000.0,-148900000.0,19000000.0,187800000.0,-19300000.0,207100000.0,207100000.0,0.62,0.58,0.0731,0.0408,0.0449,0.1262,564000200.0,336700100.0,0.6169,0.6295,0.6295,207100000.0,207100000.0,0.1224,0.1474,JNPR
2021-03-31 00:00:00,4521500000.0,1911500000.0,2610000000.0,980600000.0,1209500000.0,341500200.0,71000000.0,-142400000.0,25000000.0,199100000.0,-7200000.0,206300000.0,206300000.0,0.61,0.5772,0.0755,0.044,0.0456,0.0932,560300200.0,341500100.0,0.6129,0.6233,0.6233,206300000.0,206300000.0,0.1239,0.1149,JNPR
2020-12-31 00:00:00,4445100000.0,1871400000.0,2573700000.0,958400000.0,1194200000.0,353100300.0,77000000.0,-87900000.0,36000000.0,265200000.0,7400000.0,257800000.0,257800000.0,0.77,0.579,0.0794,0.0597,0.058,0.1151,565500300.0,353100200.0,0.7691,0.7803,0.7803,257800000.0,257800000.0,0.1272,0.1377,JNPR
2020-09-30 00:00:00,4430600000.0,1854600000.0,2575999800.0,955500000.0,1172300000.0,433600000.0,78000000.0,-33600000.0,46000000.0,400000000.0,4600000.0,395400000.0,395400000.0,1.18,0.5814,0.0979,0.0903,0.0892,0.1101,646400000.0,433600000.0,1.1622,1.1783,1.1783,395400000.0,395400000.0,0.1459,0.1313,JNPR
2020-06-30 00:00:00,4425500000.0,1828900000.0,2596599900.0,957600000.0,1179700000.0,447000000.0,,-40500000.0,38267000.0,406500000.0,57200000.0,349300000.0,349300000.0,1.03,0.5867,0.101,0.0919,0.0789,0.1248,661600000.0,447000000.0,1.0149,1.0291,1.0291,349300000.0,349300000.0,0.1495,0.147,JNPR
2020-03-31 00:00:00,4441700000.0,1827900000.0,2613799900.0,960600000.0,1185400000.0,438899900.0,,-40700000.0,,398200000.0,63900000.0,334300000.0,334300000.0,0.98,0.5885,0.0988,0.0897,0.0753,0.1212,654499900.0,438899900.0,0.9635,0.9776,0.9776,334300000.0,334300000.0,0.1474,0.1445,JNPR
2019-12-31 00:00:00,4445400000.0,1828600000.0,2616799900.0,955700000.0,1183600000.0,442199900.0,,-27800000.0,,414400000.0,69400000.0,345000000.0,345000000.0,1.01,0.5887,0.0995,0.0932,0.0776,0.0943,652499900.0,442199900.0,0.9908,1.0052,1.0052,345000000.0,345000000.0,0.1468,0.119,JNPR
2019-09-30 00:00:00,4418300000.0,1809900000.0,2608400100.0,947300000.0,1160100000.0,460399900.0,,-31600000.0,,428800000.0,60000000.0,368800000.0,368800000.0,1.07,0.5904,0.1042,0.0971,0.0835,0.119,667200000.0,460399900.0,1.042,1.0602,1.0602,368800000.0,368800000.0,0.151,0.1461,JNPR
2019-06-30 00:00:00,4465000000.0,1824000000.0,2641000200.0,956600000.0,1156300000.0,482000000.0,,-19300000.0,,462700000.0,-30600000.0,493300000.0,493300000.0,1.43,0.5915,0.108,0.1036,0.1105,0.122,683300100.0,482000000.0,1.3931,1.4164,1.4164,493300000.0,493300000.0,0.153,0.1496,JNPR
2019-03-31 00:00:00,4566600000.0,1861500000.0,2705100200.0,961400000.0,1159800000.0,559399900.0,,-23600000.0,,535800000.0,-27800000.0,563600000.0,563600000.0,1.63,0.5924,0.1225,0.1173,0.1234,0.135,762900000.0,559399900.0,1.5924,1.6168,1.6168,563600000.0,563600000.0,0.1671,0.1641,JNPR
2018-12-31 00:00:00,4647500000.0,1906300000.0,2741200200.0,1003200000.0,1158500000.0,572199900.0,,-39500000.0,,532700000.0,-34200000.0,566900000.0,566900000.0,1.64,0.5898,0.1231,0.1146,0.122,0.1536,782700000.0,572199900.0,1.5996,1.6243,1.6243,566900000.0,566900000.0,0.1684,0.1853,JNPR
2018-09-30 00:00:00,4706000000.0,1924499900.0,2781500200.0,999900000.0,1165000000.0,578099700.0,,-33600000.0,,544500000.0,317900000.0,226600000.0,226600000.0,0.68,0.5911,0.1228,0.1157,0.0482,0.1481,793199800.0,578100000.0,0.6828,0.6914,0.6914,226600000.0,226600000.0,0.1686,0.183,JNPR
2018-06-30 00:00:00,4784000000.0,1941099900.0,2842900100.0,982500000.0,1175400000.0,648899700.0,,-30600000.0,,618300000.0,449800000.0,168500000.0,168500000.0,0.49,0.5943,0.1356,0.1292,0.0352,0.1441,873299800.0,648900000.0,0.4773,0.483,0.483,168500000.0,168500000.0,0.1825,0.1788,JNPR
2018-03-31 00:00:00,4888800000.0,1944899900.0,2943900100.0,973900000.0,1178400000.0,747299900.0,,-34700000.0,,712600000.0,480800000.0,231800000.0,231800000.0,0.63,0.6022,0.1529,0.1458,0.0474,0.1682,972800000.0,747300200.0,0.612,0.6219,0.6219,231800000.0,231800000.0,0.199,0.2012,JNPR
