Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,13645000000.0,6837000000.0,6808000000.0,4531000000.0,2657000000.0,578000000.0,1071000000.0,689000000.0,2270000000.0,445000000.0,1825000000.0,,1826000000.0,1.28,0.4989,0.1947,0.1664,0.1338,0.2084,3415000000.0,2657000000.0,1.2774,1.288,1.288,1825000000.0,1825000000.0,0.2503,0.2227,KDP
2022-06-30 00:00:00,13273000000.0,6624000000.0,6649000000.0,4249000000.0,3058000000.0,576000000.0,606000000.0,598000000.0,2765000000.0,590000000.0,2175000000.0,,2176000000.0,1.52,0.5009,0.2304,0.2083,0.1639,0.2128,3401000000.0,3058000000.0,1.5223,1.5348,1.5348,2175000000.0,2175000000.0,0.2562,0.2316,KDP
2022-03-31 00:00:00,12859000000.0,6236000000.0,6623000000.0,4084000000.0,3220000000.0,608000000.0,152000000.0,548000000.0,3165000000.0,760000000.0,2405000000.0,,2406000000.0,1.69,0.515,0.2504,0.2461,0.1871,0.2113,3471000000.0,3220000000.0,1.6834,1.6971,1.6971,2405000000.0,2405000000.0,0.2699,0.2326,KDP
2021-12-31 00:00:00,12683000000.0,5946000000.0,6737000000.0,4027000000.0,2894000000.0,485000000.0,250000000.0,500000000.0,2798000000.0,653000000.0,2145000000.0,,2146000000.0,1.51,0.5312,0.2282,0.2206,0.1692,0.2003,3560000000.0,2894000000.0,1.5022,1.5152,1.5152,2145000000.0,2145000000.0,0.2807,0.2266,KDP
2021-09-30 00:00:00,12413000000.0,5584000000.0,6829000000.0,3914000000.0,2869000000.0,509000000.0,-503000000.0,527000000.0,2247000000.0,517000000.0,1730000000.0,,1731000000.0,1.22,0.5501,0.2311,0.181,0.1395,0.1813,3537000000.0,2869000000.0,1.2129,1.2241,1.2241,1730000000.0,1730000000.0,0.2849,0.2194,KDP
2021-06-30 00:00:00,12183000000.0,5341000000.0,6842000000.0,3949000000.0,2827000000.0,548000000.0,-674000000.0,559000000.0,2153000000.0,509000000.0,1644000000.0,,1644000000.0,1.16,0.5616,0.232,0.1767,0.1349,0.1729,3508000000.0,2827000000.0,1.1539,1.1657,1.1657,1644000000.0,1644000000.0,0.2879,0.2079,KDP
2021-03-31 00:00:00,11907000000.0,5273000000.0,6634000000.0,3911000000.0,2654000000.0,580000000.0,-708000000.0,591000000.0,1946000000.0,452000000.0,1494000000.0,,1494000000.0,1.05,0.5572,0.2229,0.1634,0.1255,0.1796,3319000000.0,2654000000.0,1.0498,1.0614,1.0614,1494000000.0,1494000000.0,0.2787,0.2174,KDP
2020-12-31 00:00:00,11618000000.0,5132000000.0,6486000000.0,3978000000.0,2480000000.0,597000000.0,-727000000.0,604000000.0,1753000000.0,428000000.0,1325000000.0,,1325000000.0,0.93,0.5583,0.2135,0.1509,0.114,0.1844,3133000000.0,2480000000.0,0.9317,0.9417,0.9417,1325000000.0,1325000000.0,0.2697,0.2114,KDP
2020-09-30 00:00:00,11431000000.0,5020000000.0,6411000000.0,3989000000.0,2493000000.0,603000000.0,-748000000.0,615000000.0,1745000000.0,442000000.0,1303000000.0,,1303000000.0,0.92,0.5608,0.2181,0.1527,0.114,0.1953,3141000000.0,2493000000.0,0.9168,0.9261,0.9261,1303000000.0,1303000000.0,0.2748,0.2044,KDP
2020-06-30 00:00:00,11281000000.0,4949000000.0,6332000000.0,4052000000.0,2320000000.0,,-746000000.0,625000000.0,1574000000.0,410000000.0,1164000000.0,,1164000000.0,0.83,0.5613,0.2057,0.1395,0.1032,0.1976,2978000000.0,2320000000.0,0.8197,0.8274,0.8274,1164000000.0,1164000000.0,0.264,0.2068,KDP
