Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7195000000.0,480000000.0,7296000000.0,4607000000.0,2689000000.0,,2631000000.0,487000000.0,2144000000.0,2046000000.0,2.19,1.014,0.0,0.3657,0.2844,0.2874,2.18,0.005,2.3296,0.005,2.19,2144000000.0,8000000.0,2144000000.0,0.0,0.2984,KEY
2022-06-30 00:00:00,7147000000.0,303000000.0,7230000000.0,4397000000.0,2833000000.0,,2775000000.0,528000000.0,2247000000.0,2149000000.0,2.29,1.0116,0.0,0.3883,0.3007,0.0954,2.28,0.005,2.4278,0.0049,2.29,2247000000.0,8000000.0,2247000000.0,0.0,0.104,KEY
2022-03-31 00:00:00,7235000000.0,280000000.0,7212000000.0,4128000000.0,3084000000.0,,3026000000.0,585000000.0,2441000000.0,2345000000.0,2.48,0.9968,0.0,0.4182,0.3241,0.1502,2.46,0.007,2.6125,0.0069,2.48,2441000000.0,10000000.0,2446000000.0,0.0,0.1587,KEY
2021-12-31 00:00:00,7395000000.0,296000000.0,7265000000.0,3953000000.0,3312000000.0,,3254000000.0,642000000.0,2612000000.0,2519000000.0,2.65,0.9824,0.0,0.44,0.3406,0.1973,2.62,0.01,2.7717,0.0099,2.64,2612000000.0,13000000.0,2621000000.0,0.0,0.2057,KEY
2021-09-30 00:00:00,7380000000.0,316000000.0,7160000000.0,3970000000.0,3175000000.0,,3175000000.0,615000000.0,2560000000.0,2472000000.0,2.57,0.9702,0.0,0.4302,0.335,0.2415,2.55,0.0142,2.6916,0.0142,2.56,2560000000.0,18000000.0,2576000000.0,0.0,0.2481,KEY
2021-06-30 00:00:00,7392000000.0,364000000.0,7028000000.0,4147000000.0,2851000000.0,,2851000000.0,510000000.0,2341000000.0,2255000000.0,2.33,0.9508,0.0,0.3857,0.3051,0.2365,2.31,0.0162,2.4494,0.0162,2.32,2341000000.0,20000000.0,2361000000.0,0.0,0.2457,KEY
2021-03-31 00:00:00,7434000000.0,463000000.0,6971000000.0,4770000000.0,2153000000.0,,2153000000.0,351000000.0,1802000000.0,1713000000.0,1.77,0.9377,0.0,0.2896,0.2304,0.2123,1.75,0.0131,1.8814,0.0131,1.75,1802000000.0,17000000.0,1819000000.0,0.0,0.2207,KEY
2020-12-31 00:00:00,7337000000.0,651000000.0,6686000000.0,5065000000.0,1556000000.0,,1556000000.0,227000000.0,1329000000.0,1237000000.0,1.27,0.9113,0.0,0.2121,0.1686,0.2194,1.26,0.01,1.3877,0.01,1.26,1329000000.0,14000000.0,1343000000.0,0.0,0.228,KEY
2020-09-30 00:00:00,7346000000.0,867000000.0,6479000000.0,5035000000.0,1375000000.0,,1408000000.0,188000000.0,1220000000.0,1123000000.0,1.15,0.882,0.0,0.1917,0.1529,0.2245,1.14,0.0112,1.2666,0.0112,1.14,1220000000.0,10000000.0,1230000000.0,0.0,0.2341,KEY
2020-06-30 00:00:00,7513000000.0,1093000000.0,6420000000.0,4966000000.0,1374000000.0,,1407000000.0,198000000.0,1209000000.0,1108000000.0,1.13,0.8545,0.0,0.1873,0.1475,0.296,1.11,0.0101,1.2453,0.0101,1.12,1209000000.0,9000000.0,1218000000.0,0.0,0.3036,KEY
