Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1712504000.0,521888000.0,1190616000.0,116591000.0,546624900.0,32059000.0,223355000.0,,89898000.0,-613000.0,90511000.0,153041000.0,229296000.0,0.36,0.6952,0.3192,0.0525,0.1339,0.3553,1060581900.0,546624900.0,0.3972,,0.41,,0.41,243552000.0,,240677000.0,0.6193,0.5298,KIM
2022-06-30 00:00:00,1647708000.0,497485000.0,1150223000.0,112818000.0,478558900.0,72412000.0,223090000.0,,555613000.0,740000.0,554873000.0,141512000.0,675538000.0,1.19,0.6981,0.2904,0.3372,0.41,0.306,981334900.0,478558900.0,1.2339,,1.2497,,1.2497,696385000.0,,690014000.0,0.5956,0.4658,KIM
2022-03-31 00:00:00,1509526000.0,457040000.0,1052486000.0,109591000.0,463125900.0,37203000.0,213436000.0,,830795000.0,1919000.0,828876000.0,115354000.0,912165000.0,1.65,0.6972,0.3068,0.5504,0.6043,0.3254,913863900.0,463125900.0,1.717,,1.7337,,1.7337,944230000.0,,938392000.0,0.6054,0.4406,KIM
2021-12-31 00:00:00,1364585000.0,417911000.0,946674000.0,104121000.0,424285900.0,46484000.0,204133000.0,,745126000.0,3380000.0,741746000.0,107950000.0,814165000.0,1.58,0.6937,0.3109,0.546,0.5966,0.2946,819605900.0,424285900.0,1.6616,,1.6784,,1.6784,849696000.0,,845218000.0,0.6006,0.4535,KIM
2021-09-30 00:00:00,1209371900.0,375925000.0,833447000.0,96037000.0,378796000.0,151787000.0,192541000.0,,894432000.0,3393000.0,891039000.0,78507000.0,934118000.0,1.92,0.6892,0.3132,0.7396,0.7724,0.3524,714778000.0,378796000.0,1.9913,,2.0007,,2.0007,969546100.0,,965468000.0,0.591,0.4475,KIM
2021-06-30 00:00:00,1100556900.0,355604000.0,744953000.0,98928000.0,375421000.0,-28372000.0,187357000.0,,347049000.0,3467000.0,343582000.0,79331000.0,392063000.0,0.91,0.6769,0.3411,0.3153,0.3562,0.4786,668869000.0,375421000.0,0.9764,,0.9825,,0.9825,422913100.0,,422913000.0,0.6078,0.5871,KIM
2021-03-31 00:00:00,1050456900.0,346565000.0,703892000.0,96678000.0,321772000.0,661470000.0,188560000.0,,983242000.0,2243000.0,980999000.0,72914000.0,1023259000.0,2.37,0.6701,0.3063,0.936,0.9741,0.3236,616206000.0,321772000.0,2.4407,,2.4507,,2.4507,1053913100.0,,1053913000.0,0.5866,0.555,KIM
2020-12-31 00:00:00,1057892900.0,342969000.0,714924000.0,93217000.0,332612000.0,595262000.0,186904000.0,,927874000.0,978000.0,926896000.0,75981000.0,975417000.0,2.26,0.6758,0.3144,0.8771,0.922,0.3442,621567000.0,332612000.0,2.3235,,2.3325,,2.3325,1002877100.0,,1002877000.0,0.5876,0.5576,KIM
2020-09-30 00:00:00,1084582100.0,342111000.0,742471100.0,96962000.0,388926100.0,444486000.0,186774000.0,,833412000.0,745000.0,832667000.0,78454000.0,873349000.0,2.02,0.6846,0.3586,0.7684,0.8052,0.3911,672025100.0,388926000.0,2.1173,,2.1237,,2.1237,911121000.0,,911121000.0,0.6196,0.5229,KIM
2020-06-30 00:00:00,1107661100.0,336210000.0,771451100.0,91999000.0,415512100.0,537978000.0,182978000.0,,953490000.0,-3509000.0,956999000.0,77004000.0,977145000.0,2.26,0.6965,0.3751,0.8608,0.8822,0.316,695781100.0,415512000.0,2.4073,,2.4142,,2.4142,1034003000.0,,1034003000.0,0.6282,0.4582,KIM
