Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,42454000000.0,17602000000.0,24852000000.0,12785000000.0,10506000000.0,827000000.0,-742000000.0,377000000.0,12146000000.0,2181000000.0,9965000000.0,9925000000.0,2.29,0.5854,0.2475,0.2861,0.2338,0.2388,12270000000.0,10506000000.0,2.2904,2.3028,2.3028,9965000000.0,,9965000000.0,0.289,0.27,KO
2022-06-30 00:00:00,41380000000.0,16964000000.0,24416000000.0,12626000000.0,10316000000.0,819000000.0,-21000000.0,317000000.0,11786000000.0,2168000000.0,9618000000.0,9571000000.0,2.21,0.59,0.2493,0.2848,0.2313,0.2502,12030000000.0,10316000000.0,2.2109,2.2235,2.2235,9618000000.0,,9618000000.0,0.2907,0.2814,KO
2022-03-31 00:00:00,40154000000.0,16068000000.0,24086000000.0,12440000000.0,10991000000.0,644000000.0,1769000000.0,997000000.0,13120000000.0,2778000000.0,10342000000.0,10307000000.0,2.38,0.5998,0.2737,0.3267,0.2567,0.2579,13508000000.0,10991000000.0,2.3793,2.3932,2.3932,10342000000.0,,10342000000.0,0.3364,0.2892,KO
2021-12-31 00:00:00,38676000000.0,15308000000.0,23368000000.0,12142000000.0,10308000000.0,657000000.0,2110000000.0,1361000000.0,12425000000.0,2621000000.0,9804000000.0,9771000000.0,2.26,0.6042,0.2665,0.3213,0.2526,0.2939,12997000000.0,10308000000.0,2.2591,2.2721,2.2721,9804000000.0,,9804000000.0,0.336,0.3264,KO
2021-09-30 00:00:00,37821000000.0,14799000000.0,23022000000.0,11395000000.0,10974000000.0,782000000.0,1259000000.0,1600000000.0,11826000000.0,2998000000.0,8828000000.0,8813000000.0,2.04,0.6087,0.2902,0.3127,0.233,0.3122,12629000000.0,10974000000.0,2.0359,2.0476,2.0476,8828000000.0,,8828000000.0,0.3339,0.3399,KO
2021-06-30 00:00:00,36412000000.0,14341000000.0,22071000000.0,10786000000.0,10374000000.0,1213000000.0,549000000.0,2192000000.0,10923000000.0,2830000000.0,8093000000.0,8079000000.0,1.87,0.6061,0.2849,0.3,0.2219,0.3185,11911000000.0,10374000000.0,1.8688,1.8794,1.8794,8093000000.0,,8093000000.0,0.3271,0.3456,KO
2021-03-31 00:00:00,33433000000.0,13567000000.0,19866000000.0,9752000000.0,9339000000.0,1377000000.0,163000000.0,1686000000.0,9502000000.0,2274000000.0,7228000000.0,7217000000.0,1.67,0.5942,0.2793,0.2842,0.2159,0.2981,10874000000.0,9339000000.0,1.6715,1.6805,1.6805,7228000000.0,,7228000000.0,0.3252,0.3267,KO
2020-12-31 00:00:00,33014000000.0,13433000000.0,19581000000.0,9731000000.0,8997000000.0,1374000000.0,752000000.0,1437000000.0,9749000000.0,1981000000.0,7768000000.0,7747000000.0,1.8,0.5931,0.2725,0.2953,0.2347,0.2682,10533000000.0,8997000000.0,1.7969,1.8086,1.8086,7768000000.0,,7768000000.0,0.319,0.2982,KO
2020-09-30 00:00:00,33471000000.0,13421000000.0,20050000000.0,10366000000.0,8823000000.0,1297000000.0,985000000.0,1362000000.0,9808000000.0,1449000000.0,8359000000.0,8333000000.0,1.94,0.599,0.2636,0.293,0.249,0.2242,10329000000.0,8823000000.0,1.9341,1.9482,1.9482,8359000000.0,,8359000000.0,0.3086,0.2665,KO
2020-06-30 00:00:00,34326000000.0,13717000000.0,20609000000.0,10971000000.0,9024000000.0,,1695000000.0,932000000.0,10719000000.0,1511000000.0,9208000000.0,9189000000.0,2.15,0.6004,0.2629,0.3123,0.2677,0.2325,10535000000.0,9024000000.0,2.1306,2.1481,2.1481,9208000000.0,,9208000000.0,0.3069,0.2551,KO
2020-03-31 00:00:00,37173000000.0,14625000000.0,22548000000.0,11984000000.0,10031000000.0,,1540000000.0,894000000.0,11571000000.0,1494000000.0,10077000000.0,10017000000.0,2.35,0.6066,0.2698,0.3113,0.2695,0.2499,11488000000.0,10031000000.0,2.3335,2.3542,2.3542,10077000000.0,,10077000000.0,0.309,0.2754,KO
2019-12-31 00:00:00,37266000000.0,14619000000.0,22647000000.0,12103000000.0,10086000000.0,,700000000.0,946000000.0,10786000000.0,1801000000.0,8985000000.0,8920000000.0,2.09,0.6077,0.2706,0.2894,0.2394,0.2521,11451000000.0,10086000000.0,2.0828,2.1012,2.1012,8985000000.0,,8985000000.0,0.3073,0.281,KO
2019-09-30 00:00:00,36676000000.0,14493000000.0,22183000000.0,11793000000.0,9883000000.0,,-440000000.0,970000000.0,9443000000.0,1523000000.0,7920000000.0,7748000000.0,1.81,0.6048,0.2695,0.2575,0.2113,0.248,11127000000.0,9883000000.0,1.8368,1.8364,1.8535,7920000000.0,,7847000000.0,0.3034,0.2647,KO
2019-06-30 00:00:00,35944000000.0,14072000000.0,21872000000.0,11337000000.0,9998000000.0,,-1274000000.0,954000000.0,8724000000.0,1575000000.0,7149000000.0,7035000000.0,1.64,0.6085,0.2782,0.2427,0.1957,0.2238,11133000000.0,9998000000.0,1.6609,1.6588,1.6759,7149000000.0,,7076000000.0,0.3097,0.2627,KO
2019-03-31 00:00:00,35368000000.0,13694000000.0,21674000000.0,11228000000.0,9776000000.0,,-1159000000.0,965000000.0,8617000000.0,1765000000.0,6852000000.0,6744000000.0,1.57,0.6128,0.2764,0.2436,0.1907,0.1802,10867000000.0,9776000000.0,1.5938,1.591,1.6081,6852000000.0,-194000000.0,6779000000.0,0.3073,0.2206,KO
2018-12-31 00:00:00,34300000000.0,13067000000.0,21233000000.0,11002000000.0,9152000000.0,,-927000000.0,950000000.0,8225000000.0,1749000000.0,6476000000.0,6434000000.0,1.5,0.619,0.2668,0.2398,0.1876,0.1845,10238000000.0,9152000000.0,1.5065,1.5206,1.5205,6476000000.0,,6476000000.0,0.2985,0.2224,KO
2018-09-30 00:00:00,34136000000.0,12782000000.0,21354000000.0,11145000000.0,8701000000.0,,-468000000.0,913000000.0,8233000000.0,5474000000.0,2759000000.0,2812000000.0,0.65,0.6256,0.2549,0.2412,0.0824,0.1581,9842000000.0,8701000000.0,0.6516,0.668,0.6465,2759000000.0,,2832000000.0,0.2883,0.2012,KO
