Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14902000000.0,10442000000.0,4460000000.0,2831000000.0,1629000000.0,229000000.0,270000000.0,200000000.0,,1899000000.0,412000000.0,1487000000.0,9000000.0,1491000000.0,4.38,0.2993,0.1093,0.1274,0.1001,0.0833,2101000000.0,1629000000.0,4.3558,4.3869,4.3869,1496000000.0,1496000000.0,0.141,0.1165,K
2022-06-30 00:00:00,14578000000.0,10106000000.0,4472000000.0,2764000000.0,1708000000.0,253000000.0,200000000.0,216000000.0,,1908000000.0,430000000.0,1478000000.0,11000000.0,1488000000.0,4.37,0.3068,0.1172,0.1309,0.1021,0.0892,2181000000.0,1708000000.0,4.338,4.3663,4.3663,1489000000.0,1489000000.0,0.1496,0.1248,K
2022-03-31 00:00:00,14269000000.0,9716000000.0,4553000000.0,2756000000.0,1797000000.0,239000000.0,222000000.0,220000000.0,,2019000000.0,477000000.0,1542000000.0,6000000.0,1542000000.0,4.53,0.3191,0.1259,0.1415,0.1081,0.0894,2271000000.0,1797000000.0,4.5072,4.5336,4.5336,1548000000.0,1548000000.0,0.1592,0.1257,K
2021-12-31 00:00:00,14181000000.0,9621000000.0,4560000000.0,2808000000.0,1752000000.0,239000000.0,214000000.0,223000000.0,,1966000000.0,474000000.0,1492000000.0,3000000.0,1488000000.0,4.36,0.3216,0.1235,0.1386,0.1049,0.081,2219000000.0,1752000000.0,4.3459,4.3713,4.3713,1495000000.0,1495000000.0,0.1565,0.1199,K
2021-09-30 00:00:00,14225000000.0,9485000000.0,4740000000.0,2932000000.0,1808000000.0,259000000.0,-132000000.0,257000000.0,,1676000000.0,400000000.0,1276000000.0,-7000000.0,1260000000.0,3.69,0.3332,0.1271,0.1178,0.0886,0.0669,2278000000.0,1808000000.0,3.693,3.7116,3.7116,1269000000.0,1269000000.0,0.1601,0.1081,K
2021-06-30 00:00:00,14032000000.0,9256000000.0,4776000000.0,3004000000.0,1772000000.0,265000000.0,-70000000.0,265000000.0,,1702000000.0,373000000.0,1329000000.0,-13000000.0,1301000000.0,3.81,0.3404,0.1263,0.1213,0.0927,0.0794,2249000000.0,1772000000.0,3.8211,3.8434,3.8434,1316000000.0,1316000000.0,0.1603,0.1213,K
2021-03-31 00:00:00,13942000000.0,9193000000.0,4749000000.0,2975000000.0,1774000000.0,291000000.0,-137000000.0,276000000.0,,1637000000.0,338000000.0,1299000000.0,-14000000.0,1272000000.0,3.71,0.3406,0.1272,0.1174,0.0912,0.0907,2248000000.0,1774000000.0,3.7248,3.7465,3.7465,1285000000.0,1285000000.0,0.1612,0.1313,K
2020-12-31 00:00:00,13770000000.0,9043000000.0,4727000000.0,2966000000.0,1761000000.0,303000000.0,-160000000.0,281000000.0,,1601000000.0,323000000.0,1278000000.0,-14000000.0,1251000000.0,3.65,0.3433,0.1279,0.1163,0.0908,0.1076,2240000000.0,1761000000.0,3.6637,3.6851,3.6851,1264000000.0,1264000000.0,0.1627,0.1442,K
2020-09-30 00:00:00,13529000000.0,8899000000.0,4630000000.0,2894000000.0,1736000000.0,278000000.0,-167000000.0,259000000.0,,1569000000.0,352000000.0,1217000000.0,-9000000.0,1191000000.0,3.48,0.3422,0.1283,0.116,0.088,0.1011,2215000000.0,1736000000.0,3.4968,3.5274,3.5274,1208000000.0,1208000000.0,0.1637,0.1363,K
2020-06-30 00:00:00,13472000000.0,9043000000.0,4429000000.0,2841000000.0,1588000000.0,,-96000000.0,268000000.0,,1492000000.0,378000000.0,1114000000.0,-10000000.0,1090000000.0,3.19,0.3288,0.1179,0.1107,0.0809,0.0829,2063000000.0,1588000000.0,3.2046,3.2285,3.2285,1104000000.0,1104000000.0,0.1531,0.1208,K
2020-03-31 00:00:00,13468000000.0,9050000000.0,4418000000.0,2939000000.0,1479000000.0,,-87000000.0,274000000.0,,1392000000.0,343000000.0,1049000000.0,-7000000.0,1025000000.0,3.01,0.328,0.1098,0.1034,0.0761,0.0703,1956000000.0,1479000000.0,3.0348,3.0552,3.0552,1042000000.0,1042000000.0,0.1452,0.1112,K
2019-12-31 00:00:00,13578000000.0,9197000000.0,4381000000.0,2980000000.0,1401000000.0,,-96000000.0,284000000.0,,1305000000.0,321000000.0,984000000.0,-7000000.0,960000000.0,2.82,0.3227,0.1032,0.0961,0.0707,0.0435,1885000000.0,1401000000.0,2.8483,2.8651,2.8651,977000000.0,977000000.0,0.1388,0.0866,K
2019-09-30 00:00:00,13672000000.0,9290000000.0,4382000000.0,3015000000.0,1367000000.0,,-407000000.0,295000000.0,,960000000.0,212000000.0,748000000.0,-7000000.0,731000000.0,2.15,0.3205,0.1,0.0702,0.0535,0.0666,1869000000.0,1367000000.0,2.1798,2.1794,2.1794,743000000.0,743000000.0,0.1367,0.1123,K
2019-06-30 00:00:00,13769000000.0,9211000000.0,4558000000.0,3058000000.0,1500000000.0,,-427000000.0,295000000.0,,1073000000.0,190000000.0,883000000.0,193000000.0,864000000.0,2.52,0.331,0.1089,0.0779,0.0627,0.0731,2025000000.0,1500000000.0,2.5521,2.5558,2.5558,878000000.0,878000000.0,0.1471,0.1169,K
2019-03-31 00:00:00,13668000000.0,9087000000.0,4581000000.0,3004000000.0,1577000000.0,,-400000000.0,292000000.0,,1177000000.0,186000000.0,991000000.0,196000000.0,1174000000.0,3.4,0.3352,0.1154,0.0861,0.0859,0.0574,2095000000.0,1577000000.0,3.4171,3.4232,3.4232,1185000000.0,1185000000.0,0.1533,0.1008,K
2018-12-31 00:00:00,13547000000.0,8821000000.0,4726000000.0,3020000000.0,1706000000.0,,-377000000.0,287000000.0,,1329000000.0,181000000.0,1148000000.0,,1336000000.0,3.86,0.3489,0.1259,0.0981,0.0986,0.0707,2222000000.0,1706000000.0,3.8621,3.8731,3.8731,1344000000.0,1344000000.0,0.164,0.1134,K
2018-09-30 00:00:00,13415000000.0,8636000000.0,4779000000.0,3010000000.0,1769000000.0,,246000000.0,281000000.0,,2015000000.0,370000000.0,1645000000.0,201000000.0,1837000000.0,5.34,0.3562,0.1319,0.1502,0.1369,0.0464,2258000000.0,1769000000.0,5.2945,5.313,5.313,1843000000.0,1843000000.0,0.1683,0.0849,K
2018-06-30 00:00:00,13192000000.0,8417000000.0,4775000000.0,3069000000.0,1706000000.0,,241000000.0,273000000.0,,1947000000.0,402000000.0,1545000000.0,205000000.0,1745000000.0,5.1,0.362,0.1293,0.1476,0.1323,0.0193,2181000000.0,1706000000.0,5.0247,5.0441,5.0441,1748000000.0,1748000000.0,0.1653,0.0575,K
2018-03-31 00:00:00,13007000000.0,8216000000.0,4791000000.0,3174000000.0,1617000000.0,,271000000.0,264000000.0,,1861000000.0,434000000.0,1427000000.0,,1432000000.0,4.19,0.3683,0.1243,0.1431,0.1101,0.0125,2099000000.0,1617000000.0,4.1074,4.1288,4.1288,1432000000.0,1432000000.0,0.1614,0.0511,K
2017-12-31 00:00:00,12854000000.0,8155000000.0,4699000000.0,3312000000.0,1387000000.0,,57000000.0,256000000.0,,1657000000.0,410000000.0,1247000000.0,6000000.0,1254000000.0,3.66,0.3656,0.1079,0.1289,0.0976,-0.0076,1868000000.0,1387000000.0,3.5829,3.6034,3.6034,1254000000.0,1254000000.0,0.1453,0.0314,K
2017-09-30 00:00:00,12717000000.0,8105000000.0,4612000000.0,3428000000.0,1184000000.0,,-188000000.0,251000000.0,,1051000000.0,266000000.0,785000000.0,5000000.0,789000000.0,2.27,0.3627,0.0931,0.0826,0.062,-0.0051,1710000000.0,1184000000.0,2.2516,2.2706,2.2706,790000000.0,790000000.0,0.1345,0.0346,K
2017-06-30 00:00:00,12725000000.0,8021000000.0,4704000000.0,3443000000.0,1261000000.0,,,245000000.0,,1020000000.0,227000000.0,793000000.0,,793000000.0,2.24,0.3697,0.0991,0.0802,0.0623,0.0149,1767000000.0,1261000000.0,2.2489,2.2701,2.2701,794000000.0,794000000.0,0.1389,0.0562,K
2017-03-31 00:00:00,12818000000.0,8069000000.0,4749000000.0,3424000000.0,1325000000.0,,-305000000.0,250000000.0,,1020000000.0,231000000.0,789000000.0,3000000.0,790000000.0,2.23,0.3705,0.1034,0.0796,0.0616,0.0577,1848000000.0,1325000000.0,2.2359,2.2592,2.2592,791000000.0,791000000.0,0.1442,0.0961,K
2016-12-31 00:00:00,12965000000.0,8131000000.0,4834000000.0,3351000000.0,1483000000.0,,-549000000.0,406000000.0,,934000000.0,235000000.0,699000000.0,,699000000.0,1.98,0.3728,0.1144,0.072,0.0539,0.0589,2000000000.0,1483000000.0,1.9775,2.0,2.0,700000000.0,700000000.0,0.1543,0.098,K
