Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14190000000.0,12119000000.0,2071000000.0,973000000.0,1093000000.0,186000000.0,5000000.0,194000000.0,890000000.0,201000000.0,689000000.0,682000000.0,4.89,0.1459,0.077,0.0627,0.0481,0.0696,1434000000.0,1093000000.0,4.9398,,4.9845,,4.9845,689000000.0,,689000000.0,0.1011,0.0769,LDOS
2022-06-30 00:00:00,14065000000.0,11966000000.0,2099000000.0,972000000.0,1117000000.0,180000000.0,19000000.0,191000000.0,929000000.0,196000000.0,733000000.0,725000000.0,5.15,0.1492,0.0794,0.0661,0.0515,0.0574,1468000000.0,1117000000.0,5.2059,,5.2626,,5.2626,733000000.0,,733000000.0,0.1044,0.0646,LDOS
2022-03-31 00:00:00,13916000000.0,11857000000.0,2059000000.0,936000000.0,1115000000.0,177000000.0,-34000000.0,187000000.0,927000000.0,196000000.0,731000000.0,723000000.0,5.11,0.148,0.0801,0.0666,0.052,0.056,1458000000.0,1115000000.0,5.1483,,5.2128,,5.2128,731000000.0,,731000000.0,0.1048,0.0636,LDOS
2021-12-31 00:00:00,13737000000.0,11723000000.0,2014000000.0,859000000.0,1152000000.0,175000000.0,-76000000.0,184000000.0,967000000.0,208000000.0,759000000.0,753000000.0,5.3,0.1466,0.0839,0.0704,0.0548,0.0675,1482000000.0,1152000000.0,5.3076,,5.3831,,5.3831,759000000.0,,759000000.0,0.1079,0.0751,LDOS
2021-09-30 00:00:00,13498000000.0,11501000000.0,1997000000.0,793000000.0,1181000000.0,193000000.0,-140000000.0,184000000.0,990000000.0,210000000.0,780000000.0,776000000.0,5.46,0.1479,0.0875,0.0733,0.0575,0.0472,1497000000.0,1181000000.0,5.435,,5.5119,,5.5119,780000000.0,,780000000.0,0.1109,0.057,LDOS
2021-06-30 00:00:00,13257000000.0,11333000000.0,1924000000.0,761000000.0,1134000000.0,190000000.0,-190000000.0,181000000.0,944000000.0,209000000.0,735000000.0,734000000.0,5.18,0.1451,0.0855,0.0712,0.0554,0.0504,1441000000.0,1134000000.0,5.1124,,5.1846,,5.1846,735000000.0,,735000000.0,0.1087,0.06,LDOS
2021-03-31 00:00:00,12723000000.0,10914000000.0,1809000000.0,732000000.0,1114000000.0,189000000.0,-201000000.0,176000000.0,913000000.0,194000000.0,719000000.0,718000000.0,5.06,0.1422,0.0876,0.0718,0.0564,0.0824,1412000000.0,1114000000.0,4.993,,5.0634,,5.0634,719000000.0,,719000000.0,0.111,0.0944,LDOS
2020-12-31 00:00:00,12297000000.0,10560000000.0,1737000000.0,770000000.0,998000000.0,197000000.0,-217000000.0,179000000.0,781000000.0,152000000.0,629000000.0,628000000.0,4.43,0.1413,0.0812,0.0635,0.0511,0.0946,1280000000.0,998000000.0,4.368,,4.4296,,4.4296,629000000.0,,629000000.0,0.1041,0.1085,LDOS
2020-09-30 00:00:00,11999000000.0,10326000000.0,1673000000.0,763000000.0,960000000.0,149000000.0,-197000000.0,167000000.0,763000000.0,150000000.0,613000000.0,612000000.0,4.31,0.1394,0.08,0.0636,0.051,0.1007,1234000000.0,960000000.0,4.2724,,4.333,,4.333,613000000.0,,613000000.0,0.1028,0.1296,LDOS
2020-06-30 00:00:00,11592000000.0,10002000000.0,1590000000.0,740000000.0,951000000.0,,-188000000.0,151000000.0,763000000.0,151000000.0,612000000.0,610000000.0,4.29,0.1372,0.082,0.0658,0.0526,0.0989,1202000000.0,951000000.0,4.2577,,4.318,,4.318,612000000.0,,612000000.0,0.1037,0.1132,LDOS
2020-03-31 00:00:00,11406000000.0,9819000000.0,1587000000.0,720000000.0,912000000.0,,-162000000.0,143000000.0,750000000.0,154000000.0,596000000.0,593000000.0,4.15,0.1391,0.08,0.0658,0.052,0.0825,1149000000.0,912000000.0,4.1335,,4.1918,,4.1918,596000000.0,,596000000.0,0.1007,0.0943,LDOS
2019-12-31 00:00:00,11094000000.0,9546000000.0,1548000000.0,689000000.0,912000000.0,,-46000000.0,133000000.0,866000000.0,196000000.0,670000000.0,667000000.0,4.64,0.1395,0.0822,0.0781,0.0601,0.0872,1146000000.0,912000000.0,4.6206,,4.6853,,4.6853,670000000.0,,670000000.0,0.1033,0.0894,LDOS
2019-09-30 00:00:00,10787000000.0,9297000000.0,1490000000.0,701000000.0,839000000.0,,-50000000.0,133000000.0,789000000.0,112000000.0,677000000.0,674000000.0,4.64,0.1381,0.0778,0.0731,0.0625,0.1037,1077000000.0,839000000.0,4.5873,,4.6504,,4.6504,677000000.0,,677000000.0,0.0998,0.0859,LDOS
2019-06-30 00:00:00,10527000000.0,9021000000.0,1506000000.0,718000000.0,793000000.0,,-48000000.0,140000000.0,745000000.0,83000000.0,662000000.0,660000000.0,4.48,0.1431,0.0753,0.0708,0.0627,0.0906,1036000000.0,793000000.0,4.4309,,4.491,,4.491,662000000.0,,662000000.0,0.0984,0.0901,LDOS
2019-03-31 00:00:00,10328000000.0,8825000000.0,1503000000.0,717000000.0,782000000.0,,-51000000.0,142000000.0,731000000.0,62000000.0,669000000.0,668000000.0,4.49,0.1455,0.0757,0.0708,0.0647,0.1009,1034000000.0,782000000.0,4.4273,,4.4866,,4.4866,669000000.0,,669000000.0,0.1001,0.1001,LDOS
2018-12-31 00:00:00,10194000000.0,8690000000.0,1504000000.0,729000000.0,749000000.0,,-139000000.0,138000000.0,610000000.0,28000000.0,582000000.0,581000000.0,3.86,0.1475,0.0735,0.0598,0.057,0.0682,1006000000.0,749000000.0,3.8039,,3.8543,,3.8543,582000000.0,,582000000.0,0.0987,0.0753,LDOS
2018-09-30 00:00:00,10063000000.0,8591000000.0,1472000000.0,722000000.0,662000000.0,,-168000000.0,139000000.0,494000000.0,-13000000.0,507000000.0,507000000.0,3.34,0.1463,0.0658,0.0491,0.0504,0.0732,951000000.0,662000000.0,3.2912,,3.3312,,3.3312,507000000.0,,507000000.0,0.0945,0.0823,LDOS
2018-06-30 00:00:00,9991000000.0,8553000000.0,1438000000.0,722000000.0,610000000.0,,-170000000.0,139000000.0,440000000.0,1000000.0,439000000.0,442000000.0,2.91,0.1439,0.0611,0.044,0.0442,0.064,927000000.0,610000000.0,2.8434,,2.8774,,2.8774,439000000.0,,439000000.0,0.0928,0.0725,LDOS
2018-03-31 00:00:00,10033000000.0,8591000000.0,1442000000.0,734000000.0,577000000.0,,-167000000.0,138000000.0,410000000.0,18000000.0,392000000.0,396000000.0,2.61,0.1437,0.0575,0.0409,0.0395,0.0536,908000000.0,577000000.0,2.5423,,2.5725,,2.5725,392000000.0,,392000000.0,0.0905,0.0617,LDOS
2017-12-31 00:00:00,10170000000.0,8738000000.0,1432000000.0,737000000.0,559000000.0,,-166000000.0,140000000.0,393000000.0,29000000.0,364000000.0,366000000.0,2.42,0.1408,0.055,0.0386,0.036,0.0445,909000000.0,559000000.0,2.3637,,2.3947,,2.3947,364000000.0,,364000000.0,0.0894,0.0517,LDOS
2017-09-30 00:00:00,10229000000.0,8737000000.0,1492000000.0,779000000.0,610000000.0,,-146000000.0,134000000.0,464000000.0,153000000.0,311000000.0,311000000.0,2.06,0.1459,0.0596,0.0454,0.0304,0.0429,932000000.0,610000000.0,1.9253,,1.9546,,1.9546,311000000.0,,311000000.0,0.0911,0.0472,LDOS
2017-06-30 00:00:00,9594000000.0,8231000000.0,1363000000.0,673000000.0,560000000.0,,-137000000.0,127000000.0,423000000.0,99000000.0,324000000.0,320000000.0,2.33,0.1421,0.0584,0.0441,0.0334,0.0467,827000000.0,560000000.0,2.2193,,2.2563,,2.2563,324000000.0,,324000000.0,0.0862,0.0507,LDOS
2017-03-31 00:00:00,8311000000.0,7182000000.0,1129000000.0,543000000.0,469000000.0,,-121000000.0,108000000.0,348000000.0,81000000.0,267000000.0,263000000.0,2.24,0.1358,0.0564,0.0419,0.0316,0.0433,665000000.0,469000000.0,2.1329,,2.1689,,2.1689,267000000.0,,267000000.0,0.08,0.0472,LDOS
2016-12-31 00:00:00,7043000000.0,6103000000.0,940000000.0,422000000.0,417000000.0,,-99000000.0,86000000.0,318000000.0,72000000.0,246000000.0,244000000.0,2.44,0.1335,0.0592,0.0452,0.0346,0.0601,539000000.0,417000000.0,2.3654,,2.4117,,2.4117,246000000.0,,246000000.0,0.0765,0.0638,LDOS
2016-09-30 00:00:00,5375000000.0,4727000000.0,648000000.0,226000000.0,389000000.0,,24000000.0,67000000.0,413000000.0,93000000.0,320000000.0,300000000.0,3.81,0.1206,0.0724,0.0768,0.0558,0.0726,956000000.0,389000000.0,3.8773,,3.6851,,3.9391,320000000.0,,301000000.0,0.1779,0.0649,LDOS
2016-06-30 00:00:00,4809000000.0,4235000000.0,574000000.0,191000000.0,382000000.0,,36000000.0,54000000.0,418000000.0,141000000.0,277000000.0,258000000.0,3.68,0.1194,0.0794,0.0869,0.0536,0.083,923000000.0,382000000.0,3.7403,,3.5443,,3.7977,277000000.0,,258000000.0,0.1919,0.0724,LDOS
2016-03-31 00:00:00,4778000000.0,4207000000.0,571000000.0,186000000.0,371000000.0,,39000000.0,53000000.0,410000000.0,137000000.0,273000000.0,254000000.0,3.63,0.1195,0.0776,0.0858,0.0532,0.1007,915000000.0,371000000.0,3.6862,,3.4895,,3.7461,273000000.0,,254000000.0,0.1915,0.0894,LDOS
2015-12-31 00:00:00,4712000000.0,4146000000.0,566000000.0,201000000.0,320000000.0,,35000000.0,53000000.0,355000000.0,128000000.0,243000000.0,242000000.0,3.51,0.1201,0.0679,0.0753,0.0514,0.0957,868000000.0,320000000.0,3.28,-0.05,3.315,-0.05,3.33,243000000.0,-4000000.0,242000000.0,0.1842,0.0847,LDOS
2015-09-30 00:00:00,5081000000.0,4459000000.0,622000000.0,251000000.0,268000000.0,,-59000000.0,61000000.0,209000000.0,71000000.0,147000000.0,161000000.0,,0.1224,0.0527,0.0411,0.0317,0.1077,839000000.0,268000000.0,1.99,,2.2148,,2.03,147000000.0,,161000000.0,0.1651,0.1096,LDOS
2015-06-30 00:00:00,5085000000.0,4440000000.0,645000000.0,285000000.0,-236000000.0,,-65000000.0,65000000.0,-301000000.0,64000000.0,-341000000.0,-326000000.0,,0.1268,-0.0464,-0.0592,-0.0641,0.0773,826000000.0,-236000000.0,-4.61,,-4.3847,,-4.58,-341000000.0,,-326000000.0,0.1624,0.081,LDOS
2015-03-31 00:00:00,5140000000.0,4468000000.0,672000000.0,318000000.0,-213000000.0,,-71000000.0,71000000.0,-284000000.0,,-333000000.0,-326000000.0,,0.1307,-0.0414,-0.0553,-0.0634,0.0434,319000000.0,-213000000.0,-4.54,0.1,-4.411,0.1,-4.51,-333000000.0,7000000.0,-326000000.0,0.0621,0.049,LDOS
2014-10-31 00:00:00,5755000000.0,4992000000.0,763000000.0,440000000.0,163000000.0,,-75000000.0,78000000.0,-326000000.0,38000000.0,-364000000.0,-370000000.0,,0.1326,-0.0445,-0.0566,-0.0643,0.0551,243000000.0,-256000000.0,-4.95,-0.08,-5.0083,-0.08,-4.93,-364000000.0,-6000000.0,-370000000.0,0.0422,0.0598,LDOS
2014-07-31 00:00:00,5893000000.0,5096000000.0,797000000.0,481000000.0,86000000.0,,-71000000.0,78000000.0,-382000000.0,16000000.0,-398000000.0,-362000000.0,,0.1352,-0.054,-0.0648,-0.0614,0.0516,-306000000.0,-318000000.0,-5.41,0.42,-4.9741,0.42,-5.4,-398000000.0,36000000.0,-362000000.0,-0.0519,0.0507,LDOS
2014-04-30 00:00:00,6044000000.0,5270000000.0,774000000.0,499000000.0,506000000.0,,-63000000.0,79000000.0,109000000.0,28000000.0,81000000.0,153000000.0,,0.1281,0.0278,0.018,0.0253,0.016,-363000000.0,168000000.0,0.95,0.9,1.9091,0.9,0.96,81000000.0,76000000.0,157000000.0,-0.0601,0.0121,LDOS
2014-01-31 00:00:00,6329000000.0,5506000000.0,823000000.0,543000000.0,495000000.0,,-60000000.0,,,,,,,0.13,0.0,0.0,0.0,0.0,106000000.0,,,,,,,,,,0.0167,0.0,LDOS
2013-10-31 00:00:00,6048000000.0,5240000000.0,808000000.0,471000000.0,1661000000.0,,-57000000.0,79000000.0,115000000.0,-69000000.0,184000000.0,298000000.0,,0.1336,0.0284,0.019,0.0493,0.0205,497000000.0,172000000.0,2.11,1.44,3.6429,1.44,2.11,184000000.0,122000000.0,306000000.0,0.0822,0.0146,LDOS
2013-07-31 00:00:00,6307000000.0,5455000000.0,852000000.0,497000000.0,1766000000.0,,-60000000.0,78000000.0,217000000.0,-30000000.0,247000000.0,411000000.0,,0.1351,0.0439,0.0344,0.0652,0.0406,611000000.0,277000000.0,2.87,2.04,5.028,2.04,2.87,247000000.0,174000000.0,421000000.0,0.0969,0.0384,LDOS
2013-04-30 00:00:00,7676000000.0,6647000000.0,1029000000.0,544000000.0,1945000000.0,,-66000000.0,84000000.0,390000000.0,39000000.0,351000000.0,477000000.0,,0.1341,0.0594,0.0508,0.0621,-0.0358,794000000.0,456000000.0,4.1,1.614,5.8493,1.614,4.1,351000000.0,138000000.0,489000000.0,0.1034,-0.033,LDOS
2013-01-31 00:00:00,8843000000.0,7703000000.0,1140000000.0,539000000.0,2077000000.0,,-76000000.0,93000000.0,512000000.0,84000000.0,428000000.0,514000000.0,,0.1289,0.0665,0.0579,0.0581,0.0,918000000.0,588000000.0,5.0882,1.164,6.3032,1.164,5.0882,428000000.0,97000000.0,525000000.0,0.1038,0.0,LDOS
