Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,32321000000.0,22919000000.0,9402000000.0,436616000.0,6695782000.0,873000000.0,,5837000000.0,1338000000.0,4498217000.0,4431000000.0,15.12,0.2909,0.2072,0.1806,0.1371,0.0663,7101000000.0,6695780000.0,15.3559,15.3559,15.3559,4498217000.0,4447000000.0,0.2197,0.0672,LEN
2022-05-31 00:00:00,30342000000.0,21596000000.0,8746000000.0,885059000.0,6078469000.0,510000000.0,,5827000000.0,1391000000.0,4434741000.0,4369000000.0,14.61,0.2882,0.2003,0.192,0.144,0.0729,6503000000.0,6078467000.0,14.8302,14.8302,14.8302,4434741000.0,4383000000.0,0.2143,0.0737,LEN
2022-02-28 00:00:00,28408245000.0,20879605000.0,7528640000.0,870569000.0,5367674000.0,389962000.0,,5168885000.0,1219113000.0,3948955000.0,3886279000.0,12.78,0.265,0.1889,0.182,0.1368,0.0819,5803984000.0,5367672000.0,12.9769,12.9769,12.9769,3948955000.0,3914772000.0,0.2043,0.0837,LEN
2021-11-30 00:00:00,27121713000.0,20663054000.0,6458659000.0,867439000.0,5138259300.0,59488000.0,,5818899000.0,1362218000.0,4456549000.0,4377394000.0,14.29,0.2381,0.1895,0.2145,0.1614,0.0973,5178436300.0,5138257300.0,14.5349,14.5349,14.5349,4456549000.0,4427681000.0,0.1909,0.0982,LEN
2021-08-31 00:00:00,25516603000.0,20166646000.0,5349956000.0,851879000.0,4519733300.0,-97533000.0,,5402545000.0,1248955000.0,4153808200.0,4072276900.0,13.2,0.2097,0.1771,0.2117,0.1596,0.1033,4579743300.0,4519733300.0,13.4631,13.4632,13.4632,4153808200.0,4137589900.0,0.1795,0.1045,LEN
2021-05-31 00:00:00,24451857000.0,20012641000.0,4439214800.0,373877000.0,4065340000.0,382219000.0,,4447558000.0,1033645000.0,3413913200.0,3340896900.0,10.81,0.1815,0.1663,0.1819,0.1366,0.1457,4144518000.0,4065340000.0,11.0441,11.0442,11.0442,3413913200.0,3413912900.0,0.1695,0.1472,LEN
2021-02-28 00:00:00,23308985000.0,19377123000.0,3931860400.0,361343000.0,3570519500.0,456731000.0,,4027250000.0,934011000.0,3093239200.0,3031735900.0,9.81,0.1687,0.1532,0.1728,0.1301,0.1795,3646790500.0,3570519500.0,10.0088,10.0089,10.0089,3093239200.0,3093238900.0,0.1565,0.1799,LEN
2020-11-30 00:00:00,22488854000.0,19014746000.0,3474106500.0,333446000.0,3140662300.0,-16874000.0,,3123788000.0,656235000.0,2467553200.0,2436646900.0,7.88,0.1545,0.1397,0.1389,0.1083,0.1846,3210440300.0,3140662300.0,7.9751,7.9752,7.9752,2467553200.0,2467552900.0,0.1428,0.1864,LEN
2020-08-31 00:00:00,22634493000.0,19419192000.0,3215301200.0,319932000.0,2895369300.0,-47543000.0,,2847828000.0,600001000.0,2247827000.0,2231562000.0,7.19,0.1421,0.1279,0.1258,0.0986,0.18,2967517300.0,2895370000.0,7.2185,7.2185,7.2185,2247827000.0,2247827000.0,0.1311,0.1803,LEN
2020-05-31 00:00:00,22621297000.0,19639283000.0,2982014600.0,326549000.0,2655465500.0,431000.0,,2655898000.0,564751000.0,2091147000.0,2081788000.0,6.66,0.1318,0.1174,0.1174,0.092,0.1443,2724429600.0,2655466200.0,6.6632,6.6632,6.6632,2091147000.0,2091147000.0,0.1204,0.1425,LEN
