Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,16834000000.0,11904000000.0,4930000000.0,2994000000.0,1936000000.0,272000000.0,1388000000.0,272000000.0,1328000000.0,200000000.0,1128000000.0,1130000000.0,5.75,0.2929,0.115,0.0789,0.0671,0.1141,3157000000.0,1936000000.0,5.74,,5.7984,,5.81,1128000000.0,,1128000000.0,0.1875,0.1306,LHX
2022-06-30 00:00:00,16817000000.0,11773000000.0,5044000000.0,3011000000.0,1999000000.0,269000000.0,638000000.0,269000000.0,2235000000.0,327000000.0,1908000000.0,1911000000.0,9.71,0.2999,0.1189,0.1329,0.1136,0.1069,3239000000.0,1999000000.0,9.69,,9.7728,,9.78,1908000000.0,,1908000000.0,0.1926,0.1245,LHX
2022-03-31 00:00:00,17350000000.0,12117000000.0,5233000000.0,3158000000.0,2041000000.0,267000000.0,560000000.0,267000000.0,2292000000.0,441000000.0,1851000000.0,1853000000.0,9.31,0.3016,0.1176,0.1321,0.1068,0.1008,3102000000.0,2041000000.0,9.28,,9.3547,,9.36,1851000000.0,,1851000000.0,0.1788,0.119,LHX
2021-12-31 00:00:00,17814000000.0,12438000000.0,5376000000.0,3246000000.0,2096000000.0,268000000.0,408000000.0,265000000.0,2283000000.0,440000000.0,1843000000.0,1846000000.0,9.14,0.3018,0.1177,0.1282,0.1036,0.1326,3153000000.0,2096000000.0,9.09,-0.0096,9.1506,-0.0104,9.17,1843000000.0,,1842000000.0,0.177,0.1508,LHX
2021-09-30 00:00:00,18124000000.0,12646000000.0,5478000000.0,3282000000.0,2162000000.0,269000000.0,-119000000.0,257000000.0,1942000000.0,399000000.0,1543000000.0,1555000000.0,7.6,0.3023,0.1193,0.1072,0.0858,0.1258,3185000000.0,2162000000.0,7.56,,7.5634,,7.64,1543000000.0,,1542000000.0,0.1757,0.1414,LHX
2021-06-30 00:00:00,18358000000.0,12877000000.0,5481000000.0,3340000000.0,2141000000.0,268000000.0,-267000000.0,252000000.0,1874000000.0,379000000.0,1495000000.0,1500000000.0,7.21,0.2986,0.1166,0.1021,0.0817,0.1385,3142000000.0,2141000000.0,7.16,,7.1774,,7.23,1495000000.0,,1493000000.0,0.1712,0.1545,LHX
2021-03-31 00:00:00,18135000000.0,12801000000.0,5334000000.0,3304000000.0,2030000000.0,271000000.0,-402000000.0,252000000.0,1628000000.0,268000000.0,1360000000.0,1370000000.0,6.49,0.2941,0.1119,0.0898,0.0755,0.1447,3083000000.0,2030000000.0,6.45,-0.0141,6.4365,-0.02,6.51,1360000000.0,-4000000.0,1358000000.0,0.17,0.1609,LHX
2020-12-31 00:00:00,18194000000.0,12886000000.0,5308000000.0,3315000000.0,1993000000.0,270000000.0,-671000000.0,254000000.0,1322000000.0,234000000.0,1088000000.0,1119000000.0,5.23,0.2917,0.1095,0.0727,0.0615,0.1381,3025000000.0,1993000000.0,5.19,-0.0138,5.0748,-0.0145,5.24,1088000000.0,,1086000000.0,0.1663,0.1533,LHX
2020-09-30 00:00:00,18366000000.0,13109000000.0,5257000000.0,2981000000.0,1845000000.0,270000000.0,-78000000.0,198000000.0,1543000000.0,239000000.0,1304000000.0,1319000000.0,6.11,0.2862,0.1005,0.084,0.0718,0.1639,3107000000.0,1845000000.0,6.05,-0.0291,6.0099,-0.0223,6.1,1304000000.0,-4000000.0,1296000000.0,0.1692,0.1606,LHX
2020-06-30 00:00:00,18334000000.0,13199000000.0,5135000000.0,3163000000.0,1770000000.0,,-81000000.0,203000000.0,1465000000.0,157000000.0,1308000000.0,1322000000.0,6.04,0.2801,0.0965,0.0799,0.0721,0.1285,2980000000.0,1770000000.0,5.96,,5.9491,,6.03,1308000000.0,,1301000000.0,0.1625,0.124,LHX
