Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,95954000000.0,63926000000.0,32028000000.0,19942000000.0,10304000000.0,,-1037000000.0,1037000000.0,9267000000.0,2581000000.0,6686000000.0,6663000000.0,,0.3338,0.1074,0.0966,0.0694,0.0775,,10304000000.0,10.2999,10.3417,10.3417,6686000000.0,6686000000.0,0.0,0.0945,LOW
2022-07-31 00:00:00,95393000000.0,63596000000.0,31797000000.0,17872000000.0,12169000000.0,939000000.0,-965000000.0,965000000.0,11204000000.0,2776000000.0,8428000000.0,8398000000.0,12.73,0.3333,0.1276,0.1175,0.088,0.0794,14151000000.0,12169000000.0,12.7914,12.8403,12.8403,8428000000.0,8428000000.0,0.1483,0.0966,LOW
2022-04-30 00:00:00,95487000000.0,63511000000.0,31976000000.0,18110000000.0,12150000000.0,889000000.0,-917000000.0,917000000.0,11233000000.0,2779000000.0,8454000000.0,8422000000.0,12.32,0.3349,0.1272,0.1176,0.0882,0.0725,14092000000.0,12150000000.0,12.3778,12.4315,12.4315,8454000000.0,8454000000.0,0.1476,0.09,LOW
2022-01-31 00:00:00,96250000000.0,64194000000.0,32056000000.0,18301000000.0,12093000000.0,860000000.0,-885000000.0,885000000.0,11208000000.0,2766000000.0,8442000000.0,8409000000.0,12.02,0.333,0.1256,0.1164,0.0874,0.087,13975000000.0,12093000000.0,12.0772,12.1293,12.1293,8442000000.0,8442000000.0,0.1452,0.1051,LOW
2021-10-31 00:00:00,95221000000.0,63737000000.0,31484000000.0,18100000000.0,11768000000.0,849000000.0,-853000000.0,853000000.0,10915000000.0,2702000000.0,8213000000.0,8181000000.0,11.56,0.3306,0.1236,0.1146,0.0859,0.0734,13598000000.0,11768000000.0,11.5703,11.6104,11.6104,8213000000.0,8213000000.0,0.1428,0.0918,LOW
2021-07-31 00:00:00,94612000000.0,63415000000.0,31197000000.0,18497000000.0,11154000000.0,853000000.0,-1911000000.0,851000000.0,9243000000.0,2234000000.0,7009000000.0,6981000000.0,9.74,0.3297,0.1179,0.0977,0.0738,0.0466,12908000000.0,11154000000.0,9.7482,9.7828,9.7828,7009000000.0,7009000000.0,0.1364,0.0656,LOW
2021-04-30 00:00:00,94344000000.0,63155000000.0,31189000000.0,18824000000.0,10901000000.0,861000000.0,-1914000000.0,854000000.0,8987000000.0,2168000000.0,6819000000.0,6790000000.0,9.21,0.3306,0.1155,0.0953,0.072,0.0985,12565000000.0,10901000000.0,9.2351,9.2625,9.2625,6819000000.0,6819000000.0,0.1332,0.1176,LOW
2021-01-31 00:00:00,89597000000.0,60025000000.0,29572000000.0,18526000000.0,9647000000.0,858000000.0,-1908000000.0,848000000.0,7739000000.0,1904000000.0,5835000000.0,5811000000.0,7.75,0.3301,0.1077,0.0864,0.0649,0.1043,11241000000.0,9647000000.0,7.78,7.8008,7.8008,5835000000.0,5835000000.0,0.1255,0.1233,LOW
2020-10-31 00:00:00,85313000000.0,57214000000.0,28099000000.0,17671000000.0,9081000000.0,832000000.0,-1888000000.0,828000000.0,7193000000.0,1826000000.0,5367000000.0,5347000000.0,7.09,0.3294,0.1064,0.0843,0.0627,0.1183,10614000000.0,9081000000.0,7.1237,7.1372,7.1372,5367000000.0,5367000000.0,0.1244,0.1368,LOW
2020-07-31 00:00:00,80392000000.0,53953000000.0,26439000000.0,16673000000.0,8464000000.0,751000000.0,-784000000.0,784000000.0,7680000000.0,1956000000.0,5724000000.0,5704000000.0,7.53,0.3289,0.1053,0.0955,0.071,0.1364,9937000000.0,8464000000.0,7.5682,7.5811,7.5811,5724000000.0,5724000000.0,0.1236,0.1551,LOW
2020-04-30 00:00:00,74082000000.0,50207000000.0,23875000000.0,15701000000.0,6888000000.0,663000000.0,-734000000.0,734000000.0,6154000000.0,1582000000.0,4572000000.0,4558000000.0,5.93,0.3223,0.093,0.0831,0.0615,0.0697,8334000000.0,6888000000.0,5.9586,5.9665,5.9665,4572000000.0,4572000000.0,0.1125,0.0892,LOW
2020-01-31 00:00:00,72148000000.0,49205000000.0,22943000000.0,15367000000.0,6314000000.0,592000000.0,-691000000.0,691000000.0,5623000000.0,1342000000.0,4281000000.0,4268000000.0,5.48,0.318,0.0875,0.0779,0.0592,0.0412,7724000000.0,6314000000.0,5.5025,5.5097,5.5097,4281000000.0,4281000000.0,0.1071,0.0595,LOW
2019-10-31 00:00:00,71767000000.0,48908000000.0,22859000000.0,16778000000.0,4789000000.0,,-666000000.0,666000000.0,4123000000.0,1175000000.0,2948000000.0,2938000000.0,3.78,0.3185,0.0667,0.0574,0.0409,0.0327,7171000000.0,4789000000.0,3.8276,3.8299,3.8299,2948000000.0,2948000000.0,0.0999,0.0489,LOW
2019-07-31 00:00:00,71794000000.0,49198000000.0,22596000000.0,17003000000.0,4188000000.0,,-642000000.0,642000000.0,3546000000.0,1018000000.0,2528000000.0,2520000000.0,3.2,0.3147,0.0583,0.0494,0.0351,0.0407,6680000000.0,4188000000.0,3.2447,3.2462,3.2462,2528000000.0,2528000000.0,0.093,0.0556,LOW
2019-04-30 00:00:00,71690000000.0,48949000000.0,22741000000.0,17341000000.0,3970000000.0,,-626000000.0,626000000.0,3344000000.0,972000000.0,2372000000.0,2365000000.0,2.92,0.3172,0.0554,0.0466,0.033,0.0536,6479000000.0,3970000000.0,2.966,2.9698,2.9698,2372000000.0,2372000000.0,0.0904,0.0684,LOW
2019-01-31 00:00:00,71309000000.0,48401000000.0,22908000000.0,17413000000.0,4018000000.0,,-624000000.0,624000000.0,3394000000.0,1080000000.0,2314000000.0,2307000000.0,2.8,0.3212,0.0563,0.0476,0.0324,0.0714,6577000000.0,4018000000.0,2.8497,2.8533,2.8533,2314000000.0,2314000000.0,0.0922,0.0868,LOW
2018-10-31 00:00:00,71157000000.0,48896000000.0,22261000000.0,15146000000.0,5683000000.0,,-619000000.0,619000000.0,5064000000.0,1373000000.0,3691000000.0,3681000000.0,4.5,0.3128,0.0799,0.0712,0.0517,0.0756,7281000000.0,5683000000.0,4.5114,4.517,4.517,3691000000.0,3691000000.0,0.1023,0.0912,LOW
2018-07-31 00:00:00,70512000000.0,47915000000.0,22597000000.0,14957000000.0,6273000000.0,,-626000000.0,626000000.0,5647000000.0,1713000000.0,3934000000.0,3923000000.0,4.77,0.3205,0.089,0.0801,0.0556,0.066,7796000000.0,6273000000.0,4.7801,4.7859,4.7859,3934000000.0,3934000000.0,0.1106,0.0819,LOW
2018-04-30 00:00:00,69119000000.0,46737000000.0,22382000000.0,14502000000.0,6492000000.0,,-632000000.0,632000000.0,5860000000.0,2027000000.0,3833000000.0,3821000000.0,4.59,0.3238,0.0939,0.0848,0.0553,0.0593,8030000000.0,6492000000.0,4.5981,4.6036,4.6036,3833000000.0,3833000000.0,0.1162,0.0752,LOW
2018-01-31 00:00:00,68619000000.0,46185000000.0,22434000000.0,14444000000.0,6586000000.0,,-1097000000.0,633000000.0,5489000000.0,2042000000.0,3447000000.0,3436000000.0,4.1,0.3269,0.096,0.08,0.0501,0.0581,8126000000.0,6586000000.0,4.1036,4.1085,4.1085,3447000000.0,3447000000.0,0.1184,0.0738,LOW
2017-10-31 00:00:00,68909000000.0,46084000000.0,22825000000.0,14649000000.0,6758000000.0,,-1104000000.0,640000000.0,5654000000.0,2098000000.0,3556000000.0,3529000000.0,4.17,0.3312,0.0981,0.0821,0.0512,0.067,8306000000.0,6758000000.0,4.2102,4.2126,4.2126,3556000000.0,3556000000.0,0.1205,0.083,LOW
2017-07-31 00:00:00,67878000000.0,45359000000.0,22519000000.0,14925000000.0,6150000000.0,,-1107000000.0,643000000.0,5043000000.0,1980000000.0,3063000000.0,3035000000.0,3.55,0.3318,0.0906,0.0743,0.0447,0.0728,7730000000.0,6150000000.0,3.5957,3.5974,3.5974,3063000000.0,3063000000.0,0.1139,0.0893,LOW
2017-04-30 00:00:00,66643000000.0,44506000000.0,22137000000.0,14860000000.0,5819000000.0,,-1114000000.0,650000000.0,4705000000.0,1894000000.0,2811000000.0,2784000000.0,3.19,0.3322,0.0873,0.0706,0.0418,0.0685,7415000000.0,5819000000.0,3.229,3.2317,3.2317,2811000000.0,2811000000.0,0.1113,0.0854,LOW
2017-01-31 00:00:00,65017000000.0,43343000000.0,21674000000.0,14375000000.0,5846000000.0,,-645000000.0,645000000.0,5201000000.0,2108000000.0,3093000000.0,3064000000.0,3.47,0.3334,0.0899,0.08,0.0471,0.069,7436000000.0,5846000000.0,3.5107,3.5147,3.5147,3093000000.0,3093000000.0,0.1144,0.0864,LOW
2016-10-31 00:00:00,62470000000.0,40851000000.0,21619000000.0,15110000000.0,5423000000.0,,,,4386000000.0,1945000000.0,2441000000.0,2428000000.0,2.74,0.3461,0.0803,0.0702,0.0389,0.0699,7008000000.0,5015000000.0,2.7632,2.7681,2.7681,2441000000.0,2441000000.0,0.1122,0.0882,LOW
2016-07-31 00:00:00,61091000000.0,39889000000.0,21202000000.0,14313000000.0,5671000000.0,,,,4797000000.0,1999000000.0,2798000000.0,2785000000.0,3.11,0.3471,0.0885,0.0785,0.0456,0.0685,7386000000.0,5404000000.0,3.1287,3.1357,3.1357,2798000000.0,2798000000.0,0.1209,0.0859,LOW
2016-04-30 00:00:00,60179000000.0,39284000000.0,20895000000.0,14081000000.0,5459000000.0,,,,4751000000.0,1994000000.0,2757000000.0,2744000000.0,2.99,0.3472,0.0885,0.0789,0.0456,0.0734,7312000000.0,5325000000.0,3.017,3.0236,3.0236,2757000000.0,2757000000.0,0.1215,0.0918,LOW
2016-01-31 00:00:00,59074000000.0,38504000000.0,20570000000.0,14105000000.0,4971000000.0,,,,4419000000.0,1873000000.0,2546000000.0,2534000000.0,2.71,0.3482,0.0841,0.0748,0.0429,0.0617,6966000000.0,4971000000.0,2.7406,2.7465,2.7465,2546000000.0,2546000000.0,0.1179,0.081,LOW
2015-10-31 00:00:00,58377000000.0,38047000000.0,20330000000.0,13493000000.0,5327000000.0,542000000.0,,,4811000000.0,1826000000.0,2985000000.0,2971000000.0,3.16,0.3483,0.0917,0.0824,0.0509,0.0636,7314000000.0,5351000000.0,3.1845,3.1932,3.1932,2985000000.0,2985000000.0,0.1253,0.0821,LOW
2015-07-31 00:00:00,57698000000.0,37640000000.0,20058000000.0,13461000000.0,5094000000.0,527000000.0,,,4578000000.0,1744000000.0,2834000000.0,2820000000.0,2.95,0.3476,0.0886,0.0793,0.0489,0.072,7074000000.0,5111000000.0,2.9823,2.9897,2.9897,2834000000.0,2834000000.0,0.1226,0.0896,LOW
2015-04-30 00:00:00,56949000000.0,37137000000.0,19812000000.0,13368000000.0,4948000000.0,518000000.0,,,4432000000.0,1685000000.0,2747000000.0,2732000000.0,2.79,0.3479,0.0871,0.0778,0.048,0.0796,6921000000.0,4958000000.0,2.8186,2.8244,2.8244,2747000000.0,2747000000.0,0.1215,0.095,LOW
2015-01-31 00:00:00,56223000000.0,36665000000.0,19558000000.0,13272000000.0,4792000000.0,,,,4276000000.0,1578000000.0,2698000000.0,2682000000.0,2.7,0.3479,0.0852,0.0761,0.0477,0.0729,6762000000.0,4792000000.0,2.7253,2.7308,2.7308,2698000000.0,2698000000.0,0.1203,0.0877,LOW
2014-10-31 00:00:00,55344000000.0,36090000000.0,19254000000.0,13160000000.0,4089000000.0,512000000.0,,,4089000000.0,1535000000.0,2554000000.0,2538000000.0,2.53,0.3479,0.0831,0.0739,0.0459,0.0736,6195000000.0,4601000000.0,2.5561,2.561,2.561,2554000000.0,2554000000.0,0.1119,0.0892,LOW
2014-07-31 00:00:00,54620000000.0,35603000000.0,19017000000.0,13089000000.0,3934000000.0,503000000.0,,,3934000000.0,1466000000.0,2468000000.0,2451000000.0,2.41,0.3482,0.0812,0.072,0.0449,0.0692,6030000000.0,4437000000.0,2.4349,2.4394,2.4394,2468000000.0,2468000000.0,0.1104,0.0856,LOW
2014-04-30 00:00:00,53732000000.0,35053000000.0,18679000000.0,12962000000.0,3747000000.0,487000000.0,,,3747000000.0,1377000000.0,2370000000.0,2353000000.0,2.25,0.3476,0.0788,0.0697,0.0438,0.0607,5818000000.0,4234000000.0,2.2728,2.2771,2.2771,2370000000.0,2370000000.0,0.1083,0.0765,LOW
2014-01-31 00:00:00,53417000000.0,34941000000.0,18476000000.0,12865000000.0,3673000000.0,476000000.0,,,3673000000.0,1387000000.0,2286000000.0,2270000000.0,2.13,0.3459,0.0777,0.0688,0.0425,0.0608,5711000000.0,4149000000.0,2.1546,2.1586,2.1586,2286000000.0,2286000000.0,0.1069,0.077,LOW
