Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,22693000000.0,18129000000.0,4564000000.0,,1597000000.0,350000000.0,-241000000.0,108000000.0,1091000000.0,264000000.0,826000000.0,827000000.0,1.27,0.2011,0.0704,0.0481,0.0364,0.0313,2852000000.0,1597000000.0,1.274,1.3909,1.3909,826000000.0,827000000.0,0.1257,0.1524,LUV
2022-06-30 00:00:00,21152000000.0,16986000000.0,4166000000.0,,1935000000.0,381000000.0,-1255000000.0,40000000.0,1338000000.0,342000000.0,995000000.0,996000000.0,1.57,0.197,0.0915,0.0633,0.0471,0.0396,2597000000.0,1935000000.0,1.5753,1.6772,1.6772,995000000.0,996000000.0,0.1228,0.1252,LUV
2022-03-31 00:00:00,18432000000.0,15026000000.0,3406000000.0,,1371000000.0,407000000.0,-935000000.0,128000000.0,804000000.0,220000000.0,583000000.0,584000000.0,0.96,0.1848,0.0744,0.0436,0.0317,0.0992,1715000000.0,1371000000.0,0.9443,0.9844,0.9844,583000000.0,584000000.0,0.093,0.1491,LUV
2021-12-31 00:00:00,15790000000.0,11787000000.0,4003000000.0,,1721000000.0,426000000.0,-981000000.0,239000000.0,1326000000.0,348000000.0,977000000.0,978000000.0,1.63,0.2535,0.109,0.084,0.0619,0.1151,2254000000.0,1721000000.0,1.6044,1.6503,1.6503,977000000.0,978000000.0,0.1427,0.1471,LUV
2021-09-30 00:00:00,12752000000.0,9994000000.0,2758000000.0,2228000000.0,358000000.0,407000000.0,-1086000000.0,346000000.0,-83000000.0,-85000000.0,2000000.0,2000000.0,-0.02,0.2163,0.0281,-0.0065,0.0002,0.0834,849000000.0,358000000.0,-0.1807,-0.1334,-0.1334,2000000.0,2000000.0,0.0666,0.116,LUV
2021-06-30 00:00:00,9866000000.0,8337000000.0,1529000000.0,2055000000.0,-1786000000.0,401000000.0,-439000000.0,455000000.0,-2225000000.0,-624000000.0,-1601000000.0,-1601000000.0,-2.71,0.155,-0.181,-0.2255,-0.1623,0.0643,-306000000.0,-1786000000.0,-2.8765,-2.8478,-2.8478,-1601000000.0,-1601000000.0,-0.031,0.1017,LUV
2021-03-31 00:00:00,6866000000.0,7426000000.0,-560000000.0,1690000000.0,-3507000000.0,382000000.0,-459000000.0,435000000.0,-3966000000.0,-1102000000.0,-2864000000.0,-2864000000.0,-4.93,-0.0816,-0.5108,-0.5776,-0.4171,-0.0529,-2251000000.0,-3507000000.0,-5.0676,-5.0618,-5.0618,-2864000000.0,-2864000000.0,-0.3278,-0.0153,LUV
2020-12-31 00:00:00,9048000000.0,9683000000.0,-635000000.0,1926000000.0,-3816000000.0,302000000.0,-440000000.0,349000000.0,-4256000000.0,-1182000000.0,-3074000000.0,-3074000000.0,-5.31,-0.0702,-0.4218,-0.4704,-0.3397,-0.1342,-2561000000.0,-3816000000.0,-5.4406,-5.4406,-5.4406,-3074000000.0,-3074000000.0,-0.283,-0.1246,LUV
2020-09-30 00:00:00,12766000000.0,11326000000.0,1440000000.0,2171000000.0,-1983000000.0,226000000.0,-352000000.0,261000000.0,-2259000000.0,-606000000.0,-1653000000.0,-1653000000.0,-2.79,0.1128,-0.1553,-0.177,-0.1295,0.0341,-730000000.0,-1983000000.0,-2.8039,-2.7995,-2.7995,-1653000000.0,-1653000000.0,-0.0572,0.023,LUV
2020-06-30 00:00:00,16612000000.0,12675000000.0,3937000000.0,,247000000.0,,-222000000.0,180000000.0,102000000.0,-61000000.0,163000000.0,163000000.0,0.41,0.237,0.0149,0.0061,0.0098,0.1379,1270000000.0,247000000.0,0.3912,0.3979,0.3979,163000000.0,163000000.0,0.0765,0.1466,LUV
2020-03-31 00:00:00,21513000000.0,14944000000.0,6569000000.0,,2342000000.0,,-114000000.0,115000000.0,2309000000.0,490000000.0,1819000000.0,1819000000.0,3.41,0.3054,0.1089,0.1073,0.0846,0.0983,3575000000.0,2342000000.0,3.3836,3.3903,3.3903,1819000000.0,1819000000.0,0.1662,0.1164,LUV
2019-12-31 00:00:00,22428000000.0,15226000000.0,7202000000.0,,2957000000.0,,-92000000.0,118000000.0,2957000000.0,657000000.0,2300000000.0,2300000000.0,4.29,0.3211,0.1318,0.1318,0.1026,0.1498,4176000000.0,2957000000.0,4.2672,4.2752,4.2752,2300000000.0,2300000000.0,0.1862,0.1778,LUV
2019-09-30 00:00:00,22401000000.0,15034000000.0,7367000000.0,,3112000000.0,,,125000000.0,3107000000.0,666000000.0,2441000000.0,2441000000.0,4.48,0.3289,0.1389,0.1387,0.109,0.1271,4349000000.0,3112000000.0,4.4626,4.4702,4.4702,2441000000.0,2441000000.0,0.1941,0.1853,LUV
2019-06-30 00:00:00,22337000000.0,15021000000.0,7316000000.0,,3091000000.0,,,128000000.0,3074000000.0,677000000.0,2397000000.0,2397000000.0,4.32,0.3275,0.1384,0.1376,0.1073,0.132,4321000000.0,3091000000.0,4.3093,4.3146,4.3146,2397000000.0,2397000000.0,0.1934,0.1939,LUV
2019-03-31 00:00:00,22170000000.0,14897000000.0,7273000000.0,,3095000000.0,,-29000000.0,130000000.0,3066000000.0,677000000.0,2389000000.0,2389000000.0,4.22,0.3281,0.1396,0.1383,0.1078,0.1499,4316000000.0,3095000000.0,4.2081,4.2156,4.2156,2389000000.0,2389000000.0,0.1947,0.2253,LUV
2018-12-31 00:00:00,21965000000.0,14706000000.0,7259000000.0,,3206000000.0,,-42000000.0,131000000.0,3164000000.0,699000000.0,2465000000.0,2465000000.0,4.31,0.3305,0.146,0.144,0.1122,0.1353,4407000000.0,3206000000.0,4.2944,4.302,4.302,2465000000.0,2465000000.0,0.2006,0.2228,LUV
2018-09-30 00:00:00,21519000000.0,14457000000.0,7062000000.0,,3127000000.0,,-43000000.0,128000000.0,3084000000.0,-474000000.0,3558000000.0,3558000000.0,6.33,0.3282,0.1453,0.1433,0.1653,0.1191,4276000000.0,3127000000.0,6.0382,6.0559,6.0559,3558000000.0,3558000000.0,0.1987,0.2076,LUV
2018-06-30 00:00:00,21247000000.0,14135000000.0,7112000000.0,,3174000000.0,,-44000000.0,123000000.0,3130000000.0,-341000000.0,3471000000.0,3471000000.0,6.09,0.3347,0.1494,0.1473,0.1634,0.099,4324000000.0,3174000000.0,5.8403,5.8595,5.8595,3471000000.0,3471000000.0,0.2035,0.1973,LUV
2018-03-31 00:00:00,21236000000.0,13858000000.0,7378000000.0,,3417000000.0,,-82000000.0,117000000.0,3335000000.0,-146000000.0,3481000000.0,3481000000.0,6.06,0.3474,0.1609,0.157,0.1639,0.0559,4594000000.0,3417000000.0,5.8024,5.8214,5.8214,3481000000.0,3481000000.0,0.2163,0.1557,LUV
2017-12-31 00:00:00,21146000000.0,13674000000.0,7472000000.0,,3407000000.0,,-142000000.0,114000000.0,3265000000.0,-92000000.0,3357000000.0,3357000000.0,5.84,0.3534,0.1611,0.1544,0.1588,0.0854,4625000000.0,3407000000.0,5.5671,5.5856,5.5856,3357000000.0,3357000000.0,0.2187,0.1858,LUV
2017-09-30 00:00:00,20828000000.0,13295000000.0,7533000000.0,,3273000000.0,,-32000000.0,113000000.0,3241000000.0,1169000000.0,2072000000.0,2072000000.0,3.5,0.3617,0.1571,0.1556,0.0995,0.0863,4530000000.0,3273000000.0,3.416,3.4235,3.4235,2072000000.0,2072000000.0,0.2175,0.1957,LUV
2017-06-30 00:00:00,20664000000.0,13351000000.0,7313000000.0,,3123000000.0,,-96000000.0,116000000.0,3027000000.0,1095000000.0,1932000000.0,1932000000.0,3.29,0.3539,0.1511,0.1465,0.0935,0.0887,4393000000.0,3123000000.0,3.1539,3.1669,3.1669,1932000000.0,1932000000.0,0.2126,0.1904,LUV
2017-03-31 00:00:00,20317000000.0,13071000000.0,7246000000.0,,3184000000.0,,-18000000.0,121000000.0,3166000000.0,1157000000.0,2009000000.0,2009000000.0,3.35,0.3566,0.1567,0.1558,0.0989,0.1126,4433000000.0,3184000000.0,3.2091,3.2343,3.2343,2009000000.0,2009000000.0,0.2182,0.2117,LUV
2016-12-31 00:00:00,20289000000.0,12843000000.0,7446000000.0,,3522000000.0,,-72000000.0,122000000.0,3450000000.0,1267000000.0,2183000000.0,2183000000.0,3.58,0.367,0.1736,0.17,0.1076,0.1111,4743000000.0,3522000000.0,3.4487,3.4816,3.4816,2183000000.0,2183000000.0,0.2338,0.2116,LUV
2016-09-30 00:00:00,20326000000.0,12746000000.0,7580000000.0,,3941000000.0,,-357000000.0,122000000.0,3584000000.0,1327000000.0,2257000000.0,2257000000.0,3.56,0.3729,0.1939,0.1763,0.111,0.0853,5108000000.0,3941000000.0,3.5074,3.5472,3.5472,2257000000.0,2257000000.0,0.2513,0.1923,LUV
2016-06-30 00:00:00,20505000000.0,12532000000.0,7973000000.0,,4471000000.0,,-572000000.0,122000000.0,3899000000.0,1446000000.0,2453000000.0,2453000000.0,3.82,0.3888,0.218,0.1901,0.1196,0.095,5580000000.0,4471000000.0,3.7674,3.811,3.811,2453000000.0,2453000000.0,0.2721,0.1896,LUV
2016-03-31 00:00:00,20232000000.0,12552000000.0,7680000000.0,,4280000000.0,,-708000000.0,119000000.0,3572000000.0,1331000000.0,2241000000.0,2241000000.0,3.43,0.3796,0.2115,0.1766,0.1108,0.0739,5341000000.0,4280000000.0,3.3875,3.4278,3.4278,2241000000.0,2241000000.0,0.264,0.1681,LUV
2015-12-31 00:00:00,19820000000.0,12408000000.0,7412000000.0,,4116000000.0,,-637000000.0,121000000.0,3479000000.0,1298000000.0,2181000000.0,2181000000.0,3.3,0.374,0.2077,0.1755,0.11,0.0604,5131000000.0,4116000000.0,3.26,3.2996,3.2996,2181000000.0,2181000000.0,0.2589,0.1634,LUV
2015-09-30 00:00:00,19471000000.0,12468000000.0,7003000000.0,,3711000000.0,,-777000000.0,124000000.0,2934000000.0,1099000000.0,1835000000.0,1835000000.0,2.75,0.3597,0.1906,0.1507,0.0942,0.073,4713000000.0,3711000000.0,2.7233,2.7582,2.7582,1835000000.0,1835000000.0,0.2421,0.1601,LUV
2015-06-30 00:00:00,18953000000.0,12568000000.0,6385000000.0,,3100000000.0,,-574000000.0,124000000.0,2526000000.0,946000000.0,1580000000.0,1580000000.0,2.34,0.3369,0.1636,0.1333,0.0834,0.0343,4083000000.0,3100000000.0,2.3186,2.3483,2.3483,1580000000.0,1580000000.0,0.2154,0.1331,LUV
2015-03-31 00:00:00,18853000000.0,12795000000.0,6058000000.0,,2790000000.0,,-495000000.0,129000000.0,2295000000.0,858000000.0,1437000000.0,1437000000.0,2.1,0.3213,0.148,0.1217,0.0762,0.0694,3751000000.0,2790000000.0,2.0814,2.1079,2.1079,1437000000.0,1437000000.0,0.199,0.1716,LUV
2014-12-31 00:00:00,18605000000.0,13111000000.0,5494000000.0,,2225000000.0,,-409000000.0,130000000.0,1816000000.0,680000000.0,1136000000.0,1136000000.0,1.65,0.2953,0.1196,0.0976,0.0611,0.062,3163000000.0,2225000000.0,1.6322,1.6536,1.6536,1136000000.0,1136000000.0,0.17,0.156,LUV
2014-09-30 00:00:00,18404000000.0,13206000000.0,5198000000.0,,1989000000.0,,-141000000.0,132000000.0,1848000000.0,690000000.0,1158000000.0,1158000000.0,1.67,0.2824,0.1081,0.1004,0.0629,0.0688,2900000000.0,1989000000.0,1.6518,1.6718,1.6718,1158000000.0,1158000000.0,0.1576,0.1623,LUV
2014-06-30 00:00:00,18149000000.0,13223000000.0,4926000000.0,,1765000000.0,,-23000000.0,136000000.0,1742000000.0,654000000.0,1088000000.0,1088000000.0,1.56,0.2714,0.0973,0.096,0.0599,0.0878,2659000000.0,1765000000.0,1.54,1.5585,1.5585,1088000000.0,1088000000.0,0.1465,0.1749,LUV
2014-03-31 00:00:00,17781000000.0,13238000000.0,4543000000.0,,1423000000.0,,-64000000.0,135000000.0,1359000000.0,512000000.0,847000000.0,847000000.0,1.2,0.2555,0.08,0.0764,0.0476,0.0742,2301000000.0,1423000000.0,1.184,1.1983,1.1983,847000000.0,847000000.0,0.1294,0.147,LUV
2013-12-31 00:00:00,17699000000.0,13342000000.0,4357000000.0,,1278000000.0,,-69000000.0,131000000.0,1209000000.0,455000000.0,754000000.0,754000000.0,1.06,0.2462,0.0722,0.0683,0.0426,0.059,2145000000.0,1278000000.0,1.0502,1.0619,1.0619,754000000.0,754000000.0,0.1212,0.14,LUV
2013-09-30 00:00:00,17444000000.0,13423000000.0,4021000000.0,,983000000.0,,18000000.0,131000000.0,1001000000.0,380000000.0,621000000.0,621000000.0,0.87,0.2305,0.0564,0.0574,0.0356,0.0588,1859000000.0,983000000.0,0.8648,0.8749,0.8749,621000000.0,621000000.0,0.1066,0.1387,LUV
2013-06-30 00:00:00,17208000000.0,13436000000.0,3772000000.0,,644000000.0,,-29000000.0,131000000.0,615000000.0,237000000.0,378000000.0,378000000.0,0.52,0.2192,0.0374,0.0357,0.022,0.0536,1513000000.0,644000000.0,0.5221,0.5282,0.5282,378000000.0,378000000.0,0.0879,0.1426,LUV
