Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4001000000.0,3444000000.0,557000000.0,158000000.0,1067000000.0,-764000000.0,653000000.0,-73000000.0,57000000.0,-1401000000.0,186000000.0,-1587000000.0,-979000000.0,2.46,0.1392,-0.191,-0.3502,-0.2447,-0.3827,314000000.0,-764000000.0,-1.5,3.9448,1.8769,3.9448,-1.5,-1587000000.0,3021000000.0,-1587000000.0,0.0785,-0.1845,LVS
2022-06-30 00:00:00,3853000000.0,3453000000.0,400000000.0,145000000.0,1093000000.0,-903000000.0,627000000.0,46000000.0,20000000.0,-1702000000.0,99000000.0,-1801000000.0,-1109000000.0,2.29,0.1038,-0.2344,-0.4417,-0.2878,-0.4282,181000000.0,-903000000.0,-1.8,4.0761,1.7277,4.0761,-1.8,-1801000000.0,3121000000.0,-1801000000.0,0.047,-0.2149,LVS
2022-03-31 00:00:00,3981000000.0,3306000000.0,675000000.0,160000000.0,1075000000.0,-895000000.0,623000000.0,-89000000.0,164000000.0,-1684000000.0,-17000000.0,-1667000000.0,-1014000000.0,2.42,0.1696,-0.2248,-0.423,-0.2547,-0.3127,215000000.0,-895000000.0,-1.72,4.13,1.9567,4.13,-1.72,-1667000000.0,3162000000.0,-1629000000.0,0.054,-0.1394,LVS
2021-12-31 00:00:00,4234000000.0,3154000000.0,1080000000.0,109000000.0,1072000000.0,-689000000.0,621000000.0,-227000000.0,314000000.0,-1474000000.0,-5000000.0,-1469000000.0,-961000000.0,-1.25,0.2551,-0.1627,-0.3481,-0.227,-0.2539,428000000.0,-689000000.0,-1.51,0.25,-1.6702,0.25,-1.51,-1469000000.0,193000000.0,-1493000000.0,0.1011,-0.0574,LVS
2021-09-30 00:00:00,4241000000.0,2897000000.0,1344000000.0,62000000.0,1072000000.0,-670000000.0,619000000.0,-358000000.0,460000000.0,-1448000000.0,9000000.0,-1457000000.0,-1137000000.0,-1.48,0.3169,-0.158,-0.3414,-0.2681,-0.287,445000000.0,-670000000.0,-1.5,0.01,-1.9044,0.01,-1.5,-1457000000.0,2000000.0,-1554000000.0,0.1049,-0.07,LVS
2021-06-30 00:00:00,3830000000.0,2442000000.0,1388000000.0,58000000.0,984000000.0,-877000000.0,599000000.0,-609000000.0,593000000.0,-1486000000.0,41000000.0,-1527000000.0,-1334000000.0,-1.74,0.3624,-0.229,-0.388,-0.3483,-0.3569,240000000.0,-877000000.0,-1.54,-0.21,-2.2133,-0.21,-1.54,-1527000000.0,-164000000.0,-1691000000.0,0.0627,-0.0888,LVS
2021-03-31 00:00:00,2719000000.0,2019000000.0,700000000.0,27000000.0,952000000.0,-1495000000.0,534000000.0,-577000000.0,549000000.0,-2072000000.0,16000000.0,-2088000000.0,-1962000000.0,-2.56,0.2574,-0.5498,-0.762,-0.7216,-0.815,-396000000.0,-1495000000.0,-2.12,-0.45,-3.1858,-0.45,-2.12,-2088000000.0,-346000000.0,-2434000000.0,-0.1456,-0.3645,LVS
2020-12-31 00:00:00,2940000000.0,2119000000.0,821000000.0,,966000000.0,-1393000000.0,497000000.0,-483000000.0,523000000.0,-1876000000.0,24000000.0,-1900000000.0,-1685000000.0,-2.2,0.2793,-0.4738,-0.6381,-0.5731,-0.8221,-298000000.0,-1393000000.0,-1.89,-0.32,-2.805,-0.32,-1.89,-1900000000.0,-243000000.0,-2143000000.0,-0.1014,-0.4051,LVS
2020-09-30 00:00:00,3822000000.0,2491000000.0,1331000000.0,29000000.0,820000000.0,-673000000.0,492000000.0,-252000000.0,547000000.0,-925000000.0,25000000.0,-950000000.0,-757000000.0,-0.99,0.3482,-0.1761,-0.242,-0.1981,-0.3891,315000000.0,-673000000.0,-1.5252,,-1.294,,-1.5264,-950000000.0,,-984000000.0,0.0824,-0.0607,LVS
2020-06-30 00:00:00,6626000000.0,3702000000.0,2924000000.0,30000000.0,1014000000.0,749000000.0,,-264000000.0,550000000.0,485000000.0,102000000.0,383000000.0,341000000.0,0.44,0.4413,0.113,0.0732,0.0515,-0.0379,1768000000.0,749000000.0,-0.0052,,0.5328,,-0.0064,383000000.0,,416000000.0,0.2668,0.1435,LVS
