Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,4241000000.0,3286000000.0,954000000.0,412800000.0,541199800.0,159000000.0,-159100000.0,159100000.0,382000000.0,137000000.0,245300000.0,157700000.0,404000000.0,2.77,0.2249,0.1276,0.0901,0.0953,0.0235,732000000.0,541199900.0,2.7777,2.7875,2.7875,403000000.0,404000000.0,0.1726,0.1057,LW
2022-05-31 00:00:00,4099000000.0,3267000000.0,832000000.0,387500000.0,444399800.0,161000000.0,-161000000.0,161000000.0,283000000.0,72000000.0,211600000.0,-10700000.0,202000000.0,1.37,0.203,0.1084,0.069,0.0493,0.0273,632000000.0,444399900.0,1.3769,1.3808,1.3808,200900000.0,202000000.0,0.1542,0.102,LW
2022-02-28 00:00:00,3953500000.0,3177499800.0,776000100.0,368400000.0,407300000.0,165000000.0,-164800000.0,164800000.0,242200000.0,64300000.0,178800000.0,55600000.0,235500000.0,1.6,0.1963,0.103,0.0613,0.0596,0.0174,591400000.0,407300000.0,1.6032,1.6087,1.6087,234400000.0,235500000.0,0.1496,0.0891,LW
2021-11-30 00:00:00,3894300000.0,3142599800.0,751700100.0,377300000.0,374100000.0,168000000.0,-168300000.0,168300000.0,205500000.0,49600000.0,156900000.0,37000000.0,194600000.0,1.32,0.193,0.0961,0.0528,0.05,0.0473,559600000.0,374100000.0,1.3196,1.3252,1.3252,193900000.0,194600000.0,0.1437,0.1135,LW
2021-08-31 00:00:00,3783400000.0,3014199800.0,769200100.0,370100000.0,399300000.0,116000000.0,-115900000.0,115900000.0,283100000.0,71500000.0,212200000.0,46100000.0,258500000.0,1.76,0.2033,0.1055,0.0748,0.0683,0.0675,586000000.0,399300000.0,1.7562,1.764,1.764,258300000.0,258500000.0,0.1549,0.1227,LW
2021-05-31 00:00:00,3670900000.0,2838899800.0,832000100.0,357200000.0,474800000.0,118000000.0,-118300000.0,118300000.0,356500000.0,90500000.0,266000000.0,51800000.0,317800000.0,2.17,0.2266,0.1293,0.0971,0.0866,0.1062,662600000.0,474800000.0,2.1604,2.1707,2.1707,317800000.0,317800000.0,0.1805,0.1507,LW
2021-02-28 00:00:00,3510299900.0,2765199800.0,745100100.0,338300000.0,406799900.0,118000000.0,-118800000.0,118800000.0,288000000.0,73400000.0,214600000.0,36100000.0,250700000.0,1.71,0.2123,0.1159,0.082,0.0714,0.0997,593899900.0,406799900.0,1.7039,1.7121,1.7121,250699900.0,250700000.0,0.1692,0.1462,LW
2020-11-30 00:00:00,3551799900.0,2752999800.0,798800100.0,330100000.0,468699800.0,114200000.0,-114700000.0,114700000.0,354000000.0,92800000.0,261200000.0,34800000.0,296000000.0,2.02,0.2249,0.132,0.0997,0.0833,0.1106,653999800.0,468699800.0,2.0117,2.0229,2.0229,295999900.0,296000000.0,0.1841,0.1541,LW
2020-08-31 00:00:00,3674899900.0,2814499800.0,860400100.0,337800000.0,522599900.0,,-110100000.0,110100000.0,412500000.0,103600000.0,308900000.0,30600000.0,339500000.0,2.32,0.2341,0.1422,0.1122,0.0924,0.1074,705799900.0,522599900.0,2.3075,2.3218,2.3218,339499900.0,339500000.0,0.1921,0.1595,LW
2020-05-31 00:00:00,3792399900.0,2897199800.0,895200100.0,338300000.0,556899900.0,,-108000000.0,108000000.0,448900000.0,112300000.0,336600000.0,29300000.0,365900000.0,2.5,0.2361,0.1468,0.1184,0.0965,0.0964,739199900.0,556899900.0,2.4875,2.5028,2.5028,365899900.0,365900000.0,0.1949,0.1514,LW
