Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,53075000000.0,45425000000.0,7650000000.0,128000000.0,1304000000.0,5525000000.0,,-272000000.0,355000000.0,5253000000.0,983000000.0,4270000000.0,4255000000.0,12.91,0.1441,0.1041,0.099,0.0802,0.1019,6860000000.0,5525000000.0,12.94,-0.0201,12.9649,-0.0201,12.97,4270000000.0,-8000000.0,4262000000.0,0.1293,0.1413,LYB
2022-06-30 00:00:00,53525000000.0,44446000000.0,9079000000.0,127000000.0,1298000000.0,6961000000.0,,-220000000.0,411000000.0,6741000000.0,1281000000.0,5460000000.0,5445000000.0,16.41,0.1696,0.1301,0.1259,0.1017,0.1126,8334000000.0,6961000000.0,16.44,-0.02,16.4857,-0.02,16.47,5460000000.0,-8000000.0,5452000000.0,0.1557,0.1531,LYB
2022-03-31 00:00:00,50248000000.0,40855000000.0,9393000000.0,127000000.0,1296000000.0,7346000000.0,776000000.0,-65000000.0,483000000.0,7281000000.0,1409000000.0,5872000000.0,5860000000.0,17.56,0.1869,0.1462,0.1449,0.1166,0.128,8749000000.0,7346000000.0,17.58,-0.01,17.6382,-0.01,17.6,5872000000.0,-5000000.0,5867000000.0,0.1741,0.1691,LYB
2021-12-31 00:00:00,46173000000.0,37397000000.0,8776000000.0,124000000.0,1255000000.0,6773000000.0,759000000.0,13000000.0,519000000.0,6786000000.0,1163000000.0,5623000000.0,5610000000.0,16.74,0.1901,0.1467,0.147,0.1215,0.1214,8201000000.0,6773000000.0,16.77,-0.02,16.8174,-0.02,16.79,5623000000.0,-6000000.0,5617000000.0,0.1776,0.1638,LYB
2021-09-30 00:00:00,41280000000.0,33175000000.0,8105000000.0,125000000.0,1225000000.0,6755000000.0,561000000.0,61000000.0,556000000.0,6816000000.0,1067000000.0,5749000000.0,5739000000.0,17.11,0.1963,0.1636,0.1651,0.139,0.0912,8130000000.0,6755000000.0,17.12,-0.016,17.2036,-0.016,17.14,5749000000.0,-3000000.0,5746000000.0,0.1969,0.129,LYB
2021-06-30 00:00:00,35356000000.0,28951000000.0,6405000000.0,122000000.0,1171000000.0,4530000000.0,712000000.0,60000000.0,552000000.0,4590000000.0,490000000.0,4100000000.0,4091000000.0,12.19,0.1812,0.1281,0.1298,0.1157,0.0728,5909000000.0,4530000000.0,12.2,-0.013,12.2695,-0.013,12.22,4100000000.0,-2000000.0,4098000000.0,0.1671,0.1144,LYB
2021-03-31 00:00:00,29341000000.0,25169000000.0,4172000000.0,115000000.0,1132000000.0,2343000000.0,723000000.0,-33000000.0,547000000.0,2310000000.0,-48000000.0,2358000000.0,2346000000.0,7.0,0.1422,0.0799,0.0787,0.08,0.0616,3743000000.0,2343000000.0,7.02,-0.023,7.0449,-0.023,7.03,2358000000.0,-5000000.0,2353000000.0,0.1276,0.117,LYB
2020-12-31 00:00:00,27753000000.0,24359000000.0,3394000000.0,113000000.0,1140000000.0,1559000000.0,838000000.0,-173000000.0,526000000.0,1386000000.0,-43000000.0,1429000000.0,1420000000.0,4.24,0.1223,0.0562,0.0499,0.0512,0.0525,2965000000.0,1559000000.0,4.25,-0.013,4.2724,-0.013,4.25,1429000000.0,-2000000.0,1427000000.0,0.1068,0.1227,LYB
2020-09-30 00:00:00,27995000000.0,24691000000.0,3304000000.0,109000000.0,1149000000.0,1464000000.0,695000000.0,-222000000.0,424000000.0,1242000000.0,58000000.0,1184000000.0,1177000000.0,3.52,0.118,0.0523,0.0444,0.042,0.0535,2871000000.0,1464000000.0,3.53,-0.01,3.5652,-0.01,3.54,1184000000.0,-4000000.0,1184000000.0,0.1026,0.1394,LYB
2020-06-30 00:00:00,29941000000.0,26075000000.0,3866000000.0,108000000.0,1193000000.0,2565000000.0,,-207000000.0,388000000.0,2358000000.0,319000000.0,2039000000.0,2028000000.0,6.04,0.1291,0.0857,0.0788,0.0677,0.0745,3939000000.0,2565000000.0,6.06,-0.02,6.0874,-0.02,6.07,2039000000.0,-7000000.0,2035000000.0,0.1316,0.1654,LYB
