Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,13912000000.0,6368000000.0,7544000000.0,1460000000.0,1748000000.0,-384000000.0,384000000.0,1364000000.0,278000000.0,1086000000.0,991000000.0,3.99,0.5423,0.1256,0.098,0.0712,0.1917,1748000000.0,1748000000.0,4.3877,,4.3965,,4.3965,1086000000.0,,1086000000.0,0.1256,0.2311,L
2022-06-30 00:00:00,13822000000.0,6335000000.0,7487000000.0,1445000000.0,1869000000.0,-391000000.0,391000000.0,1478000000.0,289000000.0,1189000000.0,1081000000.0,4.31,0.5417,0.1352,0.1069,0.0782,0.1824,1869000000.0,1869000000.0,4.7498,,4.7597,,4.7597,1189000000.0,,1189000000.0,0.1352,0.2246,L
2022-03-31 00:00:00,14437000000.0,6298000000.0,8139000000.0,1428000000.0,2632000000.0,-395000000.0,395000000.0,2237000000.0,457000000.0,1780000000.0,1655000000.0,6.44,0.5638,0.1823,0.1549,0.1146,0.1656,2632000000.0,2632000000.0,6.9398,,6.9547,,6.9547,1780000000.0,,1780000000.0,0.1823,0.1958,L
2021-12-31 00:00:00,14657000000.0,6349000000.0,8308000000.0,1443000000.0,2606000000.0,-424000000.0,424000000.0,2182000000.0,479000000.0,1703000000.0,1578000000.0,6.05,0.5668,0.1778,0.1489,0.1077,0.1202,2606000000.0,2606000000.0,6.545,,6.5584,,6.5584,1703000000.0,,1703000000.0,0.1778,0.1476,L
2021-09-30 00:00:00,14705000000.0,6171000000.0,8534000000.0,1448000000.0,2706000000.0,-435000000.0,435000000.0,2271000000.0,502000000.0,1769000000.0,1632000000.0,6.14,0.5803,0.184,0.1544,0.111,0.0965,2706000000.0,2706000000.0,6.5193,,6.5293,,6.5293,1769000000.0,,1769000000.0,0.184,0.1225,L
2021-06-30 00:00:00,14799000000.0,6155000000.0,8644000000.0,1440000000.0,2623000000.0,-473000000.0,473000000.0,2150000000.0,465000000.0,1685000000.0,1551000000.0,5.78,0.5841,0.1772,0.1453,0.1048,0.1014,2623000000.0,2623000000.0,6.1428,,6.151,,6.151,1685000000.0,,1685000000.0,0.1772,0.1249,L
2021-03-31 00:00:00,13106000000.0,6251000000.0,6855000000.0,1425000000.0,560000000.0,-496000000.0,496000000.0,64000000.0,18000000.0,46000000.0,-38000000.0,-0.04,0.523,0.0427,0.0049,-0.0029,0.0802,560000000.0,560000000.0,0.126,,0.1275,,0.1275,46000000.0,,46000000.0,0.0427,0.1183,L
2020-12-31 00:00:00,12583000000.0,6170000000.0,6413000000.0,1410000000.0,-949000000.0,-515000000.0,515000000.0,-1464000000.0,-173000000.0,-1291000000.0,-931000000.0,-3.21,0.5097,-0.0754,-0.1163,-0.074,0.0874,-949000000.0,-949000000.0,-4.6054,,-4.6054,,-4.6054,-1291000000.0,,-1291000000.0,-0.0754,0.1387,L
2020-09-30 00:00:00,12750000000.0,6166000000.0,6584000000.0,1404000000.0,-1190000000.0,-546000000.0,546000000.0,-1736000000.0,-219000000.0,-1517000000.0,-1111000000.0,-3.93,0.5164,-0.0933,-0.1362,-0.0871,0.0729,-1190000000.0,-1190000000.0,-5.3355,,-5.3333,,-5.3333,-1517000000.0,,-1517000000.0,-0.0933,0.1381,L
2020-06-30 00:00:00,12960000000.0,6164000000.0,6796000000.0,1389000000.0,-1306000000.0,-553000000.0,553000000.0,-1859000000.0,-219000000.0,-1640000000.0,-1178000000.0,-4.19,0.5244,-0.1008,-0.1434,-0.0909,0.0576,-1306000000.0,-1306000000.0,-5.7861,,-5.7838,,-5.7838,-1640000000.0,,-1640000000.0,-0.1008,0.1317,L
