Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1955476000.0,773257000.0,1182219100.0,58212000.0,583751100.0,13196000.0,155771000.0,1425000.0,647371000.0,2040000.0,645331000.0,625278000.0,5.42,0.6046,0.2985,0.3311,0.3198,0.3172,1130957100.0,583751100.0,5.5986,,5.6126,,5.6126,646756000.0,,646266000.0,0.5784,0.5239,MAA
2022-06-30 00:00:00,1887268000.0,752241000.0,1135027100.0,58694000.0,538345100.0,19527000.0,156368000.0,1342000.0,612857000.0,6099000.0,606758000.0,587448000.0,5.1,0.6014,0.2853,0.3247,0.3113,0.4125,1083233100.0,538345100.0,5.2663,,5.2804,,5.2804,608100000.0,,607612000.0,0.574,0.5097,MAA
2022-03-31 00:00:00,1829155000.0,737447000.0,1091708100.0,56228000.0,499812100.0,121130000.0,156330000.0,1258000.0,625353000.0,11196000.0,614157000.0,593373000.0,5.16,0.5968,0.2732,0.3419,0.3244,0.3902,1042211100.0,499812100.0,5.3421,,5.3583,,5.3583,615415000.0,,615076000.0,0.5698,0.5066,MAA
2021-12-31 00:00:00,1778082000.0,726897000.0,1051185100.0,52884000.0,464868100.0,72383000.0,156881000.0,1211000.0,563128000.0,13637000.0,549491000.0,529843000.0,4.61,0.5912,0.2614,0.3167,0.298,0.3631,1004935100.0,464868100.0,4.7871,,4.8005,,4.8005,550702000.0,,550442000.0,0.5652,0.5034,MAA
2021-09-30 00:00:00,1738168000.0,717839000.0,1020329000.0,50440000.0,442366000.0,51521000.0,158725000.0,1263000.0,451464000.0,6642000.0,444822000.0,427724000.0,3.73,0.587,0.2545,0.2597,0.2461,0.2261,976291000.0,442366000.0,3.885,,3.8961,,3.8961,446085000.0,,446005000.0,0.5617,0.4939,MAA
2021-06-30 00:00:00,1708792000.0,713675000.0,995117000.0,49130000.0,425396000.0,-1251000.0,160501000.0,1433000.0,424145000.0,4504000.0,419641000.0,403235000.0,3.52,0.5824,0.2489,0.2482,0.236,0.2415,952225000.0,425396000.0,3.6716,,3.6818,,3.6818,421074000.0,,421074000.0,0.5573,0.4867,MAA
2021-03-31 00:00:00,1684891000.0,700363000.0,984528000.0,46573000.0,421998000.0,-144838000.0,163752000.0,1426000.0,277160000.0,3659000.0,273501000.0,261819000.0,2.29,0.5843,0.2505,0.1645,0.1554,0.1829,943986000.0,421998000.0,2.4009,,2.4071,,2.4071,274927000.0,,274927000.0,0.5603,0.4816,MAA
2020-12-31 00:00:00,1677984000.0,692771000.0,985213000.0,46858000.0,427513000.0,-161672000.0,167562000.0,1501000.0,265841000.0,3327000.0,262514000.0,251274000.0,2.2,0.5871,0.2548,0.1584,0.1497,0.2051,944151000.0,427513000.0,2.3059,,2.3121,,2.3121,264015000.0,,264015000.0,0.5627,0.491,MAA
2020-09-30 00:00:00,1671140000.0,683124000.0,988016000.0,46066000.0,435267100.0,-100674000.0,170308000.0,1597000.0,334593000.0,3414000.0,331179000.0,317521000.0,2.78,0.5912,0.2605,0.2002,0.19,0.3034,947452100.0,435267000.0,2.9106,,2.9176,,2.9176,332776000.0,,332776000.0,0.5669,0.481,MAA
2020-06-30 00:00:00,1663573000.0,674057000.0,989516000.0,44931000.0,440897100.0,-86005000.0,173811000.0,1547000.0,354892000.0,4240000.0,350652000.0,336256000.0,2.94,0.5948,0.265,0.2133,0.2021,0.3073,950126000.0,440897000.0,3.0823,,3.0898,,3.0898,352199000.0,,352199000.0,0.5711,0.4824,MAA
