Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19296000000.0,15115000000.0,4181000000.0,868000000.0,3101000000.0,385000000.0,-330000000.0,385000000.0,2771000000.0,618000000.0,2153000000.0,2153000000.0,6.58,0.2167,0.1607,0.1436,0.1116,0.1087,3386000000.0,3101000000.0,6.5551,6.5857,6.5857,2153000000.0,2153000000.0,0.1755,0.122,MAR
2022-06-30 00:00:00,17929000000.0,14149000000.0,3780000000.0,864000000.0,2688000000.0,392000000.0,-508000000.0,392000000.0,2180000000.0,437000000.0,1743000000.0,1743000000.0,5.31,0.2108,0.1499,0.1216,0.0972,0.1044,2986000000.0,2688000000.0,5.2889,5.3165,5.3165,1743000000.0,1743000000.0,0.1665,0.1171,MAR
2022-03-31 00:00:00,15740000000.0,12464000000.0,3276000000.0,820000000.0,2224000000.0,406000000.0,-541000000.0,406000000.0,1683000000.0,196000000.0,1487000000.0,1487000000.0,4.54,0.2081,0.1413,0.1069,0.0945,0.0858,2522000000.0,2224000000.0,4.5135,4.5408,4.5408,1487000000.0,1487000000.0,0.1602,0.0983,MAR
2021-12-31 00:00:00,13857000000.0,11056000000.0,2801000000.0,823000000.0,1750000000.0,420000000.0,-570000000.0,420000000.0,1180000000.0,81000000.0,1099000000.0,1099000000.0,3.36,0.2021,0.1263,0.0852,0.0793,0.0726,2045000000.0,1750000000.0,3.3374,3.3588,3.3588,1099000000.0,1099000000.0,0.1476,0.0849,MAR
2021-09-30 00:00:00,11583000000.0,9296000000.0,2287000000.0,793000000.0,987000000.0,435000000.0,-669000000.0,435000000.0,318000000.0,-149000000.0,467000000.0,467000000.0,1.43,0.1974,0.0852,0.0275,0.0403,0.0533,1318000000.0,987000000.0,1.4152,1.4256,1.4256,467000000.0,467000000.0,0.1138,0.0657,MAR
2021-06-30 00:00:00,9891000000.0,7992000000.0,1899000000.0,712000000.0,694000000.0,441000000.0,-527000000.0,441000000.0,167000000.0,-180000000.0,347000000.0,347000000.0,1.07,0.192,0.0702,0.0169,0.0351,0.0143,1041000000.0,694000000.0,1.0531,1.0602,1.0602,347000000.0,347000000.0,0.1052,0.0263,MAR
2021-03-31 00:00:00,8206000000.0,6931000000.0,1275000000.0,703000000.0,54000000.0,459000000.0,-566000000.0,459000000.0,-512000000.0,-203000000.0,-309000000.0,-309000000.0,-0.94,0.1554,0.0066,-0.0624,-0.0377,0.1283,426000000.0,54000000.0,-0.9479,-0.9486,-0.9486,-309000000.0,-309000000.0,0.0519,0.1404,MAR
2020-12-31 00:00:00,10571000000.0,9112000000.0,1459000000.0,762000000.0,84000000.0,445000000.0,-550000000.0,445000000.0,-466000000.0,-199000000.0,-267000000.0,-267000000.0,-0.81,0.138,0.0079,-0.0441,-0.0253,0.1669,562000000.0,84000000.0,-0.8195,-0.8196,-0.8196,-267000000.0,-267000000.0,0.0532,0.155,MAR
2020-09-30 00:00:00,13770000000.0,12032000000.0,1738000000.0,846000000.0,486000000.0,428000000.0,-312000000.0,428000000.0,174000000.0,-2000000.0,176000000.0,176000000.0,0.54,0.1262,0.0353,0.0126,0.0128,0.1637,1051000000.0,486000000.0,0.5288,0.5373,0.5373,176000000.0,176000000.0,0.0763,0.1538,MAR
2020-06-30 00:00:00,16800000000.0,14611000000.0,2189000000.0,935000000.0,841000000.0,,-267000000.0,415000000.0,574000000.0,111000000.0,463000000.0,463000000.0,1.4,0.1303,0.0501,0.0342,0.0276,0.1497,1373000000.0,841000000.0,1.3867,1.4036,1.4036,463000000.0,463000000.0,0.0817,0.146,MAR
2020-03-31 00:00:00,20641000000.0,17687000000.0,2954000000.0,986000000.0,1404000000.0,,-218000000.0,390000000.0,1186000000.0,257000000.0,929000000.0,929000000.0,2.82,0.1431,0.068,0.0575,0.045,0.0996,1914000000.0,1404000000.0,2.7951,2.8173,2.8173,929000000.0,929000000.0,0.0927,0.0992,MAR
2019-12-31 00:00:00,20972000000.0,17755000000.0,3217000000.0,938000000.0,1800000000.0,,-201000000.0,394000000.0,1599000000.0,326000000.0,1273000000.0,1273000000.0,3.82,0.1534,0.0858,0.0762,0.0607,0.068,2203000000.0,1800000000.0,3.7943,3.8262,3.8262,1273000000.0,1273000000.0,0.105,0.0803,MAR
2019-09-30 00:00:00,20890000000.0,17523000000.0,3367000000.0,913000000.0,1948000000.0,,-330000000.0,393000000.0,1618000000.0,307000000.0,1311000000.0,1311000000.0,3.9,0.1612,0.0933,0.0775,0.0628,0.0678,2231000000.0,1948000000.0,3.8739,3.9092,3.9092,1311000000.0,1311000000.0,0.1068,0.0825,MAR
2019-06-30 00:00:00,20657000000.0,17297000000.0,3360000000.0,914000000.0,1937000000.0,,-252000000.0,379000000.0,1685000000.0,258000000.0,1427000000.0,1427000000.0,4.12,0.1627,0.0938,0.0816,0.0691,0.0823,2217000000.0,1937000000.0,4.1447,4.1869,4.1869,1427000000.0,1427000000.0,0.1073,0.0952,MAR
2019-03-31 00:00:00,20761000000.0,17157000000.0,3604000000.0,902000000.0,2346000000.0,,-101000000.0,362000000.0,2245000000.0,383000000.0,1862000000.0,1862000000.0,5.15,0.1736,0.113,0.1081,0.0897,0.0794,2625000000.0,2346000000.0,5.3218,5.3793,5.3793,1862000000.0,1862000000.0,0.1264,0.0883,MAR
2018-12-31 00:00:00,20758000000.0,17084000000.0,3674000000.0,927000000.0,2366000000.0,,-21000000.0,340000000.0,2345000000.0,438000000.0,1907000000.0,1907000000.0,5.16,0.177,0.114,0.113,0.0919,0.1098,2650000000.0,2366000000.0,5.384,5.447,5.447,1907000000.0,1907000000.0,0.1277,0.1135,MAR
2018-09-30 00:00:00,20720000000.0,1829000000.0,18891000000.0,955000000.0,2368000000.0,,666000000.0,318000000.0,3034000000.0,1330000000.0,1704000000.0,1704000000.0,4.78,0.9117,0.1143,0.1464,0.0822,0.152,2645000000.0,2368000000.0,4.7822,4.8402,4.8402,1704000000.0,1704000000.0,0.1277,0.111,MAR
2018-06-30 00:00:00,20747000000.0,1660000000.0,19087000000.0,939000000.0,2562000000.0,,616000000.0,305000000.0,3178000000.0,1492000000.0,1686000000.0,1686000000.0,4.44,0.92,0.1235,0.1532,0.0813,0.1455,2839000000.0,2562000000.0,4.6353,4.6921,4.6921,1686000000.0,1686000000.0,0.1368,0.1046,MAR
2018-03-31 00:00:00,20549000000.0,1503000000.0,19046000000.0,956000000.0,2488000000.0,,532000000.0,293000000.0,3020000000.0,1512000000.0,1508000000.0,1508000000.0,3.8,0.9269,0.1211,0.147,0.0734,0.1654,2778000000.0,2488000000.0,4.0453,4.0966,4.0966,1508000000.0,1508000000.0,0.1352,0.1187,MAR
2017-12-31 00:00:00,20452000000.0,1411000000.0,19041000000.0,921000000.0,2504000000.0,,478000000.0,288000000.0,2982000000.0,1523000000.0,1459000000.0,1459000000.0,3.64,0.931,0.1224,0.1458,0.0713,0.1665,2783000000.0,2504000000.0,3.8405,3.8886,3.8886,1459000000.0,1459000000.0,0.1361,0.1089,MAR
2017-09-30 00:00:00,18992000000.0,15057000000.0,3935000000.0,924000000.0,2577000000.0,,-191000000.0,291000000.0,2386000000.0,769000000.0,1617000000.0,1617000000.0,3.72,0.2072,0.1357,0.1256,0.0851,0.136,2849000000.0,2577000000.0,4.1864,4.241,4.241,1617000000.0,1617000000.0,0.15,0.1139,MAR
2017-06-30 00:00:00,17856000000.0,14402000000.0,3454000000.0,880000000.0,1958000000.0,,-179000000.0,273000000.0,1779000000.0,577000000.0,1202000000.0,1202000000.0,2.93,0.1934,0.1097,0.0996,0.0673,0.1321,2201000000.0,1958000000.0,3.1574,3.2013,3.2013,1202000000.0,1202000000.0,0.1233,0.1088,MAR
2017-03-31 00:00:00,16547000000.0,13576000000.0,2971000000.0,800000000.0,1603000000.0,,-196000000.0,257000000.0,1407000000.0,447000000.0,960000000.0,960000000.0,2.81,0.1795,0.0969,0.085,0.058,0.1209,1793000000.0,1603000000.0,2.838,2.8807,2.8807,960000000.0,960000000.0,0.1084,0.102,MAR
2016-12-31 00:00:00,15407000000.0,12735000000.0,2672000000.0,743000000.0,1424000000.0,,-185000000.0,234000000.0,1239000000.0,431000000.0,808000000.0,808000000.0,2.72,0.1734,0.0924,0.0804,0.0524,0.1059,1583000000.0,1424000000.0,2.7326,2.7776,2.7776,808000000.0,808000000.0,0.1027,0.1051,MAR
2016-09-30 00:00:00,15322000000.0,13048000000.0,2274000000.0,658000000.0,1237000000.0,,-152000000.0,205000000.0,1085000000.0,347000000.0,738000000.0,738000000.0,2.88,0.1484,0.0807,0.0708,0.0482,0.0946,1366000000.0,1237000000.0,2.8296,2.8813,2.8813,738000000.0,738000000.0,0.0892,0.1071,MAR
