Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,705336000.0,705458000.0,306563000.0,321784000.0,4727000.0,1825000.0,330435000.0,87252000.0,243183000.0,243183000.0,6.44,1.0002,0.4562,0.4685,0.3448,0.368,388083000.0,321784000.0,6.4434,,6.4881,,6.4881,243183000.0,,243183000.0,0.5502,0.432,MKTX
2022-06-30 00:00:00,695829000.0,695439000.0,301132000.0,319476000.0,2666000.0,500000.0,326066000.0,84232000.0,241834000.0,241834000.0,6.38,0.9994,0.4591,0.4686,0.3475,0.3426,384891000.0,319476000.0,6.3865,,6.4501,,6.4501,241834000.0,,241834000.0,0.5531,0.4081,MKTX
2022-03-31 00:00:00,689919000.0,689544000.0,294882000.0,321865000.0,-3248000.0,417000.0,322541000.0,80341000.0,242200000.0,242200000.0,6.39,0.9995,0.4665,0.4675,0.3511,0.3449,385438000.0,321865000.0,6.3729,,6.4609,,6.4609,242200000.0,,242200000.0,0.5587,0.4161,MKTX
2021-12-31 00:00:00,699983000.0,698951000.0,292195000.0,337235000.0,-3312000.0,549000.0,333923000.0,76035000.0,257888000.0,257888000.0,6.83,0.9985,0.4818,0.477,0.3684,0.3359,397481000.0,337235000.0,6.7692,,6.8756,,6.8756,257888000.0,,257888000.0,0.5678,0.4082,MKTX
2021-09-30 00:00:00,705749000.0,705237000.0,282122000.0,356351000.0,-3714000.0,566000.0,352637000.0,74003000.0,278634000.0,278634000.0,7.41,0.9993,0.5049,0.4997,0.3948,0.4461,412534000.0,356351000.0,7.3061,,7.4349,,7.4349,278634000.0,,278634000.0,0.5845,0.518,MKTX
2021-06-30 00:00:00,707150000.0,707150000.0,273594000.0,370155000.0,-4047000.0,1504000.0,366108000.0,77656000.0,288452000.0,288452000.0,7.7,1.0,0.5234,0.5177,0.4079,0.2874,421540000.0,370155000.0,7.5604,,7.7034,,7.7034,288452000.0,,288452000.0,0.5961,0.3575,MKTX
2021-03-31 00:00:00,715611000.0,715611000.0,268548000.0,387113000.0,-2655000.0,1333000.0,384458000.0,79440000.0,305018000.0,305018000.0,8.16,1.0,0.541,0.5372,0.4262,0.2991,433682000.0,387113000.0,7.9923,,8.1551,,8.1551,305018000.0,,305018000.0,0.606,0.3647,MKTX
2020-12-31 00:00:00,689125000.0,689125000.0,257343000.0,374728000.0,-369000.0,1142000.0,374359000.0,74982000.0,299377000.0,299377000.0,8.02,1.0,0.5438,0.5432,0.4344,0.5207,417566000.0,374728000.0,7.8486,,8.0135,,8.0135,299377000.0,,299377000.0,0.6059,0.587,MKTX
2020-09-30 00:00:00,647553000.0,647553000.0,251131000.0,343882000.0,2145000.0,2813000.0,346027000.0,69308000.0,276719000.0,276719000.0,7.42,1.0,0.531,0.5344,0.4273,0.3393,383653000.0,343882000.0,7.2588,,7.4165,,7.4165,276719000.0,,276719000.0,0.5925,0.4108,MKTX
2020-06-30 00:00:00,615144000.0,615144000.0,244952000.0,322040000.0,3360000.0,1767000.0,325400000.0,62455000.0,262945000.0,262945000.0,7.07,1.0,0.5235,0.529,0.4275,0.5503,359127000.0,322040000.0,6.904,,7.0605,,7.0605,262945000.0,,262945000.0,0.5838,0.6211,MKTX
2020-03-31 00:00:00,555839000.0,555839000.0,233968000.0,278782000.0,5124000.0,,283906000.0,56710000.0,227196000.0,227196000.0,6.12,1.0,0.5016,0.5108,0.4087,0.5487,313773000.0,278782000.0,5.9751,,6.1132,,6.1132,227196000.0,,227196000.0,0.5645,0.6242,MKTX
2019-12-31 00:00:00,511352000.0,511352000.0,222299000.0,250882000.0,6542000.0,,257424000.0,52522000.0,204902000.0,204902000.0,5.53,1.0,0.4906,0.5034,0.4007,0.4522,283534000.0,250882000.0,5.3984,,5.5255,,5.5255,204902000.0,,204902000.0,0.5545,0.5201,MKTX
2019-09-30 00:00:00,494022000.0,494022000.0,214825000.0,243996000.0,7537000.0,,251533000.0,51073000.0,200460000.0,200460000.0,5.42,1.0,0.4939,0.5092,0.4058,0.4246,273275000.0,243996000.0,5.2897,,5.4127,,5.4127,200460000.0,,200460000.0,0.5532,0.4998,MKTX
2019-06-30 00:00:00,463868000.0,463868000.0,205773000.0,224443000.0,7549000.0,,231992000.0,46940000.0,185052000.0,185052000.0,5.0,1.0,0.4839,0.5001,0.3989,0.45,251726000.0,224443000.0,4.8887,,5.0003,,5.0003,185052000.0,,185052000.0,0.5427,0.5329,MKTX
2019-03-31 00:00:00,445342000.0,445342000.0,197243000.0,215600000.0,6693000.0,,222293000.0,44859000.0,177434000.0,177434000.0,4.8,1.0,0.4841,0.4992,0.3984,0.4183,240784000.0,215600000.0,4.6891,,4.7976,,4.7976,177434000.0,,177434000.0,0.5407,0.5206,MKTX
2018-12-31 00:00:00,435565000.0,435565000.0,192147000.0,212584000.0,5502000.0,,218086000.0,45234000.0,172852000.0,172852000.0,4.68,1.0,0.4881,0.5007,0.3968,0.4048,235664000.0,212584000.0,4.5662,,4.677,,4.677,172852000.0,,172852000.0,0.5411,0.5141,MKTX
2018-09-30 00:00:00,421681000.0,421681000.0,184811000.0,207456000.0,3935000.0,,211391000.0,50897000.0,160494000.0,160494000.0,4.35,1.0,0.492,0.5013,0.3806,0.3772,229896000.0,207456000.0,4.2377,,4.3448,,4.3448,160494000.0,,160494000.0,0.5452,0.4749,MKTX
2018-06-30 00:00:00,415822000.0,415822000.0,180603000.0,207679000.0,3132000.0,,210811000.0,54781000.0,156030000.0,156030000.0,4.24,1.0,0.4994,0.507,0.3752,0.3584,228529000.0,207679000.0,4.1151,,4.2261,,4.2261,156030000.0,,156030000.0,0.5496,0.4443,MKTX
2018-03-31 00:00:00,405172000.0,405172000.0,174497000.0,204630000.0,2544000.0,,207174000.0,53608000.0,153566000.0,153566000.0,4.17,1.0,0.505,0.5113,0.379,0.3574,224480000.0,204630000.0,4.0444,,4.1621,,4.1621,153566000.0,,153566000.0,0.554,0.4169,MKTX
2017-12-31 00:00:00,393422000.0,393422000.0,168736000.0,199615000.0,2153000.0,,201768000.0,53679000.0,148089000.0,148089000.0,4.02,1.0,0.5074,0.5129,0.3764,0.3622,218889000.0,199615000.0,3.8932,,4.0171,,4.0171,148089000.0,,148089000.0,0.5564,0.4271,MKTX
2017-09-30 00:00:00,387109000.0,387109000.0,163637000.0,199488000.0,,,202724000.0,54943000.0,147781000.0,147781000.0,4.01,1.0,0.5153,0.5237,0.3818,0.4034,217846000.0,199488000.0,3.8894,,4.0103,,4.0103,147781000.0,,147781000.0,0.5628,0.4603,MKTX
2017-06-30 00:00:00,381796000.0,381796000.0,159304000.0,199207000.0,,,201861000.0,57292000.0,144569000.0,144569000.0,3.92,1.0,0.5218,0.5287,0.3787,0.414,217307000.0,199207000.0,3.8098,,3.9226,,3.9226,144569000.0,,144569000.0,0.5692,0.4687,MKTX
2017-03-31 00:00:00,382121000.0,382121000.0,157877000.0,200773000.0,,,202839000.0,63167000.0,139672000.0,139672000.0,3.79,1.0,0.5254,0.5308,0.3655,0.4001,218623000.0,200773000.0,3.6888,,3.7892,,3.7892,139672000.0,,139672000.0,0.5721,0.4528,MKTX
