Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,20902000000.0,20835000000.0,11938000000.0,4586000000.0,416000000.0,115000000.0,4430000000.0,1007000000.0,3423000000.0,3387000000.0,6.67,0.9968,0.2194,0.2119,0.162,0.1546,5281000000.0,4586000000.0,6.7407,,6.82,,6.82,3423000000.0,,3423000000.0,0.2527,0.1787,MMC
2022-06-30 00:00:00,20723000000.0,20648000000.0,11868000000.0,4535000000.0,423000000.0,112000000.0,4413000000.0,1000000000.0,3413000000.0,3378000000.0,6.63,0.9964,0.2188,0.213,0.163,0.1542,5240000000.0,4535000000.0,6.6998,,6.7827,,6.7827,3413000000.0,,3413000000.0,0.2529,0.178,MMC
2022-03-31 00:00:00,20359000000.0,20286000000.0,11718000000.0,4399000000.0,345000000.0,221000000.0,4310000000.0,1048000000.0,3262000000.0,3231000000.0,6.33,0.9964,0.2161,0.2117,0.1587,0.1485,5129000000.0,4399000000.0,6.3791,,6.4586,,6.4586,3262000000.0,,3262000000.0,0.2519,0.1711,MMC
2021-12-31 00:00:00,19824000000.0,19820000000.0,11425000000.0,4312000000.0,226000000.0,338000000.0,4208000000.0,1034000000.0,3174000000.0,3143000000.0,6.16,0.9998,0.2175,0.2123,0.1585,0.1658,5059000000.0,4312000000.0,6.1871,,6.2603,,6.2603,3174000000.0,,3174000000.0,0.2552,0.1863,MMC
2021-09-30 00:00:00,19110000000.0,19099000000.0,11170000000.0,3897000000.0,-26000000.0,357000000.0,3787000000.0,1041000000.0,2746000000.0,2714000000.0,5.33,0.9994,0.2039,0.1982,0.142,0.1679,4660000000.0,3897000000.0,5.3423,,5.4071,,5.4071,2746000000.0,,2746000000.0,0.2439,0.1856,MMC
2021-06-30 00:00:00,18484000000.0,18484000000.0,10812000000.0,3697000000.0,-167000000.0,484000000.0,3530000000.0,1006000000.0,2524000000.0,2493000000.0,4.9,1.0,0.2,0.191,0.1349,0.1761,4466000000.0,3697000000.0,4.9108,,4.9672,,4.9672,2524000000.0,,2524000000.0,0.2416,0.1923,MMC
2021-03-31 00:00:00,17656000000.0,17656000000.0,10381000000.0,3354000000.0,-246000000.0,506000000.0,3108000000.0,831000000.0,2277000000.0,2245000000.0,4.42,1.0,0.19,0.176,0.1272,0.1876,4109000000.0,3354000000.0,4.4337,,4.4854,,4.4854,2277000000.0,,2277000000.0,0.2327,0.2046,MMC
2020-12-31 00:00:00,17224000000.0,17224000000.0,10129000000.0,3066000000.0,-273000000.0,515000000.0,2793000000.0,747000000.0,2046000000.0,2016000000.0,3.98,1.0,0.178,0.1622,0.117,0.1761,3807000000.0,3066000000.0,3.996,,4.0435,,4.0435,2046000000.0,,2046000000.0,0.221,0.1964,MMC
2020-09-30 00:00:00,17072000000.0,17072000000.0,9957000000.0,3087000000.0,-303000000.0,517000000.0,2784000000.0,721000000.0,2063000000.0,2033000000.0,4.01,1.0,0.1808,0.1631,0.1191,0.1552,3801000000.0,3087000000.0,4.0402,,4.0773,,4.0773,2063000000.0,,2063000000.0,0.2226,0.1798,MMC
2020-06-30 00:00:00,17072000000.0,17072000000.0,9899000000.0,3014000000.0,-275000000.0,522000000.0,2739000000.0,690000000.0,2049000000.0,2020000000.0,3.99,1.0,0.1765,0.1604,0.1183,0.131,3713000000.0,3014000000.0,4.014,,4.0508,,4.0508,2049000000.0,,2049000000.0,0.2175,0.158,MMC
2020-03-31 00:00:00,17232000000.0,17232000000.0,10007000000.0,2809000000.0,-307000000.0,531000000.0,2502000000.0,689000000.0,1813000000.0,1780000000.0,3.52,1.0,0.163,0.1452,0.1033,0.0889,3514000000.0,2809000000.0,3.5509,,3.5831,,3.5831,1813000000.0,,1813000000.0,0.2039,0.116,MMC
2019-12-31 00:00:00,16652000000.0,16652000000.0,9734000000.0,2677000000.0,-238000000.0,524000000.0,2439000000.0,666000000.0,1773000000.0,1742000000.0,3.45,1.0,0.1608,0.1465,0.1046,0.1165,3324000000.0,2677000000.0,3.4697,,3.5039,,3.5039,1773000000.0,,1773000000.0,0.1996,0.1418,MMC
2019-09-30 00:00:00,16100000000.0,16100000000.0,9419000000.0,2706000000.0,-574000000.0,486000000.0,2132000000.0,596000000.0,1536000000.0,1504000000.0,2.98,1.0,0.1681,0.1324,0.0934,0.126,3309000000.0,2706000000.0,3.0135,,3.0423,,3.0423,1536000000.0,,1536000000.0,0.2055,0.1491,MMC
