Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6223000000.0,3080000000.0,3144000000.0,1554583000.0,1603251600.0,-26000000.0,17000000.0,1597000000.0,387000000.0,1211264100.0,1210000000.0,2.26,0.5052,0.2576,0.2566,0.1944,0.1051,1650000000.0,1603251900.0,2.2643,2.292,2.292,1211264100.0,1210000000.0,0.2651,0.1313,MNST
2022-06-30 00:00:00,6010000000.0,2910000000.0,3099000000.0,1483788000.0,1629785500.0,-12000000.0,8000000.0,1619000000.0,394000000.0,1226082100.0,1225000000.0,2.29,0.5156,0.2712,0.2694,0.2038,0.093,1672000000.0,1629785800.0,2.289,2.3174,2.3174,1226082100.0,1225000000.0,0.2782,0.1164,MNST
2022-03-31 00:00:00,5816934000.0,2660096000.0,3155838000.0,1387741000.0,1782809500.0,872000.0,5000000.0,1779847000.0,424085000.0,1356484100.0,1355762000.0,2.54,0.5425,0.3065,0.306,0.2331,0.1563,1819649000.0,1782809800.0,2.5318,2.5641,2.5641,1356484100.0,1355762000.0,0.3128,0.1685,MNST
2021-12-31 00:00:00,5541750000.0,2431977000.0,3108773100.0,1311352000.0,1797466600.0,2113000.0,4000000.0,1801234000.0,424278000.0,1377475100.0,1376956000.0,2.59,0.561,0.3244,0.325,0.2485,0.1984,1847620100.0,1797466900.0,2.5717,2.6051,2.6051,1377475100.0,1376956000.0,0.3334,0.2086,MNST
2021-09-30 00:00:00,5313033000.0,2280576000.0,3031457200.0,1245036000.0,1786885100.0,-4391000.0,4000000.0,1783030000.0,255338000.0,1527896900.0,1527691900.0,2.88,0.5706,0.3363,0.3356,0.2875,0.2457,1836071100.0,1786885100.0,2.854,2.8893,2.8893,1527896900.0,1527691900.0,0.3456,0.2528,MNST
2021-06-30 00:00:00,5148395000.0,2169407000.0,2978988300.0,1177966000.0,1801022200.0,-5959000.0,5000000.0,1795063000.0,256717000.0,1538345900.0,1538345900.0,2.91,0.5786,0.3498,0.3487,0.2988,0.2838,1851494200.0,1801022200.0,2.8767,2.9108,2.9108,1538345900.0,1538345900.0,0.3596,0.2934,MNST
2021-03-31 00:00:00,4780357000.0,1978738000.0,2801619300.0,1119308000.0,1682311200.0,-8627000.0,5000000.0,1673684000.0,227731000.0,1445952900.0,1445952900.0,2.74,0.5861,0.3519,0.3501,0.3025,0.2687,1735620200.0,1682311200.0,2.709,2.7379,2.7379,1445952900.0,1445952900.0,0.3631,0.2821,MNST
2020-12-31 00:00:00,4598638000.0,1874758000.0,2723880200.0,1090727000.0,1633153100.0,-6996000.0,9000000.0,1626157000.0,216563000.0,1409593900.0,1409593900.0,2.66,0.5923,0.3551,0.3536,0.3065,0.2822,1690183100.0,1633153100.0,2.6357,2.6614,2.6614,1409593900.0,1409593900.0,0.3675,0.2966,MNST
2020-09-30 00:00:00,4419561000.0,1775597000.0,2643963800.0,1096066100.0,1547897800.0,-1305000.0,12000000.0,1546593100.0,353781000.0,1192811900.0,1192812000.0,2.24,0.5982,0.3502,0.3499,0.2699,0.2536,1606660800.0,1547898000.0,2.2253,2.245,2.245,1192811900.0,1192811900.0,0.3635,0.281,MNST
2020-06-30 00:00:00,4306776000.0,1726341000.0,2580434700.0,1095695100.0,1484739700.0,6384000.0,12551000.0,1491124100.0,347043000.0,1144080900.0,1144081000.0,2.13,0.5992,0.3447,0.3462,0.2656,0.2251,1545079700.0,1484739900.0,2.1185,2.1351,2.1351,1144080900.0,1144080900.0,0.3588,0.2553,MNST
