Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,31160000000.0,26545000000.0,4615000000.0,2261000000.0,1259000000.0,-138000000.0,113000000.0,1121000000.0,282000000.0,839000000.0,839000000.0,14.38,0.1481,0.0404,0.036,0.0269,0.0475,1423000000.0,1259000000.0,14.3296,,14.5017,,14.5017,839000000.0,,839000000.0,0.0457,0.0508,MOH
2022-06-30 00:00:00,30273000000.0,25846000000.0,4427000000.0,2233000000.0,1145000000.0,-140000000.0,115000000.0,1005000000.0,253000000.0,752000000.0,752000000.0,12.87,0.1462,0.0378,0.0332,0.0248,0.0559,1296000000.0,1145000000.0,12.8289,,12.9826,,12.9826,752000000.0,,752000000.0,0.0428,0.0591,MOH
2022-03-31 00:00:00,29019000000.0,24793000000.0,4226000000.0,2166000000.0,1057000000.0,-143000000.0,118000000.0,914000000.0,225000000.0,689000000.0,689000000.0,11.78,0.1456,0.0364,0.0315,0.0237,0.0631,1195000000.0,1057000000.0,11.7501,,11.8981,,11.8981,689000000.0,,689000000.0,0.0412,0.066,MOH
2021-12-31 00:00:00,27771000000.0,23704000000.0,4067000000.0,2068000000.0,1020000000.0,-145000000.0,120000000.0,875000000.0,216000000.0,659000000.0,659000000.0,11.27,0.1464,0.0367,0.0315,0.0237,0.0735,1151000000.0,1020000000.0,11.2457,,11.4013,,11.4013,659000000.0,,659000000.0,0.0414,0.0763,MOH
2021-09-30 00:00:00,25597000000.0,21750000000.0,3847000000.0,1939000000.0,920000000.0,-130000000.0,120000000.0,790000000.0,200000000.0,590000000.0,590000000.0,10.05,0.1503,0.0359,0.0309,0.023,0.1076,1040000000.0,920000000.0,10.0699,,10.2202,,10.2202,590000000.0,,590000000.0,0.0406,0.1102,MOH
2021-06-30 00:00:00,23578000000.0,19799000000.0,3779000000.0,1775000000.0,988000000.0,-127000000.0,117000000.0,861000000.0,229000000.0,632000000.0,632000000.0,10.71,0.1603,0.0419,0.0365,0.0268,0.0909,1099000000.0,988000000.0,10.7295,,10.8978,,10.8978,632000000.0,,632000000.0,0.0466,0.0934,MOH
2021-03-31 00:00:00,21396000000.0,17578000000.0,3818000000.0,1636000000.0,1139000000.0,-126000000.0,111000000.0,1013000000.0,290000000.0,723000000.0,723000000.0,12.2,0.1784,0.0532,0.0473,0.0338,0.1053,1240000000.0,1139000000.0,12.2082,,12.4015,,12.4015,723000000.0,,723000000.0,0.058,0.1086,MOH
2020-12-31 00:00:00,19423000000.0,15820000000.0,3603000000.0,1480000000.0,1078000000.0,-117000000.0,102000000.0,961000000.0,288000000.0,673000000.0,673000000.0,11.23,0.1855,0.0555,0.0495,0.0346,0.0939,1166000000.0,1078000000.0,11.2354,,11.4068,,11.4068,673000000.0,,673000000.0,0.06,0.0977,MOH
2020-09-30 00:00:00,18462000000.0,14957000000.0,3505000000.0,1373000000.0,1229000000.0,-97000000.0,92000000.0,1132000000.0,325000000.0,807000000.0,807000000.0,13.34,0.1898,0.0666,0.0613,0.0437,0.0295,1314000000.0,1229000000.0,13.3432,,13.5091,,13.5091,807000000.0,,807000000.0,0.0712,0.0344,MOH
2020-06-30 00:00:00,17684000000.0,14382000000.0,3302000000.0,1328000000.0,1197000000.0,-94000000.0,87000000.0,1103000000.0,306000000.0,797000000.0,797000000.0,12.99,0.1867,0.0677,0.0624,0.0451,0.0539,1280000000.0,1197000000.0,12.9908,,13.171,,13.171,797000000.0,,797000000.0,0.0724,0.0585,MOH
2020-03-31 00:00:00,17259000000.0,14250000000.0,3009000000.0,1311000000.0,1038000000.0,-73000000.0,85000000.0,965000000.0,248000000.0,717000000.0,717000000.0,11.4,0.1743,0.0601,0.0559,0.0415,0.0148,1122000000.0,1038000000.0,11.4068,,11.6173,,11.6173,717000000.0,,717000000.0,0.065,0.019,MOH
2019-12-31 00:00:00,16829000000.0,13905000000.0,2924000000.0,1296000000.0,1044000000.0,-72000000.0,87000000.0,972000000.0,235000000.0,737000000.0,737000000.0,11.47,0.1737,0.062,0.0578,0.0438,0.0224,1133000000.0,1044000000.0,11.4797,,11.8489,,11.8489,737000000.0,,737000000.0,0.0673,0.0258,MOH
2019-09-30 00:00:00,17219000000.0,14150000000.0,3069000000.0,1288000000.0,1074000000.0,-68000000.0,91000000.0,1006000000.0,236000000.0,770000000.0,770000000.0,11.81,0.1782,0.0624,0.0584,0.0447,0.0139,1147000000.0,1074000000.0,11.7863,,12.4446,,12.4446,770000000.0,,770000000.0,0.0666,0.016,MOH
2019-06-30 00:00:00,17673000000.0,14528000000.0,3145000000.0,1276000000.0,1112000000.0,-80000000.0,95000000.0,1032000000.0,240000000.0,792000000.0,792000000.0,11.96,0.178,0.0629,0.0584,0.0448,-0.0287,1200000000.0,1112000000.0,11.936,,12.8448,,12.8448,792000000.0,,792000000.0,0.0679,-0.0267,MOH
2019-03-31 00:00:00,18363000000.0,15030000000.0,3333000000.0,1283000000.0,1189000000.0,-109000000.0,105000000.0,1080000000.0,282000000.0,798000000.0,798000000.0,11.92,0.1815,0.0647,0.0588,0.0435,-0.0267,1297000000.0,1189000000.0,11.902,,12.9893,,12.9893,798000000.0,,798000000.0,0.0706,-0.025,MOH
