Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,59924000000.0,17189000000.0,42735000000.0,12820000000.0,10185000000.0,18546000000.0,936000000.0,481000000.0,71000000.0,16840000000.0,1507000000.0,15333000000.0,15260000000.0,6.01,0.7132,0.3095,0.281,0.2547,0.2545,23582000000.0,18546000000.0,6.03,,6.2079,,6.05,15333000000.0,,15333000000.0,0.3935,0.3287,MRK
2022-06-30 00:00:00,57822000000.0,16711000000.0,41111000000.0,10736000000.0,9996000000.0,19363000000.0,888000000.0,624000000.0,38000000.0,18523000000.0,1872000000.0,16651000000.0,16579000000.0,6.53,0.711,0.3349,0.3203,0.2867,0.249,24005000000.0,19363000000.0,6.55,,6.7304,,6.58,16651000000.0,,16651000000.0,0.4152,0.3267,MRK
2022-03-31 00:00:00,54423000000.0,15666000000.0,38757000000.0,12281000000.0,9765000000.0,15992000000.0,850000000.0,574000000.0,32000000.0,15753000000.0,1837000000.0,13916000000.0,14180000000.0,5.59,0.7121,0.2938,0.2895,0.2606,0.2247,20100000000.0,15992000000.0,5.48,,5.7804,,5.5,13916000000.0,,14248000000.0,0.3693,0.3046,MRK
2021-12-31 00:00:00,49080000000.0,13531000000.0,35549000000.0,12124000000.0,9629000000.0,13199000000.0,807000000.0,490000000.0,36000000.0,13879000000.0,1521000000.0,12358000000.0,13049000000.0,5.14,0.7243,0.2689,0.2828,0.2659,0.1754,17020000000.0,13199000000.0,4.86,0.78,5.1628,0.79,4.88,12358000000.0,2591000000.0,12690000000.0,0.3468,0.2661,MRK
2021-09-30 00:00:00,44322000000.0,14251000000.0,30071000000.0,14801000000.0,9054000000.0,6072000000.0,805000000.0,428000000.0,38000000.0,6548000000.0,1381000000.0,5167000000.0,7196000000.0,2.83,0.6785,0.137,0.1477,0.1624,0.1527,9478000000.0,6072000000.0,2.0362,,2.6739,,2.0392,5167000000.0,,6769000000.0,0.2138,0.258,MRK
2021-06-30 00:00:00,42137000000.0,13862000000.0,28275000000.0,15836000000.0,8783000000.0,3656000000.0,812000000.0,332000000.0,40000000.0,3988000000.0,1066000000.0,2922000000.0,5570000000.0,2.19,0.671,0.0868,0.0946,0.1322,0.0778,6966000000.0,3656000000.0,1.1562,1.04,2.0309,1.05,1.1492,2922000000.0,2880000000.0,5141000000.0,0.1653,0.1951,MRK
2021-03-31 00:00:00,40088000000.0,13505000000.0,26583000000.0,13600000000.0,8587000000.0,4396000000.0,819000000.0,616000000.0,45000000.0,5012000000.0,959000000.0,4053000000.0,7027000000.0,2.76,0.6631,0.1097,0.125,0.1753,0.0904,7953000000.0,4396000000.0,1.5962,1.17,2.6102,1.18,1.5992,4053000000.0,,6601000000.0,0.1984,0.2033,MRK
2020-12-31 00:00:00,41518000000.0,13618000000.0,27900000000.0,13397000000.0,8955000000.0,5548000000.0,831000000.0,315000000.0,59000000.0,5863000000.0,1340000000.0,4523000000.0,7067000000.0,2.77,0.672,0.1336,0.1412,0.1702,0.0768,9034000000.0,5548000000.0,1.78,,2.7949,,1.79,4523000000.0,,7071000000.0,0.2176,0.1835,MRK
2020-09-30 00:00:00,36487000000.0,10645000000.0,25842000000.0,10043000000.0,8429000000.0,7370000000.0,844000000.0,413000000.0,98000000.0,7783000000.0,1700000000.0,6083000000.0,11519000000.0,4.52,0.7083,0.202,0.2133,0.3157,0.0113,10567000000.0,7370000000.0,2.4512,,4.5489,,2.4609,6083000000.0,,11514000000.0,0.2896,0.1218,MRK
2020-06-30 00:00:00,37955000000.0,11622000000.0,26333000000.0,9898000000.0,8958000000.0,7477000000.0,,-53000000.0,,7424000000.0,1760000000.0,5664000000.0,10479000000.0,4.1,0.6938,0.197,0.1956,0.2761,0.0934,10712000000.0,7477000000.0,2.2726,,4.1307,,2.2864,5664000000.0,,10478000000.0,0.2822,0.1868,MRK
2020-03-31 00:00:00,40362000000.0,12276000000.0,28086000000.0,10002000000.0,9585000000.0,8499000000.0,,-557000000.0,,7942000000.0,1979000000.0,5963000000.0,10147000000.0,3.95,0.6959,0.2106,0.1968,0.2514,0.1114,11732000000.0,8499000000.0,2.3742,,3.9683,,2.3836,5963000000.0,,10116000000.0,0.2907,0.2045,MRK
2019-12-31 00:00:00,39121000000.0,12016000000.0,27105000000.0,9724000000.0,9455000000.0,7926000000.0,,-755000000.0,,7171000000.0,1565000000.0,5606000000.0,9843000000.0,3.81,0.6929,0.2026,0.1833,0.2516,0.141,11236000000.0,7926000000.0,2.2099,,3.8047,,2.22,5606000000.0,,9759000000.0,0.2872,0.2271,MRK
2019-09-30 00:00:00,45971000000.0,13732000000.0,32239000000.0,9538000000.0,10369000000.0,12332000000.0,,-1054000000.0,,11278000000.0,2087000000.0,9191000000.0,9313000000.0,3.58,0.7013,0.2683,0.2453,0.2026,0.1952,16046000000.0,12332000000.0,3.5331,,3.5545,,3.5545,9191000000.0,,9191000000.0,0.349,0.2662,MRK
2019-06-30 00:00:00,44368000000.0,13361000000.0,31007000000.0,8402000000.0,10223000000.0,12382000000.0,,-786000000.0,,11596000000.0,2354000000.0,9242000000.0,9362000000.0,3.57,0.6989,0.2791,0.2614,0.211,0.1768,16345000000.0,12382000000.0,3.5228,,3.5445,,3.5445,9242000000.0,,9242000000.0,0.3684,0.2435,MRK
2019-03-31 00:00:00,43073000000.0,13377000000.0,29696000000.0,8487000000.0,10019000000.0,11190000000.0,,-767000000.0,,10423000000.0,2109000000.0,8314000000.0,8399000000.0,3.17,0.6894,0.2598,0.242,0.195,0.1937,15470000000.0,11190000000.0,3.1377,,3.1569,,3.1569,8314000000.0,,8314000000.0,0.3592,0.2578,MRK
2018-12-31 00:00:00,42294000000.0,13509000000.0,28785000000.0,9752000000.0,10102000000.0,8931000000.0,,-230000000.0,,8701000000.0,2508000000.0,6193000000.0,6220000000.0,2.32,0.6806,0.2112,0.2057,0.1471,0.1964,13450000000.0,8931000000.0,2.3116,,2.3247,,2.3247,6193000000.0,,6193000000.0,0.318,0.2582,MRK
2018-09-30 00:00:00,41729000000.0,13660000000.0,28069000000.0,9852000000.0,10102000000.0,8115000000.0,,-140000000.0,,7975000000.0,4598000000.0,3377000000.0,3346000000.0,1.31,0.6726,0.1945,0.1911,0.0802,0.2144,12803000000.0,8115000000.0,1.2681,,1.2741,,1.2741,3377000000.0,,3377000000.0,0.3068,0.272,MRK
2018-06-30 00:00:00,41260000000.0,13348000000.0,27912000000.0,12197000000.0,10118000000.0,5597000000.0,,-87000000.0,,5510000000.0,4142000000.0,1368000000.0,1340000000.0,0.56,0.6765,0.1357,0.1335,0.0325,0.1259,10345000000.0,5597000000.0,0.5183,,0.5199,,0.5199,1368000000.0,,1368000000.0,0.2507,0.179,MRK
2018-03-31 00:00:00,40725000000.0,13047000000.0,27678000000.0,11705000000.0,10110000000.0,5863000000.0,,0.0,,5863000000.0,4260000000.0,1603000000.0,1579000000.0,0.64,0.6796,0.144,0.144,0.0388,0.1307,10483000000.0,5863000000.0,0.5907,,0.5939,,0.5939,1603000000.0,,1603000000.0,0.2574,0.1797,MRK
2017-12-31 00:00:00,40122000000.0,12912000000.0,27210000000.0,10339000000.0,10074000000.0,6797000000.0,,-276000000.0,,6521000000.0,4103000000.0,2418000000.0,2394000000.0,0.93,0.6782,0.1694,0.1625,0.0597,0.1137,11473000000.0,6797000000.0,0.8798,,0.8857,,0.8857,2418000000.0,,2418000000.0,0.286,0.1608,MRK
2017-09-30 00:00:00,39804000000.0,12943000000.0,26861000000.0,12812000000.0,10279000000.0,3770000000.0,,-484000000.0,,3286000000.0,416000000.0,2870000000.0,2847000000.0,1.67,0.6748,0.0947,0.0826,0.0715,0.109,8464000000.0,3770000000.0,1.0436,,1.051,,1.051,2870000000.0,,2870000000.0,0.2126,0.1523,MRK
2017-06-30 00:00:00,40015000000.0,13045000000.0,26970000000.0,10063000000.0,10213000000.0,6694000000.0,,-721000000.0,,5973000000.0,864000000.0,5109000000.0,5087000000.0,2.47,0.674,0.1673,0.1493,0.1271,0.2128,11409000000.0,6694000000.0,1.8477,,1.861,,1.861,5109000000.0,,5109000000.0,0.2851,0.2551,MRK
2017-03-31 00:00:00,39929000000.0,13507000000.0,26422000000.0,10432000000.0,10171000000.0,5819000000.0,,-781000000.0,,5038000000.0,671000000.0,4367000000.0,4346000000.0,2.19,0.6617,0.1457,0.1262,0.1088,0.1707,10922000000.0,5819000000.0,1.5723,,1.5842,,1.5842,4367000000.0,,4367000000.0,0.2735,0.2126,MRK
2016-12-31 00:00:00,39807000000.0,14030000000.0,25777000000.0,10261000000.0,10017000000.0,5499000000.0,,-840000000.0,,4659000000.0,718000000.0,3941000000.0,3920000000.0,2.03,0.6475,0.1381,0.117,0.0985,0.2201,10970000000.0,5499000000.0,1.4141,,1.4248,,1.4248,3941000000.0,,3941000000.0,0.2756,0.2607,MRK
