Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2222232000.0,514512000.0,1707720000.0,108998000.0,419245000.0,1179476900.0,166297000.0,9293000.0,5528000.0,1023942000.0,174475000.0,849467000.0,849467000.0,10.37,0.7685,0.5308,0.4608,0.3823,0.4574,1325120000.0,1179476900.0,10.3647,,10.4437,,10.4437,849467000.0,,849467000.0,0.5963,0.4885,MSCI
2022-06-30 00:00:00,2178692000.0,496180000.0,1682512000.0,111409000.0,420927000.0,1150175900.0,164272000.0,-29371000.0,1986000.0,955388000.0,152637000.0,802751000.0,802751000.0,9.72,0.7723,0.5279,0.4385,0.3685,0.418,1285365000.0,1150175900.0,9.7197,,9.813,,9.813,802751000.0,,802751000.0,0.59,0.4482,MSCI
2022-03-31 00:00:00,2125066000.0,453795000.0,1671271000.0,115024000.0,411503000.0,1107327900.0,162744000.0,-92840000.0,40619000.0,891051000.0,133464000.0,757587000.0,757587000.0,9.14,0.7865,0.5211,0.4193,0.3565,0.4346,1250205000.0,1107327900.0,9.1153,,9.2169,,9.2169,757587000.0,,757587000.0,0.5883,0.4618,MSCI
2021-12-31 00:00:00,2043544000.0,408550000.0,1634994000.0,111564000.0,391078000.0,1072724900.0,159614000.0,-132880000.0,77905000.0,858136000.0,132153000.0,725983000.0,725983000.0,8.74,0.8001,0.5249,0.4199,0.3553,0.4376,1209190000.0,1072724900.0,8.6966,,8.7989,,8.7989,725983000.0,,725983000.0,0.5917,0.4634,MSCI
2021-09-30 00:00:00,1937363000.0,359630000.0,1577733000.0,107801000.0,362031000.0,1026223100.0,156608000.0,-176943000.0,114867000.0,807539000.0,119205000.0,688333900.0,688334000.0,8.31,0.8144,0.5297,0.4168,0.3553,0.4355,1156505100.0,1026223100.0,8.2422,,8.334,,8.334,688333900.0,,688333900.0,0.5969,0.4629,MSCI
2021-06-30 00:00:00,1845597000.0,319746000.0,1525851000.0,104350000.0,344383000.0,973613100.0,152007000.0,-177681000.0,152007000.0,795932000.0,95116000.0,700815900.0,700816000.0,8.46,0.8268,0.5275,0.4313,0.3797,0.4477,1105833100.0,973613100.0,8.3677,,8.4554,,8.4554,700815900.0,,700815900.0,0.5992,0.4748,MSCI
2021-03-31 00:00:00,1757033000.0,302875000.0,1454158000.0,99353000.0,335936000.0,931255100.0,153677000.0,-191851000.0,153677000.0,739404000.0,88888000.0,650515900.0,650516000.0,7.83,0.8276,0.53,0.4208,0.3702,0.4913,1047520100.0,931255100.0,7.7465,,7.8252,,7.8252,650515900.0,,650515900.0,0.5962,0.5201,MSCI
2020-12-31 00:00:00,1695390000.0,291704000.0,1403686000.0,101053000.0,331123000.0,884764100.0,156324000.0,-198539000.0,156324000.0,686225000.0,84403000.0,601821900.0,601822000.0,7.2,0.8279,0.5219,0.4048,0.355,0.4484,1000004100.0,884764100.0,7.1207,,7.1889,,7.1889,601821900.0,,601821900.0,0.5898,0.4784,MSCI
2020-09-30 00:00:00,1658335000.0,285923000.0,1372412100.0,101097000.0,335734000.0,850108000.0,159283000.0,-212516000.0,159283000.0,637592000.0,69203000.0,568389000.0,568389000.0,6.76,0.8276,0.5126,0.3845,0.3427,0.4621,963808000.0,850108000.0,6.6909,,6.7476,,6.7476,568389000.0,,568389000.0,0.5812,0.4938,MSCI
2020-06-30 00:00:00,1627253000.0,285705000.0,1341548100.0,100506000.0,334119000.0,823707000.0,,-206410000.0,157669000.0,617297000.0,94283000.0,523014000.0,523014000.0,6.2,0.8244,0.5062,0.3793,0.3214,0.4621,934560000.0,823707000.0,6.1335,,6.1823,,6.1823,523014000.0,,523014000.0,0.5743,0.4963,MSCI
