Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8725000000.0,4904000000.0,3821000000.0,765000000.0,1440000000.0,1518000000.0,234000000.0,493000000.0,8000000.0,1370000000.0,191000000.0,1180000000.0,1175000000.0,6.8,0.4379,0.174,0.157,0.1347,0.1148,2115000000.0,1518000000.0,6.8393,,7.0262,,7.0262,1180000000.0,,1179000000.0,0.2424,0.1436,MSI
2022-06-30 00:00:00,8459000000.0,4627000000.0,3832000000.0,751000000.0,1413000000.0,1596000000.0,230000000.0,394000000.0,8000000.0,1442000000.0,235000000.0,1208000000.0,1203000000.0,6.93,0.453,0.1887,0.1705,0.1422,0.1181,2162000000.0,1596000000.0,6.9757,,7.1719,,7.1719,1208000000.0,,1207000000.0,0.2556,0.1467,MSI
2022-03-31 00:00:00,8290000000.0,4433000000.0,3857000000.0,741000000.0,1388000000.0,1608000000.0,217000000.0,238000000.0,49000000.0,1482000000.0,210000000.0,1273000000.0,1268000000.0,7.33,0.4653,0.194,0.1788,0.153,0.1665,2137000000.0,1608000000.0,7.3341,,7.5358,,7.5358,1273000000.0,,1272000000.0,0.2578,0.1953,MSI
2021-12-31 00:00:00,8171000000.0,4248000000.0,3923000000.0,733000000.0,1353000000.0,1667000000.0,215000000.0,99000000.0,101000000.0,1552000000.0,303000000.0,1250000000.0,1245000000.0,7.23,0.4801,0.204,0.1899,0.1524,0.1958,2153000000.0,1667000000.0,7.2005,,7.3877,,7.3877,1250000000.0,,1249000000.0,0.2635,0.2248,MSI
2021-09-30 00:00:00,8124000000.0,4175000000.0,3949000000.0,726000000.0,1327000000.0,1673000000.0,218000000.0,1000000.0,152000000.0,1557000000.0,297000000.0,1260000000.0,1256000000.0,7.36,0.4861,0.2059,0.1917,0.1546,0.1973,2125000000.0,1673000000.0,7.2596,,7.4323,,7.4323,1260000000.0,,1260000000.0,0.2616,0.2262,MSI
2021-06-30 00:00:00,7885000000.0,4018000000.0,3867000000.0,718000000.0,1289000000.0,1574000000.0,220000000.0,-171000000.0,208000000.0,1403000000.0,245000000.0,1158000000.0,1154000000.0,6.81,0.4904,0.1996,0.1779,0.1464,0.2068,2006000000.0,1574000000.0,6.6778,,6.8259,,6.8259,1158000000.0,,1158000000.0,0.2544,0.2351,MSI
2021-03-31 00:00:00,7532000000.0,3851000000.0,3681000000.0,698000000.0,1255000000.0,1422000000.0,234000000.0,-183000000.0,222000000.0,1239000000.0,239000000.0,1000000000.0,996000000.0,5.87,0.4887,0.1888,0.1645,0.1322,0.193,1842000000.0,1422000000.0,5.7628,,5.8924,,5.8924,1000000000.0,,1000000000.0,0.2446,0.2224,MSI
2020-12-31 00:00:00,7414000000.0,3806000000.0,3608000000.0,686000000.0,1293000000.0,1383000000.0,233000000.0,-209000000.0,220000000.0,1174000000.0,221000000.0,953000000.0,949000000.0,5.58,0.4866,0.1865,0.1583,0.128,0.1958,1792000000.0,1383000000.0,5.4738,,5.6059,,5.6059,953000000.0,,953000000.0,0.2417,0.2176,MSI
2020-09-30 00:00:00,7517000000.0,3835000000.0,3682000000.0,687000000.0,1317000000.0,1419000000.0,234000000.0,-575000000.0,223000000.0,844000000.0,61000000.0,783000000.0,780000000.0,4.58,0.4898,0.1888,0.1123,0.1038,0.2071,1823000000.0,1419000000.0,4.4855,,4.6067,,4.6067,783000000.0,,783000000.0,0.2425,0.2267,MSI
2020-06-30 00:00:00,7643000000.0,3863000000.0,3780000000.0,684000000.0,1363000000.0,1480000000.0,,-539000000.0,219000000.0,941000000.0,96000000.0,845000000.0,842000000.0,4.97,0.4946,0.1936,0.1231,0.1102,0.2198,1880000000.0,1480000000.0,4.8175,,5.0005,,5.0005,845000000.0,,845000000.0,0.246,0.2405,MSI
2020-03-31 00:00:00,7885000000.0,3940000000.0,3945000000.0,693000000.0,1417000000.0,1611000000.0,,-571000000.0,217000000.0,1040000000.0,123000000.0,917000000.0,914000000.0,5.43,0.5003,0.2043,0.1319,0.1159,0.2172,2009000000.0,1611000000.0,5.2152,,5.4619,,5.4619,917000000.0,,917000000.0,0.2548,0.2384,MSI
2019-12-31 00:00:00,7887000000.0,3956000000.0,3931000000.0,687000000.0,1403000000.0,1581000000.0,,-580000000.0,220000000.0,1001000000.0,130000000.0,871000000.0,868000000.0,5.2,0.4984,0.2005,0.1269,0.1101,0.2006,1975000000.0,1581000000.0,4.9602,,5.2281,,5.2281,871000000.0,,871000000.0,0.2504,0.2311,MSI
2019-09-30 00:00:00,7764000000.0,3965000000.0,3799000000.0,669000000.0,1373000000.0,1508000000.0,,-235000000.0,224000000.0,1273000000.0,222000000.0,1051000000.0,1047000000.0,6.35,0.4893,0.1942,0.164,0.1349,0.2038,1891000000.0,1508000000.0,6.0279,,6.3966,,6.3966,1051000000.0,,1051000000.0,0.2436,0.237,MSI
2019-06-30 00:00:00,7632000000.0,3939000000.0,3693000000.0,655000000.0,1337000000.0,1389000000.0,,-194000000.0,229000000.0,1195000000.0,164000000.0,1031000000.0,1027000000.0,6.27,0.4839,0.182,0.1566,0.1346,0.1845,1762000000.0,1389000000.0,5.9454,,6.3141,,6.3141,1031000000.0,,1031000000.0,0.2309,0.2165,MSI
2019-03-31 00:00:00,7532000000.0,3948000000.0,3584000000.0,647000000.0,1302000000.0,1313000000.0,,-166000000.0,231000000.0,1147000000.0,143000000.0,1004000000.0,1000000000.0,6.13,0.4758,0.1743,0.1523,0.1328,0.213,1686000000.0,1313000000.0,5.8185,,6.1686,,6.1686,1004000000.0,,1004000000.0,0.2238,0.2424,MSI
2018-12-31 00:00:00,7343000000.0,3863000000.0,3480000000.0,637000000.0,1254000000.0,1255000000.0,,-153000000.0,222000000.0,1102000000.0,133000000.0,969000000.0,966000000.0,5.94,0.4739,0.1709,0.1501,0.1316,0.1196,1615000000.0,1255000000.0,5.6337,,5.9667,,5.9667,969000000.0,,969000000.0,0.2199,0.1464,MSI
2018-09-30 00:00:00,7047000000.0,3685000000.0,3362000000.0,626000000.0,1186000000.0,1241000000.0,,-139000000.0,210000000.0,1102000000.0,1130000000.0,-28000000.0,-31000000.0,-0.2,0.4771,0.1761,0.1564,-0.0044,0.1242,1508000000.0,1241000000.0,-0.2507,,-0.1577,,-0.1577,-28000000.0,,-28000000.0,0.214,0.1453,MSI
2018-06-30 00:00:00,6830000000.0,3575000000.0,3255000000.0,609000000.0,1122000000.0,1294000000.0,,-176000000.0,203000000.0,1118000000.0,1181000000.0,-63000000.0,-66000000.0,-0.42,0.4766,0.1895,0.1637,-0.0097,0.1124,1472000000.0,1294000000.0,-0.4271,,-0.3705,,-0.3705,-63000000.0,,-63000000.0,0.2155,0.14,MSI
2018-03-31 00:00:00,6567000000.0,3444000000.0,3123000000.0,585000000.0,1060000000.0,1282000000.0,,-186000000.0,196000000.0,1096000000.0,1208000000.0,-112000000.0,-115000000.0,-0.73,0.4756,0.1952,0.1669,-0.0175,0.0767,1450000000.0,1282000000.0,-0.7002,,-0.6771,,-0.6771,-112000000.0,,-112000000.0,0.2208,0.1072,MSI
2017-12-31 00:00:00,6380000000.0,3356000000.0,3024000000.0,568000000.0,1025000000.0,1284000000.0,,-208000000.0,201000000.0,1076000000.0,1227000000.0,-151000000.0,-155000000.0,-0.99,0.474,0.2013,0.1687,-0.0243,0.1754,1450000000.0,1284000000.0,-0.9269,,-0.927,,-0.927,-151000000.0,,-151000000.0,0.2273,0.211,MSI
2017-09-30 00:00:00,6306000000.0,3323000000.0,2983000000.0,557000000.0,1080000000.0,1164000000.0,,-191000000.0,202000000.0,973000000.0,306000000.0,667000000.0,664000000.0,4.04,0.473,0.1846,0.1543,0.1053,0.1327,1405000000.0,1164000000.0,3.8954,,4.0241,,4.0241,667000000.0,,667000000.0,0.2228,0.1741,MSI
2017-06-30 00:00:00,6193000000.0,3242000000.0,2951000000.0,553000000.0,1068000000.0,1158000000.0,,-178000000.0,204000000.0,980000000.0,333000000.0,647000000.0,644000000.0,3.89,0.4765,0.187,0.1582,0.104,0.154,1475000000.0,1158000000.0,3.773,,3.8723,,3.8723,647000000.0,,647000000.0,0.2382,0.1899,MSI
2017-03-31 00:00:00,6126000000.0,3189000000.0,2937000000.0,553000000.0,1054000000.0,1121000000.0,,-179000000.0,207000000.0,942000000.0,319000000.0,623000000.0,620000000.0,3.71,0.4794,0.183,0.1538,0.1012,0.1761,1434000000.0,1121000000.0,3.6097,,3.6913,,3.6913,623000000.0,,623000000.0,0.2341,0.2112,MSI
2016-12-31 00:00:00,6038000000.0,3169000000.0,2869000000.0,553000000.0,1044000000.0,1048000000.0,,-204000000.0,205000000.0,844000000.0,282000000.0,562000000.0,560000000.0,3.34,0.4752,0.1736,0.1398,0.0927,0.1602,1343000000.0,1048000000.0,3.2466,,3.3137,,3.3137,562000000.0,,562000000.0,0.2224,0.1929,MSI
2016-09-30 00:00:00,5837000000.0,3059000000.0,2778000000.0,562000000.0,973000000.0,1055000000.0,,-196000000.0,208000000.0,859000000.0,263000000.0,596000000.0,595000000.0,3.47,0.4759,0.1807,0.1472,0.1019,0.1508,1312000000.0,1055000000.0,3.2718,,3.3443,,3.3463,596000000.0,,598000000.0,0.2248,0.1826,MSI
2016-06-30 00:00:00,5727000000.0,3026000000.0,2701000000.0,578000000.0,985000000.0,945000000.0,,-182000000.0,197000000.0,763000000.0,234000000.0,529000000.0,518000000.0,2.9,0.4716,0.165,0.1332,0.0904,0.1449,1158000000.0,945000000.0,2.7638,,2.761,,2.8157,529000000.0,,520000000.0,0.2022,0.1779,MSI
2016-03-31 00:00:00,5665000000.0,2992000000.0,2673000000.0,596000000.0,999000000.0,975000000.0,,-164000000.0,182000000.0,811000000.0,239000000.0,572000000.0,553000000.0,2.96,0.4718,0.1721,0.1432,0.0976,0.1213,1146000000.0,975000000.0,2.866,,2.8202,,2.9074,572000000.0,,555000000.0,0.2023,0.155,MSI
2015-12-31 00:00:00,5695000000.0,2976000000.0,2719000000.0,620000000.0,1021000000.0,994000000.0,,-77000000.0,173000000.0,917000000.0,274000000.0,643000000.0,610000000.0,3.2,0.4774,0.1745,0.161,0.1071,0.1491,1144000000.0,994000000.0,3.17,-0.15,3.0712,-0.15,3.21,643000000.0,-30000000.0,613000000.0,0.2009,0.1793,MSI
