Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3899000000.0,1683000000.0,2216000000.0,177000000.0,953320000.0,1086288700.0,52000000.0,17000000.0,50128000.0,1032000000.0,194000000.0,837539000.0,838000000.0,36.54,0.5684,0.2786,0.2647,0.2149,0.1718,1200000000.0,1086288800.0,36.502,36.9153,36.9153,837539000.0,838000000.0,0.3078,0.2043,MTD
2022-06-30 00:00:00,3865000000.0,1677000000.0,2188000000.0,175000000.0,960963000.0,1052617700.0,48000000.0,22000000.0,47435000.0,1004000000.0,183000000.0,820630000.0,821000000.0,35.49,0.5661,0.2723,0.2598,0.2124,0.1791,1165000000.0,1052617800.0,35.4522,35.9026,35.9026,820630000.0,821000000.0,0.3014,0.2107,MTD
2022-03-31 00:00:00,3811351000.0,1641447000.0,2169904000.0,173603000.0,957802000.0,1022588700.0,45000000.0,18346000.0,45109000.0,977384000.0,183621000.0,793323000.0,793763000.0,34.17,0.5693,0.2683,0.2564,0.2083,0.1948,1134574000.0,1022588800.0,34.0148,34.4831,34.4831,793323000.0,793763000.0,0.2977,0.2206,MTD
2021-12-31 00:00:00,3717741000.0,1579141000.0,2138600000.0,169875000.0,944242000.0,994735700.0,42000000.0,6972000.0,43242000.0,949798000.0,180372000.0,768985000.0,769426000.0,33.03,0.5752,0.2676,0.2555,0.207,0.2165,1103189000.0,994735800.0,32.7813,33.2462,33.2462,768985000.0,769426000.0,0.2967,0.2445,MTD
2021-09-30 00:00:00,3618726100.0,1511082000.0,2107644100.0,163741000.0,928166000.0,970749000.0,40000000.0,-31000000.0,41206000.0,932978000.0,178257000.0,754409000.0,754721000.0,32.24,0.5824,0.2683,0.2578,0.2086,0.2258,1076093000.0,970749000.0,31.8578,32.3114,32.3114,754409000.0,754721000.0,0.2974,0.2538,MTD
2021-06-30 00:00:00,3474083100.0,1436831000.0,2037252100.0,156397000.0,892140000.0,929835000.0,36877000.0,-39048000.0,38725000.0,890787000.0,178299000.0,712488000.0,712488000.0,30.29,0.5864,0.2676,0.2564,0.2051,0.2251,1032693000.0,929835000.0,29.8287,30.2396,30.2396,712488000.0,712488000.0,0.2973,0.2534,MTD
2021-03-31 00:00:00,3240405100.0,1342087000.0,1898318100.0,144987000.0,843229000.0,853551000.0,36267000.0,-37893000.0,37868000.0,815658000.0,161371000.0,654287000.0,654287000.0,27.61,0.5858,0.2634,0.2517,0.2019,0.2231,952956000.0,853551000.0,27.1974,27.5592,27.5592,654287000.0,654287000.0,0.2941,0.2525,MTD
2020-12-31 00:00:00,3085177100.0,1284146000.0,1801031100.0,140102000.0,820221000.0,784043000.0,38237000.0,-35300000.0,38616000.0,748743000.0,146004000.0,602739000.0,602739000.0,25.28,0.5838,0.2541,0.2427,0.1954,0.2059,882752000.0,784043000.0,24.9077,25.2372,25.2372,602739000.0,602739000.0,0.2861,0.2349,MTD
2020-09-30 00:00:00,2991160100.0,1250875000.0,1740285100.0,135536000.0,800569000.0,749359100.0,36372000.0,-38653000.0,38746000.0,710706000.0,131513000.0,579193000.0,579193000.0,24.08,0.5818,0.2505,0.2376,0.1936,0.1991,844772100.0,749359100.0,23.7174,24.0395,24.0395,579193000.0,579193000.0,0.2824,0.2258,MTD
2020-06-30 00:00:00,2937669100.0,1231936000.0,1705733100.0,136895000.0,798421000.0,717388100.0,,-43132000.0,39236000.0,674256000.0,127435000.0,546821000.0,546821000.0,22.6,0.5806,0.2442,0.2295,0.1861,0.1834,810345100.0,717388100.0,22.2405,22.5614,22.5614,546821000.0,546821000.0,0.2758,0.2132,MTD
