Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6110000000.0,2550000000.0,3560000000.0,1668000000.0,1559000000.0,-92000000.0,126000000.0,1467000000.0,323000000.0,1144000000.0,1145000000.0,2.3133,0.5827,0.2552,0.2401,0.1874,0.2337,1835000000.0,1559000000.0,2.2831,2.3105,2.3105,1144000000.0,1144000000.0,0.3003,0.2612,NDAQ
2022-06-30 00:00:00,5910000000.0,2402000000.0,3508000000.0,1655000000.0,1517000000.0,-61000000.0,127000000.0,1456000000.0,318000000.0,1138000000.0,1139000000.0,2.2866,0.5936,0.2567,0.2464,0.1927,0.2431,1796000000.0,1517000000.0,2.2549,2.2845,2.2845,1138000000.0,1138000000.0,0.3039,0.2701,NDAQ
2022-03-31 00:00:00,5770000000.0,2309000000.0,3461000000.0,1620000000.0,1481000000.0,32000000.0,128000000.0,1513000000.0,341000000.0,1172000000.0,1173000000.0,2.3566,0.5998,0.2567,0.2622,0.2033,0.1972,1763000000.0,1481000000.0,2.3196,2.3535,2.3535,1172000000.0,1172000000.0,0.3055,0.2243,NDAQ
2021-12-31 00:00:00,5886000000.0,2466000000.0,3420000000.0,1583000000.0,1441000000.0,93000000.0,125000000.0,1534000000.0,347000000.0,1187000000.0,1187000000.0,2.3866,0.581,0.2448,0.2606,0.2017,0.1563,1719000000.0,1441000000.0,2.3501,2.385,2.385,1187000000.0,1187000000.0,0.292,0.184,NDAQ
2021-09-30 00:00:00,5881000000.0,2558000000.0,3323000000.0,1523000000.0,1415000000.0,71000000.0,120000000.0,1486000000.0,334000000.0,1152000000.0,1152000000.0,2.3232,0.565,0.2406,0.2527,0.1959,0.1634,1665000000.0,1415000000.0,2.29,2.3238,2.3238,1152000000.0,1152000000.0,0.2831,0.1928,NDAQ
2021-06-30 00:00:00,5937000000.0,2737000000.0,3200000000.0,1447000000.0,1385000000.0,87000000.0,111000000.0,1472000000.0,344000000.0,1128000000.0,1128000000.0,2.2866,0.539,0.2333,0.2479,0.19,0.1174,1620000000.0,1385000000.0,2.2513,2.2873,2.2873,1128000000.0,1128000000.0,0.2729,0.1513,NDAQ
2021-03-31 00:00:00,5923000000.0,2870000000.0,3053000000.0,1395000000.0,1324000000.0,10000000.0,104000000.0,1334000000.0,306000000.0,1028000000.0,1028000000.0,2.0833,0.5154,0.2235,0.2252,0.1736,0.1793,1541000000.0,1324000000.0,2.0521,2.0841,2.0841,1028000000.0,1028000000.0,0.2602,0.2137,NDAQ
2020-12-31 00:00:00,5625000000.0,2722000000.0,2903000000.0,1386000000.0,1234000000.0,-22000000.0,101000000.0,1212000000.0,279000000.0,933000000.0,933000000.0,1.89,0.5161,0.2194,0.2155,0.1659,0.1892,1436000000.0,1234000000.0,1.8633,1.8914,1.8914,933000000.0,933000000.0,0.2553,0.2226,NDAQ
2020-09-30 00:00:00,5226000000.0,2465000000.0,2761000000.0,1326000000.0,1176000000.0,22000000.0,103000000.0,1198000000.0,287000000.0,911000000.0,911000000.0,1.8467,0.5283,0.225,0.2292,0.1743,0.1892,1372000000.0,1176000000.0,1.8205,1.8477,1.8477,911000000.0,911000000.0,0.2625,0.2212,NDAQ
2020-06-30 00:00:00,4909000000.0,2231000000.0,2678000000.0,1319000000.0,1076000000.0,-20000000.0,108000000.0,1056000000.0,259000000.0,797000000.0,797000000.0,1.6133,0.5455,0.2192,0.2151,0.1624,0.23,1268000000.0,1076000000.0,1.5944,1.616,1.616,797000000.0,797000000.0,0.2583,0.2569,NDAQ
2020-03-31 00:00:00,4572000000.0,1970000000.0,2602000000.0,1316000000.0,1017000000.0,-38000000.0,113000000.0,979000000.0,249000000.0,730000000.0,730000000.0,1.4733,0.5691,0.2224,0.2141,0.1597,0.1909,1207000000.0,1017000000.0,1.4579,1.4768,1.4768,730000000.0,730000000.0,0.264,0.22,NDAQ
2019-12-31 00:00:00,4258000000.0,1723000000.0,2535000000.0,1259000000.0,1017000000.0,2000000.0,124000000.0,1019000000.0,245000000.0,774000000.0,774000000.0,1.56,0.5953,0.2388,0.2393,0.1818,0.1963,1207000000.0,1017000000.0,1.5451,1.5644,1.5644,774000000.0,774000000.0,0.2835,0.2262,NDAQ
2019-09-30 00:00:00,4331000000.0,1797000000.0,2534000000.0,1274000000.0,997000000.0,98000000.0,134000000.0,1095000000.0,568000000.0,527000000.0,527000000.0,1.06,0.5851,0.2302,0.2528,0.1217,0.1979,1191000000.0,997000000.0,1.0533,1.0658,1.0658,527000000.0,527000000.0,0.275,0.2272,NDAQ
2019-06-30 00:00:00,4199000000.0,1697000000.0,2502000000.0,1250000000.0,1017000000.0,72000000.0,143000000.0,1089000000.0,549000000.0,540000000.0,540000000.0,1.0867,0.5959,0.2422,0.2593,0.1286,0.1829,1217000000.0,1017000000.0,1.0788,1.0923,1.0923,540000000.0,540000000.0,0.2898,0.2136,NDAQ
2019-03-31 00:00:00,4165000000.0,1671000000.0,2494000000.0,1239000000.0,1030000000.0,108000000.0,149000000.0,1138000000.0,610000000.0,528000000.0,528000000.0,1.0634,0.5988,0.2473,0.2732,0.1268,0.2101,1235000000.0,1030000000.0,1.0542,1.0678,1.0678,528000000.0,528000000.0,0.2965,0.2377,NDAQ
2018-12-31 00:00:00,4277000000.0,1751000000.0,2526000000.0,1267000000.0,1028000000.0,36000000.0,150000000.0,1064000000.0,606000000.0,458000000.0,458000000.0,0.92,0.5906,0.2404,0.2488,0.1071,0.2144,1238000000.0,1028000000.0,0.9104,0.9233,0.9233,458000000.0,458000000.0,0.2895,0.2404,NDAQ
