Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,2505944000.0,1111441000.0,1394503000.0,718317000.0,676186000.0,-64338000.0,22029000.0,611848000.0,129534000.0,482314000.0,482314000.0,8.34,0.5565,0.2698,0.2442,0.1925,0.184,777078000.0,676186000.0,8.2495,8.3389,8.3389,482314000.0,482314000.0,0.3101,0.2036,NDSN
2022-04-30 00:00:00,2490674000.0,1096484000.0,1394190000.0,714646000.0,679544000.0,-67804000.0,22431000.0,611740000.0,129055000.0,482685000.0,482685000.0,8.32,0.5598,0.2728,0.2456,0.1938,0.1881,782446000.0,679544000.0,8.2239,8.3154,8.3154,482685000.0,482685000.0,0.3142,0.2059,NDSN
2022-01-31 00:00:00,2444809000.0,1070555000.0,1374254000.0,712292000.0,661962000.0,-33631000.0,24209000.0,628331000.0,131136000.0,497195000.0,497195000.0,8.56,0.5621,0.2708,0.257,0.2034,0.1955,765215000.0,661962000.0,8.4626,8.556,8.556,497195000.0,497195000.0,0.313,0.213,NDSN
2021-10-31 00:00:00,2362209000.0,1038129000.0,1324080000.0,708953000.0,615127000.0,-40951000.0,25491000.0,574176000.0,119808000.0,454368000.0,454368000.0,7.83,0.5605,0.2604,0.2431,0.1923,0.215,719010000.0,615127000.0,7.7359,7.8217,7.8217,454368000.0,454368000.0,0.3044,0.2311,NDSN
2021-07-31 00:00:00,2321487000.0,1031689000.0,1289798000.0,701367000.0,501059900.0,-40691000.0,27023000.0,460369000.0,97986000.0,362383000.0,362383000.0,6.25,0.5556,0.2158,0.1983,0.1561,0.2266,608430900.0,501060000.0,6.1675,6.2355,6.2355,362383000.0,362383000.0,0.2621,0.2446,NDSN
2021-04-30 00:00:00,2212810000.0,1007475000.0,1205335000.0,693125000.0,424839000.0,-49360000.0,28198000.0,375479000.0,68297000.0,307182000.0,307182000.0,5.31,0.5447,0.192,0.1697,0.1388,0.2211,533813000.0,424839100.0,5.2355,5.2965,5.2965,307182000.0,307182000.0,0.2412,0.2404,NDSN
2021-01-31 00:00:00,2152750000.0,995516000.0,1157234000.0,686386000.0,383477000.0,-47271000.0,29352000.0,336206000.0,61089000.0,275117000.0,275117000.0,4.77,0.5376,0.1781,0.1562,0.1278,0.2256,494181000.0,383477100.0,4.6994,4.7551,4.7551,275117000.0,275117000.0,0.2296,0.2459,NDSN
2020-10-31 00:00:00,2121100000.0,990632000.0,1130468000.0,693552000.0,349545000.0,-48056000.0,32160000.0,301489000.0,51950000.0,249539000.0,249539000.0,4.33,0.533,0.1648,0.1421,0.1176,0.2134,462847000.0,349545100.0,4.2676,4.3206,4.3206,249539000.0,249539000.0,0.2182,0.2369,NDSN
2020-07-31 00:00:00,2148026000.0,995451000.0,1152575000.0,700738000.0,451837100.0,-49367000.0,36255000.0,402470000.0,68733000.0,333737000.0,333737000.0,5.8,0.5366,0.2103,0.1874,0.1554,0.1874,562914100.0,451837100.0,5.718,5.7895,5.7895,333737000.0,333737000.0,0.2621,0.2125,NDSN
2020-04-30 00:00:00,2169591000.0,995201000.0,1174390000.0,704332000.0,470058000.0,-43598000.0,40441000.0,426460000.0,85776000.0,340684000.0,340684000.0,5.93,0.5413,0.2167,0.1966,0.157,0.1733,580478000.0,470058000.0,5.8455,5.9183,5.9183,340684000.0,340684000.0,0.2676,0.2024,NDSN
