Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,31472814000.0,19003701000.0,12469113000.0,2684585000.0,4069833000.0,5714694600.0,725000000.0,60749000.0,725038000.0,5775446000.0,731377000.0,5044069100.0,5044069100.0,11.35,0.3962,0.1816,0.1835,0.1603,0.0228,19844596000.0,5714694600.0,11.1636,11.3495,11.3495,5044069100.0,5044069100.0,0.6305,0.0375,NFLX
2022-06-30 00:00:00,31030692000.0,18421625000.0,12609067000.0,2585733000.0,4086404000.0,5936929600.0,742000000.0,-122374000.0,742892000.0,5814558000.0,719660000.0,5094898100.0,5094898100.0,11.48,0.4063,0.1913,0.1874,0.1642,0.0052,19361356000.0,5936929600.0,11.2441,11.4792,11.4792,5094898100.0,5094898100.0,0.6239,0.0227,NFLX
2022-03-31 00:00:00,30402328000.0,17748878000.0,12653450000.0,2406208000.0,4040965000.0,6206276600.0,758000000.0,-420986000.0,758759000.0,5785293000.0,778333000.0,5006960100.0,5006960100.0,11.29,0.4162,0.2041,0.1903,0.1647,-0.0009,19131087000.0,6206276600.0,11.016,11.291,11.291,5006960100.0,5006960100.0,0.6293,0.0177,NFLX
2021-12-31 00:00:00,29697843000.0,17332684000.0,12365159000.0,2273885000.0,3896767000.0,6194507600.0,764000000.0,-354406000.0,765620000.0,5840103000.0,723875000.0,5116228100.0,5116228100.0,11.54,0.4164,0.2086,0.1967,0.1723,-0.032,18633287000.0,6194507600.0,11.2352,11.545,11.545,5116228100.0,5116228100.0,0.6274,0.0132,NFLX
2021-09-30 00:00:00,28632969000.0,16258268000.0,12374701000.0,2113350900.0,3744368000.0,6516979700.0,772000000.0,-721314000.0,773377100.0,5795667100.0,744712000.0,5050954900.0,5050954900.0,11.4,0.4322,0.2276,0.2024,0.1764,0.0053,18165026000.0,6516979700.0,11.094,11.4015,11.4015,5050954900.0,5050954900.0,0.6344,0.023,NFLX
2021-06-30 00:00:00,27585139000.0,15919430000.0,11665709000.0,2003265900.0,3585850900.0,6076590700.0,779000000.0,-1080423000.0,780027100.0,4996168100.0,604308000.0,4391859900.0,4391859900.0,9.92,0.4229,0.2203,0.1811,0.1592,0.0504,17453665000.0,6076590700.0,9.6446,9.918,9.918,4391859900.0,4391859900.0,0.6327,0.0667,NFLX
2021-03-31 00:00:00,26391648000.0,15545129000.0,10846519000.0,1900989900.0,3358638900.0,5586888700.0,777000000.0,-1148908000.0,777856100.0,4437981100.0,678938000.0,3759042900.0,3759042900.0,8.5,0.411,0.2117,0.1682,0.1424,0.0933,16752546000.0,5586888700.0,8.2583,8.4996,8.4996,3759042900.0,3759042900.0,0.6348,0.1116,NFLX
2020-12-31 00:00:00,24996057000.0,15276319000.0,9719738000.0,1829599900.0,3304847900.0,4585289000.0,767000000.0,-1385940000.0,767499100.0,3199349100.0,437954000.0,2761394900.0,2761394900.0,6.26,0.3889,0.1834,0.128,0.1105,0.0772,15507911000.0,4585289000.0,6.0796,6.2628,6.2628,2761394900.0,2761394900.0,0.6204,0.0971,NFLX
2020-09-30 00:00:00,23819049000.0,14577182000.0,9241867000.0,1752040000.0,3400266900.0,4089561000.0,748000000.0,-1247294000.0,748114000.0,2842264900.0,36056000.0,2806209000.0,2806209000.0,6.37,0.388,0.1717,0.1193,0.1178,0.0271,14605102000.0,4089559800.0,6.1888,6.3777,6.3777,2806209000.0,2806209000.0,0.6132,0.0463,NFLX
2020-06-30 00:00:00,22628317000.0,13807350000.0,8820967000.0,1678014000.0,3388017000.0,3754935800.0,,-761807000.0,711695000.0,2993127900.0,311651000.0,2681477000.0,2681477000.0,6.1,0.3898,0.1659,0.1323,0.1185,-0.0466,13814826000.0,3754934600.0,5.9261,6.107,6.107,2681477000.0,2681477000.0,0.6105,-0.0293,NFLX
2020-03-31 00:00:00,21403147000.0,13169300000.0,8233847000.0,1626202000.0,3504218000.0,3103427200.0,,-644984000.0,674577000.0,2458441900.0,226511000.0,2231931000.0,2231931000.0,5.09,0.3847,0.145,0.1149,0.1043,-0.1186,12786909000.0,3103426000.0,4.9381,5.0908,5.0908,2231931000.0,2231931000.0,0.5974,-0.105,NFLX
2019-12-31 00:00:00,20156448000.0,12440213000.0,7716235000.0,1545149000.0,3566831000.0,2604255100.0,,-542023000.0,626023000.0,2062230900.0,195315000.0,1866916000.0,1866916000.0,4.27,0.3828,0.1292,0.1023,0.0926,-0.1558,11924082000.0,2604253900.0,4.1324,4.2643,4.2643,1866916000.0,1866916000.0,0.5916,-0.1432,NFLX
2019-09-30 00:00:00,18875854000.0,11707590000.0,7168263000.0,1467562000.0,3339192900.0,2361509700.0,,-329215000.0,577029000.0,2032294000.0,618414000.0,1413880100.0,1413880000.0,3.24,0.3798,0.1251,0.1077,0.0749,-0.1524,11118481000.0,2361510000.0,3.1305,3.2305,3.2305,1413880100.0,1413880100.0,0.589,-0.1409,NFLX
2019-06-30 00:00:00,17630323000.0,11140799000.0,6489523000.0,1396406000.0,3231179900.0,1861938900.0,,-463157000.0,525231000.0,1398781000.0,247310000.0,1151471100.0,1151471000.0,2.64,0.3681,0.1056,0.0793,0.0653,-0.1735,10255116000.0,1861939200.0,2.5487,2.6363,2.6363,1151471100.0,1151471100.0,0.5817,-0.1616,NFLX
2019-03-31 00:00:00,16614477000.0,10537573000.0,6076903000.0,1312268000.0,3146903900.0,1617732600.0,,-291231000.0,474803000.0,1326501000.0,61331000.0,1265170100.0,1265170000.0,2.9,0.3658,0.0974,0.0798,0.0761,-0.1818,9602205000.0,1617732900.0,2.8014,2.9012,2.9012,1265170100.0,1265170100.0,0.5779,-0.1699,NFLX
2018-12-31 00:00:00,15794341000.0,9967538000.0,5826802000.0,1221814000.0,2999762900.0,1605226300.0,,-378768000.0,420493000.0,1226458000.0,15216000.0,1211242100.0,1211242000.0,2.78,0.3689,0.1016,0.0777,0.0767,-0.1807,9220471000.0,1605226600.0,2.6843,2.782,2.782,1211242100.0,1211242100.0,0.5838,-0.1697,NFLX
2018-09-30 00:00:00,14893255000.0,9714826000.0,5178428700.0,1064308000.0,2479359000.0,1634761700.0,,-396370000.0,380570000.0,1238392000.0,-24433000.0,1262825000.0,1262825000.0,2.9,0.3477,0.1098,0.0832,0.0848,-0.141,8889943000.0,1634762000.0,2.801,2.9044,2.9044,1262825000.0,1262825000.0,0.5969,-0.1298,NFLX
2018-06-30 00:00:00,13878740000.0,9176678000.0,4702061600.0,1010924000.0,2328417000.0,1362720700.0,,-386902000.0,332396000.0,975819000.0,-13761000.0,989580000.0,989580000.0,2.28,0.3388,0.0982,0.0703,0.0713,-0.1314,8334989000.0,1362721000.0,2.1993,2.2798,2.2798,989580000.0,989580000.0,0.6006,-0.1198,NFLX
2018-03-31 00:00:00,12756934000.0,8676555000.0,4080378700.0,978912000.0,2073152000.0,1028314500.0,,-467170000.0,286273000.0,561145000.0,-109686000.0,670831000.0,670831000.0,1.55,0.3199,0.0806,0.044,0.0526,-0.1482,7737732000.0,1028314800.0,1.4951,1.5485,1.5485,670831000.0,670831000.0,0.6066,-0.1316,NFLX
2017-12-31 00:00:00,11692713000.0,8033000000.0,3659712700.0,953710000.0,1867324000.0,838678500.0,,-353358000.0,238204000.0,485321000.0,-73608000.0,558929000.0,558929000.0,1.29,0.313,0.0717,0.0415,0.0478,-0.1676,7108407000.0,838678800.0,1.251,1.2942,1.2942,558929000.0,558929000.0,0.6079,-0.1527,NFLX
2017-09-30 00:00:00,10884499000.0,7434292000.0,3450207000.0,932752000.0,1770145000.0,747309900.0,,-303050000.0,162078000.0,444260000.0,4100000.0,440160000.0,440160000.0,1.02,0.317,0.0687,0.0408,0.0404,-0.1957,6696373000.0,747309800.0,0.9887,1.0212,1.0212,440160000.0,440160000.0,0.6152,-0.1704,NFLX
2017-06-30 00:00:00,10189828000.0,6974156000.0,3215672100.0,893615000.0,1677338000.0,644719000.0,,-237569000.0,136926000.0,407150000.0,45063000.0,362087000.0,362087000.0,0.84,0.3156,0.0633,0.04,0.0355,-0.2132,6191610000.0,644718900.0,0.8165,0.8416,0.8416,362087000.0,362087000.0,0.6076,-0.1862,NFLX
2017-03-31 00:00:00,9509568000.0,6544946000.0,2964622100.0,833832000.0,1543508000.0,587282100.0,,-142862000.0,116899000.0,444420000.0,107178000.0,337242000.0,337242000.0,0.79,0.3118,0.0618,0.0467,0.0355,-0.1914,5757830000.0,587282000.0,0.7625,0.7846,0.7846,337242000.0,337242000.0,0.6055,-0.1671,NFLX
2016-12-31 00:00:00,8830669000.0,6257462000.0,2573207000.0,780232000.0,1413182000.0,379793100.0,,-119286000.0,119286000.0,260507000.0,73829000.0,186678000.0,186678000.0,0.44,0.2914,0.043,0.0295,0.0211,-0.1878,5304771000.0,379793000.0,0.4255,0.4353,0.4353,186678000.0,186678000.0,0.6007,-0.1669,NFLX
2016-09-30 00:00:00,8176461000.0,5624847000.0,2551614300.0,807766000.0,1458095000.0,285753000.0,,-94784000.0,173182000.0,190969000.0,27861000.0,163108000.0,163108000.0,0.38,0.3121,0.0349,0.0234,0.0199,-0.159,4842970000.0,285753200.0,0.3723,0.381,0.381,163108000.0,163108000.0,0.5923,-0.1421,NFLX
2016-06-30 00:00:00,7624628000.0,5265961000.0,2358667300.0,763429000.0,1341880000.0,253357900.0,,-99278000.0,172979000.0,154080000.0,13057000.0,141023000.0,141023000.0,0.33,0.3093,0.0332,0.0202,0.0185,-0.1367,4458811700.0,253358100.0,0.3221,0.3298,0.3298,141023000.0,141023000.0,0.5848,-0.1175,NFLX
2016-03-31 00:00:00,7164118000.0,4914615000.0,2249503200.0,711190000.0,1280490000.0,257822900.0,,-114485000.0,172741000.0,143338000.0,16735000.0,126603000.0,126603000.0,0.29,0.314,0.036,0.02,0.0177,-0.1418,4112757800.0,257823100.0,0.2895,0.2966,0.2966,126603000.0,126603000.0,0.5741,-0.1187,NFLX
2015-12-31 00:00:00,6779511000.0,4591476000.0,2188035300.0,650788000.0,1231421000.0,305826100.0,,-163941000.0,163941000.0,141885000.0,19244000.0,122641000.0,122641000.0,0.2857,0.3227,0.0451,0.0209,0.0181,-0.1355,3852870800.0,305826300.0,0.281,0.2879,0.2879,122641000.0,122641000.0,0.5683,-0.1105,NFLX
2015-09-30 00:00:00,6440906000.0,4356443000.0,2084462700.0,595805000.0,1177680000.0,310978000.0,,-144308000.0,110640000.0,166670000.0,3836000.0,162834000.0,162834000.0,0.3828,0.3236,0.0483,0.0259,0.0253,-0.1114,3626723800.0,310978000.0,0.3751,0.3844,0.3844,162834000.0,162834000.0,0.5631,-0.0843,NFLX
2015-06-30 00:00:00,6111983000.0,4136879000.0,1975103700.0,544996000.0,1082364000.0,347744100.0,,-125775000.0,88793000.0,221969000.0,29272000.0,192697000.0,192697000.0,0.4542,0.3232,0.0569,0.0363,0.0315,-0.0889,3476231200.0,347744100.0,0.4448,0.4563,0.4563,192697000.0,192697000.0,0.5688,-0.0629,NFLX
2015-03-31 00:00:00,5807696000.0,3929975000.0,1877720700.0,505117000.0,970095000.0,402509100.0,,-103658000.0,66904000.0,298851000.0,61471000.0,237380000.0,237380000.0,0.5628,0.3233,0.0693,0.0515,0.0409,-0.0516,3340939000.0,402509100.0,0.549,0.5635,0.5635,237380000.0,237380000.0,0.5753,-0.0254,NFLX
2014-12-31 00:00:00,5504656000.0,3752760000.0,1751895700.0,472321000.0,876927000.0,402648000.0,,-53279000.0,50219000.0,349369000.0,82570000.0,266799000.0,266799000.0,0.6342,0.3183,0.0731,0.0635,0.0485,-0.0233,3184445900.0,402648000.0,0.6177,0.6345,0.6345,266799000.0,266799000.0,0.5785,0.003,NFLX
2014-09-30 00:00:00,5195158000.0,3559104600.0,1636053300.0,444573000.0,771590000.0,419890100.0,,-42033000.0,47306000.0,377857000.0,146008000.0,231849000.0,231849000.0,0.5571,0.3149,0.0808,0.0727,0.0446,-0.0092,3040119800.0,419890400.0,0.5388,0.5566,0.5566,231849000.0,231849000.0,0.5852,0.0186,NFLX
2014-06-30 00:00:00,4891725000.0,3403610600.0,1488114300.0,419160000.0,702351000.0,366603000.0,,-36792000.0,41256000.0,329811000.0,125435000.0,204376000.0,204376000.0,0.4928,0.3042,0.0749,0.0674,0.0418,0.0071,2850444700.0,366603300.0,0.4763,0.4927,0.4927,204376000.0,204376000.0,0.5827,0.0345,NFLX
2014-03-31 00:00:00,4620690000.0,3249436600.0,1371253200.0,397104000.0,680029000.0,294119900.0,,-35032000.0,35456000.0,259088000.0,96259000.0,162829000.0,162829000.0,0.3971,0.2968,0.0637,0.0561,0.0352,0.0068,2649009800.0,294120200.0,0.3812,0.3959,0.3959,162829000.0,162829000.0,0.5733,0.0317,NFLX
2013-12-31 00:00:00,4374562000.0,3117202600.0,1257359200.0,378769000.0,650243000.0,228346900.0,,-57273000.0,32144000.0,171074000.0,58671000.0,112403000.0,112403000.0,0.2771,0.2874,0.0522,0.0391,0.0257,-0.0051,2470026900.0,228347200.0,0.2643,0.2759,0.2759,112403000.0,112403000.0,0.5646,0.0224,NFLX
2013-09-30 00:00:00,4144570800.0,3018585200.0,1125985500.0,362780000.0,597509000.0,165696800.0,,-53723000.0,26720000.0,111974000.0,40095000.0,71879000.0,71879000.0,0.1771,0.2717,0.04,0.027,0.0173,-0.019,2296516800.0,165696800.0,0.1702,0.1764,0.1764,71879000.0,71879000.0,0.5541,0.0102,NFLX
2013-06-30 00:00:00,3943660800.0,2882323200.0,1061337500.0,349761000.0,586865000.0,124711800.0,,-50283000.0,24274000.0,74429000.0,26697000.0,47732000.0,47732000.0,0.12,0.2691,0.0316,0.0189,0.0121,-0.0278,2108347000.0,124711800.0,0.1144,0.1192,0.1192,47732000.0,47732000.0,0.5346,0.0012,NFLX
2013-03-31 00:00:00,3763451800.0,2765077200.0,998374600.0,338182000.0,576444000.0,83749000.0,,-45314000.0,21752000.0,38435000.0,14010000.0,24425000.0,24425000.0,0.0628,0.2653,0.0223,0.0102,0.0065,-0.0301,1930747000.0,83749000.0,0.0599,0.0628,0.0628,24425000.0,24425000.0,0.513,-0.0026,NFLX
2012-12-31 00:00:00,3609281800.0,2652058200.0,957223600.0,329008000.0,578224000.0,49992000.0,,-19512000.0,19986000.0,30480000.0,13328000.0,17152000.0,17152000.0,0.0443,0.2652,0.0139,0.0084,0.0048,-0.0186,1752075000.0,49992000.0,0.0417,0.0441,0.0441,17152000.0,17152000.0,0.4854,0.006,NFLX
