Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,43152000000.0,29180000000.0,13974000000.0,2076425000.0,11841376000.0,204000000.0,-33000000.0,19000000.0,11719000000.0,2626000000.0,9093528000.0,8565000000.0,31.81,0.3238,0.2744,0.2716,0.1985,0.1932,12913000000.0,11841377000.0,33.5526,33.6373,33.6373,9093528000.0,9057000000.0,0.2992,0.2352,NUE
2022-06-30 00:00:00,42964000000.0,28443000000.0,14523000000.0,2115865000.0,12364473000.0,193000000.0,-19000000.0,8000000.0,12265000000.0,2748000000.0,9517750000.0,8995000000.0,32.59,0.338,0.2878,0.2855,0.2094,0.168,13351000000.0,12364474000.0,34.2567,34.3469,34.3469,9517750000.0,9479000000.0,0.3107,0.2114,NUE
2022-03-31 00:00:00,39959164000.0,27083661000.0,12877503000.0,1939724000.0,10865546000.0,167000000.0,-20377000.0,37780000.0,10800748000.0,2439289000.0,8361972000.0,7945192000.0,27.97,0.3223,0.2719,0.2703,0.1988,0.1611,11792525000.0,10865547000.0,29.1969,29.2803,29.2803,8361972000.0,8334459000.0,0.2951,0.2045,NUE
2021-12-31 00:00:00,36483304000.0,25448364000.0,11035940000.0,1706264000.0,9256642000.0,164000000.0,-41782000.0,76424000.0,9200994000.0,2079021000.0,7122371000.0,6795248000.0,23.4,0.3025,0.2537,0.2522,0.1863,0.1269,10142126000.0,9256643000.0,24.2761,24.3508,24.3508,7122371000.0,7102973000.0,0.278,0.1708,NUE
2021-09-30 00:00:00,31379360000.0,23155890000.0,8223469800.0,1358313000.0,6496925200.0,161000000.0,-77235000.0,112766000.0,6410760000.0,1202921000.0,5208104000.0,4952358000.0,16.74,0.2621,0.207,0.2043,0.1578,0.0821,7319248200.0,6496924200.0,17.5861,17.6238,17.6238,5208104000.0,5198839000.0,0.2333,0.131,NUE
2021-06-30 00:00:00,25994320000.0,20677655000.0,5316664600.0,997826000.0,3947074800.0,159000000.0,-114895000.0,151905000.0,3832178000.0,624709000.0,3207469000.0,3026572000.0,10.09,0.2045,0.1518,0.1474,0.1164,0.0691,4745034800.0,3947073800.0,10.6837,10.7046,10.7046,3207469000.0,3207469000.0,0.1825,0.1243,NUE
2021-03-31 00:00:00,21532462000.0,18311341000.0,3221120800.0,752773000.0,2135891700.0,160000000.0,-148403000.0,151932000.0,1987487000.0,218324000.0,1769163000.0,1634469000.0,5.4,0.1496,0.0992,0.0923,0.0759,0.0753,2925032700.0,2135890700.0,5.8415,5.8498,5.8498,1769163000.0,1769163000.0,0.1358,0.1405,NUE
2020-12-31 00:00:00,20139659000.0,17911707000.0,2227951900.0,615041000.0,999270500.0,167000000.0,-163731000.0,153198000.0,835538000.0,-490000.0,836028000.0,717114000.0,2.37,0.1106,0.0496,0.0415,0.0356,0.0593,1784736500.0,999269500.0,2.7567,2.7577,2.7577,836028000.0,836028000.0,0.0886,0.1339,NUE
2020-09-30 00:00:00,20011348000.0,18066739000.0,1944609100.0,623150000.0,955091300.0,167000000.0,-159092000.0,145522000.0,796002000.0,251587000.0,544415000.0,426846000.0,1.41,0.0972,0.0477,0.0398,0.0213,0.0625,1735697300.0,955092300.0,1.802,1.8024,1.8024,544415000.0,544415000.0,0.0867,0.1447,NUE
2020-06-30 00:00:00,20547890000.0,18532965000.0,2014925000.0,616938000.0,1038223700.0,,-152303000.0,136669000.0,885923000.0,270551000.0,615372000.0,508008000.0,1.68,0.0981,0.0505,0.0431,0.0247,0.0685,1800005700.0,1038224700.0,2.0309,2.0323,2.0323,615372000.0,615372000.0,0.0876,0.1446,NUE
