Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8069000000.0,4269000000.0,3799000000.0,625000000.0,613400000.0,2136000300.0,102000000.0,470000000.0,6000000.0,2065000000.0,339000000.0,1725900100.0,1724000000.0,3.86,0.4708,0.2647,0.2559,0.2137,0.2085,3121000000.0,2136000400.0,3.8559,4.0033,4.0033,1725900100.0,1726000000.0,0.3868,0.3133,ON
2022-06-30 00:00:00,7618000000.0,4159000000.0,3459000000.0,635000000.0,603000000.0,2110700300.0,118000000.0,167000000.0,2000000.0,2030000000.0,306000000.0,1724400100.0,1722000000.0,3.86,0.4541,0.2771,0.2665,0.226,0.1693,2792000000.0,2110700400.0,3.8651,4.0037,4.0037,1724400100.0,1724000000.0,0.3665,0.2592,ON
2022-03-31 00:00:00,7202900000.0,4118800000.0,3084100000.0,639300000.0,596000000.0,1808900100.0,134000000.0,-22200000.0,34100000.0,1688000000.0,236900000.0,1451900100.0,1450100000.0,3.27,0.4282,0.2511,0.2344,0.2013,0.2091,2393999800.0,1808900200.0,3.2586,3.3825,3.3825,1451900100.0,1451100000.0,0.3324,0.2835,ON
2021-12-31 00:00:00,6739600000.0,4074300000.0,2665300000.0,655900000.0,598300000.0,1287600000.0,150000000.0,-40700000.0,67500000.0,1157400000.0,147000000.0,1011200100.0,1010000000.0,2.31,0.3955,0.191,0.1717,0.1499,0.1935,1900699700.0,1287600100.0,2.2784,2.3754,2.3754,1011200100.0,1010400000.0,0.282,0.2644,ON
2021-09-30 00:00:00,6339900000.0,3985000100.0,2354899800.0,654600000.0,578000000.0,975299600.0,162000000.0,-129200000.0,109300000.0,811900000.0,137700000.0,674600000.0,673000000.0,1.57,0.3714,0.1538,0.1281,0.1062,0.1821,1610299600.0,975299800.0,1.5367,1.5885,1.5885,674600000.0,674200000.0,0.254,0.2454,ON
2021-06-30 00:00:00,5915200000.0,3815100100.0,2100099900.0,655700000.0,561500000.0,695099700.0,174000000.0,-177100000.0,150500000.0,518000000.0,-7400000.0,525400000.0,523600000.0,1.26,0.355,0.1175,0.0876,0.0885,0.1558,1341599700.0,695099900.0,1.2178,1.26,1.26,525400000.0,525400000.0,0.2268,0.2148,ON
2021-03-31 00:00:00,5458800000.0,3624500100.0,1834299900.0,645500000.0,540700000.0,455999900.0,183000000.0,-160100000.0,159300000.0,295900000.0,-44500000.0,340400000.0,338100000.0,0.83,0.336,0.0835,0.0542,0.0619,0.1126,1103599900.0,456000100.0,0.8006,0.8274,0.8274,340400000.0,340400000.0,0.2022,0.1716,ON
2020-12-31 00:00:00,5255000000.0,3539200100.0,1715799900.0,642900000.0,537400000.0,348700000.0,189000000.0,-172100000.0,168400000.0,176600000.0,-59800000.0,236400000.0,234200000.0,0.58,0.3265,0.0664,0.0336,0.0446,0.0969,1004700000.0,348700200.0,0.5645,0.5756,0.5756,236400000.0,236400000.0,0.1912,0.1683,ON
2020-09-30 00:00:00,5210500000.0,3506600200.0,1703899600.0,652500000.0,548800000.0,319599600.0,182000000.0,-180800000.0,168800000.0,138800000.0,-64700000.0,203500000.0,201700000.0,0.5,0.327,0.0613,0.0266,0.0387,0.0393,968499600.0,319599900.0,0.4907,0.4959,0.4959,203500000.0,203500000.0,0.1859,0.1105,ON
2020-06-30 00:00:00,5275000000.0,3537100200.0,1737899600.0,669200000.0,563800000.0,156699500.0,,-180600000.0,167300000.0,-23900000.0,-6200000.0,-17700000.0,-19600000.0,-0.04,0.3295,0.0297,-0.0045,-0.0037,0.0439,802499500.0,156699800.0,-0.0409,-0.0427,-0.0427,-17700000.0,-17700000.0,0.1521,0.1241,ON
2020-03-31 00:00:00,5409200000.0,3546600200.0,1862599500.0,660100000.0,583000000.0,271899400.0,,-169500000.0,159100000.0,102400000.0,16300000.0,86100000.0,83600000.0,0.21,0.3443,0.0503,0.0189,0.0155,0.0428,908199400.0,271899700.0,0.2076,0.2093,0.2093,86100000.0,86100000.0,0.1679,0.1336,ON
2019-12-31 00:00:00,5517900000.0,3544300200.0,1973599500.0,640900000.0,585000000.0,432699400.0,,-156100000.0,148300000.0,276600000.0,62700000.0,213900000.0,211700000.0,0.52,0.3577,0.0784,0.0501,0.0384,0.0302,1043799400.0,432699700.0,0.5142,0.5206,0.5206,213900000.0,213900000.0,0.1892,0.1259,ON
2019-09-30 00:00:00,5619200000.0,3561600000.0,2057599800.0,633800000.0,596800000.0,516499900.0,,-133900000.0,139000000.0,382600000.0,59600000.0,323000000.0,320800000.0,0.78,0.3662,0.0919,0.0681,0.0571,0.0909,1102199900.0,516499700.0,0.7664,0.7792,0.7792,323000000.0,323000000.0,0.1961,0.1822,ON
2019-06-30 00:00:00,5779100000.0,3600100000.0,2178999700.0,627200000.0,610700000.0,801999900.0,,-118800000.0,129500000.0,683200000.0,133100000.0,550100000.0,548400000.0,1.32,0.377,0.1388,0.1182,0.0949,0.1067,1364999900.0,801999700.0,1.2965,1.3181,1.3181,550100000.0,550100000.0,0.2362,0.1973,ON
2019-03-31 00:00:00,5887300000.0,3652300000.0,2234999800.0,647300000.0,619300000.0,840900000.0,,-90500000.0,128400000.0,750400000.0,146900000.0,603500000.0,601900000.0,1.43,0.3796,0.1428,0.1275,0.1022,0.1104,1385399900.0,840899800.0,1.402,1.4343,1.4343,603500000.0,603500000.0,0.2353,0.2014,ON
2018-12-31 00:00:00,5878300000.0,3639600000.0,2238699800.0,650700000.0,618000000.0,847200000.0,,-92200000.0,128200000.0,755000000.0,125100000.0,629900000.0,627400000.0,1.48,0.3808,0.1441,0.1284,0.1067,0.1361,1375899900.0,847199800.0,1.4451,1.4863,1.4863,629900000.0,629900000.0,0.2341,0.2168,ON
2018-09-30 00:00:00,5752700000.0,3567200100.0,2185500100.0,646500000.0,613500000.0,792000100.0,,-104700000.0,128500000.0,687300000.0,-307600000.0,994899900.0,991700000.0,2.33,0.3799,0.1377,0.1195,0.1724,0.0914,1310200000.0,792000000.0,2.289,2.3459,2.3459,994899900.0,994899900.0,0.2278,0.1873,ON
2018-06-30 00:00:00,5601900000.0,3489000100.0,2112900100.0,631300000.0,604600000.0,727400200.0,,-87800000.0,132200000.0,639600000.0,-297100000.0,936699900.0,933500000.0,2.2,0.3772,0.1298,0.1142,0.1666,0.0937,1251300100.0,727400100.0,2.1598,2.2111,2.2111,936699900.0,936699900.0,0.2234,0.187,ON
2018-03-31 00:00:00,5484000000.0,3434100100.0,2049900100.0,609800000.0,604400000.0,684200200.0,,-94800000.0,134300000.0,589400000.0,-285400000.0,874799900.0,872100000.0,2.06,0.3738,0.1248,0.1075,0.159,0.1236,1199600200.0,684200100.0,2.0296,2.0694,2.0694,874799900.0,874799900.0,0.2187,0.2028,ON
2017-12-31 00:00:00,5543100000.0,3507500100.0,2035600100.0,594700000.0,601600000.0,681600200.0,,-134100000.0,141200000.0,547500000.0,-265500000.0,812999900.0,810700000.0,1.92,0.3672,0.123,0.0988,0.1463,0.1286,1192600200.0,681600100.0,1.8981,1.927,1.927,812999900.0,812999900.0,0.2152,0.1974,ON
2017-09-30 00:00:00,5426600000.0,3519399800.0,1907200200.0,571000000.0,599500000.0,580500300.0,,-135800000.0,148900000.0,444700000.0,51000000.0,393700000.0,391700000.0,0.94,0.3515,0.107,0.0819,0.0722,0.1538,1085700300.0,580500300.0,0.9257,0.9382,0.9382,393700000.0,393700000.0,0.2001,0.2026,ON
2017-06-30 00:00:00,4986600000.0,3274399800.0,1712200200.0,531500000.0,576300000.0,450200200.0,,-86500000.0,160700000.0,363700000.0,68300000.0,295400000.0,293100000.0,0.7,0.3434,0.0903,0.0729,0.0588,0.1393,903400200.0,450200200.0,0.6963,0.7058,0.7058,295400000.0,295400000.0,0.1812,0.1812,ON
