Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,30023000000.0,20197000000.0,9826000000.0,6990000000.0,4824000000.0,942000000.0,2422000000.0,89000000.0,3729000000.0,598000000.0,3131000000.0,-135000000.0,3085000000.0,4.68,0.3273,0.1607,0.1242,0.1028,-0.0241,3219000000.0,4824000000.0,4.4,0.33,4.9665,0.33,4.43,2996000000.0,217000000.0,2996000000.0,0.1072,-0.0124,PARA
2022-06-30 00:00:00,29717000000.0,19804000000.0,9913000000.0,6846000000.0,5137000000.0,954000000.0,2272000000.0,67000000.0,4022000000.0,617000000.0,3405000000.0,-95000000.0,3392000000.0,5.15,0.3336,0.1729,0.1353,0.1141,-0.0207,3453000000.0,5137000000.0,4.88,0.32,5.4465,0.32,4.92,3310000000.0,212000000.0,3310000000.0,0.1162,-0.0083,PARA
2022-03-31 00:00:00,28502000000.0,18469000000.0,10033000000.0,6595000000.0,5544000000.0,967000000.0,2085000000.0,291000000.0,4521000000.0,454000000.0,4067000000.0,-110000000.0,4023000000.0,6.11,0.352,0.1945,0.1586,0.1411,-0.0252,3811000000.0,5544000000.0,5.85,0.29,6.4201,0.29,5.91,3957000000.0,192000000.0,3998000000.0,0.1337,-0.0131,PARA
2021-12-31 00:00:00,28586000000.0,17940000000.0,10646000000.0,6398000000.0,6297000000.0,986000000.0,1584000000.0,529000000.0,5206000000.0,646000000.0,4560000000.0,-91000000.0,4515000000.0,6.93,0.3724,0.2203,0.1821,0.1579,0.021,4525000000.0,6297000000.0,6.69,0.25,7.2245,0.25,6.77,4469000000.0,162000000.0,4522000000.0,0.1583,0.0333,PARA
2021-09-30 00:00:00,27460000000.0,16600000000.0,10860000000.0,5923000000.0,4716000000.0,1013000000.0,-736000000.0,781000000.0,3772000000.0,495000000.0,3277000000.0,-78000000.0,3281000000.0,5.15,0.3955,0.1717,0.1374,0.1195,0.0377,16195000000.0,4716000000.0,4.88,0.23,5.3017,0.23,4.92,3199000000.0,153000000.0,3279000000.0,0.5898,0.0503,PARA
2021-06-30 00:00:00,26687000000.0,15903000000.0,10784000000.0,5720000000.0,4740000000.0,1029000000.0,-969000000.0,1029000000.0,3771000000.0,401000000.0,3370000000.0,-69000000.0,3372000000.0,5.35,0.4041,0.1776,0.1413,0.1264,0.0975,16175000000.0,4740000000.0,5.11,0.2,5.4667,0.2,5.14,3301000000.0,127000000.0,3428000000.0,0.6061,0.1099,PARA
2021-03-31 00:00:00,26198000000.0,15399000000.0,10799000000.0,5444000000.0,4765000000.0,1049000000.0,-1110000000.0,1049000000.0,3655000000.0,627000000.0,3028000000.0,-37000000.0,2817000000.0,4.55,0.4122,0.1819,0.1395,0.1075,0.127,16227000000.0,4765000000.0,4.34,0.19,5.0234,0.19,4.36,2991000000.0,114000000.0,3105000000.0,0.6194,0.1397,PARA
2020-12-31 00:00:00,25285000000.0,14992000000.0,10293000000.0,5320000000.0,4139000000.0,1031000000.0,-992000000.0,1031000000.0,3147000000.0,535000000.0,2612000000.0,-28000000.0,2422000000.0,3.93,0.4071,0.1637,0.1245,0.0958,0.0779,15614000000.0,4139000000.0,3.73,0.19,4.3848,0.19,3.74,2584000000.0,117000000.0,2701000000.0,0.6175,0.0907,PARA
2020-09-30 00:00:00,24468000000.0,15075000000.0,9393000000.0,5128000000.0,2916000000.0,1002000000.0,-1143000000.0,1002000000.0,1773000000.0,332000000.0,1441000000.0,-21000000.0,1354000000.0,2.2,0.3839,0.1192,0.0725,0.0553,0.0736,15916000000.0,2916000000.0,1.86,0.34,2.6203,0.34,1.86,1411000000.0,207000000.0,1618000000.0,0.6505,0.0861,PARA
2020-06-30 00:00:00,25329000000.0,15572000000.0,9757000000.0,5278000000.0,3049000000.0,,-1109000000.0,989000000.0,1940000000.0,432000000.0,1508000000.0,-26000000.0,1369000000.0,2.05,0.3852,0.1204,0.0766,0.054,0.0339,16060000000.0,3049000000.0,1.95,0.27,2.6528,0.27,1.96,1473000000.0,164000000.0,1637000000.0,0.6341,0.0471,PARA
2020-03-31 00:00:00,26397000000.0,16421000000.0,9976000000.0,5466000000.0,3244000000.0,,-967000000.0,963000000.0,2277000000.0,481000000.0,1796000000.0,-35000000.0,1865000000.0,2.45,0.3779,0.1229,0.0863,0.0707,0.0124,16242000000.0,3244000000.0,2.79,0.23,3.0707,0.23,2.8,1752000000.0,142000000.0,1894000000.0,0.6153,0.0249,PARA
2019-12-31 00:00:00,26998000000.0,16713000000.0,10285000000.0,5481000000.0,4146000000.0,,-923000000.0,962000000.0,3223000000.0,-29000000.0,3252000000.0,-44000000.0,3308000000.0,5.85,0.381,0.1536,0.1194,0.1225,0.0328,17138000000.0,4146000000.0,5.13,0.23,5.4293,0.23,5.15,3199000000.0,140000000.0,3339000000.0,0.6348,0.0456,PARA
2019-09-30 00:00:00,36876000000.0,21310000000.0,15566000000.0,7600000000.0,7227000000.0,,-1392000000.0,1404000000.0,5835000000.0,259000000.0,5576000000.0,-48000000.0,5622000000.0,7.77,0.4221,0.196,0.1582,0.1525,0.0943,19404000000.0,7227000000.0,7.4187,0.68,7.8151,0.69,7.4528,5528000000.0,-53000000.0,5686000000.0,0.5262,0.1077,PARA
2019-06-30 00:00:00,33441000000.0,19273000000.0,14168000000.0,6676000000.0,6881000000.0,,-1258000000.0,1273000000.0,5623000000.0,197000000.0,5426000000.0,-52000000.0,5480000000.0,8.22,0.4237,0.2058,0.1681,0.1639,0.0952,19006000000.0,6881000000.0,7.6963,1.1,8.066,1.11,7.7341,5374000000.0,117000000.0,5528000000.0,0.5683,0.108,PARA
2019-03-31 00:00:00,29764000000.0,17247000000.0,12517000000.0,5837000000.0,6094000000.0,,-1177000000.0,1152000000.0,4917000000.0,69000000.0,4848000000.0,-51000000.0,4903000000.0,8.1,0.4205,0.2047,0.1652,0.1647,0.1107,18166000000.0,6094000000.0,7.1762,0.26,7.5258,0.26,7.2123,4797000000.0,-228000000.0,4945000000.0,0.6103,0.1235,PARA
2018-12-31 00:00:00,26425000000.0,15399000000.0,11026000000.0,5048000000.0,5062000000.0,,-1078000000.0,1030000000.0,3984000000.0,580000000.0,3404000000.0,-47000000.0,3455000000.0,5.2,0.4173,0.1916,0.1508,0.1307,0.118,17084000000.0,5062000000.0,5.35,,5.6596,,5.38,3357000000.0,,3492000000.0,0.6465,0.1311,PARA
2018-09-30 00:00:00,27254000000.0,16049000000.0,11205000000.0,5241000000.0,5317000000.0,,-1227000000.0,1101000000.0,4090000000.0,637000000.0,3453000000.0,-3000000.0,3322000000.0,3.6,0.4111,0.1951,0.1501,0.1219,0.084,16673000000.0,5317000000.0,5.6213,,6.4001,,5.6772,3450000000.0,,3374000000.0,0.6118,0.0966,PARA
2018-06-30 00:00:00,27162000000.0,15989000000.0,11173000000.0,5217000000.0,5356000000.0,,-1230000000.0,1102000000.0,4126000000.0,745000000.0,3381000000.0,-1000000.0,3426000000.0,3.78,0.4113,0.1972,0.1519,0.1261,0.0808,16711000000.0,5356000000.0,5.3637,,6.5751,,5.4159,3380000000.0,,3478000000.0,0.6152,0.0937,PARA
2018-03-31 00:00:00,26953000000.0,15809000000.0,11144000000.0,5192000000.0,5387000000.0,,-1216000000.0,1097000000.0,4171000000.0,801000000.0,3370000000.0,7000000.0,3084000000.0,2.86,0.4135,0.1999,0.1548,0.1144,0.0771,16742000000.0,5387000000.0,5.2838,,5.6601,,5.3377,3377000000.0,,3136000000.0,0.6212,0.0904,PARA
2017-12-31 00:00:00,26535000000.0,15483000000.0,11052000000.0,5156000000.0,5341000000.0,,-1221000000.0,1088000000.0,4120000000.0,804000000.0,3316000000.0,4000000.0,2321000000.0,0.91,0.4165,0.2013,0.1553,0.0875,0.0785,16695000000.0,5341000000.0,5.05,-1.46,3.7078,-1.48,5.11,3320000000.0,-947000000.0,2373000000.0,0.6292,0.0919,PARA
2017-09-30 00:00:00,13289000000.0,8078000000.0,5211000000.0,2040000000.0,2910000000.0,,-735000000.0,443000000.0,2175000000.0,583000000.0,1592000000.0,-52000000.0,285000000.0,0.74,0.3921,0.219,0.1637,0.0214,0.088,3133000000.0,2910000000.0,3.74,-2.96,0.7951,-3.0,3.79,1540000000.0,-1255000000.0,285000000.0,0.2358,0.1028,PARA
