Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1289596000.0,307318000.0,982278000.0,143188000.0,558058000.0,341471100.0,1590000.0,1509000.0,1587000.0,345591000.0,95466000.0,250125000.0,250125000.0,4.31,0.7617,0.2648,0.268,0.194,0.1504,488661000.0,341471000.0,4.3044,4.3135,4.3135,250125000.0,250125000.0,0.3789,0.2481,PAYC
2022-06-30 00:00:00,1211623000.0,286987000.0,924636000.0,133899000.0,518576000.0,310511100.0,588000.0,-970000.0,572000.0,313852000.0,85501000.0,228351000.0,228351000.0,3.93,0.7631,0.2563,0.259,0.1885,0.1774,446773000.0,310511000.0,3.9278,3.9366,3.9366,228351000.0,228351000.0,0.3687,0.2811,PAYC
2022-03-31 00:00:00,1136845000.0,261225000.0,875620000.0,125320000.0,494982000.0,285288100.0,380000.0,-902000.0,234000.0,288251000.0,64977000.0,223274000.0,223274000.0,3.84,0.7702,0.2509,0.2536,0.1964,0.1911,414902000.0,285288000.0,3.84,3.8508,3.8508,223274000.0,223274000.0,0.365,0.3054,PAYC
2021-12-31 00:00:00,1055524000.0,217463000.0,838061000.0,118426000.0,468434000.0,253567100.0,,915000.0,,255962000.0,60002000.0,195960000.0,195960000.0,3.38,0.794,0.2402,0.2425,0.1857,0.1882,356486000.0,253567000.0,3.3676,3.3853,3.3853,195960000.0,195960000.0,0.3377,0.3026,PAYC
2021-09-30 00:00:00,991485000.0,175200000.0,816285000.0,109085000.0,462520000.0,221188000.0,,973000.0,,222561000.0,50921000.0,171640000.0,171640000.0,2.96,0.8233,0.2231,0.2245,0.1731,0.1767,300797000.0,221188000.0,2.9482,2.9701,2.9701,171640000.0,171640000.0,0.3034,0.2849,PAYC
2021-06-30 00:00:00,931823000.0,136625000.0,795198000.0,99780000.0,452857000.0,211919000.0,,1375000.0,,213294000.0,44551000.0,168743000.0,168743000.0,2.92,0.8534,0.2274,0.2289,0.1811,0.1736,269224000.0,211919000.0,2.8985,2.9228,2.9228,168743000.0,168743000.0,0.2889,0.2856,PAYC
2021-03-31 00:00:00,871264000.0,129773000.0,741491000.0,93334000.0,427716000.0,191405000.0,,1388000.0,,192793000.0,47739000.0,145054000.0,145054000.0,2.52,0.8511,0.2197,0.2213,0.1665,0.1618,245875000.0,191405000.0,2.4895,2.5158,2.5158,145054000.0,145054000.0,0.2822,0.2693,PAYC
2020-12-31 00:00:00,841434000.0,123546000.0,717888000.0,90244000.0,413916000.0,186123000.0,,-187000.0,165000.0,185936000.0,42483000.0,143453000.0,143453000.0,2.49,0.8532,0.2212,0.221,0.1705,0.1582,237969000.0,186123000.0,2.4612,2.4897,2.4897,143453000.0,143453000.0,0.2828,0.27,PAYC
2020-09-30 00:00:00,813896100.0,119314000.0,694582100.0,83382000.0,374869000.0,210170100.0,,284000.0,,210454000.0,45988000.0,164466000.0,164520000.0,2.86,0.8534,0.2582,0.2586,0.2021,0.1558,259178100.0,210170000.0,2.8177,2.8534,2.8534,164466000.0,164466000.0,0.3184,0.273,PAYC
2020-06-30 00:00:00,792370100.0,114794000.0,677576100.0,81215000.0,344995000.0,226690100.0,,-27000.0,425000.0,226663000.0,50527000.0,176136000.0,176190000.0,3.06,0.8551,0.2861,0.2861,0.2224,0.1241,273613100.0,226690000.0,3.0159,3.0554,3.0554,176136000.0,176136000.0,0.3453,0.2638,PAYC
2020-03-31 00:00:00,780096100.0,110475000.0,669621100.0,76212000.0,317129000.0,253000100.0,,-707000.0,680000.0,252293000.0,55984000.0,196309000.0,196309000.0,3.41,0.8584,0.3243,0.3234,0.2516,0.1565,297339100.0,253000000.0,3.3598,3.4058,3.4058,196309000.0,196309000.0,0.3812,0.2895,PAYC
2019-12-31 00:00:00,737671100.0,109747000.0,627924100.0,73080000.0,306820000.0,226224100.0,,-137000.0,940000.0,226087000.0,45511000.0,180576000.0,180576000.0,3.14,0.8512,0.3067,0.3065,0.2448,0.178,267530100.0,226224000.0,3.0923,3.1371,3.1371,180576000.0,180576000.0,0.3627,0.304,PAYC
2019-09-30 00:00:00,694594000.0,105051000.0,589543000.0,67609000.0,292270000.0,209343000.0,,-1676000.0,1142000.0,207667000.0,41057000.0,166610000.0,166556000.0,2.9,0.8488,0.3014,0.299,0.2398,0.1852,248982000.0,209343000.0,2.8555,2.8972,2.8972,166610000.0,166610000.0,0.3585,0.3101,PAYC
2019-06-30 00:00:00,652876000.0,100784000.0,552092000.0,59530000.0,278713000.0,195032000.0,,-1412000.0,1266000.0,193620000.0,37393000.0,156227000.0,156173000.0,2.72,0.8456,0.2987,0.2966,0.2392,0.2221,232109000.0,195032000.0,2.6763,2.7165,2.7165,156227000.0,156227000.0,0.3555,0.3182,PAYC
2019-03-31 00:00:00,612363000.0,96476000.0,515887000.0,53486000.0,260320000.0,185183000.0,,-410000.0,1042000.0,184773000.0,41586000.0,143187000.0,143187000.0,2.49,0.8425,0.3024,0.3017,0.2338,0.2477,218165000.0,185183000.0,2.4498,2.4871,2.4871,143187000.0,143187000.0,0.3563,0.3393,PAYC
2018-12-31 00:00:00,566336000.0,90763000.0,475573000.0,46247000.0,240486000.0,173715000.0,,996000.0,919000.0,174711000.0,37646000.0,137065000.0,137065000.0,2.38,0.8397,0.3067,0.3085,0.242,0.2206,203404000.0,173715000.0,2.3397,2.375,2.375,137065000.0,137065000.0,0.3592,0.3263,PAYC
2018-09-30 00:00:00,530029000.0,85841000.0,444188000.0,40933000.0,223164000.0,166703000.0,,128000.0,791000.0,166831000.0,12314000.0,154517000.0,154517000.0,2.05,0.838,0.3145,0.3148,0.2915,0.2325,192219000.0,166703000.0,2.6297,2.669,2.669,154517000.0,154517000.0,0.3627,0.3471,PAYC
2018-06-30 00:00:00,498028000.0,81542000.0,416486000.0,37519000.0,214872000.0,152465000.0,,-173000.0,688000.0,152292000.0,5634000.0,146658000.0,146658000.0,1.79,0.8363,0.3061,0.3058,0.2945,0.2116,174778000.0,152465000.0,2.4935,2.5311,2.5311,146658000.0,146658000.0,0.3509,0.3508,PAYC
2018-03-31 00:00:00,467455000.0,78487000.0,388968000.0,34883000.0,215254000.0,128220000.0,,-786000.0,,127434000.0,-3518000.0,130952000.0,130952000.0,1.41,0.8321,0.2743,0.2726,0.2801,0.1678,148870000.0,128220000.0,2.2255,2.2592,2.2592,130952000.0,130952000.0,0.3185,0.3153,PAYC
2017-12-31 00:00:00,433047000.0,72028000.0,361019000.0,30430000.0,191074000.0,129710000.0,,-1978000.0,911000.0,127732000.0,4246000.0,123486000.0,123486000.0,1.15,0.8337,0.2995,0.295,0.2852,0.1634,148771000.0,129710000.0,2.1005,2.135,2.135,123486000.0,123486000.0,0.3435,0.3005,PAYC
2017-09-30 00:00:00,406832000.0,68330000.0,338502000.0,29676000.0,149742000.0,149759000.0,,-328000.0,1061000.0,149431000.0,39597000.0,109834000.0,109881000.0,1.08,0.832,0.3681,0.3673,0.2701,0.1527,167232000.0,149759000.0,1.8642,1.9044,1.9044,109834000.0,109834000.0,0.4111,0.2862,PAYC
2017-06-30 00:00:00,382870000.0,65252000.0,317618000.0,27796000.0,152534000.0,128334000.0,,-691000.0,1093000.0,127643000.0,32521000.0,95122000.0,95122000.0,0.95,0.8296,0.3352,0.3334,0.2484,0.1527,144826000.0,128334000.0,1.6142,1.6511,1.6511,95122000.0,95122000.0,0.3783,0.26,PAYC
2017-03-31 00:00:00,358523000.0,59241000.0,299282000.0,23903000.0,141496000.0,125546000.0,,-613000.0,982000.0,124933000.0,39406000.0,85527000.0,85527000.0,0.89,0.8348,0.3502,0.3485,0.2386,0.1808,140535000.0,125546000.0,1.4514,1.4863,1.4863,85527000.0,85527000.0,0.392,0.3043,PAYC
2016-12-31 00:00:00,329141000.0,54066000.0,275075000.0,20966000.0,144535000.0,101740000.0,,-728000.0,1036000.0,101012000.0,30591000.0,70421000.0,70421000.0,0.76,0.8357,0.3091,0.3069,0.214,0.168,115361000.0,101740000.0,1.1942,1.2236,1.2236,70421000.0,70421000.0,0.3505,0.3002,PAYC
2016-09-30 00:00:00,306449000.0,48846000.0,257603000.0,16798000.0,182145000.0,51524000.0,,-789000.0,1093000.0,50735000.0,10371000.0,40364000.0,40317000.0,0.7,0.8406,0.1681,0.1656,0.1316,0.146,63939000.0,51524000.0,0.6891,0.703,0.703,40364000.0,40364000.0,0.2086,0.2718,PAYC
2016-06-30 00:00:00,284464000.0,43007000.0,241457000.0,12915000.0,164184000.0,57797000.0,,-569000.0,1184000.0,57228000.0,19215000.0,38013000.0,38013000.0,0.66,0.8488,0.2032,0.2012,0.1336,0.1363,69051000.0,57797000.0,0.6498,0.6632,0.6632,38013000.0,38013000.0,0.2427,0.2628,PAYC
2016-03-31 00:00:00,259557000.0,39163000.0,220394000.0,10620000.0,151035000.0,52601000.0,,-888000.0,1406000.0,51713000.0,18175000.0,33538000.0,33538000.0,0.58,0.8491,0.2027,0.1992,0.1292,0.144,62974000.0,52601000.0,0.5742,0.5865,0.5865,33538000.0,33538000.0,0.2426,0.2303,PAYC
2015-12-31 00:00:00,224653000.0,35473000.0,189180000.0,8627000.0,140380000.0,34435000.0,,-910000.0,1427000.0,33525000.0,12580000.0,20945000.0,20945000.0,0.37,0.8421,0.1533,0.1492,0.0932,0.1176,44013000.0,34435000.0,0.3617,0.3707,0.3707,20945000.0,20945000.0,0.1959,0.1913,PAYC
2015-09-30 00:00:00,203575000.0,32342000.0,171233000.0,7570000.0,124815000.0,32988000.0,,-1233000.0,1409000.0,31755000.0,13461000.0,18294000.0,18294000.0,0.33,0.8411,0.162,0.156,0.0899,0.1508,45999000.0,32988000.0,0.3221,0.3308,0.3308,18294000.0,18294000.0,0.226,0.212,PAYC
2015-06-30 00:00:00,184833000.0,29869000.0,154964000.0,6280000.0,112311000.0,30811000.0,,-1287000.0,1404000.0,29524000.0,12387000.0,17137000.0,17137000.0,0.31,0.8384,0.1667,0.1597,0.0927,0.1586,43187000.0,30811000.0,0.307,0.3161,0.3161,17137000.0,17137000.0,0.2337,0.2122,PAYC
2015-03-31 00:00:00,169166000.0,28677000.0,140489000.0,5310000.0,107312000.0,23097000.0,,-5045000.0,1686000.0,18052000.0,7454000.0,10598000.0,10598000.0,0.2,0.8305,0.1365,0.1067,0.0626,0.1308,34798000.0,23097000.0,0.1933,0.2001,0.2001,10598000.0,10598000.0,0.2057,0.1995,PAYC
2014-12-31 00:00:00,150929000.0,27318000.0,123611000.0,4325000.0,99048000.0,15700000.0,,-6044000.0,3421000.0,9656000.0,3993000.0,5663000.0,5663000.0,0.11,0.819,0.104,0.064,0.0375,0.0534,27046000.0,15700000.0,0.1092,0.1138,0.1138,5663000.0,5663000.0,0.1792,0.148,PAYC
2014-09-30 00:00:00,137189000.0,26125000.0,111064000.0,3724000.0,93699000.0,9817000.0,,-7012000.0,5422000.0,2802000.0,1609000.0,1193000.0,1906000.0,0.03,0.8096,0.0716,0.0204,0.0139,0.0167,16612000.0,9817000.0,0.0309,0.0341,0.0341,1906000.0,1906000.0,0.1211,0.1817,PAYC
2014-06-30 00:00:00,126421000.0,25029000.0,101392000.0,3203000.0,87587000.0,6978000.0,,-9175000.0,7413000.0,-2200000.0,-279000.0,-1921000.0,-1205000.0,-0.03,0.802,0.0552,-0.0174,-0.0095,-0.021,13498000.0,6978000.0,-0.0292,-0.0279,-0.0279,-1208000.0,-1208000.0,0.1068,0.1638,PAYC
2014-03-31 00:00:00,117029000.0,22968000.0,94061000.0,2590000.0,80505000.0,7077000.0,,-7708000.0,9065000.0,-634000.0,334000.0,-968000.0,-255000.0,-0.01,0.8037,0.0605,-0.0054,-0.0022,0.0006,13260000.0,7077000.0,-0.0099,-0.0082,-0.0082,-255000.0,-255000.0,0.1133,0.1788,PAYC
2013-12-31 00:00:00,107621000.0,20891000.0,86730000.0,2163000.0,71410000.0,9475000.0,,-8073000.0,9272000.0,1399000.0,792000.0,607000.0,1301000.0,0.03,0.8059,0.088,0.013,0.0121,0.0631,15219000.0,9475000.0,0.0232,0.0273,0.0273,1320000.0,1320000.0,0.1414,0.2204,PAYC
2013-09-30 00:00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,PAYC
2013-06-30 00:00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,PAYC
