Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,27396000000.0,23268000000.0,4127000000.0,328000000.0,714200100.0,3346399400.0,,174000000.0,26000000.0,3324000000.0,723000000.0,2595600100.0,2601000000.0,7.47,0.1506,0.1221,0.1213,0.0949,0.0725,3890000000.0,3346401900.0,7.4426,7.4523,7.4523,2595600100.0,2601000000.0,0.142,0.1027,PCAR
2022-06-30 00:00:00,25483000000.0,21786000000.0,3696000000.0,318000000.0,712200100.0,2877798800.0,30000000.0,168000000.0,6000000.0,2827000000.0,619000000.0,2206700100.0,2210000000.0,6.34,0.145,0.1129,0.1109,0.0867,0.0639,3471000000.0,2877801300.0,6.3298,6.3379,6.3379,2206700100.0,2210000000.0,0.1362,0.0948,PCAR
2022-03-31 00:00:00,24159900000.0,20405400000.0,3753500000.0,322400000.0,699800100.0,2587898400.0,,98100000.0,21400000.0,2545300000.0,561800000.0,1981800100.0,1985500000.0,5.69,0.1554,0.1071,0.1054,0.0822,0.055,3285900200.0,2587900900.0,5.6862,5.6949,5.6949,1981800100.0,1985500000.0,0.136,0.0873,PCAR
2021-12-31 00:00:00,23525400000.0,19623100000.0,3902300000.0,324500000.0,677200100.0,2441897900.0,,51500000.0,53200000.0,2382600000.0,528300000.0,1852100100.0,1855300000.0,5.32,0.1659,0.1038,0.1013,0.0789,0.0625,3242499600.0,2441900400.0,5.3159,5.3252,5.3252,1852100100.0,1855300000.0,0.1378,0.093,PCAR
2021-09-30 00:00:00,22406000000.0,18296100000.0,4109899000.0,309200000.0,660000000.0,2353197700.0,32000000.0,-2100000.0,85300000.0,2253400000.0,504300000.0,1752600000.0,1750100000.0,5.02,0.1834,0.105,0.1006,0.0781,0.0527,3249398000.0,2353198200.0,5.0332,5.043,5.043,1752600000.0,1750100000.0,0.145,0.0868,PCAR
2021-06-30 00:00:00,22194000000.0,17794400000.0,4399599000.0,300900000.0,622700000.0,2362297800.0,,-102000000.0,116500000.0,2260300000.0,502700000.0,1757600000.0,1757600000.0,5.05,0.1982,0.1064,0.1018,0.0792,0.077,3380397800.0,2362298300.0,5.0498,5.0606,5.0606,1757600000.0,1757600000.0,0.1523,0.1124,PCAR
2021-03-31 00:00:00,19412300000.0,15576500000.0,3835799000.0,283000000.0,578500000.0,1916997500.0,,-113000000.0,123500000.0,1804000000.0,394200000.0,1409800000.0,1409800000.0,4.06,0.1976,0.0988,0.0929,0.0726,0.1206,2945697500.0,1916998000.0,4.0539,4.0623,4.0623,1409800000.0,1409800000.0,0.1517,0.1596,PCAR
2020-12-31 00:00:00,18728500000.0,15076400000.0,3652099100.0,273900000.0,581400000.0,1788798300.0,,-130900000.0,138000000.0,1657900000.0,359500000.0,1298400000.0,1298400000.0,3.75,0.195,0.0955,0.0885,0.0693,0.107,2837798300.0,1788798800.0,3.7374,3.7439,3.7439,1298400000.0,1298400000.0,0.1515,0.1595,PCAR
2020-09-30 00:00:00,19277099000.0,15479400000.0,3797699100.0,285800000.0,599100000.0,1954899900.0,,-131000000.0,150100000.0,1823900000.0,400000000.0,1423900000.0,1423899800.0,4.11,0.197,0.1014,0.0946,0.0739,0.106,3019299900.0,1954900400.0,4.0997,4.1061,4.1061,1423900000.0,1423900000.0,0.1566,0.1627,PCAR
2020-06-30 00:00:00,20708099000.0,16627900000.0,4080199100.0,303300000.0,640000000.0,2246200200.0,,-134600000.0,165900000.0,2111600000.0,465300000.0,1646300000.0,1646299800.0,4.75,0.197,0.1085,0.102,0.0795,0.0849,3316500100.0,2246200700.0,4.7416,4.7484,4.7484,1646300000.0,1646300000.0,0.1602,0.1464,PCAR
2020-03-31 00:00:00,24273799000.0,19528100000.0,4745699100.0,319300000.0,693100000.0,2883100100.0,,-141100000.0,188700000.0,2742000000.0,623700000.0,2118300000.0,2118299800.0,6.11,0.1955,0.1188,0.113,0.0873,0.0467,4151000200.0,2883100600.0,6.098,6.1079,6.1079,2118300000.0,2118300000.0,0.171,0.1204,PCAR
