Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21556000000.0,4632000000.0,16924000000.0,10137000000.0,2348000000.0,1751000000.0,-1362000000.0,1751000000.0,986000000.0,-787000000.0,1773000000.0,1759000000.0,0.87,0.7851,0.1089,0.0457,0.0816,-0.3113,6126000000.0,2348000000.0,0.8666,0.8927,0.8927,1773000000.0,1773000000.0,0.2842,0.1355,PCG
2022-06-30 00:00:00,21627000000.0,4652000000.0,16975000000.0,10682000000.0,1926000000.0,1625000000.0,-1265000000.0,1625000000.0,661000000.0,435000000.0,226000000.0,212000000.0,0.09,0.7849,0.0891,0.0306,0.0098,-0.2745,5503000000.0,1926000000.0,0.1032,0.1136,0.1136,226000000.0,226000000.0,0.2545,0.1235,PCG
2022-03-31 00:00:00,21724000000.0,4547000000.0,17177000000.0,10974000000.0,2115000000.0,1612000000.0,-1118000000.0,1612000000.0,997000000.0,730000000.0,267000000.0,253000000.0,0.11,0.7907,0.0974,0.0459,0.0116,-0.253,5602000000.0,2115000000.0,0.122,0.1344,0.1344,267000000.0,267000000.0,0.2579,0.1254,PCG
2021-12-31 00:00:00,20642000000.0,4381000000.0,16261000000.0,10200000000.0,1883000000.0,1601000000.0,-1135000000.0,1601000000.0,748000000.0,836000000.0,-88000000.0,-102000000.0,-0.07,0.7878,0.0912,0.0362,-0.0049,-0.2629,5286000000.0,1883000000.0,-0.0443,-0.0443,-0.0443,-88000000.0,-88000000.0,0.2561,0.1096,PCG
2021-09-30 00:00:00,20144000000.0,4212000000.0,15932000000.0,10000000000.0,1662000000.0,1621000000.0,-1060000000.0,1621000000.0,602000000.0,962000000.0,-360000000.0,-374000000.0,-0.13,0.7909,0.0825,0.0299,-0.0186,-0.2751,5096000000.0,1662000000.0,1.762,1.648,1.648,-360000000.0,-360000000.0,0.253,0.1063,PCG
2021-06-30 00:00:00,19561000000.0,4107000000.0,15454000000.0,9495000000.0,1756000000.0,1613000000.0,-1214000000.0,1613000000.0,542000000.0,-272000000.0,814000000.0,800000000.0,0.46,0.79,0.0898,0.0277,0.0409,-1.4878,5234000000.0,1756000000.0,2.3503,2.2398,2.2398,814000000.0,814000000.0,0.2676,-1.0833,PCG
2021-03-31 00:00:00,18879000000.0,3966000000.0,14913000000.0,9053000000.0,1404000000.0,1414000000.0,-2659000000.0,1414000000.0,-1255000000.0,300000000.0,-1555000000.0,-1569000000.0,-3.47,0.7899,0.0744,-0.0665,-0.0831,-1.4494,4905000000.0,1404000000.0,-1.5568,-1.6824,-1.6824,-1555000000.0,-1555000000.0,0.2598,-1.0349,PCG
2020-12-31 00:00:00,18469000000.0,3898000000.0,14571000000.0,8684000000.0,1755000000.0,1260000000.0,-2697000000.0,1260000000.0,-942000000.0,362000000.0,-1304000000.0,-1318000000.0,-2.83,0.7889,0.095,-0.051,-0.0714,-1.4522,5223000000.0,1755000000.0,-1.0373,-1.0374,-1.0374,-1304000000.0,-1304000000.0,0.2828,-1.0358,PCG
2020-09-30 00:00:00,18464000000.0,3734000000.0,14730000000.0,8888000000.0,-3008000000.0,1563000000.0,-3187000000.0,1563000000.0,-6195000000.0,-1074000000.0,-5121000000.0,-5138000000.0,-9.83,0.7978,-0.1629,-0.3355,-0.2783,-1.4117,367000000.0,-3008000000.0,-9.961,-9.8282,-9.8282,-5121000000.0,-5121000000.0,0.0199,-1.0003,PCG
2020-06-30 00:00:00,18014000000.0,3668000000.0,14346000000.0,8804000000.0,-5706000000.0,,-2811000000.0,1224000000.0,-8517000000.0,-1694000000.0,-6823000000.0,-6840000000.0,-12.93,0.7964,-0.3168,-0.4728,-0.3797,-0.1084,-2336000000.0,-5706000000.0,-13.056,-12.9267,-12.9267,-6823000000.0,-6823000000.0,-0.1297,0.297,PCG
2020-03-31 00:00:00,17424000000.0,3720000000.0,13704000000.0,8605000000.0,-9628000000.0,,-1128000000.0,1085000000.0,-10756000000.0,-3352000000.0,-7404000000.0,-7421000000.0,-14.03,0.7865,-0.5526,-0.6173,-0.4259,-0.1465,-6336000000.0,-9628000000.0,-14.1543,-14.025,-14.025,-7404000000.0,-7404000000.0,-0.3636,0.2397,PCG
2019-12-31 00:00:00,17129000000.0,3829000000.0,13300000000.0,8725000000.0,-10094000000.0,,-948000000.0,934000000.0,-11042000000.0,-3400000000.0,-7642000000.0,-7656000000.0,-14.48,0.7765,-0.5893,-0.6446,-0.447,-0.0874,-6860000000.0,-10094000000.0,-14.4734,-14.4734,-14.4734,-7642000000.0,-7642000000.0,-0.4005,0.2812,PCG
2019-09-30 00:00:00,16474000000.0,4045000000.0,12429000000.0,8387000000.0,-15281000000.0,,-314000000.0,466000000.0,-15595000000.0,-4697000000.0,-10898000000.0,-10909000000.0,-20.88,0.7545,-0.9276,-0.9466,-0.6622,-0.0929,-12069000000.0,-15281000000.0,-20.8995,-20.9006,-20.9006,-10898000000.0,-10898000000.0,-0.7326,0.2782,PCG
2019-06-30 00:00:00,16423000000.0,4232000000.0,12191000000.0,7792000000.0,-12285000000.0,,-383000000.0,646000000.0,-12668000000.0,-3953000000.0,-8715000000.0,-8726000000.0,-16.73,0.7423,-0.748,-0.7714,-0.5313,-0.0774,-9154000000.0,-12285000000.0,-16.748,-16.7491,-16.7491,-8715000000.0,-8715000000.0,-0.5574,0.2896,PCG
2019-03-31 00:00:00,16714000000.0,4329000000.0,12385000000.0,7636000000.0,-10110000000.0,,-463000000.0,812000000.0,-10573000000.0,-3427000000.0,-7146000000.0,-7157000000.0,-13.81,0.741,-0.6049,-0.6326,-0.4282,-0.0469,-7029000000.0,-10110000000.0,-13.8287,-13.8298,-13.8298,-7146000000.0,-7146000000.0,-0.4205,0.3281,PCG
2018-12-31 00:00:00,16759000000.0,4499000000.0,12260000000.0,7153000000.0,-9700000000.0,,-429000000.0,929000000.0,-10129000000.0,-3292000000.0,-6837000000.0,-6851000000.0,-13.2,0.7315,-0.5788,-0.6044,-0.4088,-0.1051,-6664000000.0,-9700000000.0,-13.2244,-13.2243,-13.2243,-6837000000.0,-6837000000.0,-0.3976,0.2835,PCG
2018-09-30 00:00:00,16771000000.0,4570000000.0,12201000000.0,6876000000.0,247000000.0,,-516000000.0,903000000.0,-269000000.0,-419000000.0,150000000.0,136000000.0,0.26,0.7275,0.0147,-0.016,0.0081,-0.0488,3224000000.0,247000000.0,0.2918,0.2837,0.2837,150000000.0,150000000.0,0.1922,0.3265,PCG
2018-06-30 00:00:00,16907000000.0,4789000000.0,12118000000.0,6589000000.0,437000000.0,,-575000000.0,891000000.0,-138000000.0,-274000000.0,136000000.0,122000000.0,0.24,0.7167,0.0258,-0.0082,0.0072,-0.0053,3365000000.0,437000000.0,0.2668,0.265,0.265,136000000.0,136000000.0,0.199,0.3533,PCG
2018-03-31 00:00:00,16923000000.0,4991000000.0,11932000000.0,6408000000.0,2637000000.0,,-658000000.0,890000000.0,1979000000.0,453000000.0,1526000000.0,1512000000.0,2.94,0.7051,0.1558,0.1169,0.0893,0.0012,5531000000.0,2637000000.0,2.9652,2.9665,2.9665,1526000000.0,1526000000.0,0.3268,0.3495,PCG
2017-12-31 00:00:00,17135000000.0,5055000000.0,12080000000.0,6321000000.0,2905000000.0,,-734000000.0,888000000.0,2171000000.0,511000000.0,1660000000.0,1646000000.0,3.21,0.705,0.1695,0.1267,0.0961,0.0196,5759000000.0,2905000000.0,3.2359,3.2422,3.2422,1660000000.0,1660000000.0,0.3361,0.3488,PCG
2017-09-30 00:00:00,17748000000.0,5244000000.0,12504000000.0,6141000000.0,3432000000.0,,-631000000.0,871000000.0,2801000000.0,563000000.0,2238000000.0,2224000000.0,4.35,0.7045,0.1934,0.1578,0.1253,0.0194,6231000000.0,3432000000.0,4.3911,4.4136,4.4136,2238000000.0,2238000000.0,0.3511,0.3303,PCG
