Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9502000000.0,7962000000.0,1540000000.0,3168000000.0,1319000000.0,580000000.0,392000000.0,72000000.0,630000000.0,-58000000.0,688000000.0,688000000.0,1.37,0.1621,0.1388,0.0663,0.0724,-0.1581,2817000000.0,1319000000.0,1.3765,1.3719,1.3719,688000000.0,688000000.0,0.2965,0.1325,PEG
2022-06-30 00:00:00,9334000000.0,7983000000.0,1351000000.0,3210000000.0,-1059000000.0,561000000.0,-1575000000.0,74000000.0,-1671000000.0,-681000000.0,-990000000.0,-990000000.0,-1.96,0.1447,-0.1135,-0.179,-0.1061,-0.1783,2642000000.0,-1059000000.0,-1.9547,-1.9607,-1.9607,-990000000.0,-990000000.0,0.2831,0.1117,PEG
2022-03-31 00:00:00,8778000000.0,6803000000.0,1975000000.0,3242000000.0,-1649000000.0,558000000.0,-1803000000.0,202000000.0,-2008000000.0,-710000000.0,-1298000000.0,-1298000000.0,-2.57,0.225,-0.1879,-0.2288,-0.1479,-0.1812,1798000000.0,-1649000000.0,-2.5679,-2.5755,-2.5755,-1298000000.0,-1298000000.0,0.2048,0.1345,PEG
2021-12-31 00:00:00,8310000000.0,5510000000.0,2800000000.0,3226000000.0,-856000000.0,567000000.0,-2793000000.0,331000000.0,-1089000000.0,-441000000.0,-648000000.0,-648000000.0,-1.29,0.3369,-0.103,-0.131,-0.078,-0.1456,1604000000.0,-856000000.0,-1.2858,-1.2858,-1.2858,-648000000.0,-648000000.0,0.193,0.2089,PEG
2021-09-30 00:00:00,9965000000.0,4481000000.0,5484000000.0,3229000000.0,-1325000000.0,572000000.0,-1102000000.0,461000000.0,-1167000000.0,-505000000.0,-662000000.0,-662000000.0,-1.32,0.5503,-0.133,-0.1171,-0.0664,-0.1264,3190000000.0,-1325000000.0,-1.3262,-1.3135,-1.3135,-662000000.0,-662000000.0,0.3201,0.1769,PEG
2021-06-30 00:00:00,9535000000.0,3190000000.0,6345000000.0,3189000000.0,1513000000.0,573000000.0,262000000.0,589000000.0,1775000000.0,298000000.0,1477000000.0,1477000000.0,2.92,0.6654,0.1587,0.1862,0.1549,-0.0453,3175000000.0,1513000000.0,2.9111,2.9306,2.9306,1477000000.0,1477000000.0,0.333,0.2608,PEG
2021-03-31 00:00:00,9711000000.0,3179000000.0,6532000000.0,3139000000.0,2214000000.0,574000000.0,360000000.0,593000000.0,2574000000.0,469000000.0,2105000000.0,2105000000.0,4.16,0.6726,0.228,0.2651,0.2168,0.0047,3863000000.0,2214000000.0,4.1518,4.1766,4.1766,2105000000.0,2105000000.0,0.3978,0.3065,PEG
2020-12-31 00:00:00,9603000000.0,3056000000.0,6547000000.0,3115000000.0,2270000000.0,580000000.0,31000000.0,600000000.0,2301000000.0,396000000.0,1905000000.0,1905000000.0,3.76,0.6818,0.2364,0.2396,0.1984,0.0071,3890000000.0,2270000000.0,3.7573,3.7798,3.7798,1905000000.0,1905000000.0,0.4051,0.323,PEG
2020-09-30 00:00:00,9679000000.0,3067000000.0,6612000000.0,3114000000.0,2344000000.0,591000000.0,-61000000.0,605000000.0,2283000000.0,372000000.0,1911000000.0,1911000000.0,3.77,0.6831,0.2422,0.2359,0.1974,0.0199,3948000000.0,2344000000.0,3.7691,3.7917,3.7917,1911000000.0,1911000000.0,0.4079,0.3293,PEG
2020-06-30 00:00:00,9611000000.0,3045000000.0,6566000000.0,3092000000.0,2201000000.0,,-181000000.0,603000000.0,2020000000.0,281000000.0,1739000000.0,1739000000.0,3.42,0.6832,0.229,0.2102,0.1809,0.0129,3776000000.0,2201000000.0,3.4299,3.4504,3.4504,1739000000.0,1739000000.0,0.3929,0.3349,PEG
