Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,18461000000.0,6703500000.0,11757200000.0,6664199800.0,6664000000.0,1322300000.0,5341900100.0,5293000000.0,20.63,0.6369,0.361,0.361,0.2867,0.1633,6664199800.0,6664200700.0,20.8016,21.1218,21.1218,5341900100.0,5342000000.0,0.361,0.1691,PFG
2022-06-30 00:00:00,17284000000.0,6743300000.0,10540200000.0,5362199700.0,5362000000.0,1037400000.0,4324800100.0,4267000000.0,16.45,0.6098,0.3102,0.3102,0.2469,0.1613,5362199700.0,5362200600.0,16.6575,16.9109,16.9109,4324800100.0,4325000000.0,0.3102,0.1692,PFG
2022-03-31 00:00:00,14164400000.0,7281900000.0,6882300000.0,1897699600.0,1897600000.0,275900000.0,1621800100.0,1569800000.0,5.85,0.4859,0.134,0.134,0.1108,0.2102,1897699600.0,1897700500.0,6.0122,6.1088,6.1088,1621800100.0,1621600000.0,0.134,0.2195,PFG
2021-12-31 00:00:00,14262900000.0,7191800000.0,7070900000.0,2083599700.0,2083500000.0,326200000.0,1757400100.0,1710900000.0,6.31,0.4958,0.1461,0.1461,0.12,0.2166,2083599700.0,2083600600.0,6.4398,6.5331,6.5331,1757400100.0,1756900000.0,0.1461,0.2257,PFG
2021-09-30 00:00:00,13937001000.0,7045400000.0,6891300000.0,2066200500.0,2066100000.0,322500000.0,1743700000.0,1711500100.0,6.27,0.4945,0.1483,0.1482,0.1228,0.1866,2066200500.0,2066199800.0,6.3356,6.4094,6.4094,1743700000.0,1743400000.0,0.1483,0.1963,PFG
2021-06-30 00:00:00,13823701000.0,7116000000.0,6707700000.0,1913200500.0,1913200000.0,297900000.0,1615300000.0,1587500100.0,5.81,0.4852,0.1384,0.1384,0.1148,0.1966,1913200500.0,1913199800.0,5.848,5.9085,5.9085,1615300000.0,1615300000.0,0.1384,0.2044,PFG
2021-03-31 00:00:00,13398901000.0,6907000000.0,6491900000.0,1979200700.0,1979200000.0,319400000.0,1659800000.0,1624000100.0,5.92,0.4845,0.1477,0.1477,0.1212,0.1624,1979200700.0,1979200000.0,6.007,6.0558,6.0558,1659800000.0,1659800000.0,0.1477,0.1709,PFG
2020-12-31 00:00:00,14741701000.0,8401700000.0,6340000000.0,1693500800.0,1693500000.0,265000000.0,1428500000.0,1395800100.0,5.08,0.4301,0.1149,0.1149,0.0947,0.2462,1693500800.0,1693500100.0,5.1644,5.2003,5.2003,1428500000.0,1428500000.0,0.1149,0.2536,PFG
2020-09-30 00:00:00,15023799000.0,8843300000.0,6180500000.0,1473200700.0,1473200100.0,220900000.0,1252300100.0,1224100000.0,4.44,0.4114,0.0981,0.0981,0.0815,0.2677,1473200700.0,1473201500.0,4.514,4.5476,4.5476,1252300100.0,1252300000.0,0.0981,0.2755,PFG
2020-06-30 00:00:00,16171499000.0,9844000000.0,6327500000.0,1543800500.0,1543800100.0,242800000.0,1301000100.0,1265200000.0,4.56,0.3913,0.0955,0.0955,0.0782,0.2936,1543800500.0,1543801300.0,4.6732,4.7093,4.7093,1301000100.0,1301000000.0,0.0955,0.3006,PFG
2020-03-31 00:00:00,17029499000.0,10687300000.0,6342200000.0,1495500400.0,1495500100.0,218500000.0,1277000100.0,1253200000.0,4.49,0.3724,0.0878,0.0878,0.0736,0.3397,1495500400.0,1495501200.0,4.5578,4.5977,4.5977,1277000100.0,1277000000.0,0.0878,0.3468,PFG
2019-12-31 00:00:00,16222099000.0,10024900000.0,6197200000.0,1693300000.0,1693300100.0,249200000.0,1444100100.0,1394200000.0,4.98,0.382,0.1044,0.1044,0.0859,0.3305,1693300000.0,1693300800.0,5.1392,5.1835,5.1835,1444100100.0,1444100000.0,0.1044,0.3386,PFG
2019-09-30 00:00:00,15945500000.0,10042700000.0,5902800000.0,1564899400.0,1564900000.0,204400000.0,1360500100.0,1329800000.0,4.73,0.3702,0.0981,0.0981,0.0834,0.3631,1735299400.0,1564899900.0,4.8338,4.8742,4.8742,1360500100.0,1360500000.0,0.1088,0.3705,PFG
2019-06-30 00:00:00,15835200000.0,9846300000.0,5988900000.0,1788299800.0,1788300000.0,252400000.0,1535900100.0,1509000000.0,5.35,0.3782,0.1129,0.1129,0.0953,0.3841,2031499800.0,1788300300.0,5.4207,5.4687,5.4687,1535900100.0,1535900000.0,0.1283,0.3913,PFG
2019-03-31 00:00:00,15097500000.0,9099700000.0,5997800000.0,1853399700.0,1853400000.0,250100000.0,1603300100.0,1579300000.0,5.55,0.3973,0.1228,0.1228,0.1046,0.3637,2212199700.0,1853400200.0,5.6152,5.6677,5.6677,1603300100.0,1603300000.0,0.1465,0.37,PFG
2018-12-31 00:00:00,14237200000.0,8316100000.0,5921100000.0,1784399900.0,1784400000.0,230700000.0,1553700100.0,1546500000.0,5.38,0.4159,0.1253,0.1253,0.1086,0.3557,2266799900.0,1784400400.0,5.3799,5.4363,5.4363,1553700100.0,1553700000.0,0.1592,0.3622,PFG
2018-09-30 00:00:00,13704301000.0,7678800000.0,6025501000.0,1856301000.0,1856299900.0,-308600000.0,2164899900.0,2151799900.0,7.46,0.4397,0.1355,0.1355,0.157,0.3042,2280001000.0,1856300800.0,7.4329,7.5288,7.5288,2164899900.0,2164900000.0,0.1664,0.3118,PFG
2018-06-30 00:00:00,13984001000.0,7542000000.0,6442001000.0,2445000900.0,2444999900.0,-73100000.0,2518100000.0,2505699900.0,8.66,0.4607,0.1748,0.1748,0.1792,0.2784,2912100900.0,2445000700.0,8.6091,8.7251,8.7251,2518100000.0,2518100000.0,0.2082,0.2858,PFG
2018-03-31 00:00:00,13927401000.0,7696600000.0,6230801000.0,2295201100.0,2295199900.0,-78200000.0,2373400000.0,2358599900.0,8.15,0.4474,0.1648,0.1648,0.1693,0.3062,2748701100.0,2295200900.0,8.0957,8.2104,8.2104,2373400000.0,2373400000.0,0.1974,0.3168,PFG
2017-12-31 00:00:00,14093201000.0,7947200000.0,6146001000.0,2252200900.0,2252199900.0,-72300000.0,2324500000.0,2310399900.0,7.97,0.4361,0.1598,0.1598,0.1639,0.2855,2682500900.0,2252200700.0,7.9308,8.0461,8.0461,2324500000.0,2324500000.0,0.1903,0.2972,PFG
