Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19458000000.0,1110000000.0,20484000000.0,13229000000.0,7255000000.0,7255000000.0,1384000000.0,5871000000.0,5521000000.0,13.26,1.0527,0.0,0.3729,0.2837,0.4085,13.3487,,14.0877,,13.3587,5871000000.0,,5844000000.0,0.0,0.4085,PNC
2022-06-30 00:00:00,19476000000.0,572000000.0,20132000000.0,13092000000.0,7040000000.0,7040000000.0,1319000000.0,5721000000.0,5379000000.0,12.79,1.0337,0.0,0.3615,0.2762,0.3664,12.8464,,13.5854,,12.8564,5721000000.0,,5694000000.0,0.0,0.3664,PNC
2022-03-31 00:00:00,19324000000.0,462000000.0,19683000000.0,13164000000.0,6519000000.0,6519000000.0,1191000000.0,5328000000.0,5014000000.0,11.83,1.0186,0.0,0.3374,0.2595,0.3091,11.816,,12.555,,11.826,5328000000.0,,5308000000.0,0.0,0.3091,PNC
2021-12-31 00:00:00,19393000000.0,487000000.0,19211000000.0,12223000000.0,6988000000.0,6988000000.0,1263000000.0,5725000000.0,5417000000.0,12.71,0.9906,0.0,0.3603,0.2793,0.3795,12.7,,13.439,,12.71,5725000000.0,,5711000000.0,0.0,0.3795,PNC
2021-09-30 00:00:00,18752000000.0,526000000.0,18292000000.0,11213000000.0,7079000000.0,7079000000.0,1204000000.0,5875000000.0,1028000000.0,13.11,0.9755,0.0,0.3775,0.0548,0.3196,13.6472,,13.7585,,13.6472,5875000000.0,,5867000000.0,0.0,0.3196,PNC
2021-06-30 00:00:00,17975000000.0,599000000.0,17376000000.0,10412000000.0,6964000000.0,6964000000.0,1047000000.0,5917000000.0,1075000000.0,13.2,0.9667,0.0,0.3874,0.0598,0.2516,13.5395,,13.857,,13.5495,5917000000.0,,5917000000.0,0.0,0.2516,PNC
2021-03-31 00:00:00,17592000000.0,807000000.0,16785000000.0,12038000000.0,4747000000.0,4747000000.0,677000000.0,4070000000.0,3630000000.0,19.17,0.9541,0.0,0.2698,0.2063,0.3487,9.0564,,19.8537,,9.0664,4070000000.0,,8469000000.0,0.0,0.3487,PNC
2020-12-31 00:00:00,18262000000.0,1361000000.0,16901000000.0,13472000000.0,3429000000.0,3429000000.0,426000000.0,3003000000.0,2716000000.0,17.02,0.9255,0.0,0.1878,0.1487,0.2551,6.36,11.54,17.7002,11.56,6.37,3003000000.0,5138000000.0,7558000000.0,0.0,0.2551,PNC
2020-09-30 00:00:00,18844000000.0,2055000000.0,16789000000.0,14001000000.0,2788000000.0,2788000000.0,287000000.0,2501000000.0,6357000000.0,16.74,0.8909,0.0,0.148,0.3373,0.3099,4.9227,,17.4546,,4.9466,2501000000.0,,7483000000.0,0.0,0.3099,PNC
2020-06-30 00:00:00,19612000000.0,2862000000.0,16750000000.0,14224000000.0,2526000000.0,2526000000.0,376000000.0,2150000000.0,6217000000.0,16.29,0.8541,0.0,0.1288,0.317,0.3085,4.0027,12.05,16.9935,12.07,4.0166,2150000000.0,5193000000.0,7343000000.0,0.0,0.3085,PNC
