Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1933347000.0,420950000.0,1512397000.0,338822000.0,689979000.0,447362000.0,,106679000.0,,397098000.0,84017000.0,313081000.0,313081000.0,2.65,0.7823,0.2314,0.2054,0.1619,0.2117,608085000.0,447362000.0,2.6478,2.671,2.671,313081000.0,313081000.0,0.3145,0.2252,PTC
2022-06-30 00:00:00,1906078000.0,423751000.0,1482327000.0,329042000.0,698289000.0,416483100.0,51839000.0,184041000.0,2100000.0,429242000.0,-69945000.0,499187000.0,499187000.0,4.21,0.7777,0.2185,0.2252,0.2619,0.2194,581082000.0,416483100.0,4.2214,4.2676,4.2676,499187000.0,499187000.0,0.3049,0.2344,PTC
2022-03-31 00:00:00,1879272000.0,407902000.0,1471370000.0,319006000.0,700842000.0,410088100.0,51259000.0,125186000.0,14678000.0,386933000.0,-92981000.0,479914000.0,479914000.0,4.05,0.7829,0.2182,0.2059,0.2554,0.2045,564849000.0,410088100.0,4.0557,4.1035,4.1035,479914000.0,479914000.0,0.3006,0.2186,PTC
2021-12-31 00:00:00,1835830000.0,395563000.0,1440267000.0,309616000.0,726948000.0,352588100.0,51945000.0,62881000.0,27103000.0,369724000.0,-129773000.0,499497000.0,499497000.0,4.23,0.7845,0.1921,0.2014,0.2721,0.198,505851000.0,352588100.0,4.2179,4.2727,4.2727,499497000.0,499497000.0,0.2755,0.212,PTC
2021-09-30 00:00:00,1807159000.0,378791000.0,1428368000.0,299917000.0,723785000.0,380748100.0,50477000.0,24693000.0,38121000.0,391755000.0,-85168000.0,476923000.0,476923000.0,4.04,0.7904,0.2107,0.2168,0.2639,0.1868,505108000.0,380748100.0,4.0292,4.0819,4.0819,476923000.0,476923000.0,0.2795,0.2008,PTC
2021-06-30 00:00:00,1717484100.0,355970000.0,1361514100.0,291398000.0,707478000.0,332622200.0,49673000.0,-55008000.0,49673000.0,277614000.0,40228000.0,237386000.0,237386000.0,2.04,0.7927,0.1937,0.1616,0.1382,0.1982,452683200.0,332622200.0,2.0126,2.0362,2.0362,237386000.0,237386000.0,0.2636,0.2081,PTC
2021-03-31 00:00:00,1633537100.0,340117000.0,1293420100.0,274693000.0,666285000.0,322441200.0,56155000.0,-58780000.0,56155000.0,263661000.0,42800000.0,220861000.0,220861000.0,1.9,0.7918,0.1974,0.1614,0.1352,0.2107,441734200.0,322441200.0,1.8793,1.8979,1.8979,220861000.0,220861000.0,0.2704,0.2289,PTC
2020-12-31 00:00:00,1531355100.0,333696000.0,1197659100.0,262102000.0,617369000.0,270776200.0,75848000.0,-77694000.0,75848000.0,193082000.0,74327000.0,118755000.0,118755000.0,1.02,0.7821,0.1768,0.1261,0.0775,0.2025,390161200.0,270776200.0,1.0176,1.0242,1.0242,118755000.0,118755000.0,0.2548,0.2221,PTC
2020-09-30 00:00:00,1458415100.0,334271000.0,1124144100.0,256575000.0,595277000.0,210863200.0,76428000.0,-76157000.0,76428000.0,134706000.0,4011000.0,130695000.0,130695000.0,1.13,0.7708,0.1446,0.0924,0.0896,0.1389,330367200.0,210863200.0,1.1242,1.13,1.13,130695000.0,130695000.0,0.2265,0.1603,PTC
2020-06-30 00:00:00,1402439000.0,335073000.0,1067366000.0,250805000.0,560749000.0,190402000.0,,-77295000.0,74948000.0,113107000.0,25992000.0,87115000.0,87115000.0,0.76,0.7611,0.1358,0.0807,0.0621,0.1592,299736000.0,190402000.0,0.7523,0.7531,0.7531,87115000.0,87115000.0,0.2137,0.1819,PTC
