Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7218000000.0,7519000000.0,-301000000.0,1641626100.0,-1811171900.0,1334000000.0,677000000.0,24000000.0,-3013000000.0,-3012723700.0,-3013000000.0,-11.83,-0.0417,-0.2509,-0.4174,-0.4174,-0.4735,-567000000.0,-1811171900.0,-11.8453,-11.8451,-11.8451,-3012723700.0,-3013000000.0,-0.0786,-0.0415,RCL
2022-06-30 00:00:00,4682000000.0,6310000000.0,-1628000000.0,1591510100.0,-3115420900.0,1270000000.0,589000000.0,16000000.0,-4471000000.0,-4470245800.0,-4471000000.0,-17.55,-0.3477,-0.6654,-0.9549,-0.9549,-0.8371,-1883000000.0,-3115420900.0,-17.5672,-17.5672,-17.5672,-4470245800.0,-4471000000.0,-0.4022,-0.1406,RCL
2022-03-31 00:00:00,2548914000.0,4619830000.0,-2070916000.0,1505643100.0,-3920311100.0,1266000000.0,42279000.0,314811000.0,-5296255000.0,-5295919000.0,-5296255000.0,-20.79,-0.8125,-1.538,-2.0778,-2.0778,-1.6195,-2564871000.0,-3920311100.0,-20.8136,-20.8136,-20.8136,-5295919000.0,-5296255000.0,-1.0063,-0.6267,RCL
2021-12-31 00:00:00,1531928000.0,3338317000.0,-1806389000.0,1369654100.0,-3870334000.0,1258000000.0,-317212000.0,584325000.0,-5260977000.0,-5260499000.0,-5260977000.0,-20.87,-1.1792,-2.5264,-3.4342,-3.4342,-2.5664,-2436051000.0,-3870334000.0,-20.8906,-20.8906,-20.8906,-5260499000.0,-5260977000.0,-1.5902,-1.2258,RCL
2021-09-30 00:00:00,584065900.0,2119576900.0,-1535510900.0,1122132000.0,-3855139000.0,1107284000.0,-815597900.0,854414000.0,-5270912000.0,-5270466000.0,-5270912000.0,-21.63,-2.629,-6.6005,-9.0245,-9.0245,-7.4325,-2394571500.0,-3855138000.0,-21.5667,-21.5667,-21.5667,-5270466000.0,-5270912000.0,-4.0998,-4.2772,RCL
2021-06-30 00:00:00,93377900.0,1282185900.0,-1188807900.0,1045911000.0,-3845429000.0,1082519000.0,-1339795900.0,1109763000.0,-5185224000.0,-5185224000.0,-5192668000.0,-22.33,-12.7311,-41.1814,-55.5295,-55.6092,-49.4102,-2326804500.0,-3845428000.0,-22.2276,-22.2276,-22.2276,-5185224000.0,-5185224000.0,-24.9181,-31.6176,RCL
2021-03-31 00:00:00,218068900.0,1537775900.0,-1319707000.0,1061771000.0,-4104382000.0,1000358000.0,-1365435900.0,1023841000.0,-5469817000.0,-5469817000.0,-5484705000.0,-24.87,-6.0518,-18.8215,-25.083,-25.1512,-28.9626,-2634607500.0,-4104381000.0,-24.729,-24.729,-24.729,-5469817000.0,-5469817000.0,-12.0815,-21.7342,RCL
2020-12-31 00:00:00,2208804900.0,2765107900.0,-556303100.0,1199620000.0,-4601558000.0,824358000.0,-1173572900.0,844238000.0,-5775130000.0,-5775130000.0,-5797462000.0,-27.12,-0.2519,-2.0833,-2.6146,-2.6247,-2.5665,-3166085700.0,-4601557000.0,-26.9444,-26.9444,-26.9444,-5775130000.0,-5775130000.0,-1.4334,-1.6894,RCL
2020-09-30 00:00:00,4692080000.0,3981367000.0,710711800.0,1358794100.0,-3285583200.0,649074000.0,-842138000.0,665905000.0,-4127721000.0,-4127721000.0,-4157391000.0,-19.72,0.1515,-0.7002,-0.8797,-0.886,-0.9704,-1895773300.0,-3285583000.0,-19.5789,-19.5761,-19.5761,-4127721000.0,-4127721000.0,-0.404,-0.4895,RCL
2020-06-30 00:00:00,7912618000.0,5295796000.0,2616820800.0,1464740100.0,-1398677200.0,,-499367000.0,508594000.0,-1898044000.0,-1898044000.0,-1927395000.0,-9.22,0.3307,-0.1768,-0.2399,-0.2436,-0.3884,-50268300.0,-1398677000.0,-9.0878,-9.074,-9.074,-1898044000.0,-1898044000.0,-0.0064,-0.0667,RCL
2020-03-31 00:00:00,10543644000.0,6159880000.0,4383762900.0,1540196100.0,457462900.0,,-243704000.0,401009000.0,213759100.0,213759100.0,184727000.0,0.87,0.4158,0.0434,0.0203,0.0175,-0.0915,1797193800.0,457463100.0,0.9906,1.0101,1.0101,213759100.0,213759000.0,0.1705,0.269,RCL
2019-12-31 00:00:00,10950661000.0,6062765000.0,4887895000.0,1559253100.0,2082701000.0,,-175101000.0,408513000.0,1907600200.0,1907600200.0,1878887000.0,8.97,0.4464,0.1902,0.1742,0.1716,0.0632,3392250100.0,2082701200.0,9.0868,9.1095,9.1095,1907600200.0,1907600000.0,0.3098,0.3394,RCL
2019-09-30 00:00:00,10765549000.0,5941659000.0,4823889700.0,1472239100.0,2147302200.0,,-199724000.0,411177000.0,1947578300.0,1947578300.0,1921453900.0,9.17,0.4481,0.1995,0.1809,0.1785,0.0322,3417134300.0,2147302300.0,9.2508,9.2812,9.2812,1947578300.0,1947578900.0,0.3174,0.3566,RCL
2019-06-30 00:00:00,10374886000.0,5729985000.0,4644900700.0,1444681100.0,2056243400.0,,-188639000.0,395649000.0,1867604500.0,1867604500.0,1848604900.0,8.84,0.4477,0.1982,0.18,0.1782,0.0414,3273735300.0,2056243500.0,8.8737,8.9093,8.9093,1867604500.0,1867604900.0,0.3155,0.3608,RCL
2019-03-31 00:00:00,9905860000.0,5499892000.0,4405967700.0,1380730100.0,1939485300.0,,-85541000.0,366209000.0,1853944400.0,1853944400.0,1842069900.0,8.78,0.4448,0.1958,0.1872,0.186,0.1235,3086393200.0,1939485400.0,8.783,8.8216,8.8216,1853944400.0,1853944900.0,0.3116,0.3668,RCL
2018-12-31 00:00:00,9493849000.0,5262207000.0,4231641600.0,1303144100.0,1894800200.0,,-79009000.0,333672000.0,1815791300.0,1815791300.0,1811041900.0,8.62,0.4457,0.1996,0.1913,0.1908,-0.0191,2981479100.0,1894800300.0,8.583,8.6232,8.6232,1815791300.0,1815791900.0,0.314,0.3665,RCL
2018-09-30 00:00:00,9166015000.0,5047495000.0,4118519800.0,1286510100.0,1838123200.0,,-54745000.0,306052000.0,1783378000.0,1783378000.0,1783378100.0,8.46,0.4493,0.2005,0.1946,0.1946,0.0525,2875891000.0,1838123000.0,8.4191,8.4561,8.4561,1783378000.0,1783378100.0,0.3138,0.3455,RCL
2018-06-30 00:00:00,8939372000.0,4954400000.0,3984971800.0,1234980100.0,1775877900.0,,-50049000.0,292775000.0,1725828700.0,1725828700.0,1725829100.0,8.09,0.4458,0.1987,0.1931,0.1931,0.0717,2786182900.0,1775877700.0,8.047,8.0862,8.0862,1725828700.0,1725829100.0,0.3117,0.352,RCL
2018-03-31 00:00:00,8797041000.0,4896774000.0,3900266700.0,1205912100.0,1738679800.0,,-109620000.0,287543000.0,1629059600.0,1629059600.0,1629060100.0,7.61,0.4434,0.1976,0.1852,0.1852,0.0956,2737149800.0,1738679600.0,7.5631,7.6013,7.6013,1629059600.0,1629060000.0,0.3111,0.3413,RCL
2017-12-31 00:00:00,8777845000.0,4896579000.0,3881265900.0,1186016100.0,1744055900.0,,-118923000.0,299982000.0,1625132700.0,1625132700.0,1625133100.0,7.58,0.4422,0.1987,0.1851,0.1851,0.2894,2741192900.0,1744055700.0,7.5345,7.5722,7.5722,1625132700.0,1625133100.0,0.3123,0.3275,RCL
2017-09-30 00:00:00,8682981000.0,4874129000.0,3808852100.0,1131263900.0,1733549100.0,,-135369000.0,310749000.0,1598180100.0,1598180100.0,1598179900.0,7.45,0.4387,0.1996,0.1841,0.1841,0.3032,2728520100.0,1733549100.0,7.3932,7.43,7.43,1598180100.0,1598180000.0,0.3142,0.3421,RCL
2017-06-30 00:00:00,8677178000.0,4895983000.0,3781195100.0,1116953900.0,1731024100.0,,-192429000.0,320126000.0,1538595100.0,1538595100.0,1538594900.0,7.17,0.4358,0.1995,0.1773,0.1773,0.2785,2717224000.0,1731024100.0,7.1195,7.1506,7.1506,1538595100.0,1538594900.0,0.3131,0.3348,RCL
