Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7760000000.0,4668000000.0,3092000000.0,1766700000.0,1073599900.0,121000000.0,140000000.0,,1074000000.0,155000000.0,919100000.0,931000000.0,7.99,0.3985,0.1542,0.1384,0.12,0.088,1564000000.0,1196800000.0,7.8907,,,919100000.0,917000000.0,0.2015,0.1061,ROK
2022-06-30 00:00:00,7441000000.0,4514000000.0,2928000000.0,1765000000.0,672099800.0,114000000.0,351000000.0,4000000.0,672000000.0,15000000.0,657699900.0,671000000.0,5.73,0.3935,0.106,0.0903,0.0902,0.0651,1394000000.0,788899700.0,5.6242,5.6765,5.6765,657699900.0,656000000.0,0.1873,0.0844,ROK
2022-03-31 00:00:00,7321200000.0,4423800000.0,2898399900.0,1759900000.0,641399900.0,106400000.0,233000000.0,3000000.0,641500000.0,10500000.0,631899900.0,645300000.0,5.5,0.3959,0.1024,0.0876,0.0881,0.0812,1366699900.0,749799800.0,5.3928,5.4541,5.4541,631899900.0,631000000.0,0.1867,0.1017,ROK
2021-12-31 00:00:00,7289300000.0,4286500000.0,3003799900.0,1752700000.0,1107999900.0,100700000.0,-91000000.0,3000000.0,1108200000.0,115900000.0,992799900.0,1006300000.0,8.58,0.4121,0.1659,0.152,0.1381,0.106,1647599900.0,1209599700.0,8.4747,8.563,8.563,992799900.0,992300000.0,0.226,0.1238,ROK
2021-09-30 00:00:00,6996600000.0,4097300000.0,2900300000.0,1679800000.0,1526199900.0,94300000.0,-558000000.0,2000000.0,1525900000.0,182200000.0,1344299900.0,1357900000.0,11.59,0.4145,0.2317,0.2181,0.1941,0.1631,2053899900.0,1620799600.0,11.4798,11.5888,11.5888,1344299900.0,1344700000.0,0.2936,0.1802,ROK
2021-06-30 00:00:00,6759600000.0,3942000100.0,2817599700.0,1587200100.0,1821499400.0,94500000.0,-831000000.0,,1821499900.0,288100000.0,1533400000.0,1541600000.0,13.17,0.4168,0.2834,0.2695,0.2281,0.19,2096699300.0,1915999300.0,13.1016,13.2127,13.2127,1533400000.0,1533400000.0,0.3102,0.2046,ROK
2021-03-31 00:00:00,6305400000.0,3698000100.0,2607399800.0,1520500100.0,1842499500.0,97500000.0,-914000000.0,,1842499900.0,263900000.0,1578600000.0,1588100000.0,13.58,0.4135,0.3077,0.2922,0.2519,0.1858,2118399400.0,1939999400.0,13.5018,13.6093,13.6093,1578600000.0,1578600000.0,0.336,0.201,ROK
2020-12-31 00:00:00,6210600000.0,3671800100.0,2538799800.0,1451200100.0,1502199500.0,99700000.0,-566000000.0,,1502199900.0,204000000.0,1298200000.0,1305300000.0,11.17,0.4088,0.2579,0.2419,0.2102,0.1846,1776699400.0,1601899500.0,11.1121,11.1951,11.1951,1298200000.0,1298200000.0,0.2861,0.199,ROK
2020-09-30 00:00:00,6329800000.0,3734600100.0,2595199700.0,1479800100.0,1136099500.0,103500000.0,-168000000.0,,1136099900.0,112900000.0,1023200000.0,1023400000.0,8.77,0.41,0.1958,0.1795,0.1617,0.1614,1412299500.0,1239599600.0,8.7753,8.8358,8.8358,1023200000.0,1023200000.0,0.2231,0.177,ROK
2020-06-30 00:00:00,6490000000.0,3811200000.0,2678799800.0,1530500000.0,892900000.0,104300000.0,,,892900000.0,125300000.0,767600000.0,768800000.0,6.59,0.4128,0.1537,0.1376,0.1185,0.1802,1164900000.0,997200100.0,6.6025,6.6428,6.6428,767600000.0,767600000.0,0.1795,0.1956,ROK
2020-03-31 00:00:00,6761100000.0,3906200000.0,2854899800.0,1522000000.0,879799900.0,105700000.0,,,879800000.0,165000000.0,714800000.0,712400000.0,6.06,0.4223,0.1458,0.1301,0.1054,0.1729,1146599900.0,985500000.0,6.1072,6.15,6.15,714800000.0,714800000.0,0.1696,0.1885,ROK
2019-12-31 00:00:00,6737000000.0,3872700000.0,2864299800.0,1555000000.0,1114799900.0,103900000.0,,,1114800000.0,183900000.0,930900000.0,926200000.0,7.81,0.4252,0.1809,0.1655,0.1375,0.16,1376899900.0,1218700000.0,7.8764,7.9402,7.9402,930900000.0,930900000.0,0.2044,0.1783,ROK
2019-09-30 00:00:00,6694800000.0,3794700000.0,2900099900.0,1538500000.0,900999800.0,98200000.0,,,901000000.0,205200000.0,695800000.0,695800000.0,5.81,0.4332,0.1493,0.1346,0.1039,0.1574,1151399800.0,999199900.0,5.8323,5.8817,5.8817,695800000.0,695800000.0,0.172,0.1766,ROK
2019-06-30 00:00:00,6694100000.0,3780800000.0,2913300000.0,1548500100.0,1326299700.0,90400000.0,,,1326300100.0,292700000.0,1033600100.0,1033400000.0,8.54,0.4352,0.2116,0.1981,0.1544,0.1371,1568599800.0,1416699900.0,8.4637,8.5262,8.5262,1033600100.0,1033600000.0,0.2343,0.1598,ROK
2019-03-31 00:00:00,6727700000.0,3800000000.0,2927700000.0,1586400100.0,1256599800.0,80100000.0,,,1256600100.0,285800000.0,970800100.0,970600000.0,7.92,0.4352,0.1987,0.1868,0.1443,0.136,1493799900.0,1336700000.0,7.8384,7.8999,7.8999,970800100.0,970800000.0,0.222,0.1578,ROK
