Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19973000000.0,19973000000.0,8985000000.0,9753000000.0,-940000000.0,8813000000.0,2018000000.0,6795000000.0,6263000000.0,3.31,1.0,0.4883,0.4412,0.3136,0.4366,12713000000.0,9753000000.0,3.5746,3.5917,3.5917,6795000000.0,6795000000.0,0.6365,0.4908,SCHW
2022-06-30 00:00:00,19043000000.0,19043000000.0,8795000000.0,9039000000.0,-892000000.0,8147000000.0,1846000000.0,6301000000.0,5785000000.0,3.05,1.0,0.4747,0.4278,0.3038,0.0807,12238000000.0,9039000000.0,3.3126,3.3295,3.3295,6301000000.0,6301000000.0,0.6427,0.1346,SCHW
2022-03-31 00:00:00,18477000000.0,18477000000.0,8641000000.0,8651000000.0,-1059000000.0,7592000000.0,1819000000.0,5773000000.0,5250000000.0,2.77,1.0,0.4682,0.4109,0.2841,0.481,12044000000.0,8651000000.0,3.0381,3.0545,3.0545,5773000000.0,5773000000.0,0.6518,0.5365,SCHW
2021-12-31 00:00:00,18520000000.0,18520000000.0,8492000000.0,8864000000.0,-1151000000.0,7713000000.0,1858000000.0,5855000000.0,5360000000.0,2.84,1.0,0.4786,0.4165,0.2894,0.0649,12374000000.0,8864000000.0,3.0865,3.1028,3.1028,5855000000.0,5855000000.0,0.6681,0.1144,SCHW
2021-09-30 00:00:00,17988000000.0,17988000000.0,8487000000.0,8359000000.0,-1193000000.0,7166000000.0,1756000000.0,5410000000.0,4961000000.0,2.64,1.0,0.4647,0.3984,0.2758,0.4985,11859000000.0,8359000000.0,2.8822,2.8959,2.8959,5410000000.0,5410000000.0,0.6593,0.5412,SCHW
2021-06-30 00:00:00,15866000000.0,15866000000.0,7753000000.0,7142000000.0,-1098000000.0,6044000000.0,1462000000.0,4582000000.0,4170000000.0,2.38,1.0,0.4501,0.3809,0.2628,0.4488,10412000000.0,7142000000.0,2.6176,2.6291,2.6291,4582000000.0,4582000000.0,0.6562,0.4942,SCHW
2021-03-31 00:00:00,13789000000.0,13789000000.0,6972000000.0,6026000000.0,-813000000.0,5213000000.0,1225000000.0,3988000000.0,3674000000.0,2.27,1.0,0.437,0.3781,0.2664,-0.6287,8837000000.0,6026000000.0,2.4689,2.4794,2.4794,3988000000.0,3988000000.0,0.6409,-0.5808,SCHW
2020-12-31 00:00:00,11691000000.0,11691000000.0,6179000000.0,4908000000.0,-608000000.0,4300000000.0,1001000000.0,3299000000.0,3043000000.0,2.12,1.0,0.4198,0.3678,0.2603,0.5321,7098000000.0,4908000000.0,2.2989,2.3086,2.3086,3299000000.0,3299000000.0,0.6071,0.5861,SCHW
2020-09-30 00:00:00,10121000000.0,10121000000.0,5307000000.0,4393000000.0,-457000000.0,3936000000.0,920000000.0,3016000000.0,2794000000.0,2.17,1.0,0.434,0.3889,0.2761,-0.2726,5990000000.0,4393000000.0,2.3332,2.3452,2.3452,3016000000.0,3016000000.0,0.5918,-0.2076,SCHW
2020-06-30 00:00:00,10384000000.0,10384000000.0,5282000000.0,4715000000.0,-432000000.0,4283000000.0,1014000000.0,3269000000.0,3092000000.0,2.39,1.0,0.4541,0.4125,0.2978,0.255,5900000000.0,4715000000.0,2.5209,2.5352,2.5352,3269000000.0,3269000000.0,0.5682,0.3256,SCHW
2020-03-31 00:00:00,10615000000.0,10615000000.0,5222000000.0,5031000000.0,-400000000.0,4631000000.0,1096000000.0,3535000000.0,3358000000.0,2.58,1.0,0.474,0.4363,0.3163,2.0078,5961000000.0,5031000000.0,2.7032,2.7198,2.7198,3535000000.0,3535000000.0,0.5616,2.0761,SCHW
2019-12-31 00:00:00,10721000000.0,10721000000.0,5141000000.0,5231000000.0,-383000000.0,4848000000.0,1144000000.0,3704000000.0,3526000000.0,2.68,1.0,0.4879,0.4522,0.3289,0.8037,6026000000.0,5231000000.0,2.8061,2.8253,2.8253,3704000000.0,3704000000.0,0.5621,0.8698,SCHW
2019-09-30 00:00:00,10784000000.0,10784000000.0,5109000000.0,5340000000.0,-394000000.0,4946000000.0,1159000000.0,3787000000.0,3610000000.0,2.72,1.0,0.4952,0.4586,0.3348,1.1255,6031000000.0,5340000000.0,2.8355,2.856,2.856,3787000000.0,3787000000.0,0.5593,1.189,SCHW
2019-06-30 00:00:00,10652000000.0,10652000000.0,4960000000.0,5367000000.0,-438000000.0,4929000000.0,1170000000.0,3759000000.0,3582000000.0,2.68,1.0,0.5038,0.4627,0.3363,0.7574,6014000000.0,5367000000.0,2.7851,2.8077,2.8077,3759000000.0,3759000000.0,0.5646,0.8163,SCHW
2019-03-31 00:00:00,10457000000.0,10457000000.0,4861000000.0,5280000000.0,-456000000.0,4824000000.0,1136000000.0,3688000000.0,3508000000.0,2.61,1.0,0.5049,0.4613,0.3355,0.8632,5918000000.0,5280000000.0,2.7192,2.7436,2.7436,3688000000.0,3688000000.0,0.5659,0.9193,SCHW
2018-12-31 00:00:00,10132000000.0,10132000000.0,4762000000.0,5064000000.0,-502000000.0,4562000000.0,1055000000.0,3507000000.0,3329000000.0,2.47,1.0,0.4998,0.4503,0.3286,1.1731,5720000000.0,5064000000.0,2.5768,2.6017,2.6017,3507000000.0,3507000000.0,0.5645,1.2294,SCHW
2018-09-30 00:00:00,9705000000.0,9705000000.0,4593000000.0,4817000000.0,-512000000.0,4305000000.0,1136000000.0,3169000000.0,2994000000.0,2.22,1.0,0.4963,0.4436,0.3085,0.0857,5490000000.0,4817000000.0,2.3265,2.3506,2.3506,3169000000.0,3169000000.0,0.5657,0.1406,SCHW
