Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6076000000.0,506000000.0,6185000000.0,3776000000.0,2409000000.0,66000000.0,2343000000.0,631000000.0,1712000000.0,1605000000.0,26.94,1.0179,0.0,0.3856,0.2642,0.3846,28.4087,28.7491,28.7491,1712000000.0,1712000000.0,0.0,0.4138,SIVB
2022-06-30 00:00:00,5993000000.0,215000000.0,6152000000.0,3636000000.0,2516000000.0,142000000.0,2374000000.0,605000000.0,1769000000.0,1541000000.0,25.98,1.0265,0.0,0.3961,0.2571,0.399,29.506,29.9049,29.9049,1769000000.0,1769000000.0,0.0,0.4218,SIVB
2022-03-31 00:00:00,6024000000.0,131000000.0,6112000000.0,3277000000.0,2835000000.0,107000000.0,2690000000.0,646000000.0,2044000000.0,1710000000.0,29.61,1.0146,0.0,0.4465,0.2839,0.3031,34.9553,35.4694,35.4694,2044000000.0,2044000000.0,0.0,0.3249,SIVB
2021-12-31 00:00:00,5903000000.0,110000000.0,5917000000.0,3064000000.0,2853000000.0,100000000.0,2724000000.0,651000000.0,2073000000.0,1770000000.0,31.89,1.0024,0.0,0.4615,0.2998,0.2878,36.6008,37.1752,37.1752,2073000000.0,2073000000.0,0.0,0.307,SIVB
2021-09-30 00:00:00,5633664000.0,89735000.0,5630929000.0,2767934900.0,2862994100.0,,2760994000.0,657643000.0,2103351000.0,1786747000.0,33.16,0.9995,0.0,0.4901,0.3172,0.2549,38.4856,39.0346,39.0346,2103351000.0,2103351000.0,0.0,0.2725,SIVB
2021-06-30 00:00:00,5254664000.0,72735000.0,5181929000.0,2389934900.0,2791994100.0,,2772994000.0,670643000.0,2102351000.0,1863747000.0,35.45,0.9862,0.0,0.5277,0.3547,0.251,39.4588,39.961,39.961,2102351000.0,2102351000.0,0.0,0.2657,SIVB
2021-03-31 00:00:00,4635664000.0,60735000.0,4574929000.0,2266934900.0,2307994100.0,,2307994000.0,585643000.0,1722351000.0,1590747000.0,30.66,0.9869,0.0,0.4979,0.3432,0.3054,32.8602,33.2149,33.2149,1722351000.0,1722351000.0,0.0,0.3218,SIVB
2020-12-31 00:00:00,4081999900.0,85000000.0,3996999900.0,2255000000.0,1742000000.0,,1742000000.0,448000000.0,1294000000.0,1191000000.0,23.02,0.9792,0.0,0.4268,0.2918,0.3329,24.8445,25.0364,25.0364,1294000000.0,1294000000.0,0.0,0.3542,SIVB
2020-09-30 00:00:00,3754527900.0,124525000.0,3630002900.0,2106522100.0,1523480900.0,,1523481000.0,392733000.0,1130748000.0,1066253000.0,20.63,0.9668,0.0,0.4058,0.284,0.3758,21.7496,21.8921,21.8921,1130748000.0,1130747900.0,0.0,0.4015,SIVB
2020-06-30 00:00:00,3542428900.0,172773000.0,3369655900.0,2095382100.0,1274273900.0,,1274274000.0,335808000.0,938466000.0,891534000.0,17.29,0.9512,0.0,0.3597,0.2517,0.3842,18.0922,18.2022,18.2022,938466000.0,938465900.0,0.0,0.4117,SIVB
2020-03-31 00:00:00,3568945900.0,218137000.0,3350808900.0,1956850100.0,1393958900.0,,1393959000.0,366922000.0,1027037000.0,980521000.0,18.97,0.9389,0.0,0.3906,0.2747,0.2541,19.7351,19.8723,19.8723,1027037000.0,1027036900.0,0.0,0.2778,SIVB
2019-12-31 00:00:00,3531000000.0,213000000.0,3318000000.0,1708000000.0,1610000000.0,,1610000000.0,425000000.0,1185000000.0,1137000000.0,21.9,0.9397,0.0,0.456,0.322,0.3112,22.653,22.8257,22.8257,1185000000.0,1184999900.0,0.0,0.3297,SIVB
2019-09-30 00:00:00,3358412000.0,186177000.0,3172235000.0,1550779000.0,1621456000.0,,1621456100.0,436624000.0,1184832000.0,1140264100.0,21.81,0.9446,0.0,0.4828,0.3395,0.2645,22.4755,22.6686,22.6686,1184832000.0,1184832000.0,0.0,0.2797,SIVB
2019-06-30 00:00:00,3203894000.0,143020000.0,3060874000.0,1449538000.0,1611336000.0,,1611336100.0,426857000.0,1184479000.0,1147800100.0,21.78,0.9554,0.0,0.5029,0.3583,0.3081,22.2613,22.4884,22.4884,1184479000.0,1184479000.0,0.0,0.3236,SIVB
2019-03-31 00:00:00,2958367000.0,101514000.0,2856853000.0,1376889000.0,1479964000.0,,1479964100.0,385030000.0,1094934000.0,1067611100.0,20.14,0.9657,0.0,0.5003,0.3609,0.2982,20.4239,20.6655,20.6655,1094934000.0,1094934000.0,0.0,0.313,SIVB
2018-12-31 00:00:00,2714893000.0,75921000.0,2638972000.0,1276063000.0,1362909000.0,,1362909100.0,351561000.0,1011348000.0,973840100.0,18.34,0.972,0.0,0.502,0.3587,0.327,18.808,19.0539,19.0539,1011348000.0,1011348000.0,0.0,0.3439,SIVB
2018-09-30 00:00:00,2542571000.0,58794000.0,2483777000.0,1241084000.0,1242693000.0,,1242693000.0,381612000.0,861081000.0,824786000.0,15.55,0.9769,0.0,0.4888,0.3244,0.309,16.0153,16.2393,16.2393,861081000.0,861081000.0,0.0,0.3263,SIVB
2018-06-30 00:00:00,2363237000.0,50000000.0,2313237000.0,1195748000.0,1117489000.0,,1117489000.0,383655000.0,733834000.0,698589000.0,13.21,0.9788,0.0,0.4729,0.2956,0.2341,13.6882,13.8782,13.8782,733834000.0,733834000.0,0.0,0.2528,SIVB
2018-03-31 00:00:00,2171702000.0,46373000.0,2125329000.0,1127981000.0,997348000.0,,997348000.0,378024000.0,619324000.0,583984000.0,11.07,0.9786,0.0,0.4592,0.2689,0.3846,11.5858,11.7453,11.7453,619324000.0,619324000.0,0.0,0.4067,SIVB
2017-12-31 00:00:00,2022371000.0,44771000.0,1977600000.0,1102959000.0,874641000.0,,874641000.0,355463000.0,519178000.0,490506000.0,9.32,0.9779,0.0,0.4325,0.2425,0.2947,9.7395,9.8726,9.8726,519178000.0,519178000.0,0.0,0.3199,SIVB
2017-09-30 00:00:00,1885924000.0,44189000.0,1841735000.0,1068342000.0,773393000.0,,773393000.0,275237000.0,498156000.0,472762000.0,9.01,0.9766,0.0,0.4101,0.2507,0.3543,9.3805,9.4989,9.4989,498156000.0,498156000.0,0.0,0.3817,SIVB
2017-06-30 00:00:00,1786428000.0,44144000.0,1742284000.0,1027836000.0,714448000.0,,714448000.0,254763000.0,459685000.0,435223000.0,8.32,0.9753,0.0,0.3999,0.2436,0.3782,8.6958,8.7967,8.7967,459685000.0,459685000.0,0.0,0.4066,SIVB
2017-03-31 00:00:00,1710741000.0,43569000.0,1667172000.0,997469000.0,669703000.0,,669703000.0,248154000.0,421549000.0,404994000.0,7.77,0.9745,0.0,0.3915,0.2367,0.2791,8.0131,8.0953,8.0953,421549000.0,421549000.0,0.0,0.3084,SIVB
