Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4794000000.0,2371000000.0,2424000000.0,1228400000.0,1194700000.0,47000000.0,32000000.0,9000000.0,1184000000.0,266000000.0,918500000.0,,897000000.0,16.5,0.5056,0.2492,0.247,0.1871,0.1282,1299000000.0,1194700200.0,16.9061,17.2057,17.2057,918500000.0,919000000.0,0.271,0.1434,SNA
2022-06-30 00:00:00,4729000000.0,2314000000.0,2416000000.0,1238300000.0,1176699900.0,49000000.0,27000000.0,4000000.0,1155000000.0,265000000.0,890500000.0,,869000000.0,15.94,0.5109,0.2488,0.2442,0.1838,0.1427,1282000000.0,1176700100.0,16.3343,16.6372,16.6372,890500000.0,891000000.0,0.2711,0.1573,SNA
2022-03-31 00:00:00,4587400000.0,2248300000.0,2340100000.0,1257400000.0,1150800000.0,52000000.0,8100000.0,16300000.0,1120100000.0,255900000.0,865500000.0,,845000000.0,15.52,0.5101,0.2509,0.2442,0.1842,0.1692,1256500100.0,1150800200.0,15.8132,16.135,16.135,866500000.0,867200000.0,0.2739,0.1834,SNA
2021-12-31 00:00:00,4426000000.0,2178300000.0,2248700000.0,1258900000.0,1123499900.0,55000000.0,-9900000.0,29600000.0,1086300000.0,247000000.0,839900000.0,,820600000.0,15.07,0.5081,0.2538,0.2454,0.1854,0.203,1228400100.0,1123500100.0,15.2981,15.6104,15.6104,841400000.0,841800000.0,0.2775,0.2184,SNA
2021-09-30 00:00:00,4305400000.0,2141500100.0,2163899800.0,1257699900.0,1108800100.0,60000000.0,-29900000.0,44000000.0,1065000000.0,241200000.0,824300000.0,,805500000.0,14.82,0.5026,0.2575,0.2474,0.1871,0.2284,1209300200.0,1108800100.0,15.0227,15.2899,15.2899,826100000.0,826600000.0,0.2809,0.2466,SNA
2021-06-30 00:00:00,4122000000.0,2079600100.0,2042399800.0,1222499900.0,1088200100.0,60000000.0,-44900000.0,57800000.0,1043300000.0,235300000.0,808000000.0,1300000.0,789200000.0,14.56,0.4955,0.264,0.2531,0.1915,0.2492,1187500100.0,1088200100.0,14.7228,14.946,14.946,809300000.0,809300000.0,0.2881,0.2666,SNA
2021-03-31 00:00:00,3764900000.0,1924400100.0,1840499800.0,1146599900.0,950900000.0,59000000.0,-45400000.0,56900000.0,905500000.0,204300000.0,701200000.0,800000.0,682400000.0,12.57,0.4889,0.2526,0.2405,0.1813,0.2785,1048500000.0,950900000.0,12.8,12.9446,12.9446,702000000.0,702000000.0,0.2785,0.296,SNA
2020-12-31 00:00:00,3592500000.0,1844000100.0,1748499800.0,1116599900.0,880500000.0,56000000.0,-45300000.0,54000000.0,835200000.0,189100000.0,646100000.0,300000.0,627000000.0,11.54,0.4867,0.2451,0.2325,0.1745,0.263,977200000.0,880500000.0,11.7956,11.9043,11.9043,646400000.0,646400000.0,0.272,0.2808,SNA
2020-09-30 00:00:00,3473299900.0,1790500000.0,1682799800.0,1095699900.0,829399800.0,53000000.0,-42000000.0,50700000.0,787400000.0,179800000.0,607599900.0,100000.0,588700000.0,10.81,0.4845,0.2388,0.2267,0.1695,0.2389,924799800.0,829399800.0,11.0335,11.1541,11.1541,607600000.0,607600000.0,0.2663,0.2556,SNA
2020-06-30 00:00:00,3433499900.0,1772100000.0,1661399800.0,1092299900.0,806799900.0,,-40200000.0,48900000.0,766600000.0,175100000.0,591499900.0,900000.0,573600000.0,10.49,0.4839,0.235,0.2233,0.1671,0.2088,901199900.0,806799900.0,10.7008,10.829,10.829,592100000.0,592100000.0,0.2625,0.2315,SNA
2020-03-31 00:00:00,3660499900.0,1866500000.0,1793999800.0,1126099900.0,908599800.0,,-39100000.0,47900000.0,869500000.0,198800000.0,670699900.0,,652800000.0,11.9,0.4901,0.2482,0.2375,0.1783,0.1617,1002199800.0,908599800.0,12.0701,12.2319,12.2319,671100000.0,671100000.0,0.2738,0.1876,SNA
2019-12-31 00:00:00,3729999900.0,1886000000.0,1843999800.0,1127599900.0,962299700.0,,-40200000.0,49000000.0,922100000.0,211800000.0,710299900.0,900000.0,693500000.0,12.59,0.4944,0.258,0.2472,0.1859,0.1547,1054699700.0,962299700.0,12.7228,12.9075,12.9075,711200000.0,711200000.0,0.2828,0.1809,SNA
