Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15135000000.0,11103000000.0,4032000000.0,5322000000.0,2834000000.0,1213000000.0,621000000.0,77000000.0,1729000000.0,579000000.0,1150000000.0,1439000000.0,2260000000.0,7.12,0.2664,0.1872,0.1142,0.1493,-0.1714,5383000000.0,2834000000.0,7.4382,,8.0632,,7.4004,2589000000.0,,2589000000.0,0.3557,0.1531,SRE
2022-06-30 00:00:00,14458000000.0,10620000000.0,3838000000.0,4105000000.0,1298000000.0,1185000000.0,1954000000.0,75000000.0,199000000.0,216000000.0,-17000000.0,1413000000.0,1127000000.0,3.56,0.2655,0.0898,0.0138,0.0779,-0.0413,5165000000.0,1298000000.0,3.6831,,4.3004,,3.6376,1396000000.0,,1396000000.0,0.3572,0.2986,SRE
2022-03-31 00:00:00,13502000000.0,8581000000.0,4921000000.0,3955000000.0,1129000000.0,1170000000.0,1553000000.0,318000000.0,116000000.0,275000000.0,-159000000.0,1351000000.0,992000000.0,3.17,0.3645,0.0836,0.0086,0.0735,-0.0509,4735000000.0,1129000000.0,3.0712,,3.6855,,3.0227,1192000000.0,,1192000000.0,0.3507,0.3194,SRE
2021-12-31 00:00:00,12870000000.0,6532000000.0,6338000000.0,3861000000.0,1257000000.0,1184000000.0,1164000000.0,552000000.0,219000000.0,99000000.0,120000000.0,1343000000.0,1254000000.0,4.15,0.4925,0.0977,0.017,0.0974,-0.0598,4667000000.0,1257000000.0,4.01,,4.6927,,4.0299,1463000000.0,,1463000000.0,0.3626,0.327,SRE
2021-09-30 00:00:00,12338000000.0,4418000000.0,7920000000.0,3786000000.0,918000000.0,1039000000.0,1152000000.0,796000000.0,112000000.0,144000000.0,-32000000.0,1215000000.0,1064000000.0,3.69,0.6419,0.0744,0.0091,0.0862,-0.0538,4425000000.0,918000000.0,3.9726,,4.1307,,4.0319,1183000000.0,-7000000.0,1183000000.0,0.3586,0.3492,SRE
2021-06-30 00:00:00,11815000000.0,2675000000.0,9140000000.0,4792000000.0,2394000000.0,1039000000.0,-716000000.0,1044000000.0,1678000000.0,585000000.0,1093000000.0,1150000000.0,2063000000.0,6.93,0.7736,0.2026,0.142,0.1746,-0.0905,4141000000.0,2394000000.0,7.1829,,7.5653,,7.2422,2243000000.0,1770000000.0,2236000000.0,0.3505,0.3232,SRE
2021-03-31 00:00:00,11600000000.0,2453000000.0,9147000000.0,4649000000.0,2595000000.0,1064000000.0,-735000000.0,1060000000.0,1860000000.0,614000000.0,1246000000.0,1070000000.0,3878000000.0,13.19,0.7885,0.2237,0.1603,0.3343,-0.1774,4291000000.0,2595000000.0,7.2885,,13.9524,,7.344,2316000000.0,1850000000.0,4086000000.0,0.3699,0.2392,SRE
2020-12-31 00:00:00,11370000000.0,2388000000.0,8982000000.0,4483000000.0,2526000000.0,1088000000.0,-1037000000.0,1081000000.0,1489000000.0,249000000.0,1240000000.0,1015000000.0,3764000000.0,12.88,0.79,0.2222,0.131,0.331,-0.1817,4192000000.0,2526000000.0,6.58,6.3,14.1028,6.32,6.61,2255000000.0,,4105000000.0,0.3687,0.2279,SRE
2020-09-30 00:00:00,11142000000.0,2388000000.0,8754000000.0,4242000000.0,2572000000.0,1107000000.0,-1012000000.0,1098000000.0,1560000000.0,225000000.0,1335000000.0,917000000.0,3797000000.0,13.02,0.7857,0.2308,0.14,0.3408,-0.1624,4209000000.0,2572000000.0,6.45,6.5,14.3082,6.51,6.52,2252000000.0,1921000000.0,4173000000.0,0.3778,0.2333,SRE
2020-06-30 00:00:00,11256000000.0,2381000000.0,8875000000.0,4057000000.0,2921000000.0,,-1114000000.0,1113000000.0,1807000000.0,187000000.0,1620000000.0,857000000.0,4259000000.0,14.74,0.7885,0.2595,0.1605,0.3784,-0.1636,4542000000.0,2921000000.0,7.22,7.36,16.1312,7.42,7.33,2477000000.0,2184000000.0,4661000000.0,0.4035,0.2142,SRE
