Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Minority Interest,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17278400000.0,12518800000.0,4759600000.0,3574399900.0,568900900.0,266000000.0,-175700000.0,270400000.0,,393200000.0,-201700000.0,594899900.0,,587300000.0,9.64,0.2755,0.0329,0.0228,0.034,-0.1328,1140500900.0,568900900.0,3.67,5.44,3.7766,5.8,3.84,597900000.0,,587500000.0,0.066,-0.1006,SWK
2022-06-30 00:00:00,16938500000.0,11981400000.0,4957100000.0,3546199900.0,909500500.0,221000000.0,-142800000.0,224300000.0,,766700000.0,-161300000.0,927999900.0,,930300000.0,6.39,0.2927,0.0537,0.0453,0.0549,-0.1123,1487300500.0,909500500.0,5.73,0.39,5.9032,0.42,5.97,940800000.0,,930400000.0,0.0878,-0.0773,SWK
2022-03-31 00:00:00,16344400000.0,11232600000.0,5111800000.0,3468799900.0,1361100400.0,190000000.0,-114900000.0,192600000.0,,1246200000.0,-31200000.0,1277399900.0,,1280400000.0,8.66,0.3128,0.0833,0.0762,0.0783,-0.0596,1937900400.0,1361100400.0,7.82,0.49,8.088,0.52,8.13,1294600000.0,90900000.0,1284200000.0,0.1186,-0.0257,SWK
2021-12-31 00:00:00,15617200000.0,10423000000.0,5194200000.0,3236499900.0,1748600600.0,182000000.0,-107600000.0,185400000.0,19000000.0,1641000000.0,61400000.0,1579599900.0,,1586100000.0,10.57,0.3326,0.112,0.1051,0.1016,0.0098,2325700600.0,1748600600.0,9.62,0.54,10.0692,0.56,9.99,1598600000.0,57800000.0,1598600000.0,0.1489,0.0425,SWK
2021-09-30 00:00:00,14230100000.0,9271600000.0,4958500300.0,2677100000.0,2159500000.0,188000000.0,-228700000.0,192500000.0,11000000.0,1930800100.0,251300000.0,1679500100.0,,1702600000.0,11.43,0.3485,0.1518,0.1357,0.1196,0.0899,2737100000.0,2159500500.0,9.9459,0.54,10.9692,0.54,10.5005,1690500000.0,,1725500000.0,0.1923,0.1204,SWK
2021-06-30 00:00:00,14300600000.0,9181400000.0,5119200300.0,2637600000.0,2267200400.0,191000000.0,-236000000.0,199600000.0,5200000.0,2031200100.0,330200000.0,1701000100.0,,1708500000.0,11.3,0.358,0.1585,0.142,0.1195,0.141,2845900500.0,2267200900.0,10.0753,0.29,11.1164,0.28,10.6478,1706200000.0,,1741200000.0,0.199,0.1668,SWK
2021-03-31 00:00:00,13649100000.0,8879000000.0,4770100300.0,2578600000.0,1893900500.0,198000000.0,-247000000.0,210400000.0,11100000.0,1646900100.0,145600000.0,1501300100.0,,1513500000.0,9.95,0.3495,0.1388,0.1207,0.1109,0.1419,2474900600.0,1893901000.0,9.0238,0.07,9.947,0.06,9.5046,1512400000.0,16600000.0,1547400000.0,0.1813,0.1663,SWK
2020-12-31 00:00:00,13057700000.0,8652300000.0,4405400300.0,2599500000.0,1471800200.0,207000000.0,-252000000.0,222600000.0,9100000.0,1219800100.0,43000000.0,1176800100.0,,1160900000.0,7.8,0.3374,0.1127,0.0934,0.0889,0.1297,2049900300.0,1471800700.0,7.16,,7.6919,,7.53,1185900000.0,,1185900000.0,0.157,0.1549,SWK
2020-09-30 00:00:00,12311901000.0,8311300000.0,4000601000.0,2434500000.0,1153600000.0,217000000.0,-225500000.0,232700000.0,1700000.0,928100000.0,-34700000.0,962800000.0,,948100000.0,6.22,0.3249,0.0937,0.0754,0.077,0.1294,1724500100.0,1153599500.0,5.9061,,6.2923,,6.266,964500000.0,,964500100.0,0.1401,0.1497,SWK
2020-06-30 00:00:00,12094801000.0,8231000000.0,3863801000.0,2456000000.0,987699900.0,,-234500000.0,252400000.0,-6700000.0,753200000.0,-53900000.0,807100000.0,,793100000.0,5.3,0.3195,0.0817,0.0623,0.0656,0.0888,1554199900.0,987699400.0,5.011,,5.3228,,5.2965,800400000.0,,800400100.0,0.1285,0.1124,SWK
